Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,-21.32,C
1995-02,-25.25,C
1995-03,-26.55,C
1995-04,-10.74,C
1995-05,-4.46,C
1995-06,6.85,C
1995-07,8.07,C
1995-08,6.17,C
1995-09,, 
1995-10,-8.81,C
1995-11,-15.79,C
1995-12,-28.19,C
1996-01,-26.07,C
1996-02,-23.19,C
1996-03,-22.4,C
1996-04,-17.35,C
1996-05,-5.65,C
1996-06,8.12,C
1996-07,11.95,C
1996-08,5.18,C
1996-09,-0.1,C
1996-10,-10.31,C
1996-11,-16.91,C
1996-12,-23.59,C
1997-01,-25.14,C
1997-02,-24.98,C
1997-03,-25.31,C
1997-04,-16.26,C
1997-05,-6.86,C
1997-06,2.74,C
1997-07,10.46,C
1997-08,, 
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,6.08,C
1998-07,12.38,C
1998-08,11.54,C
1998-09,4.44,C
1998-10,-4.51,C
1998-11,-11.09,C
1998-12,-16.51,C
1999-01,-24.86,C
1999-02,-22.64,C
1999-03,-19.57,C
1999-04,-14.39,C
1999-05,-5.94,C
1999-06,4.7,C
1999-07,5.89,C
1999-08,7.69,C
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,-23.77,C
2000-01,-22.57,C
2000-02,-25.67,C
2000-03,-24.01,C
2000-04,, 
2000-05,-7.15,C
2000-06,4.59,C
2000-07,9.39,C
2000-08,6.37,C
2000-09,0.67,C
2000-10,-7.82,C
2000-11,-17.9,C
2000-12,-25.15,C
2001-01,-23.24,C
2001-02,-22.82,C
2001-03,-25.92,C
2001-04,-15.08,C
2001-05,, 
2001-06,, 
2001-07,9.94,C
2001-08,7.62,C
2001-09,, 
2001-10,-8.39,C
2001-11,-15.81,C
2001-12,-18.8,C
2002-01,-25.02,C
2002-02,-29.64,C
2002-03,-22.94,C
2002-04,-18.21,C
2002-05,-7.51,C
2002-06,4.99,C
2002-07,7.94,C
2002-08,4.81,C
2002-09,2.49,C
2002-10,-5.81,C
2002-11,-15.21,C
2002-12,-15.87,C
2003-01,-22.36,C
2003-02,-27.24,C
2003-03,-25.15,C
2003-04,-13.78,C
2003-05,-6.21,C
2003-06,2.1,C
2003-07,10.18,C
2003-08,6.06,C
2003-09,3.11,C
2003-10,-4.43,C
2003-11,-16.04,C
2003-12,-24.08,C
2004-01,-26.91,C
2004-02,-30.56,C
2004-03,-27.7,C
2004-04,-19.11,C
2004-05,-11.09,C
2004-06,4.4,C
2004-07,8.65,C
2004-08,6.76,C
2004-09,0.77,C
2004-10,-8.94,C
2004-11,-18.93,C
2004-12,-25.24,C
2005-01,-23.73,C
2005-02,-28.57,C
2005-03,-24.5,C
2005-04,-12.65,C
2005-05,-6.05,C
2005-06,4.41,C
2005-07,5.53,C
2005-08,6.45,C
2005-09,0.95,C
2005-10,-6.65,C
2005-11,-16.86,C
2005-12,-19.59,C
2006-01,-23.69,C
2006-02,-17.84,C
2006-03,-21.8,C
2006-04,-17.65,C
2006-05,-1.3,C
2006-06,7.15,C
2006-07,8.64,C
2006-08,11.51,C
2006-09,, 
2006-10,-5.01,C
2006-11,-16.99,C
2006-12,-18.33,C
2007-01,-22.48,C
2007-02,-25.39,C
2007-03,-25.83,C
2007-04,-12.43,C
2007-05,-7.76,C
2007-06,5.39,C
2007-07,11.88,C
2007-08,7.19,C
2007-09,0.41,C
2007-10,-8.26,C
2007-11,-18.98,C
2007-12,-23.07,C
2008-01,-25.2,C
2008-02,-26.18,C
2008-03,-26.79,C
2008-04,-16.81,C
2008-05,-2.98,C
2008-06,5.38,C
2008-07,9.66,C
2008-08,, 
2008-09,0.8,C
2008-10,-5.17,C
2008-11,-13.97,C
2008-12,-21.51,C
2009-01,-21.8,C
2009-02,-24.23,C
2009-03,-28.86,C
2009-04,-14.76,C
2009-05,-5.67,C
2009-06,3.39,C
2009-07,5.13,C
2009-08,7.63,C
2009-09,3.19,C
2009-10,-6.85,C
2009-11,-14.72,C
2009-12,-20.95,C
2010-01,-23.8,C
2010-02,-21.98,C
2010-03,-19.54,C
2010-04,, 
2010-05,-5.55,C
2010-06,6.18,C
2010-07,10.28,C
2010-08,9.04,C
2010-09,1.9,C
2010-10,-4.74,C
2010-11,-14.34,C
2010-12,-23.07,C
2011-01,-25.66,C
2011-02,-22.19,C
2011-03,-19.9,C
2011-04,-17.9,C
2011-05,-4.49,C
2011-06,2.59,C
2011-07,10.64,C
2011-08,9.63,C
2011-09,3.48,C
2011-10,-6.18,C
2011-11,-17.69,C
2011-12,-23.85,C
2012-01,, 
2012-02,-21.45,C
2012-03,-27.15,C
2012-04,-15.19,C
2012-05,-4.29,C
2012-06,6.56,C
2012-07,11.57,C
2012-08,9.9,C
2012-09,5.63,C
2012-10,-4.31,C
2012-11,-14.78,C
2012-12,-23.81,C
2013-01,-27.88,C
2013-02,-30.6,C
2013-03,-24.76,C
2013-04,-16.7,C
2013-05,-6.28,C
2013-06,7.27,C
2013-07,7.34,C
2013-08,11.37,C
2013-09,2.45,C
2013-10,-2.38,C
2013-11,-15.13,C
