Date [YYYY-MM],Temperature [°C],QCFLAG
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,, 
2004-07,, 
2004-08,, 
2004-09,-7.36,S
2004-10,-6.98,S
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,-24.95,C
2005-04,, 
2005-05,-9.79,C
2005-06,2.8,C
2005-07,6.26,C
2005-08,5.31,C
2005-09,0.0,C
2005-10,-7.6,C
2005-11,-16.54,C
2005-12,-26.54,C
2006-01,-34.91,C
2006-02,-29.86,C
2006-03,-23.59,C
2006-04,-20.37,C
2006-05,-6.01,C
2006-06,2.5,C
2006-07,7.06,C
2006-08,, 
2006-09,0.41,C
2006-10,-4.31,C
2006-11,-18.31,C
2006-12,-29.25,C
2007-01,-32.6,C
2007-02,-28.11,C
2007-03,-32.23,C
2007-04,-19.68,C
2007-05,-11.42,C
2007-06,2.37,C
2007-07,7.4,C
2007-08,6.81,C
2007-09,-1.29,C
2007-10,-8.2,C
2007-11,-22.28,C
2007-12,-29.39,C
2008-01,-29.01,C
2008-02,-35.01,C
2008-03,-31.2,C
2008-04,-19.53,C
2008-05,-5.19,C
2008-06,3.98,C
2008-07,7.5,C
2008-08,5.31,C
2008-09,-1.26,C
2008-10,-9.4,C
2008-11,-22.14,C
2008-12,-30.1,C
2009-01,-29.91,C
2009-02,-32.71,C
2009-03,-30.0,C
2009-04,-20.52,C
2009-05,-7.58,C
2009-06,3.59,C
2009-07,9.66,C
2009-08,6.94,C
2009-09,-0.99,C
2009-10,-9.72,C
2009-11,-20.91,C
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,-27.24,C
2010-04,-15.88,C
2010-05,-5.41,C
2010-06,3.59,C
2010-07,7.96,C
2010-08,6.61,C
2010-09,0.39,C
2010-10,-8.42,C
2010-11,-11.61,C
2010-12,-23.16,C
2011-01,-25.42,C
2011-02,-35.32,C
2011-03,-28.05,C
2011-04,-26.4,C
2011-05,-9.1,C
2011-06,4.4,C
2011-07,8.18,C
2011-08,7.45,C
2011-09,-0.31,C
2011-10,, 
2011-11,-16.32,C
2011-12,-24.76,C
2012-01,-32.39,C
2012-02,-30.77,C
2012-03,-32.45,C
2012-04,-20.41,C
2012-05,-6.79,C
2012-06,, 
2012-07,8.06,C
2012-08,5.43,C
2012-09,0.9,C
2012-10,, 
2012-11,, 
2012-12,-26.75,|
2013-01,-31.55,C
2013-02,-31.49,C
2013-03,-22.39,C
2013-04,-19.57,C
2013-05,-12.15,C
2013-06,3.75,C
2013-07,5.78,C
2013-08,4.72,C
2013-09,-1.91,C
2013-10,-7.95,C
2013-11,-24.33,C
2013-12,-31.04,C
2014-01,-31.23,C
2014-02,-33.17,C
2014-03,-30.16,C
2014-04,-20.05,C
2014-05,-7.3,C
2014-06,2.48,C
2014-07,7.3,C
2014-08,5.12,C
2014-09,-2.49,C
2014-10,-8.08,C
2014-11,-20.81,C
2014-12,-30.54,C
2015-01,-34.48,C
2015-02,-36.08,C
2015-03,-31.33,C
2015-04,-25.41,C
2015-05,-9.24,C
2015-06,3.3,C
2015-07,7.96,C
2015-08,4.96,C
2015-09,-0.17,C
2015-10,-8.45,C
2015-11,-21.47,C
2015-12,-31.08,C
2016-01,-26.46,C
2016-02,-32.61,C
2016-03,-30.09,C
2016-04,-18.56,C
2016-05,-5.96,C
2016-06,3.19,C
2016-07,8.21,C
2016-08,7.4,C
2016-09,-0.95,C
2016-10,-9.05,C
2016-11,-16.39,C
2016-12,-27.71,C
2017-01,-27.62,C
2017-02,-32.09,C
2017-03,-30.75,C
2017-04,-18.04,C
2017-05,-6.85,C
2017-06,2.54,C
2017-07,6.05,C
2017-08,5.83,C
2017-09,, 
2017-10,-10.95,|
2017-11,-18.61,C
2017-12,-25.85,C
2018-01,-32.31,C
2018-02,-36.27,C
2018-03,-28.96,C
2018-04,-21.0,C
2018-05,-10.43,C
2018-06,2.94,C
2018-07,5.53,C
2018-08,4.61,C
2018-09,-1.64,C
2018-10,-13.12,C
2018-11,-26.02,C
2018-12,-27.34,C
2019-01,-32.19,C
2019-02,-33.05,C
2019-03,-28.44,C
2019-04,-22.85,C
2019-05,-2.55,C
2019-06,4.47,C
2019-07,8.91,C
2019-08,9.18,C
2019-09,1.38,C
2019-10,-5.43,C
2019-11,-17.97,C
2019-12,-24.7,C
2020-01,-35.3,|
2020-02,-35.22,S
2020-03,, 
2020-04,, 
2020-05,-8.05,|
2020-06,3.45,|
2020-07,8.7,|
2020-08,5.65,|
2020-09,-1.57,C
2020-10,-5.89,C
2020-11,-19.86,C
2020-12,-22.46,C
2021-01,-23.25,C
2021-02,-29.52,C
2021-03,-29.41,C
2021-04,-16.4,C
2021-05,-6.49,C
2021-06,3.84,C
2021-07,5.36,C
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
