Date [YYYY-MM],Temperature [°C],QCFLAG
1957-01,, 
1957-02,, 
1957-03,, 
1957-04,, 
1957-05,, 
1957-06,0.4,_
1957-07,4.1,_
1957-08,8.14,_
1957-09,2.75,_
1957-10,-6.64,_
1957-11,-21.05,_
1957-12,, 
1958-01,, 
1958-02,, 
1958-03,, 
1958-04,, 
1958-05,-7.75,_
1958-06,1.25,_
1958-07,5.8,_
1958-08,7.3,_
1958-09,3.25,_
1958-10,-5.89,_
1958-11,-19.04,_
1958-12,, 
1959-01,, 
1959-02,-27.15,_
1959-03,-29.4,_
1959-04,-19.2,_
1959-05,-11.25,_
1959-06,-1.0,_
1959-07,4.79,_
1959-08,3.05,_
1959-09,0.0,_
1959-10,-9.8,_
1959-11,-19.85,_
1959-12,-22.8,_
1960-01,, 
1960-02,, 
1960-03,-29.55,_
1960-04,-19.5,_
1960-05,-5.75,_
1960-06,4.19,_
1960-07,6.25,_
1960-08,6.95,_
1960-09,1.3,_
1960-10,-8.29,_
1960-11,-22.9,_
1960-12,-23.3,_
1961-01,, 
1961-02,-29.95,_
1961-03,, 
1961-04,-21.0,_
1961-05,-7.7,_
1961-06,5.1,_
1961-07,7.7,_
1961-08,7.1,_
1961-09,-0.79,_
1961-10,-11.3,_
1961-11,-20.45,_
1961-12,, 
1962-01,, 
1962-02,, 
1962-03,-27.25,_
1962-04,-18.7,_
1962-05,-12.4,_
1962-06,4.65,_
1962-07,6.85,_
1962-08,8.7,_
1962-09,2.5,_
1962-10,-4.0,_
1962-11,-20.4,_
1962-12,-23.25,_
1963-01,, 
1963-02,-29.09,_
1963-03,-30.34,_
1963-04,-15.9,_
1963-05,-4.95,_
1963-06,2.75,_
1963-07,7.45,_
1963-08,8.1,_
1963-09,1.15,_
1963-10,-6.85,_
1963-11,-19.65,_
1963-12,-21.25,_
1964-01,, 
1964-02,, 
1964-03,, 
1964-04,-23.05,_
1964-05,-6.2,_
1964-06,1.05,_
1964-07,5.1,_
1964-08,5.9,_
1964-09,0.25,_
1964-10,-5.8,_
1964-11,-16.95,_
1964-12,, 
1965-01,, 
1965-02,-35.45,_
1965-03,-24.75,_
1965-04,-17.25,_
1965-05,-7.8,_
1965-06,-0.04,_
1965-07,6.3,_
1965-08,5.95,_
1965-09,-1.04,_
1965-10,-8.25,_
1965-11,-21.3,_
1965-12,-25.7,_
1966-01,-33.34,_
1966-02,-30.59,_
1966-03,-25.65,_
1966-04,-22.6,_
1966-05,-3.75,_
1966-06,4.25,_
1966-07,8.75,_
1966-08,6.9,_
1966-09,3.5,_
1966-10,-9.2,_
1966-11,-20.45,_
1966-12,-24.8,_
1967-01,-30.8,_
1967-02,, 
1967-03,-27.15,_
1967-04,-18.5,_
1967-05,-6.9,_
1967-06,0.2,_
1967-07,6.0,_
1967-08,3.3,_
1967-09,0.09,_
1967-10,-6.15,_
1967-11,-19.25,_
1967-12,-21.65,_
1968-01,-32.5,_
1968-02,-28.95,_
1968-03,-24.05,_
1968-04,-20.1,_
1968-05,-6.95,_
1968-06,4.1,_
1968-07,8.1,_
1968-08,7.0,_
1968-09,2.25,_
1968-10,-5.1,_
1968-11,-17.5,_
1968-12,-25.5,_
1969-01,-32.3,_
1969-02,-28.75,_
1969-03,-27.0,_
1969-04,-16.84,_
1969-05,-7.05,_
1969-06,0.79,_
1969-07,6.05,_
1969-08,6.0,_
1969-09,2.75,_
1969-10,-2.4,_
1969-11,-18.95,_
1969-12,-19.6,_
1970-01,-27.95,_
1970-02,-31.5,_
1970-03,-26.7,_
1970-04,-20.29,_
1970-05,-9.39,_
1970-06,3.5,_
1970-07,8.0,_
1970-08,7.05,_
1970-09,0.1,_
1970-10,-7.4,_
1970-11,-18.5,_
1970-12,-30.0,_
1971-01,-30.4,_
1971-02,-31.3,_
1971-03,-25.0,_
1971-04,-19.35,_
1971-05,-5.5,_
1971-06,4.25,_
1971-07,7.9,_
1971-08,6.85,_
1971-09,2.7,_
1971-10,, 
1971-11,-22.3,_
1971-12,-27.59,_
1972-01,-31.3,_
1972-02,-33.0,_
1972-03,-25.65,_
1972-04,-23.59,_
1972-05,-9.14,_
1972-06,1.0,_
1972-07,4.89,_
1972-08,4.7,_
1972-09,-1.4,_
1972-10,-9.85,_
1972-11,-20.5,_
1972-12,-25.15,_
1973-01,-27.25,_
1973-02,-30.0,_
1973-03,-32.4,_
1973-04,-19.2,_
1973-05,-4.6,_
1973-06,4.95,_
1973-07,8.84,_
1973-08,8.1,_
1973-09,4.5,_
1973-10,-4.1,_
1973-11,-17.29,_
1973-12,-23.25,_
1974-01,-29.45,_
1974-02,-32.9,_
1974-03,-29.75,_
1974-04,-23.34,_
1974-05,-7.14,_
1974-06,1.39,_
1974-07,7.2,_
1974-08,3.45,_
1974-09,-1.2,_
1974-10,-14.2,_
1974-11,-21.25,_
1974-12,-31.5,_
1975-01,-35.2,_
1975-02,-29.25,_
1975-03,-28.9,_
1975-04,-14.15,_
1975-05,-4.05,_
1975-06,5.7,_
1975-07,5.85,_
1975-08,8.25,_
1975-09,1.75,_
1975-10,-9.0,_
1975-11,-22.75,_
1975-12,-29.2,_
1976-01,-30.9,_
1976-02,-31.35,_
1976-03,-29.15,_
1976-04,-15.15,_
1976-05,-6.45,_
1976-06,2.69,_
1976-07,7.9,_
1976-08,6.7,_
1976-09,2.25,_
1976-10,-6.35,_
1976-11,-17.35,_
1976-12,-29.05,_
1977-01,-27.25,_
1977-02,-29.9,_
1977-03,-27.7,_
1977-04,-16.65,_
1977-05,-4.94,_
1977-06,4.6,_
1977-07,7.65,_
1977-08,8.25,_
1977-09,3.8,_
1977-10,-5.8,_
1977-11,-18.79,_
1977-12,-28.45,_
1978-01,-26.34,_
1978-02,-22.2,_
1978-03,-27.5,_
1978-04,-19.45,_
1978-05,-11.55,_
1978-06,-0.94,_
1978-07,4.9,_
1978-08,5.0,_
1978-09,2.34,_
1978-10,-13.25,_
1978-11,-19.95,_
1978-12,-25.3,_
1979-01,-26.09,_
1979-02,-33.0,_
1979-03,-31.95,_
1979-04,-20.0,_
1979-05,-8.39,_
1979-06,0.94,_
1979-07,6.55,_
1979-08,5.55,_
1979-09,0.09,_
1979-10,-8.35,_
1979-11,-13.79,_
1979-12,-26.1,_
1980-01,-30.35,_
1980-02,-23.75,_
1980-03,-27.0,_
1980-04,-20.2,_
1980-05,-6.1,_
1980-06,1.75,_
1980-07,4.85,_
1980-08,6.8,_
1980-09,-0.35,_
1980-10,-4.44,_
1980-11,-18.4,_
1980-12,-28.3,_
1981-01,-18.45,_
1981-02,-27.1,_
1981-03,-26.7,_
1981-04,-21.15,_
1981-05,-4.5,_
1981-06,3.75,_
1981-07,8.25,_
1981-08,8.8,_
1981-09,2.05,_
