Date [YYYY-MM],Temperature [°C],QCFLAG
1951-01,-11.43,E
1951-02,-9.43,E
1951-03,-7.97,E
1951-04,2.69,E
1951-05,4.25,E
1951-06,12.3,E
1951-07,14.1,E
1951-08,15.81,E
1951-09,10.48,E
1951-10,4.75,E
1951-11,-3.13,E
1951-12,-2.89,E
1952-01,-4.52,E
1952-02,-5.49,E
1952-03,-10.48,E
1952-04,2.9,E
1952-05,6.19,E
1952-06,12.82,E
1952-07,14.73,E
1952-08,12.49,E
1952-09,6.8,E
1952-10,-0.52,E
1952-11,-3.99,E
1952-12,-4.88,E
1953-01,-8.31,E
1953-02,-12.74,E
1953-03,-2.49,E
1953-04,3.03,E
1953-05,8.19,E
1953-06,16.52,E
1953-07,15.45,E
1953-08,14.17,E
1953-09,7.66,E
1953-10,5.07,E
1953-11,-0.72,E
1953-12,-2.41,E
1954-01,-9.23,E
1954-02,-12.61,E
1954-03,-2.55,E
1954-04,0.41,E
1954-05,10.29,E
1954-06,12.52,E
1954-07,16.62,E
1954-08,13.91,E
1954-09,9.41,E
1954-10,3.14,E
1954-11,-2.15,E
1954-12,-1.67,E
1955-01,-9.05,E
1955-02,-7.56,E
1955-03,-7.64,E
1955-04,-3.06,E
1955-05,4.46,E
1955-06,10.19,E
1955-07,16.52,E
1955-08,16.33,E
1955-09,11.26,E
1955-10,3.04,E
1955-11,-5.46,E
1955-12,-16.17,E
1956-01,-11.91,E
1956-02,-15.91,E
1956-03,-5.63,E
1956-04,-1.93,E
1956-05,7.67,E
1956-06,14.87,E
1956-07,14.43,E
1956-08,11.62,E
1956-09,6.83,E
1956-10,1.91,E
1956-11,-7.44,E
1956-12,-5.56,E
1957-01,-5.65,E
1957-02,-5.06,E
1957-03,-8.83,E
1957-04,0.64,E
1957-05,7.73,E
1957-06,10.81,E
1957-07,17.22,E
1957-08,14.21,E
1957-09,7.87,E
1957-10,3.59,E
1957-11,-1.49,E
1957-12,-4.89,E
1958-01,-13.59,E
1958-02,-12.08,E
1958-03,-9.77,E
1958-04,-1.17,E
1958-05,7.04,E
1958-06,12.12,E
1958-07,14.09,E
1958-08,13.08,E
1958-09,4.02,E
1958-10,4.21,E
1958-11,1.46,E
1958-12,-10.46,E
1959-01,-8.94,E
1959-02,-4.14,E
1959-03,-0.79,E
1959-04,1.98,E
1959-05,7.7,E
1959-06,13.59,E
1959-07,16.19,E
1959-08,14.73,E
1959-09,7.42,E
1959-10,2.9,E
1959-11,-0.94,E
1959-12,-10.13,E
1960-01,-11.69,E
1960-02,-11.38,E
1960-03,-4.78,E
1960-04,0.92,E
1960-05,9.47,E
1960-06,15.46,E
1960-07,17.33,E
1960-08,14.18,E
1960-09,8.4,E
1960-10,0.07,E
1960-11,-3.45,E
1960-12,-4.04,E
1961-01,-6.66,E
1961-02,-3.21,E
1961-03,-2.29,E
1961-04,-0.08,E
1961-05,8.83,E
1961-06,15.96,E
1961-07,15.49,E
1961-08,13.35,E
1961-09,8.14,E
1961-10,7.16,E
1961-11,0.39,E
1961-12,-7.76,E
1962-01,-7.06,E
1962-02,-8.34,E
1962-03,-11.01,E
1962-04,3.16,E
1962-05,7.47,E
1962-06,11.62,E
1962-07,13.32,E
1962-08,11.46,E
1962-09,8.0,E
1962-10,5.25,E
1962-11,-0.14,E
1962-12,-10.24,E
1963-01,-12.34,E
1963-02,-13.62,E
1963-03,-10.78,E
1963-04,1.85,E
1963-05,11.69,E
1963-06,12.19,E
1963-07,15.17,E
1963-08,14.38,E
1963-09,11.13,E
1963-10,4.43,E
1963-11,-1.92,E
1963-12,-7.44,E
1964-01,-5.2,E
1964-02,-12.59,E
1964-03,-7.41,E
1964-04,1.63,E
1964-05,7.98,E
1964-06,12.6,E
1964-07,14.61,E
1964-08,12.98,E
1964-09,8.17,E
1964-10,5.67,E
1964-11,-3.13,E
1964-12,-5.14,E
1965-01,-6.09,E
1965-02,-9.86,E
1965-03,-6.05,E
1965-04,1.69,E
1965-05,4.98,E
1965-06,13.62,E
1965-07,13.39,E
1965-08,13.09,E
1965-09,10.9,E
