Date [YYYY-MM],Temperature [°C],QCFLAG
1978-01,-5.4,k
1978-02,-11.45,k
1978-03,-4.34,k
1978-04,-0.34,k
1978-05,7.38,k
1978-06,12.53,k
1978-07,13.86,k
1978-08,13.49,k
1978-09,9.22,k
1978-10,4.6,k
1978-11,1.82,k
1978-12,-11.03,k
1981-01,-5.72,k
1981-02,-7.87,k
1981-03,-8.78,k
1981-04,-0.74,k
1981-05,7.32,k
1981-06,10.72,k
1981-07,15.12,k
1981-08,13.83,k
1981-09,9.1,k
1981-10,5.45,k
1981-11,0.23,k
1981-12,-8.97,k
1989-01,-1.29,k
1989-02,-1.85,k
1989-03,0.05,k
1989-04,3.93,k
1989-05,8.49,k
1989-06,13.39,k
1989-07,16.03,k
1989-08,15.37,k
1989-09,11.72,k
1989-10,5.33,k
1989-11,2.01,k
1989-12,-4.56,k
1991-01,-2.04,k
1991-02,-7.2,k
1991-03,, 
1991-04,, 
1991-05,5.98,k
1991-06,, 
1991-07,, 
1991-08,17.04,k
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,-1.37,k
1992-03,-0.1,k
1992-04,-0.08,k
1992-05,8.86,k
1992-06,14.06,k
1992-07,14.29,k
1992-08,13.63,k
1992-09,11.02,k
1992-10,-0.02,k
1992-11,-1.83,k
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,1.42,k
1993-05,9.65,k
1993-06,10.84,E
1993-07,15.15,E
1993-08,13.33,E
1993-09,7.51,E
1993-10,4.23,E
1993-11,-1.67,E
1993-12,-3.66,E
1994-01,-6.65,E
1994-02,-11.76,E
1994-03,-4.05,E
1994-04,2.53,E
1994-05,6.11,E
1994-06,11.77,E
1994-07,17.85,E
1994-08,15.71,E
1994-09,10.34,E
1994-10,4.9,E
1994-11,0.7,E
1994-12,0.58,E
1995-01,-2.87,E
1995-02,-1.38,E
1995-03,-0.25,E
1995-04,1.14,E
1995-05,6.27,E
1995-06,15.0,E
1995-07,14.77,E
1995-08,15.25,E
1995-09,10.87,E
1995-10,7.77,E
1995-11,-0.64,E
1995-12,-6.58,E
1996-01,-4.23,E
1996-02,-10.91,E
1996-03,-4.41,E
1996-04,0.41,E
1996-05,5.67,E
1996-06,12.23,E
1996-07,14.63,E
1996-08,17.28,E
1996-09,, 
1996-10,, 
1996-11,1.78,E
1996-12,-4.45,E
1997-01,-3.6,E
1997-02,-4.56,E
1997-03,-1.26,E
1997-04,-0.28,E
1997-05,5.88,E
1997-06,14.03,E
1997-07,18.18,E
1997-08,17.64,E
1997-09,11.81,E
1997-10,3.92,E
1997-11,0.28,E
1997-12,, 
1998-01,-2.41,E
1998-02,-5.08,E
1998-03,, 
1998-04,0.75,E
1998-05,6.66,E
1998-06,11.95,E
1998-07,15.47,E
