Date [YYYY-MM],Temperature [°C],QCFLAG
1981-01,-6.1,""""
1981-02,-9.0,""""
1981-03,-8.0,""""
1981-04,0.3,""""
1981-05,10.5,""""
1981-06,13.3,""""
1981-07,17.1,""""
1981-08,13.6,""""
1981-09,9.3,""""
1981-10,5.3,""""
1981-11,-1.8,""""
1981-12,-8.5,""""
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,7.25,]
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,-8.85,]
1991-03,-2.5,]
1991-04,2.59,]
1991-05,6.15,]
1991-06,12.49,]
1991-07,16.78,]
1991-08,, 
1991-09,7.99,]
1991-10,, 
1991-11,1.77,]
1991-12,, 
1992-01,-3.7,]
1992-02,-4.16,]
1992-03,, 
1992-04,-0.28,]
1992-05,11.2,]
1992-06,15.27,]
1992-07,, 
1992-08,13.44,]
1992-09,11.17,]
1992-10,, 
1992-11,, 
1992-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,, 
1995-09,, 
1995-10,, 
1995-11,-4.97,]
1995-12,-11.6,]
1996-01,-8.27,]
1996-02,-11.75,]
1996-03,, 
1996-04,, 
1996-05,7.59,]
1996-06,, 
1996-07,13.5,]
1996-08,, 
1996-09,, 
1996-10,, 
1996-11,1.99,]
1996-12,-8.92,]
1999-01,-9.16,]
1999-02,-9.3,]
1999-03,-3.04,]
1999-04,4.27,]
1999-05,5.49,]
1999-06,17.63,]
1999-07,16.48,]
1999-08,12.35,]
1999-09,10.11,]
1999-10,5.31,]
1999-11,-0.56,]
1999-12,-4.87,]
2000-01,-6.54,]
2000-02,-4.5,]
2000-03,-2.77,]
2000-04,, 
2000-05,8.83,]
2000-06,13.34,]
2000-07,, 
2000-08,13.41,]
2000-09,7.27,]
2000-10,7.0,]
2000-11,1.5,]
2000-12,-1.88,]
2001-01,-4.12,]
2001-02,-10.51,]
2001-03,-6.97,]
2001-04,4.54,]
2001-05,7.12,]
2001-06,12.33,]
2001-07,18.5,]
2001-08,, 
2001-09,9.8,]
2001-10,6.12,]
2001-11,-2.92,]
2001-12,-12.15,]
2002-01,-6.17,]
2002-02,-3.22,]
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,, 
2002-07,18.07,]
2002-08,15.41,]
2002-09,8.05,]
2002-10,-1.46,]
2002-11,-5.88,]
2002-12,-12.53,]
2003-01,-13.6,]
2003-02,, 
2003-03,-3.25,]
2003-04,0.77,]
2003-05,10.09,]
2003-06,11.29,]
2003-07,18.76,]
2003-08,14.07,]
2003-09,9.02,]
2003-10,2.78,]
2003-11,1.18,]
2003-12,-3.43,]
2004-01,-10.02,]
2004-02,-8.19,]
2004-03,-2.63,]
2004-04,2.5,]
2004-05,8.76,]
2004-06,11.92,]
2004-07,15.94,]
2004-08,14.06,]
2004-09,10.96,]
2004-10,3.77,]
2004-11,-2.17,]
2004-12,-3.44,]
2005-01,-3.36,]
2005-02,-7.98,]
2005-03,-8.58,]
2005-04,2.42,]
2005-05,8.74,]
2005-06,13.37,]
2005-07,17.2,]
2005-08,15.37,]
2005-09,10.03,]
2005-10,5.47,]
2005-11,3.4,]
2005-12,-6.16,]
2006-01,, 
2006-02,-13.35,]
2006-03,-9.9,]
2006-04,2.62,]
2006-05,8.79,]
2006-06,14.41,]
2006-07,15.89,]
2006-08,15.69,]
2006-09,11.7,]
2006-10,5.42,]
2006-11,-1.13,]
2006-12,1.16,]
2007-01,-7.05,]
2007-02,-14.41,]
2007-03,1.58,]
2007-04,3.55,]
2007-05,9.24,]
2007-06,13.4,]
2007-07,16.04,]
2007-08,15.57,]
2007-09,8.71,]
2007-10,5.23,]
2007-11,-1.63,]
2007-12,0.05,]
2008-01,-2.71,]
2008-02,-2.55,]
2008-03,-3.66,]
2008-04,4.32,]
2008-05,7.81,]
2008-06,12.68,]
2008-07,14.83,]
2008-08,12.87,]
2008-09,7.5,]
2008-10,5.99,]
2008-11,0.79,]
2008-12,-1.24,]
2009-01,-6.81,]
2009-02,-7.83,]
2009-03,-3.45,]
2009-04,2.51,]
2009-05,10.19,]
2009-06,12.41,]
2009-07,15.49,]
2009-08,13.92,]
2009-09,10.25,]
2009-10,1.0,]
2009-11,0.37,]
2009-12,-9.31,]
2010-01,-16.42,]
2010-02,-12.5,]
2010-03,-4.82,]
2010-04,3.7,]
2010-05,10.67,]
2010-06,12.75,]
2010-07,20.77,]
2010-08,15.62,]
2010-09,10.01,]
2010-10,3.1,]
2010-11,-4.04,]
2010-12,-13.84,]
2011-01,-8.6,]
2011-02,-14.64,]
2011-03,-3.99,]
2011-04,4.26,]
2011-05,8.86,]
2011-06,15.2,]
2011-07,18.88,]
2011-08,14.87,]
2011-09,11.23,]
2011-10,5.68,]
2011-11,2.0,]
2011-12,0.41,]
2012-01,-9.42,]
2012-02,-11.97,]
2012-03,-2.45,]
2012-04,1.36,]
2012-05,9.45,]
2012-06,12.56,]
2012-07,16.7,]
2012-08,13.58,]
2012-09,10.01,]
2012-10,3.76,]
2012-11,1.41,]
2012-12,-11.3,]
2013-01,-7.91,]
2013-02,-3.83,]
2013-03,-9.85,]
2013-04,1.31,]
2013-05,12.08,]
2013-06,16.42,]
2013-07,16.03,]
2013-08,15.53,]
2013-09,9.64,]
2013-10,4.74,]
2013-11,1.48,]
2013-12,-0.74,]
