Date [YYYY-MM],Temperature [°C],QCFLAG
1951-01,-8.8,""""
1951-02,-7.1,""""
1951-03,-6.1,""""
1951-04,2.1,""""
1951-05,5.3,""""
1951-06,12.0,""""
1951-07,14.0,""""
1951-08,16.8,""""
1951-09,11.6,""""
1951-10,7.5,""""
1951-11,-1.4,""""
1951-12,-1.3,""""
1952-01,-3.4,""""
1952-02,-3.6,""""
1952-03,-7.1,""""
1952-04,3.6,""""
1952-05,6.6,""""
1952-06,12.8,""""
1952-07,15.2,""""
1952-08,13.1,""""
1952-09,7.8,""""
1952-10,0.3,""""
1952-11,-3.1,""""
1952-12,-4.19,""""
1953-01,-6.6,""""
1953-02,-9.8,""""
1953-03,-0.5,""""
1953-04,4.1,""""
1953-05,8.0,""""
1953-06,16.6,""""
1953-07,15.7,""""
1953-08,14.4,""""
1953-09,9.2,""""
1953-10,6.5,""""
1953-11,1.9,""""
1953-12,0.3,""""
1954-01,-6.3,""""
1954-02,-9.89,""""
1954-03,-1.2,""""
1954-04,0.7,""""
1954-05,9.7,""""
1954-06,12.6,""""
1954-07,16.1,""""
1954-08,15.0,""""
1954-09,10.5,""""
1954-10,3.7,""""
1954-11,-1.4,""""
1954-12,-0.2,""""
1955-01,-5.4,""""
1955-02,-9.89,""""
1955-03,-5.6,""""
1955-04,-2.09,""""
1955-05,5.0,""""
1955-06,11.3,""""
1955-07,17.2,""""
1955-08,16.6,""""
1955-09,12.1,""""
1955-10,4.1,""""
1955-11,-1.8,""""
1955-12,-11.2,""""
1956-01,-9.7,""""
1956-02,-12.4,""""
1956-03,-3.5,""""
1956-04,-1.1,""""
1956-05,8.2,""""
1956-06,13.6,""""
1956-07,15.2,""""
1956-08,12.3,""""
1956-09,9.1,""""
1956-10,3.5,""""
1956-11,-5.0,""""
1956-12,-3.0,""""
1957-01,-2.8,""""
1957-02,-4.8,""""
1957-03,-6.8,""""
1957-04,0.4,""""
1957-05,6.8,""""
1957-06,11.2,""""
1957-07,16.9,""""
1957-08,14.1,""""
1957-09,8.6,""""
1957-10,4.3,""""
1957-11,0.6,""""
1957-12,-3.2,""""
1958-01,-10.5,""""
1958-02,-11.4,""""
1958-03,-8.2,""""
1958-04,-0.1,""""
1958-05,6.8,""""
1958-06,12.7,""""
1958-07,14.4,""""
1958-08,13.9,""""
1958-09,10.1,""""
1958-10,5.5,""""
1958-11,2.9,""""
1958-12,-7.7,""""
1959-01,-8.7,""""
1959-02,-2.09,""""
1959-03,0.5,""""
1959-04,3.4,""""
1959-05,8.3,""""
1959-06,14.0,""""
1959-07,16.4,""""
1959-08,15.1,""""
1959-09,8.4,""""
1959-10,3.9,""""
1959-11,0.0,""""
1959-12,-5.9,""""
1960-01,-8.1,""""
1960-02,-9.1,""""
1960-03,-3.7,""""
1960-04,2.1,""""
1960-05,9.9,""""
1960-06,15.0,""""
1960-07,17.1,""""
1960-08,14.4,""""
1960-09,9.5,""""
1960-10,1.1,""""
1960-11,-1.9,""""
1960-12,-2.7,""""
1961-01,-5.2,""""
1961-02,-2.09,""""
1961-03,-0.2,""""
1961-04,1.6,""""
1961-05,7.5,""""
1961-06,15.7,""""
1961-07,15.5,""""
1961-08,13.4,""""
1961-09,9.4,""""
1961-10,8.5,""""
1961-11,2.2,""""
1961-12,-6.1,""""
1962-01,-4.8,""""
1962-02,-5.9,""""
1962-03,-10.3,""""
1962-04,2.4,""""
1962-05,7.3,""""
1962-06,11.2,""""
1962-07,13.5,""""
1962-08,11.9,""""
1962-09,8.5,""""
1962-10,6.3,""""
1962-11,0.5,""""
1962-12,-8.89,""""
1963-01,-8.89,""""
1963-02,-11.5,""""
1963-03,-8.6,""""
1963-04,1.8,""""
1963-05,11.4,""""
1963-06,12.3,""""
1963-07,15.2,""""
1963-08,14.9,""""
1963-09,11.4,""""
1963-10,5.4,""""
1963-11,-0.7,""""
1963-12,-3.6,""""
1964-01,-1.9,""""
1964-02,-8.89,""""
1964-03,-5.0,""""
1964-04,2.0,""""
1964-05,8.2,""""
1964-06,11.9,""""
1964-07,14.8,""""
1964-08,13.3,""""
1964-09,8.5,""""
1964-10,6.8,""""
1964-11,-0.8,""""
1964-12,-4.1,""""
1965-01,-4.69,""""
1965-02,-7.0,""""
1965-03,-4.5,""""
1965-04,2.4,""""
1965-05,5.4,""""
1965-06,13.2,""""
1965-07,14.2,""""
1965-08,13.2,""""
1965-09,11.0,""""
1965-10,5.2,""""
1965-11,-5.9,""""
1965-12,-7.8,""""
1966-01,-14.8,""""
1966-02,-18.2,""""
1966-03,-7.0,""""
1966-04,-1.7,""""
1966-05,8.0,""""
1966-06,16.2,""""
1966-07,16.3,""""
1966-08,13.6,""""
1966-09,7.9,""""
1966-10,3.8,""""
1966-11,1.3,""""
1966-12,-4.69,""""
1967-01,-11.7,""""
1967-02,-5.2,""""
1967-03,0.3,""""
1967-04,2.2,""""
1967-05,7.9,""""
1967-06,12.4,""""
1967-07,15.8,""""
1967-08,14.9,""""
1967-09,10.7,""""
1967-10,6.1,""""
1967-11,3.1,""""
1967-12,-11.9,""""
1968-01,-15.1,""""
1968-02,-8.8,""""
1968-03,-2.9,""""
1968-04,2.7,""""
1968-05,5.9,""""
1968-06,14.9,""""
1968-07,15.0,""""
1968-08,14.2,""""
1968-09,9.1,""""
1968-10,0.5,""""
1968-11,-2.8,""""
1968-12,-1.9,""""
1969-01,-8.6,""""
1969-02,-11.8,""""
1969-03,-7.8,""""
1969-04,1.5,""""
1969-05,7.0,""""
1969-06,14.0,""""
1969-07,16.1,""""
1969-08,16.2,""""
1969-09,8.8,""""
1969-10,4.9,""""
1969-11,-1.7,""""
1969-12,-7.4,""""
1970-01,-9.2,""""
1970-02,-14.4,""""
1970-03,-3.2,""""
1970-04,0.3,""""
1970-05,7.9,""""
1970-06,15.3,""""
1970-07,15.9,""""
1970-08,14.6,""""
1970-09,9.2,""""
1970-10,4.1,""""
1970-11,-2.6,""""
1970-12,-2.6,""""
1971-01,-2.8,""""
1971-02,-7.3,""""
1971-03,-7.3,""""
1971-04,-0.1,""""
1971-05,7.8,""""
1971-06,13.2,""""
1971-07,15.7,""""
1971-08,14.2,""""
1971-09,8.2,""""
1971-10,3.7,""""
1971-11,-3.2,""""
1971-12,-2.7,""""
1972-01,-7.2,""""
1972-02,-5.9,""""
1972-03,-3.6,""""
1972-04,1.3,""""
1972-05,7.5,""""
1972-06,15.8,""""
1972-07,18.6,""""
1972-08,15.0,""""
1972-09,9.1,""""
1972-10,4.4,""""
1972-11,-0.2,""""
1972-12,1.6,""""
1973-01,-1.6,""""
1973-02,-4.1,""""
1973-03,-0.6,""""
1973-04,1.6,""""
1973-05,8.6,""""
1973-06,14.9,""""
1973-07,19.0,""""
1973-08,13.7,""""
1973-09,6.3,""""
1973-10,1.2,""""
1973-11,-4.0,""""
1973-12,-9.6,""""
1974-01,-2.9,""""
1974-02,-1.3,""""
1974-03,-2.5,""""
1974-04,2.1,""""
1974-05,6.9,""""
1974-06,14.4,""""
1974-07,15.1,""""
1974-08,13.9,""""
1974-09,11.6,""""
1974-10,3.5,""""
1974-11,0.0,""""
1974-12,-0.3,""""
1975-01,-1.9,""""
1975-02,-2.6,""""
1975-03,0.1,""""
1975-04,2.7,""""
1975-05,9.3,""""
1975-06,12.0,""""
1975-07,15.4,""""
1975-08,14.2,""""
1975-09,11.5,""""
1975-10,4.7,""""
1975-11,1.2,""""
1975-12,-3.0,""""
1976-01,-10.8,""""
1976-02,-5.5,""""
1976-03,-7.3,""""
1976-04,1.2,""""
1976-05,10.0,""""
1976-06,12.0,""""
1976-07,14.2,""""
1976-08,14.4,""""
1976-09,6.5,""""
1976-10,0.7,""""
1976-11,-0.6,""""
1976-12,-5.3,""""
1977-01,-5.3,""""
1977-02,-9.2,""""
1977-03,-2.5,""""
1977-04,-0.1,""""
1977-05,6.9,""""
