Date [YYYY-MM],Temperature [°C],QCFLAG
1974-01,5.24,]
1974-02,, 
1974-03,, 
1974-04,, 
1974-05,, 
1974-06,, 
1974-07,, 
1974-08,, 
1974-09,, 
1974-10,6.35,]
1974-11,, 
1974-12,4.22,]
1975-01,3.73,]
1975-02,, 
1975-03,3.0,]
1975-04,, 
1975-05,, 
1975-06,, 
1975-07,, 
1975-08,, 
1975-09,, 
1975-10,, 
1975-11,5.28,]
1975-12,3.8,]
1976-01,2.65,]
1976-02,3.63,]
1976-03,, 
1976-04,4.83,]
1976-05,, 
1976-06,8.94,]
1976-07,, 
1976-08,10.88,]
1976-09,8.05,]
1976-10,8.38,]
1976-11,6.36,]
1976-12,3.2,]
1977-01,3.04,]
1977-02,, 
1977-03,, 
1977-04,3.41,]
1977-05,5.59,]
1977-06,, 
1977-07,9.44,]
1977-08,, 
1977-09,7.77,]
1977-10,7.81,]
1977-11,4.5,]
1977-12,5.13,]
1978-01,, 
1978-02,, 
1978-03,4.86,]
1978-04,, 
1978-05,, 
1978-06,7.89,]
1978-07,8.71,]
1978-08,9.29,]
1978-09,, 
1978-10,, 
1978-11,4.01,]
1978-12,3.85,]
1979-01,, 
1979-02,2.19,]
1979-03,1.8,]
1979-04,4.31,]
1979-05,, 
1979-06,, 
1979-07,8.87,]
1979-08,8.94,]
1979-09,7.91,]
1979-10,, 
1979-11,4.72,]
1979-12,4.33,]
1980-01,3.5,]
1980-02,3.28,]
1980-03,4.02,]
1980-04,5.54,]
1980-05,7.12,]
1980-06,8.86,]
1980-07,, 
1980-08,9.91,]
1980-09,9.32,]
1980-10,5.84,]
1980-11,3.54,]
1980-12,3.81,]
1981-01,, 
1981-02,, 
1981-03,3.42,]
1981-04,4.57,]
1981-05,6.14,]
1981-06,7.33,]
1981-07,9.18,]
1981-08,, 
1981-09,9.75,]
1981-10,4.82,]
1981-11,4.48,]
1981-12,1.94,]
1982-01,, 
1982-02,, 
1982-03,4.44,]
1982-04,5.09,]
1982-05,7.07,]
1982-06,8.27,]
1982-07,10.35,]
1982-08,10.05,]
1982-09,, 
1982-10,7.83,]
1982-11,5.04,]
1982-12,3.43,]
1983-01,3.35,]
1983-02,2.99,]
1983-03,, 
1983-04,, 
1983-05,, 
1983-06,, 
1983-07,, 
1983-08,, 
1983-09,7.67,]
1983-10,6.82,]
1983-11,5.3,]
1983-12,4.4,]
1984-01,, 
1984-02,, 
1984-03,3.33,]
1984-04,, 
1984-05,6.77,]
1984-06,8.64,]
1984-07,10.16,]
1984-08,10.87,]
1984-09,8.93,]
1984-10,7.66,]
1984-11,6.3,]
1984-12,5.97,]
1985-01,2.58,]
1985-02,4.04,]
1985-03,2.93,]
1985-04,4.29,]
1985-05,6.41,]
1985-06,7.91,]
1985-07,9.97,]
1985-08,10.32,]
1985-09,7.91,]
1985-10,8.6,]
1985-11,, 
1985-12,, 
1986-01,, 
1986-02,, 
1986-03,5.02,]
1986-04,4.13,]
1986-05,6.52,]
1986-06,, 
1986-07,, 
1986-08,9.25,]
1986-09,7.89,]
1986-10,6.81,]
1986-11,5.52,]
1986-12,3.98,]
1987-01,3.44,]
1987-02,, 
1987-03,3.0,]
1987-04,5.61,]
1987-05,, 
1987-06,7.41,]
1987-07,9.86,]
1987-08,, 
1987-09,8.97,]
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,3.23,]
1988-02,3.12,]
1988-03,, 
1988-04,, 
1988-05,6.49,]
1988-06,8.47,]
1988-07,, 
1988-08,, 
1988-09,9.0,]
1988-10,7.38,]
1988-11,5.41,]
1988-12,5.34,]
1989-01,, 
1989-02,3.41,]
1989-03,3.69,]
1989-04,4.26,]
1989-05,, 
1989-06,7.96,]
1989-07,9.75,]
1989-08,9.57,]
1989-09,9.05,]
1989-10,, 
1989-11,, 
1989-12,4.43,]
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,8.79,]
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,4.59,]
1991-01,, 
1991-02,3.91,]
1991-03,5.44,]
1991-04,, 
1991-05,, 
1991-06,7.36,]
1991-07,, 
1991-08,, 
1991-09,, 
1991-10,7.41,]
1991-11,, 
1991-12,, 
1992-01,5.92,]
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,9.22,]
1992-07,9.16,]
1992-08,, 
1992-09,8.69,]
1992-10,6.35,]
1992-11,5.43,]
1992-12,4.62,]
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,-0.78,]
1993-05,, 
1993-06,3.68,]
1993-07,5.78,]
1993-08,6.37,]
1993-09,7.94,]
1993-10,, 
1993-11,, 
1993-12,3.26,]
1994-01,, 
1994-02,3.99,]
1994-03,3.15,]
1994-04,4.27,]
1994-05,6.27,]
1994-06,, 
1994-07,, 
1994-08,, 
1994-09,8.46,]
1994-10,6.75,]
1994-11,7.2,]
1994-12,4.54,]
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,1.49,]
1995-06,, 
1995-07,6.2,]
1995-08,7.41,]
1995-09,5.05,]
1995-10,, 
1995-11,0.64,]
1995-12,-2.28,]
1996-01,-3.49,]
1996-02,-3.14,]
1996-03,, 
1996-04,0.78,]
1996-05,2.0,]
1996-06,3.61,]
1996-07,6.89,]
1996-08,6.49,]
1996-09,, 
1996-10,, 
1996-11,-0.86,]
1996-12,-2.59,]
1997-01,-3.53,]
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,4.45,]
1997-07,, 
1997-08,7.51,]
1997-09,5.6,]
1997-10,, 
1997-11,, 
1997-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,, 
2004-07,, 
2004-08,, 
2004-09,, 
2004-10,, 
2004-11,5.51,]
2004-12,5.2,]
2005-01,4.21,]
2005-02,3.41,]
2005-03,4.52,]
2005-04,5.29,]
2005-05,5.22,]
