Date [YYYY-MM],Temperature [°C],QCFLAG
1958-01,-7.87,E
1958-02,-2.86,E
1958-03,-2.17,E
1958-04,0.16,E
1958-05,4.3,E
1958-06,7.92,E
1958-07,9.85,E
1958-08,9.39,E
1958-09,6.4,E
1958-10,2.09,E
1958-11,-1.63,E
1958-12,, 
1959-01,-1.69,E
1959-02,-5.57,E
1959-03,-4.23,E
1959-04,1.23,E
1959-05,4.96,E
1959-06,6.95,E
1959-07,9.02,E
1959-08,8.61,E
1959-09,5.29,E
1959-10,2.08,E
1959-11,-1.88,E
1959-12,-7.32,E
1960-01,-3.93,E
1960-02,-5.05,E
1960-03,-3.36,E
1960-04,0.99,E
1960-05,3.6,E
1960-06,6.66,E
1960-07,8.58,E
1960-08,, 
1960-09,4.82,E
1960-10,4.15,E
1960-11,0.07,E
1960-12,-3.92,E
1961-01,-1.76,E
1961-02,-6.22,E
1961-03,-5.42,E
1961-04,2.54,E
1961-05,4.25,E
1961-06,7.35,E
1961-07,8.5,E
1961-08,8.09,E
1961-09,5.8,E
1961-10,1.98,E
1961-11,, 
1961-12,-2.11,E
1962-01,-5.1,E
1962-02,-5.07,E
1962-03,, 
1962-04,0.17,E
1962-05,5.46,E
1962-06,6.47,E
1962-07,8.74,E
1962-08,8.18,E
1962-09,5.13,E
1962-10,2.78,E
1962-11,-1.96,E
1962-12,-3.63,E
1963-01,, 
1963-02,-1.45,E
1963-03,-1.46,E
1963-04,0.92,E
1963-05,1.94,E
1963-06,6.58,E
1963-07,7.66,E
1963-08,8.0,E
1963-09,2.98,E
1963-10,-1.79,E
1963-11,-3.73,E
1963-12,, 
1964-01,, 
1964-02,-0.65,E
1964-03,-6.03,E
1964-04,-0.1,E
1964-05,4.32,E
1964-06,5.72,E
1964-07,7.92,E
1964-08,8.89,E
1964-09,5.84,E
1964-10,1.69,E
1964-11,-1.12,E
1964-12,-6.14,E
1965-01,, 
1965-02,-0.15,E
1965-03,, 
1965-04,, 
1965-05,6.2,E
1965-06,, 
1965-07,9.68,E
1965-08,9.2,E
1965-09,, 
1965-10,0.28,E
1965-11,, 
