Date [YYYY-MM],Temperature [°C],QCFLAG
1943-01,-1.51,S
1943-02,-5.5,S
1943-03,-4.38,S
1943-04,-1.58,S
1943-05,1.38,S
1943-06,5.85,S
1943-07,7.47,S
1943-08,6.46,S
1943-09,6.27,S
1943-10,0.46,S
1943-11,-0.54,S
1943-12,-2.43,S
1944-01,-4.75,S
1944-02,-3.05,S
1944-03,-1.66,S
1944-04,-1.21,S
1944-05,1.52,S
1944-06,4.86,S
1944-07,6.65,S
1944-08,6.5,S
1944-09,5.38,S
1944-10,1.46,S
1944-11,-2.02,S
1944-12,-3.69,S
1945-01,-3.06,S
1945-02,-5.85,S
1945-03,-2.22,S
1945-04,-1.04,S
1945-05,3.83,S
1945-06,4.78,S
1945-07,6.68,S
1945-08,6.95,S
1945-09,4.14,S
1945-10,3.3,S
1945-11,-0.15,S
1945-12,-1.3,S
1946-01,-3.86,S
1946-02,, 
1946-03,, 
1946-04,, 
1946-05,, 
1946-06,, 
1946-07,, 
1946-08,, 
1946-09,, 
1946-10,, 
1946-11,, 
1946-12,, 
1947-01,-2.19,S
1947-02,-0.99,S
1947-03,-1.81,S
1947-04,-0.78,S
1947-05,2.25,S
1947-06,5.25,S
1947-07,6.8,S
1947-08,7.06,S
1947-09,4.52,S
1947-10,1.85,S
1947-11,, 
1947-12,-1.21,S
1948-01,-3.23,S
1948-02,-4.23,S
1948-03,-3.72,S
1948-04,-0.65,S
1948-05,1.43,S
1948-06,5.62,S
1948-07,6.62,S
1948-08,7.28,S
1948-09,4.73,S
1948-10,2.99,S
1948-11,-0.82,S
1948-12,, 
1949-01,, 
1949-02,, 
1949-03,-4.19,""""
1949-04,, 
1949-05,, 
1949-06,, 
1949-07,, 
1949-08,, 
1949-09,, 
1949-10,-0.1,""""
1949-11,, 
1949-12,-4.4,""""
1950-01,-4.69,""""
1950-02,, 
1950-03,, 
1950-04,-0.2,""""
1950-05,2.5,""""
1950-06,, 
1950-07,7.5,""""
1950-08,7.5,""""
1950-09,4.2,""""
1950-10,1.0,""""
1950-11,0.0,""""
1950-12,, 
1951-01,-3.9,""""
1951-02,-5.6,""""
1951-03,-3.2,""""
1951-04,-1.8,""""
1951-05,2.3,""""
1951-06,5.6,""""
1951-07,8.1,""""
1951-08,8.0,""""
1951-09,6.4,""""
1951-10,2.2,""""
1951-11,, 
1951-12,-4.4,""""
1952-01,-4.3,""""
1952-02,-4.0,""""
1952-03,-3.0,""""
1952-04,-0.4,""""
1952-05,2.3,""""
1952-06,4.1,""""
1952-07,6.9,""""
1952-08,7.0,""""
1952-09,6.0,""""
1952-10,2.6,""""
1952-11,0.9,""""
1952-12,-0.5,""""
1953-01,-4.1,""""
1953-02,-2.6,""""
1953-03,-4.19,""""
1953-04,-0.5,""""
1953-05,2.1,""""
1953-06,5.5,""""
1953-07,6.4,""""
1953-08,6.6,""""
1953-09,5.5,""""
1953-10,1.1,""""
1953-11,-0.9,""""
1953-12,-4.3,""""
1954-01,-4.9,""""
1954-02,-4.6,""""
1954-03,-1.2,""""
1954-04,-2.0,""""
1954-05,2.7,""""
1954-06,5.2,""""
1954-07,8.2,""""
1954-08,7.3,""""
1954-09,4.4,""""
1954-10,1.8,""""
1954-11,-1.8,""""
1954-12,-3.5,""""
1955-01,-4.0,""""
1955-02,-2.5,""""
1955-03,-3.9,""""
1955-04,-0.05,S
1955-05,1.85,S
1955-06,3.98,S
1955-07,6.61,S
1955-08,7.76,S
1955-09,5.79,S
1955-10,3.24,S
1955-11,-0.27,S
1955-12,, 
1956-01,-5.54,S
1956-02,-3.45,S
1956-03,-1.68,S
1956-04,0.23,S
1956-05,2.02,S
1956-06,3.47,S
1956-07,5.42,S
1956-08,6.57,S
1956-09,5.06,S
1956-10,2.11,S
1956-11,-1.03,S
1956-12,-5.58,S
1957-01,, 
1957-02,, 
1957-03,, 
1957-04,, 
1957-05,, 
1957-06,, 
1957-07,6.92,S
1957-08,8.42,S
1957-09,5.3,S
1957-10,2.43,S
1957-11,-0.76,S
1957-12,-3.4,S
1958-01,-4.85,S
1958-02,-2.88,S
1958-03,-2.45,S
1958-04,0.19,S
1958-05,2.84,S
1958-06,5.69,S
1958-07,7.43,S
1958-08,7.77,S
1958-09,5.93,S
1958-10,2.26,S
1958-11,-0.1,S
1958-12,-3.3,S
1959-01,-2.8,""""
1959-02,-5.4,""""
1959-03,-3.4,""""
1959-04,0.0,""""
1959-05,2.7,""""
1959-06,5.5,""""
1959-07,7.4,""""
