Date [YYYY-MM],Temperature [°C],QCFLAG
1875-01,-5.6,""""
1875-02,-6.0,""""
1875-03,-7.0,""""
1875-04,2.3,""""
1875-05,3.8,""""
1875-06,7.5,""""
1875-07,10.0,""""
1875-08,8.2,""""
1875-09,6.0,""""
1875-10,2.0,""""
1875-11,-0.4,""""
1875-12,-2.6,""""
1876-01,-7.9,""""
1876-02,-6.4,""""
1876-03,-4.6,""""
1876-04,0.5,""""
1876-05,4.4,""""
1876-06,7.4,""""
1876-07,8.5,""""
1876-08,8.4,""""
1876-09,6.9,""""
1876-10,3.7,""""
1876-11,-1.7,""""
1876-12,-3.0,""""
1877-01,-8.39,""""
1877-02,-5.9,""""
1877-03,-3.4,""""
1877-04,0.2,""""
1877-05,6.5,""""
1877-06,9.0,""""
1877-07,10.4,""""
1877-08,10.2,""""
1877-09,7.8,""""
1877-10,1.4,""""
1877-11,-4.4,""""
1877-12,-6.7,""""
1878-01,-6.2,""""
1878-02,-3.4,""""
1878-03,-3.4,""""
1878-04,0.2,""""
1878-05,5.8,""""
1878-06,9.4,""""
1878-07,9.7,""""
1878-08,9.1,""""
1878-09,4.3,""""
1878-10,0.8,""""
1878-11,2.3,""""
1878-12,2.1,""""
1879-01,-3.7,""""
1879-02,-4.6,""""
1879-03,-5.3,""""
1879-04,3.6,""""
1879-05,4.2,""""
1879-06,8.7,""""
1879-07,10.0,""""
1879-08,8.5,""""
1879-09,4.0,""""
1879-10,2.0,""""
1879-11,-0.2,""""
1879-12,-7.7,""""
1880-01,-8.2,""""
1880-02,-9.39,""""
1880-03,-3.7,""""
1880-04,0.1,""""
1880-05,4.2,""""
1880-06,9.2,""""
1880-07,10.3,""""
1880-08,8.1,""""
1880-09,4.9,""""
1880-10,3.7,""""
1880-11,-1.0,""""
1880-12,-4.19,""""
1881-01,-1.4,""""
1881-02,-3.9,""""
1881-03,-2.3,""""
1881-04,4.7,""""
1881-05,4.5,""""
1881-06,7.3,""""
1881-07,8.6,""""
1881-08,7.7,""""
1881-09,4.2,""""
1881-10,0.0,""""
1881-11,-3.4,""""
1881-12,-7.1,""""
1882-01,-10.8,""""
1882-02,-9.39,""""
1882-03,-11.9,""""
1882-04,-1.4,""""
1882-05,4.3,""""
1882-06,8.4,""""
1882-07,9.0,""""
1882-08,6.6,""""
1882-09,4.6,""""
1882-10,-0.2,""""
1882-11,-4.5,""""
1882-12,-5.1,""""
1883-01,-10.4,""""
1883-02,-14.2,""""
1883-03,-2.7,""""
1883-04,-2.3,""""
1883-05,3.6,""""
1883-06,7.5,""""
1883-07,9.7,""""
1883-08,7.1,""""
1883-09,4.8,""""
1883-10,-1.8,""""
1883-11,-6.3,""""
1883-12,-10.9,""""
1884-01,-11.1,""""
1884-02,-13.2,""""
1884-03,-9.2,""""
1884-04,-0.1,""""
1884-05,3.2,""""
1884-06,5.4,""""
1884-07,9.3,""""
1884-08,5.8,""""
1884-09,3.2,""""
1884-10,-2.0,""""
1884-11,-3.9,""""
1884-12,-8.39,""""
1885-01,-5.2,""""
1885-02,-6.1,""""
1885-03,-2.8,""""
1885-04,-0.6,""""
1885-05,3.9,""""
1885-06,6.5,""""
1885-07,9.8,""""
1885-08,9.8,""""
1885-09,4.3,""""
1885-10,0.5,""""
1885-11,-4.5,""""
1885-12,-4.0,""""
1886-01,-6.8,""""
1886-02,-6.7,""""
1886-03,-2.5,""""
1886-04,-2.0,""""
1886-05,5.4,""""
1886-06,7.0,""""
1886-07,10.1,""""
1886-08,8.0,""""
1886-09,4.7,""""
1886-10,-0.2,""""
1886-11,-1.9,""""
1886-12,-6.8,""""
1887-01,-11.6,""""
1887-02,-12.1,""""
1887-03,-7.9,""""
1887-04,0.3,""""
1887-05,4.1,""""
1887-06,7.8,""""
1887-07,9.9,""""
1887-08,8.3,""""
1887-09,5.4,""""
1887-10,0.7,""""
1887-11,0.3,""""
1887-12,-5.6,""""
1888-01,-4.0,""""
1888-02,-5.2,""""
1888-03,-3.1,""""
1888-04,0.5,""""
1888-05,5.7,""""
1888-06,7.6,""""
1888-07,10.2,""""
1888-08,9.8,""""
1888-09,3.7,""""
1888-10,3.3,""""
1888-11,-4.5,""""
1888-12,-6.9,""""
1889-01,-7.9,""""
1889-02,-4.5,""""
1889-03,-3.8,""""
1889-04,-1.3,""""
1889-05,3.3,""""
1889-06,5.6,""""
1889-07,10.4,""""
1889-08,8.0,""""
1889-09,5.6,""""
1889-10,0.8,""""
1889-11,-4.1,""""
1889-12,-6.1,""""
1890-01,-9.0,""""
1890-02,-6.4,""""
1890-03,-4.3,""""
1890-04,-0.2,""""
1890-05,4.0,""""
1890-06,7.9,""""
1890-07,9.7,""""
1890-08,8.0,""""
1890-09,3.7,""""
1890-10,0.8,""""
1890-11,-4.4,""""
1890-12,-5.0,""""
1891-01,-6.8,""""
1891-02,-11.3,""""
1891-03,-4.1,""""
1891-04,-0.7,""""
1891-05,5.5,""""
1891-06,10.7,""""
1891-07,10.1,""""
1891-08,9.2,""""
1891-09,4.6,""""
1891-10,-0.5,""""
1891-11,-2.8,""""
1891-12,-5.9,""""
1892-01,-7.2,""""
1892-02,-5.8,""""
1892-03,-2.9,""""
1892-04,1.2,""""
1892-05,6.4,""""
1892-06,9.5,""""
1892-07,9.7,""""
1892-08,8.3,""""
1892-09,4.2,""""
1892-10,4.4,""""
1892-11,-3.7,""""
1892-12,-1.5,""""
1893-01,-2.2,""""
1893-02,-6.2,""""
1893-03,-3.8,""""
1893-04,-1.6,""""
1893-05,3.4,""""
1893-06,8.4,""""
1893-07,10.3,""""
1893-08,9.5,""""
1893-09,6.4,""""
1893-10,-0.2,""""
1893-11,0.0,""""
1893-12,-9.0,""""
1894-01,-9.6,""""
1894-02,-13.9,""""
1894-03,-9.0,""""
1894-04,-4.3,""""
1894-05,4.8,""""
1894-06,5.5,""""
1894-07,9.8,""""
1894-08,8.1,""""
1894-09,5.1,""""
1894-10,2.3,""""
1894-11,-5.2,""""
1894-12,-5.4,""""
1895-01,-2.2,""""
1895-02,-0.6,""""
1895-03,-1.0,""""
1895-04,0.7,""""
1895-05,4.3,""""
1895-06,9.4,""""
1895-07,9.9,""""
1895-08,7.9,""""
1895-09,5.2,""""
1895-10,3.8,""""
1895-11,-4.4,""""
1895-12,-8.3,""""
1896-01,-7.6,""""
1896-02,-9.6,""""
1896-03,-6.6,""""
1896-04,-1.8,""""
1896-05,1.9,""""
1896-06,8.1,""""
1896-07,9.1,""""
1896-08,8.4,""""
1896-09,4.1,""""
1896-10,2.4,""""
1896-11,-3.9,""""
1896-12,-11.7,""""
1897-01,-6.5,""""
1897-02,-7.9,""""
1897-03,-3.9,""""
1897-04,-5.5,""""
1897-05,2.7,""""
1897-06,9.7,""""
1897-07,8.9,""""
1897-08,7.6,""""
1897-09,5.8,""""
1897-10,1.7,""""
1897-11,-2.6,""""
1897-12,-5.0,""""
1898-01,-9.39,""""
1898-02,-11.4,""""
1898-03,-3.4,""""
1898-04,-1.5,""""
1898-05,3.8,""""
1898-06,9.1,""""
1898-07,8.4,""""
1898-08,7.5,""""
1898-09,4.1,""""
1898-10,-0.2,""""
1898-11,-5.0,""""
1898-12,-7.6,""""
1899-01,-7.3,""""
1899-02,-7.0,""""
1899-03,-3.7,""""
1899-04,0.8,""""
1899-05,5.6,""""
1899-06,7.9,""""
1899-07,10.2,""""
1899-08,9.3,""""
1899-09,5.5,""""
1899-10,-0.1,""""
1899-11,-5.2,""""
1899-12,-8.39,""""
1900-01,-8.8,""""
1900-02,-3.8,""""
1900-03,-0.3,""""
1900-04,-1.1,""""
1900-05,6.1,""""
1900-06,8.9,""""
1900-07,10.9,""""
1900-08,9.7,""""
1900-09,4.4,""""
1900-10,0.1,""""
1900-11,-5.7,""""
1900-12,-7.5,""""
1901-01,-8.3,""""
1901-02,4.0,""""
1901-03,-2.7,""""
1901-04,-1.0,""""
1901-05,5.2,""""
1901-06,6.7,""""
1901-07,8.6,""""
1901-08,7.2,""""
1901-09,4.5,""""
1901-10,-0.1,""""
1901-11,-1.7,""""
1901-12,-4.5,""""
1902-01,-8.1,""""
1902-02,-4.4,""""
1902-03,-6.1,""""
1902-04,-0.3,""""
1902-05,4.8,""""
1902-06,8.9,""""
1902-07,10.1,""""
1902-08,8.7,""""
1902-09,6.3,""""
1902-10,1.8,""""
1902-11,-4.4,""""
1902-12,-6.9,""""
1903-01,-8.1,""""
1903-02,-8.1,""""
1903-03,-11.9,""""
1903-04,-1.7,""""
1903-05,2.6,""""
1903-06,7.4,""""
1903-07,10.9,""""
1903-08,8.6,""""
1903-09,6.0,""""
1903-10,2.7,""""
1903-11,-1.4,""""
1903-12,-4.0,""""
1904-01,-8.89,""""
1904-02,-6.5,""""
1904-03,-7.2,""""
1904-04,-3.6,""""
1904-05,4.4,""""
1904-06,8.6,""""
1904-07,9.6,""""
1904-08,10.1,""""
1904-09,3.3,""""
1904-10,-1.8,""""
1904-11,-2.4,""""
1904-12,-3.1,""""
1905-01,-10.2,""""
1905-02,-7.5,""""
1905-03,-4.19,""""
1905-04,1.7,""""
1905-05,4.7,""""
1905-06,6.6,""""
1905-07,9.9,""""
1905-08,8.5,""""
1905-09,4.7,""""
1905-10,3.5,""""
1905-11,-1.8,""""
1905-12,-6.7,""""
1906-01,-8.3,""""
1906-02,-11.6,""""
1906-03,-4.8,""""
1906-04,-4.4,""""
1906-05,5.5,""""
1906-06,8.2,""""
1906-07,7.6,""""
1906-08,9.0,""""
1906-09,5.5,""""
1906-10,0.2,""""
1906-11,-5.1,""""
1906-12,-7.7,""""
1907-01,-9.3,""""
1907-02,-8.7,""""
1907-03,-11.2,""""
1907-04,-1.9,""""
1907-05,5.2,""""
1907-06,6.2,""""
1907-07,10.0,""""
1907-08,8.8,""""
1907-09,4.0,""""
1907-10,1.5,""""
1907-11,-3.5,""""
1907-12,-7.6,""""
1908-01,-8.89,""""
1908-02,-8.89,""""
1908-03,-6.4,""""
1908-04,2.6,""""
1908-05,3.4,""""
1908-06,7.5,""""
1908-07,11.5,""""
1908-08,8.8,""""
1908-09,6.3,""""
1908-10,-0.9,""""
1908-11,-2.4,""""
1908-12,-6.6,""""
1909-01,-9.7,""""
1909-02,-6.1,""""
1909-03,0.9,""""
1909-04,1.1,""""
1909-05,6.9,""""
1909-06,10.1,""""
1909-07,8.8,""""
1909-08,8.6,""""
1909-09,6.2,""""
1909-10,0.6,""""
1909-11,-1.1,""""
1909-12,-6.5,""""
1910-01,-7.8,""""
1910-02,-11.8,""""
1910-03,-6.2,""""
1910-04,0.6,""""
1910-05,3.7,""""
1910-06,8.9,""""
1910-07,10.5,""""
1910-08,10.8,""""
1910-09,4.2,""""
1910-10,1.5,""""
1910-11,-3.6,""""
1910-12,-3.4,""""
1911-01,-8.39,""""
1911-02,-8.39,""""
1911-03,-4.0,""""
1911-04,0.2,""""
1911-05,3.2,""""
1911-06,8.7,""""
1911-07,10.2,""""
1911-08,10.2,""""
1911-09,5.9,""""
1911-10,2.6,""""
1911-11,-2.09,""""
1911-12,-8.6,""""
1912-01,-7.6,""""
1912-02,-5.0,""""
1912-03,-5.6,""""
1912-04,0.5,""""
1912-05,4.7,""""
1912-06,10.5,""""
1912-07,10.2,""""
1912-08,9.9,""""
1912-09,5.7,""""
1912-10,0.7,""""
1912-11,-1.0,""""
1912-12,-5.6,""""
