Date [YYYY-MM],Temperature [°C],QCFLAG
1978-01,-1.22,]
1978-02,-0.88,]
1978-03,0.92,]
1978-04,3.76,]
1978-05,5.34,]
1978-06,7.21,]
1978-07,10.44,]
1978-08,11.2,]
1978-09,7.06,]
1978-10,4.91,]
1978-11,0.62,]
1978-12,2.11,]
1979-01,-3.01,]
1979-02,0.64,]
1979-03,-3.36,]
1979-04,1.71,]
1979-05,0.95,]
1979-06,7.64,]
1979-07,8.53,]
1979-08,9.21,]
1979-09,5.05,]
1979-10,4.87,]
1979-11,1.42,]
1979-12,0.01,]
1980-01,0.35,]
1980-02,1.45,]
1980-03,, 
1980-04,3.54,]
1980-05,6.28,]
1980-06,8.07,]
1980-07,10.05,]
1980-08,10.12,]
1980-09,7.63,]
1980-10,2.3,]
1980-11,1.59,]
1980-12,-1.16,]
1981-01,-1.86,]
1981-02,, 
1981-03,-2.0,]
1981-04,3.03,]
1981-05,4.69,]
1981-06,, 
1981-07,9.91,]
1981-08,, 
1981-09,6.32,]
1981-10,, 
1981-11,0.62,]
1981-12,, 
1982-01,, 
1982-02,1.43,]
1982-03,-0.02,]
1982-04,3.15,]
1982-05,3.85,]
1982-06,8.81,]
1982-07,9.79,]
1982-08,8.67,]
1982-09,5.43,]
1982-10,, 
1982-11,0.4,]
1982-12,, 
1983-01,, 
1983-02,0.95,]
1983-03,-1.26,]
1983-04,-0.57,]
1983-05,4.29,]
1983-06,6.95,]
1983-07,, 
1983-08,8.04,]
1983-09,6.29,]
1983-10,3.49,]
1983-11,1.68,]
1983-12,-0.21,]
1984-01,, 
1984-02,-0.58,]
1984-03,, 
1984-04,2.45,]
1984-05,, 
1984-06,, 
1984-07,, 
1984-08,, 
1984-09,6.84,]
1984-10,3.83,]
1984-11,1.49,]
1984-12,0.71,]
1985-01,0.38,]
1985-02,, 
1985-03,-0.17,]
1985-04,, 
1985-05,, 
1985-06,, 
1985-07,, 
1985-08,9.47,]
1985-09,6.51,]
1985-10,, 
1985-11,1.53,]
1985-12,-0.8,]
1986-01,-0.43,]
1986-02,1.91,]
1986-03,0.49,]
1986-04,2.95,]
1986-05,3.98,]
1986-06,7.62,]
1986-07,, 
1986-08,, 
1986-09,, 
1986-10,, 
1986-11,0.58,]
1986-12,, 
1987-01,, 
1987-02,, 
1987-03,0.06,]
1987-04,2.76,]
1987-05,, 
1987-06,, 
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,-2.08,]
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,10.01,]
1988-09,6.42,]
1988-10,, 
1988-11,3.33,]
1988-12,0.59,]
1989-01,-0.74,]
1989-02,, 
1989-03,, 
1989-04,1.04,]
1989-05,, 
1989-06,, 
1989-07,9.43,]
1989-08,, 
1989-09,6.44,]
1989-10,, 
1989-11,3.1,]
1989-12,0.37,]
1990-01,0.13,]
1990-02,-1.7,]
1990-03,-2.3,]
1990-04,0.21,]
1990-05,, 
1990-06,8.93,]
1990-07,, 
1990-08,, 
1990-09,6.6,]
1990-10,, 
1990-11,3.04,]
1990-12,, 
1991-01,1.05,]
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,7.71,]
1991-07,, 
1991-08,, 
1991-09,6.91,]
1991-10,4.51,]
1991-11,0.53,]
1991-12,1.62,]
1992-01,2.29,]
1992-02,-0.63,]
1992-03,0.16,]
1992-04,1.88,]
1992-05,4.88,]
1992-06,7.4,]
1992-07,8.96,]
1992-08,9.03,]
1992-09,6.49,]
1992-10,, 
1992-11,1.27,]
