Date [YYYY-MM],Temperature [°C],QCFLAG
1983-01,, 
1983-02,, 
1983-03,, 
1983-04,, 
1983-05,, 
1983-06,, 
1983-07,, 
1983-08,, 
1983-09,, 
1983-10,4.34,S
1983-11,, 
1983-12,0.25,S
1984-01,, 
1984-02,0.94,S
1984-03,2.26,S
1984-04,3.27,S
1984-05,, 
1984-06,8.47,S
1984-07,, 
1984-08,9.71,S
1984-09,7.94,S
1984-10,4.39,S
1984-11,, 
1984-12,, 
1985-01,, 
1985-02,1.98,S
1985-03,1.23,S
1985-04,4.35,S
1985-05,, 
1985-06,, 
1985-07,, 
1985-08,10.56,S
1985-09,7.0,S
1985-10,6.83,S
1985-11,1.55,S
1985-12,, 
1986-01,, 
1986-02,3.3,S
1986-03,1.27,S
1986-04,4.3,S
1986-05,5.71,S
1986-06,, 
1986-07,10.37,S
1986-08,10.27,S
1986-09,, 
1986-10,, 
1986-11,0.79,S
1986-12,, 
1987-01,, 
1987-02,, 
1987-03,, 
1987-04,, 
1987-05,, 
1987-06,9.81,S
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,-2.05,S
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,7.47,S
1988-06,8.26,S
1988-07,10.9,S
1988-08,10.58,S
1988-09,7.5,S
1988-10,5.05,S
1988-11,4.46,S
1988-12,1.83,S
1989-01,1.12,S
1989-02,-1.3,S
1989-03,-0.72,S
1989-04,2.5,S
1989-05,5.18,S
1989-06,8.26,S
1989-07,9.14,S
1989-08,9.89,S
1989-09,7.29,S
1989-10,5.28,S
1989-11,2.74,S
1989-12,0.9,S
1990-01,0.93,S
1990-02,-0.76,S
1990-03,-0.39,S
1990-04,1.08,S
1990-05,7.2,S
1990-06,9.63,S
1990-07,11.02,S
1990-08,11.11,S
1990-09,7.23,S
1990-10,4.98,S
1990-11,4.23,S
1990-12,0.88,S
1991-01,1.43,S
1991-02,2.67,S
1991-03,2.23,S
1991-04,2.08,S
1991-05,6.63,S
1991-06,9.26,S
1991-07,12.03,S
1991-08,11.28,S
1991-09,8.06,S
1991-10,5.07,S
1991-11,0.86,S
1991-12,2.07,S
1992-01,3.08,S
1992-02,0.86,S
1992-03,1.3,S
1992-04,2.99,S
1992-05,5.51,S
1992-06,7.88,S
1992-07,9.74,S
1992-08,9.81,S
1992-09,7.26,S
1992-10,5.14,S
1992-11,1.94,S
1992-12,0.34,S
1993-01,-0.97,S
1993-02,1.44,S
1993-03,2.1,S
1993-04,3.76,S
1993-05,5.07,S
1993-06,8.7,S
1993-07,9.92,S
1993-08,9.41,S
1993-09,9.18,S
1993-10,5.26,S
1993-11,4.48,S
1993-12,-0.94,S
1994-01,-1.62,S
1994-02,1.58,S
1994-03,-0.4,S
1994-04,1.83,S
1994-05,7.17,S
1994-06,8.02,S
1994-07,11.36,S
1994-08,10.75,S
1994-09,7.63,S
1994-10,4.25,S
1994-11,2.79,S
1994-12,-0.06,S
1995-01,-1.54,S
1995-02,-1.24,S
1995-03,-1.17,S
1995-04,, 
1995-05,6.7,S
1995-06,8.81,S
1995-07,10.5,S
1995-08,10.21,S
1995-09,8.61,S
1995-10,4.32,S
1995-11,2.71,S
1995-12,0.74,S
1996-01,2.56,S
1996-02,0.47,S
1996-03,3.68,S
1996-04,4.71,S
1996-05,7.76,S
1996-06,9.91,S
1996-07,10.88,S
1996-08,10.48,S
1996-09,10.22,S
1996-10,4.94,S
1996-11,-0.94,S
1996-12,1.44,S
1997-01,1.96,S
1997-02,-0.54,S
1997-03,0.54,S
1997-04,4.26,S
1997-05,6.36,S
1997-06,8.59,S
1997-07,11.34,S
1997-08,11.08,S
1997-09,8.45,S
1997-10,6.2,S
1997-11,4.27,S
1997-12,3.55,S
1998-01,1.12,S
1998-02,0.46,S
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,, 
1998-12,, 
2014-01,, 
2014-02,, 
2014-03,, 
2014-04,25.25,P
2014-05,, 
2014-06,, 
2014-07,, 
2014-08,, 
2014-09,, 
2014-10,, 
2014-11,, 
2014-12,, 
