Date [YYYY-MM],Temperature [°C],QCFLAG
1973-01,, 
1973-02,, 
1973-03,2.38,]
1973-04,, 
1973-05,, 
1973-06,, 
1973-07,, 
1973-08,, 
1973-09,, 
1973-10,, 
1973-11,, 
1973-12,, 
1974-01,0.2,]
1974-02,-1.86,]
1974-03,, 
1974-04,, 
1974-05,, 
1974-06,, 
1974-07,, 
1974-08,, 
1974-09,, 
1974-10,5.0,]
1974-11,3.35,]
1974-12,, 
1975-01,-3.59,]
1975-02,, 
1975-03,-1.52,]
1975-04,, 
1975-05,4.12,]
1975-06,, 
1975-07,, 
1975-08,, 
1975-09,, 
1975-10,5.22,]
1975-11,, 
1975-12,, 
1976-01,-3.08,]
1976-02,0.19,]
1976-03,0.83,]
1976-04,1.98,]
1976-05,3.12,]
1976-06,8.37,]
1976-07,, 
1976-08,, 
1976-09,, 
1976-10,6.03,]
1976-11,2.67,]
1976-12,-0.14,]
1977-01,-1.83,]
1977-02,0.57,]
1977-03,-0.16,]
1977-04,-0.19,]
1977-05,5.86,]
1977-06,7.2,]
1977-07,, 
1977-08,9.72,]
1977-09,7.07,]
1977-10,, 
1977-11,, 
1977-12,, 
1978-01,-1.14,]
1978-02,-1.73,]
1978-03,-0.61,]
1978-04,3.15,]
1978-05,5.13,]
1978-06,6.76,]
1978-07,8.89,]
1978-08,10.41,]
1978-09,5.91,]
1978-10,4.25,]
1978-11,0.29,]
1978-12,2.27,]
1979-01,-3.18,]
1979-02,0.18,]
1979-03,-4.1,]
1979-04,-0.23,]
1979-05,-0.25,]
1979-06,6.57,]
1979-07,7.37,]
1979-08,, 
1979-09,3.58,]
1979-10,4.08,]
1979-11,0.8,]
1979-12,0.41,]
1980-01,-0.1,]
1980-02,1.01,]
1980-03,0.22,]
1980-04,2.32,]
1980-05,5.91,]
1980-06,6.81,]
1980-07,9.09,]
1980-08,9.21,]
1980-09,6.58,]
1980-10,1.93,]
1980-11,0.85,]
1980-12,-2.59,]
1981-01,-3.3,]
1981-02,-3.08,]
1981-03,-2.61,]
1981-04,2.36,]
1981-05,3.57,]
1981-06,6.51,]
1981-07,8.43,]
1981-08,9.93,]
1981-09,4.73,]
1981-10,0.26,]
1981-11,-0.57,]
1981-12,-2.39,]
1982-01,-2.58,]
1982-02,0.33,]
1982-03,-0.12,]
1982-04,2.06,]
1982-05,2.73,]
1982-06,6.95,]
1982-07,9.17,]
1982-08,, 
1982-09,4.07,]
1982-10,4.27,]
1982-11,0.55,]
1982-12,-1.18,]
1983-01,-3.05,]
1983-02,1.47,]
1983-03,-3.19,]
1983-04,-1.38,]
1983-05,2.93,]
1983-06,6.74,]
1983-07,8.22,]
1983-08,7.72,]
1983-09,5.46,]
1983-10,2.23,]
1983-11,1.21,]
1983-12,-1.15,]
1984-01,-1.91,]
1984-02,-0.23,]
1984-03,0.74,]
1984-04,2.38,]
1984-05,4.08,]
1984-06,7.76,]
1984-07,, 
1984-08,9.16,]
1984-09,6.24,]
1984-10,, 
1984-11,0.88,]
1984-12,1.54,]
1985-01,0.37,]
1985-02,0.17,]
1985-03,-1.5,]
1985-04,, 
1985-05,5.1,]
1985-06,, 
1985-07,7.85,]
1985-08,7.69,]
1985-09,5.73,]
1985-10,5.47,]
1985-11,1.41,]
1985-12,-1.64,]
1986-01,-0.1,]
1986-02,2.67,]
1986-03,-0.17,]
1986-04,1.52,]
1986-05,2.41,]
1986-06,7.21,]
1986-07,, 
1986-08,, 
1986-09,6.44,]
1986-10,2.44,]
1986-11,-0.4,]
1986-12,-0.32,]
1987-01,3.91,]
1987-02,0.03,]
1987-03,-0.91,]
1987-04,2.65,]
1987-05,, 
1987-06,, 
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,-2.39,]
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,9.34,]
1988-09,5.65,]
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,9.22,]
1989-08,, 
1989-09,, 
1989-10,3.86,]
1989-11,2.85,]
1989-12,-0.62,]
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,-1.28,]
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,3.58,]
1990-11,, 
1990-12,, 
1991-01,0.65,]
1991-02,1.26,]
1991-03,, 
1991-04,-0.54,]
1991-05,, 
1991-06,5.91,]
1991-07,, 
1991-08,10.05,]
1991-09,6.17,]
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,2.54,]
1992-02,-1.96,]
1992-03,, 
1992-04,0.61,]
1992-05,3.77,]
1992-06,6.82,]
1992-07,8.01,]
1992-08,7.89,]
1992-09,, 
1992-10,4.48,]
1992-11,1.07,]
1992-12,, 
1993-01,-3.03,]
1993-02,-0.62,]
1993-03,-0.14,]
1993-04,2.06,]
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,7.91,]
1993-09,7.98,]
1993-10,, 
1993-11,3.81,]
1993-12,-0.86,]
1994-01,-2.22,]
1994-02,1.14,]
1994-03,, 
1994-04,-0.13,]
1994-05,4.72,]
1994-06,5.41,]
1994-07,9.12,]
1994-08,9.43,]
1994-09,, 
1994-10,0.77,]
1994-11,0.75,]
1994-12,, 
1995-01,-3.28,]
1995-02,-2.74,]
1995-03,-3.84,]
1995-04,, 
1995-05,, 
1995-06,8.37,]
1995-07,, 
1995-08,, 
1995-09,, 
1995-10,1.46,]
1995-11,1.53,]
1995-12,, 
1996-01,0.29,]
1996-02,-1.33,]
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,8.01,]
1996-07,, 
1996-08,, 
1996-09,10.17,]
1996-10,2.59,]
1996-11,, 
1996-12,, 
1997-01,-0.35,]
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,3.01,]
1997-06,6.52,]
1997-07,10.56,]
1997-08,, 
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,0.31,]
1998-05,5.34,]
1998-06,6.98,]
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,-2.63,]
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,7.94,]
1999-07,, 
1999-08,9.89,]
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,7.85,]
2000-07,, 
2000-08,, 
2000-09,, 
2000-10,, 
2000-11,, 
2000-12,, 
2002-01,, 
2002-02,-4.5,]
2002-03,-2.23,]
2002-04,, 
2002-05,4.46,]
2002-06,, 
2002-07,9.66,]
2002-08,9.1,]
2002-09,8.59,]
2002-10,, 
2002-11,4.17,]
2002-12,3.67,]
2003-01,1.08,]
2003-02,, 
2003-03,1.9,]
2003-04,3.94,]
2003-05,5.2,]
2003-06,, 
2003-07,, 
2003-08,, 
2003-09,, 
