Date [YYYY-MM],Temperature [°C],QCFLAG
1937-01,-0.8,G
1937-02,-5.72,G
1937-03,-7.21,G
1937-04,-1.03,G
1937-05,0.95,G
1937-06,3.27,G
1937-07,5.73,G
1937-08,6.35,G
1937-09,4.31,G
1937-10,-0.2,G
1937-11,-1.6,G
1937-12,-0.61,G
1938-01,-5.11,G
1938-02,-3.5,G
1938-03,-5.85,G
1938-04,-3.72,G
1938-05,-0.81,G
1938-06,4.22,G
1938-07,6.17,G
1938-08,6.46,G
1938-09,4.15,G
1938-10,4.31,G
1938-11,1.44,G
1938-12,1.77,G
1939-01,-2.91,G
1939-02,-3.32,G
1939-03,-1.39,G
1939-04,-2.98,G
1939-05,1.25,G
1939-06,3.49,G
1939-07,6.08,G
1939-08,7.8,G
1939-09,4.64,G
1939-10,2.05,G
1939-11,-3.69,G
1939-12,-5.76,G
1940-01,-3.02,G
1940-02,-7.29,G
1940-03,-4.88,G
1940-04,-3.94,G
1940-05,0.95,G
1940-06,3.91,G
1940-07,, 
1940-08,, 
1940-09,, 
1940-10,, 
1940-11,, 
1940-12,, 
1950-01,, 
1950-02,, 
1950-03,, 
1950-04,, 
1950-05,, 
1950-06,, 
1950-07,5.58,G
1950-08,7.47,G
1950-09,4.52,G
1950-10,2.37,G
1950-11,-0.66,G
1950-12,-4.28,G
1951-01,-4.93,G
1951-02,-2.11,G
1951-03,-7.24,G
1951-04,-5.35,G
1951-05,-0.57,G
1951-06,0.47,G
1951-07,4.16,G
1951-08,6.78,G
1951-09,4.04,G
1951-10,0.4,G
1951-11,-3.71,G
1951-12,-3.84,G
1952-01,-4.26,G
1952-02,-5.89,G
1952-03,-5.08,G
1952-04,-1.15,G
1952-05,0.01,G
1952-06,3.03,G
1952-07,4.99,G
1952-08,3.67,G
1952-09,2.5,G
1952-10,3.74,G
1952-11,-1.37,G
1952-12,-3.62,G
1953-01,-4.69,G
1953-02,-5.53,G
1953-03,-5.81,G
1953-04,-5.58,G
1953-05,-0.26,G
1953-06,5.2,G
1953-07,5.71,G
1953-08,7.53,G
1953-09,4.66,G
1953-10,2.04,G
1953-11,-0.03,G
1953-12,-0.64,G
1954-01,-3.97,G
1954-02,-2.93,G
1954-03,, 
1954-04,-3.81,G
1954-05,0.19,G
1954-06,1.72,G
1954-07,4.94,G
1954-08,4.52,G
1954-09,2.67,G
1954-10,-0.01,G
1954-11,2.13,G
1954-12,-1.6,G
1955-01,-7.01,G
1955-02,-7.85,G
1955-03,-6.16,G
1955-04,-2.74,G
1955-05,-1.8,G
1955-06,1.9,G
1955-07,5.4,G
1955-08,5.4,G
1955-09,4.68,G
1955-10,-1.15,G
1955-11,-2.16,G
1955-12,-4.23,G
1956-01,-5.17,G
1956-02,-3.77,G
1956-03,-3.37,G
1956-04,-4.79,G
1956-05,-0.94,G
1956-06,0.42,G
1956-07,4.94,G
1956-08,3.7,G
1956-09,1.95,G
1956-10,-0.27,G
1956-11,-0.45,G
1956-12,-0.02,G
1957-01,-1.11,G
1957-02,-3.67,G
1957-03,-3.48,G
1957-04,-1.2,G
1957-05,-1.08,G
1957-06,1.15,G
1957-07,4.17,G
1957-08,5.19,G
1957-09,3.49,G
1957-10,0.69,G
1957-11,-0.54,G
1957-12,-3.98,G
1958-01,-2.79,G
1958-02,-4.97,G
