Date [YYYY-MM],Temperature [°C],QCFLAG
1876-01,-11.8,""""
1876-02,-11.4,""""
1876-03,-13.9,""""
1876-04,-5.8,""""
1876-05,-0.4,""""
1876-06,11.7,""""
1876-07,16.4,""""
1876-08,10.9,""""
1876-09,5.4,""""
1876-10,-1.0,""""
1876-11,-13.8,""""
1876-12,-16.9,""""
1877-01,-18.4,""""
1877-02,-20.1,""""
1877-03,-14.7,""""
1877-04,-8.2,""""
1877-05,1.6,""""
1877-06,8.0,""""
1877-07,12.5,""""
1877-08,7.8,""""
1877-09,2.1,""""
1877-10,-3.5,""""
1877-11,-5.0,""""
1877-12,-9.7,""""
1878-01,-12.8,""""
1878-02,-11.8,""""
1878-03,-10.3,""""
1878-04,-3.3,""""
1878-05,4.0,""""
1878-06,10.7,""""
1878-07,11.2,""""
1878-08,8.2,""""
1878-09,7.8,""""
1878-10,0.9,""""
1878-11,-11.9,""""
1878-12,-16.6,""""
1879-01,-14.4,""""
1879-02,-19.7,""""
1879-03,-9.5,""""
1879-04,-3.8,""""
1879-05,2.8,""""
1879-06,5.9,""""
1879-07,11.8,""""
1879-08,13.5,""""
1879-09,8.5,""""
1879-10,-2.0,""""
1879-11,-12.8,""""
1879-12,-12.1,""""
1880-01,-9.7,""""
1880-02,-12.7,""""
1880-03,-10.1,""""
1880-04,-4.19,""""
1880-05,2.4,""""
1880-06,7.8,""""
1880-07,10.5,""""
1880-08,12.5,""""
1880-09,6.7,""""
1880-10,-8.3,""""
1880-11,-15.6,""""
1880-12,-19.6,""""
1881-01,-22.8,""""
1881-02,-22.7,""""
1881-03,-14.4,""""
1881-04,-5.8,""""
1881-05,0.0,""""
1881-06,7.3,""""
1881-07,12.1,""""
1881-08,11.4,""""
1881-09,4.9,""""
1881-10,-1.3,""""
1881-11,-8.89,""""
1881-12,-10.1,""""
1882-01,-9.6,""""
1882-02,-12.4,""""
1882-03,-9.2,""""
1882-04,-2.09,""""
1882-05,3.1,""""
1882-06,7.8,""""
1882-07,14.7,""""
1882-08,13.5,""""
1882-09,7.2,""""
1882-10,2.4,""""
1882-11,-15.3,""""
1882-12,-19.29,""""
1883-01,-15.7,""""
1883-02,-9.6,""""
1883-03,-9.1,""""
1883-04,0.2,""""
1883-05,5.9,""""
1883-06,13.5,""""
1883-07,11.6,""""
1883-08,10.1,""""
1883-09,4.7,""""
1883-10,-2.4,""""
1883-11,-5.1,""""
1883-12,-10.1,""""
1884-01,-16.0,""""
1884-02,-8.5,""""
1884-03,-5.9,""""
1884-04,-5.7,""""
1884-05,-0.4,""""
1884-06,9.4,""""
1884-07,11.6,""""
1884-08,10.7,""""
1884-09,6.6,""""
1884-10,-0.5,""""
1884-11,-8.39,""""
1884-12,-18.1,""""
1885-01,-17.7,""""
1885-02,-10.0,""""
1885-03,-9.89,""""
1885-04,-3.8,""""
1885-05,-1.0,""""
1885-06,6.4,""""
1885-07,13.2,""""
1885-08,10.1,""""
1885-09,3.5,""""
1885-10,-6.9,""""
1885-11,-11.6,""""
1885-12,-17.79,""""
1886-01,-21.7,""""
1886-02,-11.6,""""
1886-03,-5.5,""""
1886-04,-3.2,""""
1886-05,3.0,""""
1886-06,10.1,""""
1886-07,14.8,""""
1886-08,12.2,""""
1886-09,4.4,""""
1886-10,1.8,""""
1886-11,-5.9,""""
1886-12,-21.1,""""
1887-01,-7.0,""""
1887-02,-6.5,""""
1887-03,-9.5,""""
1887-04,-3.1,""""
1887-05,5.2,""""
1887-06,7.7,""""
1887-07,12.6,""""
1887-08,10.5,""""
1887-09,6.6,""""
1887-10,-5.4,""""
1887-11,-14.3,""""
1887-12,-21.3,""""
1888-01,-16.4,""""
1888-02,-19.1,""""
1888-03,-16.2,""""
1888-04,-7.0,""""
1888-05,2.2,""""
1888-06,7.1,""""
1888-07,11.6,""""
1888-08,10.5,""""
1888-09,3.8,""""
1888-10,-5.1,""""
1888-11,-9.2,""""
1888-12,-13.6,""""
1889-01,-11.9,""""
1889-02,-16.9,""""
1889-03,-14.7,""""
1889-04,-2.9,""""
1889-05,5.3,""""
1889-06,12.4,""""
1889-07,11.5,""""
1889-08,11.4,""""
1889-09,6.9,""""
1889-10,1.8,""""
1889-11,-4.4,""""
1889-12,-8.2,""""
1890-01,-12.7,""""
1890-02,-10.1,""""
1890-03,-6.8,""""
1890-04,-4.1,""""
1890-05,4.2,""""
1890-06,10.4,""""
1890-07,12.7,""""
1890-08,11.7,""""
1890-09,6.4,""""
1890-10,-3.3,""""
1890-11,-9.5,""""
1890-12,-7.6,""""
1891-01,-15.3,""""
1891-02,-6.4,""""
1891-03,-11.5,""""
1891-04,-3.0,""""
1891-05,1.7,""""
1891-06,6.2,""""
1891-07,12.5,""""
1891-08,8.6,""""
1891-09,4.3,""""
1891-10,-0.1,""""
1891-11,-9.1,""""
1891-12,-13.0,""""
1892-01,-22.1,""""
1892-02,-18.29,""""
1892-03,-6.5,""""
1892-04,-6.2,""""
1892-05,1.0,""""
1892-06,6.4,""""
1892-07,10.1,""""
1892-08,8.4,""""
1892-09,5.6,""""
1892-10,-6.1,""""
1892-11,-6.3,""""
1892-12,-20.7,""""
1893-01,-25.5,""""
1893-02,-24.4,""""
1893-03,-15.2,""""
1893-04,-4.5,""""
1893-05,2.8,""""
1893-06,8.5,""""
1893-07,10.8,""""
1893-08,9.7,""""
1893-09,1.4,""""
1893-10,0.4,""""
1893-11,-11.8,""""
1893-12,-8.89,""""
1894-01,-11.8,""""
1894-02,-10.0,""""
1894-03,-8.0,""""
1894-04,1.5,""""
1894-05,5.5,""""
1894-06,15.6,""""
1894-07,12.8,""""
1894-08,11.9,""""
1894-09,2.8,""""
1894-10,-4.8,""""
1894-11,-7.6,""""
1894-12,-12.1,""""
1895-01,-20.9,""""
1895-02,-14.2,""""
1895-03,-15.6,""""
1895-04,-2.9,""""
1895-05,5.1,""""
1895-06,11.4,""""
1895-07,11.4,""""
1895-08,9.4,""""
1895-09,4.8,""""
1895-10,-3.4,""""
1895-11,-7.9,""""
1895-12,-8.2,""""
1896-01,-15.7,""""
1896-02,-10.8,""""
1896-03,-9.6,""""
1896-04,-2.09,""""
1896-05,3.9,""""
1896-06,9.8,""""
1896-07,15.2,""""
1896-08,9.9,""""
1896-09,6.0,""""
1896-10,-4.3,""""
1896-11,-12.9,""""
1896-12,-13.2,""""
1897-01,-13.6,""""
1897-02,-18.9,""""
1897-03,-16.6,""""
1897-04,-0.5,""""
1897-05,8.9,""""
1897-06,8.4,""""
1897-07,12.0,""""
1897-08,10.3,""""
1897-09,6.4,""""
1897-10,1.9,""""
1897-11,-10.7,""""
1897-12,-13.8,""""
1898-01,-11.1,""""
1898-02,-16.79,""""
1898-03,-11.9,""""
1898-04,-4.1,""""
1898-05,4.9,""""
1898-06,9.9,""""
1898-07,13.4,""""
1898-08,11.2,""""
1898-09,6.7,""""
1898-10,-0.9,""""
1898-11,-9.89,""""
1898-12,-21.1,""""
1899-01,-21.5,""""
1899-02,-16.7,""""
1899-03,-18.29,""""
1899-04,-8.2,""""
1899-05,-0.6,""""
1899-06,9.2,""""
1899-07,13.9,""""
1899-08,7.7,""""
1899-09,6.5,""""
1899-10,-3.3,""""
1899-11,-8.1,""""
1899-12,-16.6,""""
1900-01,-15.5,""""
1900-02,-24.8,""""
1900-03,-10.1,""""
1900-04,-5.9,""""
1900-05,1.6,""""
1900-06,7.8,""""
1900-07,8.5,""""
1900-08,10.0,""""
1900-09,3.2,""""
1900-10,-1.2,""""
1900-11,-4.6,""""
1900-12,-19.6,""""
1901-01,-7.4,""""
1901-02,-19.0,""""
1901-03,-9.3,""""
1901-04,-2.6,""""
1901-05,3.2,""""
1901-06,12.3,""""
1901-07,15.3,""""
1901-08,10.7,""""
1901-09,7.9,""""
1901-10,3.6,""""
1901-11,-11.3,""""
1901-12,-21.5,""""
1902-01,-21.1,""""
1902-02,-17.29,""""
1902-03,-17.1,""""
1902-04,-5.0,""""
1902-05,1.3,""""
1902-06,5.3,""""
1902-07,9.2,""""
1902-08,10.0,""""
1902-09,3.9,""""
1902-10,-4.6,""""
1902-11,-7.9,""""
1902-12,-7.5,""""
1903-01,-12.8,""""
1903-02,-11.1,""""
1903-03,-5.6,""""
1903-04,-4.0,""""
1903-05,3.3,""""
1903-06,8.9,""""
1903-07,10.0,""""
1903-08,10.5,""""
1903-09,4.5,""""
1903-10,-8.5,""""
1903-11,-9.5,""""
1903-12,-10.2,""""
1904-01,-9.1,""""
1904-02,-21.1,""""
1904-03,-8.8,""""
1904-04,0.1,""""
1904-05,3.0,""""
1904-06,9.6,""""
1904-07,11.3,""""
1904-08,10.3,""""
1904-09,6.5,""""
1904-10,1.7,""""
1904-11,-16.79,""""
1904-12,-22.3,""""
1905-01,-15.4,""""
1905-02,-15.7,""""
1905-03,-8.0,""""
1905-04,-2.9,""""
1905-05,5.2,""""
1905-06,11.0,""""
1905-07,14.0,""""
1905-08,11.1,""""
1905-09,5.2,""""
1905-10,-5.0,""""
1905-11,-11.0,""""
1905-12,-10.9,""""
1906-01,-9.7,""""
1906-02,-12.0,""""
1906-03,-14.5,""""
1906-04,-1.4,""""
1906-05,3.2,""""
1906-06,9.6,""""
1906-07,13.5,""""
1906-08,7.9,""""
1906-09,5.6,""""
1906-10,-0.1,""""
1906-11,-11.3,""""
1906-12,-11.6,""""
1907-01,-16.7,""""
1907-02,-10.4,""""
1907-03,-4.8,""""
1907-04,-0.2,""""
1907-05,1.9,""""
1907-06,12.3,""""
1907-07,12.0,""""
1907-08,9.7,""""
1907-09,4.2,""""
1907-10,1.3,""""
1907-11,-2.2,""""
1907-12,-13.4,""""
1908-01,-14.3,""""
1908-02,-15.5,""""
1908-03,-8.7,""""
1908-04,-1.5,""""
1908-05,2.7,""""
1908-06,8.8,""""
1908-07,12.7,""""
1908-08,11.2,""""
1908-09,5.5,""""
1908-10,1.9,""""
1908-11,-15.2,""""
1908-12,-10.5,""""
1909-01,-10.0,""""
1909-02,-12.4,""""
1909-03,-14.2,""""
1909-04,-6.5,""""
1909-05,1.0,""""
1909-06,7.2,""""
1909-07,13.5,""""
1909-08,11.7,""""
1909-09,6.4,""""
1909-10,-0.4,""""
1909-11,-17.5,""""
1909-12,-11.8,""""
1910-01,-12.8,""""
1910-02,-6.0,""""
1910-03,-7.7,""""
1910-04,-2.09,""""
1910-05,4.5,""""
1910-06,8.8,""""
1910-07,11.1,""""
1910-08,8.9,""""
1910-09,5.1,""""
1910-10,-2.0,""""
1910-11,-8.7,""""
1910-12,-11.4,""""
1911-01,-12.9,""""
1911-02,-15.6,""""
1911-03,-6.2,""""
1911-04,-3.1,""""
1911-05,5.1,""""
1911-06,8.2,""""
1911-07,12.4,""""
1911-08,11.9,""""
1911-09,7.0,""""
1911-10,-4.8,""""
1911-11,-8.39,""""
1911-12,-6.5,""""
1912-01,-21.4,""""
1912-02,-23.0,""""
1912-03,-7.8,""""
1912-04,-5.9,""""
1912-05,2.0,""""
1912-06,9.7,""""
1912-07,11.8,""""
1912-08,10.4,""""
1912-09,4.4,""""
1912-10,-3.0,""""
1912-11,-8.7,""""
1912-12,-13.7,""""
1913-01,-17.7,""""
1913-02,-13.8,""""
1913-03,-12.3,""""
1913-04,-2.09,""""
1913-05,3.5,""""
1913-06,8.1,""""
1913-07,15.6,""""
1913-08,10.6,""""
1913-09,5.6,""""
1913-10,-5.4,""""
1913-11,-6.2,""""
1913-12,-15.9,""""
1914-01,-17.2,""""
1914-02,-12.7,""""
1914-03,-9.1,""""
1914-04,-2.2,""""
1914-05,3.2,""""
1914-06,9.9,""""
1914-07,13.5,""""
1914-08,10.5,""""
1914-09,5.2,""""
1914-10,-0.4,""""
1914-11,-7.5,""""
1914-12,-13.2,""""
1915-01,-15.8,""""
1915-02,-17.2,""""
1915-03,-13.4,""""
1915-04,-3.0,""""
1915-05,0.8,""""
1915-06,6.9,""""
1915-07,16.4,""""
1915-08,10.7,""""
1915-09,4.3,""""
1915-10,-0.9,""""
1915-11,-13.2,""""
1915-12,-23.9,""""
1916-01,-15.5,""""
1916-02,-11.6,""""
1916-03,-12.5,""""
1916-04,-5.4,""""
1916-05,0.3,""""
1916-06,9.8,""""
1916-07,16.0,""""
1916-08,9.0,""""
1916-09,4.0,""""
1916-10,-4.6,""""
1916-11,-4.8,""""
1916-12,-13.8,""""
1917-01,-17.0,""""
1917-02,-20.6,""""
1917-03,-17.79,""""
1917-04,-6.3,""""
1917-05,-0.6,""""
1917-06,10.6,""""
1917-07,10.7,""""
1917-08,12.3,""""
1917-09,4.8,""""
1917-10,-0.8,""""
1917-11,-10.8,""""
1917-12,-16.29,""""
1918-01,-24.6,""""
1918-02,-11.8,""""
1918-03,-5.2,""""
1918-04,-1.6,""""
1918-05,2.5,""""
1918-06,10.0,""""
1918-07,13.9,""""
1918-08,8.2,""""
1918-09,5.6,""""
1918-10,0.2,""""
1918-11,-2.2,""""
1918-12,-11.1,""""
1919-01,-12.3,""""
1919-02,-18.29,""""
1919-03,-10.7,""""
1919-04,-6.0,""""
1919-05,5.5,""""
1919-06,13.3,""""
1919-07,13.9,""""
1919-08,10.2,""""
1919-09,5.6,""""
1919-10,-4.4,""""
1919-11,-13.0,""""
1919-12,-16.0,""""
1920-01,-15.3,""""
1920-02,-9.6,""""
1920-03,-3.2,""""
1920-04,-0.5,""""
1920-05,6.4,""""
1920-06,11.2,""""
1920-07,14.3,""""
1920-08,11.3,""""
1920-09,7.9,""""
1920-10,-1.4,""""
1920-11,-7.1,""""
1920-12,-12.6,""""
1921-01,-19.1,""""
1921-02,-13.8,""""
1921-03,-8.1,""""
1921-04,0.8,""""
1921-05,6.3,""""
1921-06,11.1,""""
1921-07,11.3,""""
1921-08,11.6,""""
1921-09,5.5,""""
1921-10,-5.1,""""
1921-11,-10.5,""""
1921-12,-9.8,""""
1922-01,-14.4,""""
1922-02,-14.9,""""
1922-03,-12.7,""""
1922-04,-3.3,""""
1922-05,5.7,""""
1922-06,13.2,""""
1922-07,14.6,""""
1922-08,11.3,""""
1922-09,7.9,""""
1922-10,-1.3,""""
1922-11,-9.7,""""
1922-12,-16.29,""""
1923-01,-8.7,""""
1923-02,-15.9,""""
1923-03,-7.0,""""
1923-04,-4.1,""""
1923-05,2.2,""""
1923-06,7.1,""""
1923-07,13.9,""""
1923-08,9.0,""""
1923-09,5.3,""""
1923-10,-0.1,""""
1923-11,-9.39,""""
1923-12,-12.9,""""
1924-01,-13.9,""""
1924-02,-17.0,""""
1924-03,-12.8,""""
1924-04,-4.6,""""
1924-05,3.3,""""
1924-06,7.5,""""
1924-07,15.7,""""
1924-08,12.8,""""
1924-09,7.3,""""
1924-10,1.8,""""
1924-11,-9.2,""""
1924-12,-7.8,""""
1925-01,-6.3,""""
1925-02,-14.9,""""
1925-03,-15.3,""""
1925-04,-1.5,""""
1925-05,3.6,""""
1925-06,9.3,""""
1925-07,16.5,""""
1925-08,10.8,""""
1925-09,6.2,""""
