Date [YYYY-MM],Temperature [°C],QCFLAG
1943-01,-12.86,k
1943-02,-2.6,k
1943-03,1.59,k
1943-04,5.24,k
1943-05,9.32,k
1943-06,13.72,k
1943-07,15.67,k
1943-08,11.8,k
1943-09,8.65,k
1943-10,4.86,k
1943-11,-2.98,k
1943-12,-10.37,k
1944-01,-7.62,k
1944-02,-6.23,k
1944-03,-2.93,k
1944-04,2.05,k
1944-05,7.5,k
1944-06,11.82,k
1944-07,16.27,k
1944-08,14.94,k
1944-09,8.7,k
1944-10,4.43,k
1944-11,-4.41,k
1944-12,-4.15,k
1945-01,-11.29,k
1945-02,-6.53,k
1945-03,2.0,k
1945-04,5.39,k
1945-05,8.33,k
1945-06,13.33,k
1945-07,17.06,k
1945-08,16.82,k
1945-09,9.06,k
1945-10,4.77,k
1945-11,-6.06,k
1945-12,-6.34,k
1946-01,, 
1946-02,, 
1946-03,-3.09,k
1946-04,6.79,k
1946-05,10.26,k
1946-06,13.29,k
1946-07,16.85,k
1946-08,13.34,k
1946-09,9.59,k
1946-10,0.82,k
1946-11,-1.93,k
1946-12,-4.98,k
1947-01,-10.33,k
1947-02,-20.7,k
1947-03,-8.07,k
1947-04,3.4,k
1947-05,11.51,k
1947-06,15.62,k
1947-07,16.83,k
1947-08,18.68,k
1947-09,11.21,k
1947-10,3.01,k
1947-11,-8.2,k
1947-12,-11.01,k
1948-01,-15.47,k
1948-02,-11.81,k
1948-03,-0.12,k
1948-04,5.22,k
1948-05,9.62,k
1948-06,13.43,k
1948-07,16.45,k
1948-08,13.52,k
1948-09,9.44,k
1948-10,1.23,k
1948-11,-3.57,k
1948-12,-3.82,k
1949-01,-5.13,k
1949-02,-2.7,k
1949-03,-2.55,k
1949-04,5.11,k
1949-05,9.82,k
1949-06,14.11,k
1949-07,17.31,k
1949-08,13.15,k
1949-09,12.03,k
1949-10,4.19,k
1949-11,-0.98,k
1949-12,-10.51,k
1950-01,-9.85,k
1950-02,-7.73,k
1950-03,-0.17,k
1950-04,4.1,k
1950-05,9.98,k
1950-06,13.43,k
1950-07,14.45,k
1950-08,14.19,k
1950-09,8.56,k
1950-10,3.84,k
1950-11,-6.31,k
1950-12,-12.93,k
1951-01,-12.08,k
1951-02,-7.09,k
1951-03,-7.26,k
1951-04,1.42,k
1951-05,8.61,k
1951-06,13.04,k
1951-07,13.66,k
1951-08,13.64,k
1951-09,9.91,k
1951-10,4.01,k
1951-11,-0.27,k
1951-12,-2.16,k
1952-01,-11.21,k
1952-02,-7.81,k
1952-03,-4.42,k
1952-04,5.18,k
1952-05,9.8,k
1952-06,11.78,k
1952-07,15.13,k
1952-08,12.81,k
1952-09,6.27,k
1952-10,1.81,k
1952-11,-6.33,k
1952-12,-9.87,k
1953-01,-10.65,k
1953-02,-9.31,k
1953-03,2.25,k
1953-04,3.7,k
1953-05,9.6,k
1953-06,16.67,k
1953-07,14.89,k
1953-08,12.97,k
1953-09,8.61,k
1953-10,6.22,k
1953-11,1.1,k
1953-12,-3.95,k
1954-01,-12.41,k
1954-02,-12.04,k
1954-03,-2.55,k
1954-04,3.13,k
1954-05,10.33,k
1954-06,13.36,k
1954-07,14.45,k
1954-08,13.39,k
1954-09,7.72,k
1954-10,1.86,k
1954-11,, 
1954-12,, 
1969-01,-7.41,k
1969-02,-12.93,k
1969-03,-6.41,k
1969-04,3.51,k
1969-05,8.96,k
1969-06,15.35,k
1969-07,15.69,k
1969-08,16.5,k
1969-09,10.47,k
1969-10,5.24,k
1969-11,-9.04,k
1969-12,-12.44,k
1975-01,-3.19,k
1975-02,-8.05,k
1975-03,-2.18,k
1975-04,2.18,k
1975-05,9.55,k
1975-06,13.58,k
1975-07,17.95,k
1975-08,17.42,k
1975-09,10.31,k
1975-10,4.19,k
1975-11,-2.19,k
1975-12,-1.6,k
1977-01,-11.08,k
1977-02,-11.5,k
1977-03,-0.03,k
1977-04,1.73,k
1977-05,9.34,k
1977-06,14.27,k
1977-07,16.33,k
1977-08,14.91,k
1977-09,8.72,k
1977-10,5.24,k
1977-11,-1.83,k
1977-12,-6.61,k
1982-01,-12.52,k
1982-02,-7.26,k
1982-03,1.29,k
1982-04,4.99,k
1982-05,9.4,k
1982-06,13.91,k
1982-07,17.3,k
1982-08,15.33,k
