Date [YYYY-MM],Temperature [°C],QCFLAG
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,11.64,S
2009-08,10.95,S
2009-09,7.48,S
2009-10,3.7,S
2009-11,2.33,S
2009-12,-3.19,S
2010-01,-8.54,|
2010-02,-8.9,|
2010-03,-6.45,|
2010-04,2.9,|
2010-05,7.4,|
2010-06,8.6,|
2010-07,13.1,|
2010-08,11.9,|
2010-09,9.5,|
2010-10,1.3,|
2010-11,-7.25,|
2010-12,-7.6,|
2011-01,-7.9,|
2011-02,-7.1,|
2011-03,-3.25,|
2011-04,5.2,|
2011-05,8.5,|
2011-06,12.8,|
2011-07,13.2,|
2011-08,13.0,|
2011-09,7.9,|
2011-10,3.6,|
2011-11,2.65,|
2011-12,-3.35,|
2012-01,-5.45,|
2012-02,-4.6,|
2012-03,-0.65,|
2012-04,1.6,|
2012-05,5.9,|
2012-06,10.2,|
2012-07,11.8,|
2012-08,11.6,|
2012-09,8.2,|
2012-10,2.9,|
2012-11,2.0,|
2012-12,-5.54,|
2013-01,-1.75,|
2013-02,-3.05,|
2013-03,-3.55,|
2013-04,2.1,|
2013-05,10.6,|
2013-06,12.4,|
2013-07,13.15,|
2013-08,13.1,|
2013-09,11.0,|
2013-10,5.3,|
2013-11,2.45,|
2013-12,1.0,|
2014-01,-4.85,|
2014-02,0.9,|
2014-03,1.5,|
2014-04,3.9,|
2014-05,7.2,|
2014-06,10.5,|
2014-07,17.0,|
2014-08,14.0,|
2014-09,9.7,|
2014-10,6.3,|
2014-11,1.4,|
2014-12,-0.69,|
2015-01,-0.45,|
2015-02,0.45,|
2015-03,2.5,|
2015-04,4.0,|
2015-05,7.35,S
2015-06,8.4,|
2015-07,12.1,|
2015-08,14.65,|
2015-09,11.0,|
2015-10,6.45,|
2015-11,3.45,|
2015-12,2.9,|
2016-01,-3.9,|
2016-02,-1.1,|
2016-03,2.0,|
2016-04,3.65,|
2016-05,8.0,|
2016-06,9.95,|
2016-07,14.15,|
2016-08,11.9,|
2016-09,11.4,|
2016-10,4.6,|
2016-11,1.25,|
2016-12,2.95,|
2017-01,1.7,|
2017-02,-1.25,|
2017-03,0.2,|
2017-04,1.45,|
2017-05,5.4,|
2017-06,11.85,|
2017-07,13.1,|
2017-08,12.7,|
2017-09,11.5,|
2017-10,5.8,|
2017-11,1.6,","
2017-12,-0.6,|
2018-01,-2.9,|
2018-02,-3.85,","
2018-03,-4.0,","
2018-04,2.6,|
2018-05,9.9,|
2018-06,9.3,|
2018-07,15.65,|
2018-08,13.3,|
2018-09,10.3,|
2018-10,5.1,|
2018-11,4.7,|
2018-12,0.05,|
2019-01,-3.2,|
2019-02,-0.15,|
2019-03,-1.35,|
2019-04,5.05,|
2019-05,7.2,|
2019-06,11.15,|
2019-07,14.2,|
2019-08,14.45,|
2019-09,8.85,|
2019-10,3.55,|
2019-11,-1.35,|
2019-12,1.1,P
2020-01,2.35,|
2020-02,0.35,|
2020-03,0.8,|
2020-04,2.8,|
2020-05,5.05,|
2020-06,13.55,|
2020-07,12.95,|
2020-08,13.05,|
2020-09,9.95,|
2020-10,6.05,|
2020-11,5.05,|
2020-12,1.25,P
2021-01,-3.7,|
2021-02,-2.6,|
2021-03,1.35,|
2021-04,2.65,|
2021-05,6.55,|
2021-06,12.2,|
2021-07,14.7,","
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
