Date [YYYY-MM],Temperature [°C],QCFLAG
1925-01,3.8,=
1925-02,0.0,=
1925-03,-2.3,=
1925-04,4.4,=
1925-05,7.6,=
1925-06,9.9,=
1925-07,16.5,=
1925-08,14.9,=
1925-09,10.9,=
1925-10,3.3,=
1925-11,-0.3,=
1925-12,-2.09,=
1926-01,0.1,=
1926-02,-0.2,=
1926-03,0.6,=
1926-04,4.1,=
1926-05,6.8,=
1926-06,11.7,=
1926-07,12.5,=
1926-08,13.9,=
1926-09,9.5,=
1926-10,2.1,=
1926-11,3.3,=
1926-12,-0.6,=
1927-01,-0.8,=
1927-02,0.6,=
1927-03,2.0,=
1927-04,2.2,=
1927-05,6.0,=
1927-06,10.4,=
1927-07,17.6,=
1927-08,15.3,=
1927-09,9.8,=
1927-10,3.7,=
1927-11,0.6,=
1927-12,-0.2,=
1928-01,0.6,=
1928-02,0.7,=
1928-03,2.5,=
1928-04,4.1,=
1928-05,6.2,=
1928-06,9.8,=
1928-07,10.6,=
1928-08,12.7,=
1928-09,9.0,=
1928-10,5.4,=
1928-11,2.9,=
1928-12,1.3,=
1929-01,-0.5,=
1929-02,-0.1,=
1929-03,2.2,=
1929-04,0.5,=
1929-05,8.0,=
1929-06,10.4,=
1929-07,10.6,=
1929-08,11.8,=
1929-09,9.9,=
1929-10,5.4,=
1929-11,4.6,=
1929-12,4.6,=
1930-01,2.6,=
1930-02,1.3,=
1930-03,0.7,=
1930-04,6.6,=
1930-05,9.0,=
1930-06,12.6,=
1930-07,16.4,=
1930-08,16.5,=
1930-09,9.3,=
1930-10,6.8,=
1930-11,2.1,=
1930-12,2.7,=
1931-01,-0.7,=
1931-02,-0.3,=
1931-03,-1.3,=
1931-04,4.6,=
1931-05,8.1,=
1931-06,7.7,=
1931-07,15.4,=
1931-08,11.0,=
1931-09,7.1,=
1931-10,4.5,=
1931-11,6.0,=
1931-12,1.3,=
1932-01,2.4,=
1932-02,1.4,=
1932-03,0.6,=
1932-04,3.4,=
1932-05,6.6,=
1932-06,9.2,=
1932-07,14.5,=
1932-08,12.2,=
1932-09,8.3,=
1932-10,4.5,=
1932-11,3.6,=
1932-12,4.6,=
1933-01,1.9,=
1933-02,-2.7,=
1933-03,0.4,=
1933-04,1.8,=
1933-05,7.2,=
1933-06,14.1,=
1933-07,14.1,=
1933-08,13.5,=
1933-09,11.9,=
1933-10,6.4,=
1933-11,2.6,=
1933-12,1.5,=
1934-01,3.3,=
1934-02,0.8,=
1934-03,2.1,=
1934-04,3.1,=
1934-05,8.1,=
1934-06,9.4,=
1934-07,16.6,=
1934-08,17.3,=
1934-09,13.9,=
1934-10,6.9,=
1934-11,3.3,=
1934-12,2.8,=
1935-01,0.1,=
1935-02,0.1,=
1935-03,0.4,=
1935-04,3.5,=
1935-05,4.4,=
1935-06,9.8,=
1935-07,12.3,=
1935-08,13.1,=
1935-09,9.0,=
1935-10,6.1,=
1935-11,5.1,=
1935-12,2.4,=
1936-01,-1.8,=
1936-02,-2.7,=
1936-03,0.7,=
1936-04,3.0,=
1936-05,9.5,=
1936-06,11.9,=
1936-07,15.5,=
1936-08,13.2,=
1936-09,10.2,=
1936-10,4.8,=
1936-11,4.2,=
1936-12,3.0,=
1937-01,1.3,=
1937-02,-2.9,=
1937-03,-0.9,=
1937-04,7.9,=
1937-05,9.1,=
1937-06,11.4,=
1937-07,17.1,=
1937-08,15.4,=
1937-09,10.3,=
1937-10,8.3,=
1937-11,3.2,=
1937-12,-1.1,=
1938-01,1.1,=
1938-02,2.5,=
1938-03,2.0,=
1938-04,2.6,=
1938-05,6.8,=
1938-06,10.9,=
1938-07,15.9,=
1938-08,14.1,=
1938-09,11.3,=
1938-10,9.3,=
1938-11,5.3,=
1938-12,2.2,=
1939-01,-0.5,=
1939-02,2.3,=
1939-03,1.4,=
1939-04,2.8,=
1939-05,6.6,=
1939-06,11.0,=
1939-07,15.3,=
1939-08,14.8,=
1939-09,9.7,=
1939-10,5.6,=
1939-11,3.9,=
1939-12,-0.4,=
1940-01,-1.2,=
1940-02,-3.8,=
1940-03,-2.8,=
1940-04,2.0,=
1940-05,10.7,=
1940-06,12.1,=
1940-07,11.7,=
1940-08,11.3,=
1940-09,9.7,=
1940-10,7.2,=
1940-11,2.0,=
1940-12,0.6,=
1941-01,-3.0,=
1941-02,-2.9,=
1941-03,-1.2,=
1941-04,1.9,=
1941-05,5.9,=
1941-06,9.0,=
1941-07,17.2,=
1941-08,13.5,=
1941-09,9.5,=
1941-10,4.6,=
1941-11,3.0,=
1941-12,-1.2,=
1942-01,-4.5,=
1942-02,-2.09,=
1942-03,-2.8,=
1942-04,3.1,=
1942-05,6.0,=
1942-06,10.0,=
1942-07,12.4,=
1942-08,13.0,=
1942-09,10.1,=
1942-10,5.5,=
1942-11,2.8,=
1942-12,1.2,=
1943-01,-2.0,=
1943-02,1.0,=
1943-03,3.2,=
1943-04,3.2,=
1943-05,6.9,=
1943-06,11.8,=
1943-07,13.6,=
1943-08,11.4,=
1943-09,10.2,=
1943-10,8.0,=
1943-11,3.0,=
1943-12,3.0,=
1944-01,0.8,=
1944-02,1.6,=
1944-03,0.0,=
1944-04,1.8,=
1944-05,5.7,=
1944-06,10.6,=
1944-07,13.4,=
1944-08,11.9,=
1944-09,10.0,=
1944-10,7.9,=
1944-11,2.7,=
1944-12,2.9,=
1945-01,-2.2,=
1945-02,1.2,=
1945-03,2.0,=
1945-04,4.6,=
1945-05,7.4,=
1945-06,10.4,=
1945-07,14.7,=
1945-08,13.9,=
1945-09,9.5,=
1945-10,4.3,=
1945-11,4.0,=
1945-12,0.2,=
1946-01,2.2,=
1946-02,-3.5,=
1946-03,0.0,=
1946-04,3.9,=
1946-05,7.0,=
1946-06,11.4,=
1946-07,14.6,=
1946-08,14.8,=
1946-09,12.4,=
1946-10,7.5,=
1946-11,2.9,=
1946-12,3.7,=
1947-01,0.4,=
1947-02,-4.6,=
1947-03,-2.4,=
1947-04,2.8,=
1947-05,7.1,=
1947-06,11.7,=
1947-07,15.1,=
1947-08,13.0,=
1947-09,10.9,=
1947-10,5.1,=
1947-11,1.6,=
1947-12,0.4,=
1948-01,-2.7,=
1948-02,1.6,=
