Date [YYYY-MM],Temperature [°C],QCFLAG
1941-01,-4.4,""""
1941-02,-4.6,""""
1941-03,-3.2,""""
1941-04,-1.5,""""
1941-05,1.2,""""
1941-06,5.3,""""
1941-07,10.3,""""
1941-08,9.9,""""
1941-09,6.3,""""
1941-10,1.5,""""
1941-11,1.3,""""
1941-12,-3.9,""""
1942-01,-2.7,""""
1942-02,-3.2,""""
1942-03,-5.1,""""
1942-04,-0.8,""""
1942-05,1.3,""""
1942-06,6.7,""""
1942-07,9.2,""""
1942-08,9.2,""""
1942-09,6.4,""""
1942-10,2.8,""""
1942-11,0.2,""""
1942-12,-0.9,""""
1943-01,-3.3,""""
1943-02,-2.09,""""
1943-03,-1.9,""""
1943-04,0.0,""""
1943-05,3.4,""""
1943-06,7.3,""""
1943-07,10.2,""""
1943-08,9.4,""""
1943-09,7.4,""""
1943-10,3.9,""""
1943-11,1.8,""""
1943-12,1.4,""""
1944-01,-0.4,""""
1944-02,-0.8,""""
1944-03,-1.2,""""
1944-04,-1.3,""""
1944-05,3.0,""""
1944-06,6.8,""""
1944-07,8.1,""""
1944-08,8.6,""""
1944-09,7.9,""""
1944-10,6.0,""""
1944-11,1.8,""""
1944-12,1.8,""""
1945-01,-2.3,""""
1945-02,-1.6,""""
1945-03,-1.4,""""
1945-04,1.2,""""
1945-05,3.0,""""
1945-06,5.4,""""
1945-07,10.9,""""
1945-08,9.7,""""
1945-09,7.1,""""
1945-10,1.4,""""
1945-11,0.0,""""
1945-12,-2.5,""""
1946-01,0.6,""""
1946-02,-5.0,""""
1946-03,-1.6,""""
1946-04,0.8,""""
1946-05,3.1,""""
1946-06,7.8,""""
1946-07,11.0,""""
1946-08,10.7,""""
1946-09,9.3,""""
1946-10,3.7,""""
1946-11,0.2,""""
1946-12,1.9,""""
1947-01,0.9,""""
1947-02,-4.1,""""
1947-03,-4.8,""""
1947-04,0.3,""""
1947-05,2.1,""""
1947-06,7.3,""""
1947-07,9.7,""""
1947-08,9.4,""""
1947-09,7.6,""""
1947-10,3.3,""""
1947-11,-0.4,""""
1947-12,-1.8,""""
1948-01,-3.7,""""
1948-02,-1.7,""""
1948-03,-2.2,""""
1948-04,1.1,""""
1948-05,4.1,""""
1948-06,5.7,""""
1948-07,9.7,""""
1948-08,8.3,""""
1948-09,7.3,""""
1948-10,3.8,""""
1948-11,1.2,""""
1948-12,-0.3,""""
1949-01,-2.3,""""
1949-02,0.1,""""
1949-03,-1.2,""""
1949-04,0.0,""""
1949-05,2.7,""""
1949-06,5.7,""""
1949-07,7.5,""""
1949-08,8.3,""""
1949-09,7.0,""""
1949-10,2.5,""""
1949-11,2.3,""""
1949-12,-0.9,""""
1950-01,-1.8,""""
1950-02,-1.8,""""
1950-03,-0.2,""""
1950-04,2.5,""""
1950-05,2.4,""""
1950-06,7.0,""""
1950-07,8.6,""""
1950-08,11.3,""""
1950-09,8.5,""""
1950-10,6.1,""""
1950-11,1.9,""""
1950-12,-0.4,""""
