Date [YYYY-MM],Temperature [°C],QCFLAG
1952-01,-26.6,[
1952-02,-25.0,[
1952-03,-28.8,[
1952-04,-21.0,[
1952-05,-9.6,[
1952-06,-1.5,[
1952-07,1.0,[
1952-08,0.6,[
1952-09,-0.1,[
1952-10,-10.0,[
1952-11,-18.1,[
1952-12,-26.2,[
1953-01,-29.8,[
1953-02,-25.1,[
1953-03,-25.8,[
1953-04,-17.9,[
1953-05,-7.7,[
1953-06,0.2,[
1953-07,2.4,[
1953-08,0.1,[
1953-09,-2.6,[
1953-10,-8.39,[
1953-11,-14.9,[
1953-12,-21.0,[
1954-01,-25.3,[
1954-02,-28.7,[
1954-03,-31.1,[
1954-04,-19.0,[
1954-05,-8.0,[
1954-06,-0.1,[
1954-07,1.6,[
1954-08,1.6,[
1954-09,-1.8,[
1954-10,-6.6,[
1954-11,-16.7,[
1954-12,-16.79,[
1955-01,-19.0,[
1955-02,-30.4,[
1955-03,-29.8,[
1955-04,-21.2,[
1955-05,-12.2,[
1955-06,-1.0,[
1955-07,2.3,[
1955-08,0.8,[
1955-09,-2.2,[
1955-10,-10.1,[
1955-11,-24.5,[
1955-12,-28.3,[
1956-01,-28.2,[
1956-02,-21.4,[
1956-03,-23.9,[
1956-04,-22.5,[
1956-05,-12.7,[
1956-06,-1.3,[
1956-07,0.6,[
1956-08,-0.1,[
1956-09,-2.7,[
1956-10,-15.6,[
1956-11,-14.5,[
1956-12,-20.2,[
1957-01,-29.2,[
1957-02,-29.2,[
1957-03,-28.8,[
1957-04,-22.0,[
1957-05,-10.0,[
1957-06,-0.6,[
1957-07,, 
1957-08,, 
1957-09,, 
1957-10,, 
1957-11,, 
1957-12,, 
1958-01,, 
1958-02,, 
1958-03,, 
1958-04,, 
1958-05,, 
1958-06,, 
1958-07,, 
1958-08,, 
1958-09,, 
1958-10,-14.0,[
1958-11,-28.7,[
1958-12,-31.4,[
1959-01,-34.4,[
1959-02,-30.2,[
1959-03,-26.2,[
1959-04,-19.4,[
1959-05,-10.3,[
1959-06,0.0,[
1959-07,2.6,[
1959-08,1.9,[
1959-09,-0.8,[
1959-10,-9.0,[
1959-11,-16.79,[
1959-12,-24.4,[
1960-01,-27.2,[
1960-02,-31.6,[
1960-03,-31.4,[
1960-04,-22.6,[
1960-05,-8.8,[
1960-06,0.3,[
1960-07,1.4,[
1960-08,0.0,[
1960-09,-3.4,[
1960-10,-12.8,[
1960-11,-21.1,[
1960-12,-21.2,[
1961-01,-31.3,[
1961-02,-29.6,[
1961-03,-26.4,[
1961-04,-19.9,[
1961-05,-12.5,[
1961-06,-1.2,[
1961-07,1.8,[
1961-08,0.7,[
1961-09,-1.5,[
1961-10,-10.0,[
1961-11,-19.79,[
1961-12,-27.2,[
1962-01,-33.0,[
1962-02,-29.9,[
1962-03,-25.3,[
1962-04,-19.7,[
1962-05,-12.7,[
1962-06,-2.9,[
1962-07,1.0,[
1962-08,0.4,[
1962-09,-2.9,[
1962-10,-12.9,[
1962-11,-21.6,[
1962-12,-27.5,[
1963-01,-30.8,[
1963-02,-33.3,[
1963-03,-33.2,[
1963-04,-24.5,[
1963-05,-13.4,[
1963-06,-2.7,[
1963-07,0.8,[
1963-08,0.4,[
1963-09,-5.6,[
1963-10,-14.8,[
1963-11,-22.8,[
1963-12,-27.0,[
1964-01,-33.9,[
1964-02,-21.6,[
1964-03,-33.3,[
1964-04,-23.1,[
1964-05,-15.4,[
1964-06,-2.8,[
1964-07,1.0,[
1964-08,0.8,[
1964-09,-1.7,[
1964-10,-10.3,[
1964-11,-22.5,[
1964-12,-22.1,[
1965-01,-30.1,[
1965-02,-32.2,[
1965-03,-28.6,[
1965-04,-20.29,[
1965-05,-14.0,[
1965-06,-0.8,[
1965-07,3.8,[
1965-08,1.1,[
1965-09,-0.8,[
1965-10,-10.9,[
1965-11,-20.0,[
1965-12,-28.7,[
1966-01,-33.8,[
1966-02,-30.5,[
1966-03,-32.0,[
1966-04,-22.7,[
1966-05,-13.5,[
1966-06,-2.7,[
1966-07,1.4,[
1966-08,1.0,[
1966-09,-2.6,[
1966-10,-17.0,[
1966-11,-22.5,[
1966-12,-16.5,[
1967-01,-32.0,[
1967-02,-33.4,[
1967-03,-25.6,[
1967-04,-21.0,[
1967-05,-11.0,[
1967-06,-1.6,[
1967-07,1.3,[
1967-08,0.2,[
1967-09,-2.4,[
1967-10,-7.9,[
1967-11,-15.5,[
1967-12,-19.79,[
1968-01,-22.8,[
1968-02,-25.9,[
1968-03,-27.3,[
1968-04,-19.1,[
1968-05,-10.8,[
1968-06,-2.0,[
1968-07,1.1,[
1968-08,0.6,[
1968-09,-2.7,[
1968-10,-14.4,[
1968-11,-27.6,[
1968-12,-31.1,[
1969-01,-27.6,[
1969-02,-33.2,[
1969-03,-32.09,[
1969-04,-24.7,[
1969-05,-10.4,[
1969-06,-1.2,[
1969-07,2.6,[
1969-08,0.6,[
1969-09,-3.1,[
1969-10,-12.2,[
1969-11,-18.7,[
1969-12,-22.2,[
1970-01,-29.0,[
1970-02,-30.0,[
1970-03,-27.4,[
1970-04,-24.0,[
1970-05,-13.4,[
1970-06,-1.8,[
1970-07,1.8,[
1970-08,0.1,[
1970-09,-4.19,[
1970-10,-12.4,[
1970-11,-18.9,[
1970-12,-25.6,[
1971-01,-29.9,[
1971-02,-27.5,[
1971-03,-27.1,[
1971-04,-21.5,[
1971-05,-9.2,[
1971-06,-1.6,[
1971-07,1.6,[
1971-08,2.1,[
1971-09,-0.4,[
1971-10,-12.7,[
1971-11,-20.29,[
1971-12,-22.0,[
1972-01,-25.6,[
1972-02,-27.5,[
1972-03,-26.0,[
1972-04,-20.1,[
1972-05,-11.8,[
1972-06,-1.8,[
1972-07,0.9,[
1972-08,-0.8,[
1972-09,-3.2,[
1972-10,-12.7,[
1972-11,-23.9,[
1972-12,-26.1,[
1973-01,-26.7,[
1973-02,-27.6,[
1973-03,-23.5,[
1973-04,-19.29,[
1973-05,-11.0,[
1973-06,-1.3,[
1973-07,0.9,[
1973-08,0.9,[
1973-09,-3.2,[
1973-10,-14.6,[
1973-11,-25.1,[
1973-12,-29.5,[
1974-01,-30.6,[
1974-02,-29.5,[
1974-03,-24.6,[
1974-04,-17.2,[
1974-05,-9.3,[
1974-06,-1.7,[
1974-07,0.8,[
1974-08,-0.2,[
1974-09,-2.9,[
1974-10,-14.9,[
1974-11,-24.7,[
1974-12,-26.9,[
1975-01,-28.8,[
1975-02,-30.6,[
1975-03,-29.6,[
1975-04,-19.6,[
1975-05,-10.5,[
1975-06,-1.7,[
1975-07,1.8,[
1975-08,0.6,[
1975-09,-0.4,[
1975-10,-11.5,[
1975-11,-19.6,[
1975-12,-17.6,[
1976-01,-25.2,[
1976-02,-28.04,]
1976-03,-24.9,[
1976-04,-16.0,[
1976-05,-10.9,[
1976-06,-1.2,[
1976-07,0.3,[
1976-08,-0.6,[
1976-09,-2.09,[
1976-10,-12.4,[
1976-11,-21.4,[
1976-12,-29.8,[
1977-01,-26.4,[
1977-02,-32.4,[
1977-03,-32.4,[
1977-04,-23.8,[
1977-05,-8.1,[
1977-06,-0.6,[
1977-07,1.0,[
1977-08,-0.5,[
1977-09,-3.1,[
1977-10,-15.0,[
1977-11,-23.6,[
1977-12,-23.7,[
1978-01,-31.4,[
1978-02,-32.8,[
1978-03,-32.2,[
1978-04,-20.5,[
1978-05,-12.1,[
1978-06,-0.5,[
1978-07,1.5,[
1978-08,-0.4,[
1978-09,-1.2,[
1978-10,-8.5,[
1978-11,-18.2,[
1978-12,-29.5,[
1979-01,-34.2,[
1979-02,-38.2,[
1979-03,-30.0,[
1979-04,-25.4,[
1979-05,-13.7,[
1979-06,-1.3,[
1979-07,2.6,[
1979-08,0.3,[
1979-09,-3.5,[
1979-10,-12.6,[
1979-11,-23.4,[
1979-12,-24.8,[
1980-01,-28.6,[
1980-02,-27.8,[
1980-03,-26.9,[
1980-04,-20.2,[
1980-05,-8.8,[
1980-06,-1.9,[
1980-07,1.2,[
1980-08,-0.4,[
1980-09,-3.1,[
1980-10,-11.2,[
1980-11,-25.4,[
1980-12,-26.8,[
1981-01,-22.1,""""
1981-02,-29.8,""""
1981-03,-28.6,""""
1981-04,-20.1,""""
1981-05,-11.5,""""
1981-06,-0.6,""""
1981-07,1.3,""""
1981-08,0.5,""""
1981-09,-4.5,""""
1981-10,-12.1,""""
1981-11,-17.1,""""
1981-12,-28.6,""""
1982-01,-31.8,[
1982-02,-29.9,[
1982-03,-29.8,[
1982-04,-20.9,[
1982-05,-11.5,[
1982-06,-2.0,[
1982-07,1.5,[
1982-08,1.1,[
1982-09,-1.4,[
1982-10,-10.9,[
1982-11,-23.6,[
