Date [YYYY-MM],Temperature [°C],QCFLAG
1934-01,, 
1934-02,, 
1934-03,, 
1934-04,, 
1934-05,, 
1934-06,, 
1934-07,16.3,[
1934-08,8.8,[
1934-09,2.2,[
1934-10,-11.1,[
1934-11,-27.1,[
1934-12,-36.9,[
1935-01,-40.2,[
1935-02,-33.0,[
1935-03,-30.1,[
1935-04,-17.1,[
1935-05,-1.4,[
1935-06,7.0,[
1935-07,14.9,[
1935-08,10.2,[
1935-09,3.2,[
1935-10,-14.1,[
1935-11,, 
1935-12,-27.6,[
1936-01,-40.8,[
1936-02,-36.44,r
1936-03,-27.78,r
1936-04,-16.11,r
1936-05,-3.98,r
1936-06,6.5,r
1936-07,14.85,r
1936-08,7.77,r
1936-09,4.57,r
1936-10,-12.33,r
1936-11,-23.94,r
1936-12,-32.47,r
1937-01,-33.79,r
1937-02,-28.16,r
1937-03,-31.5,r
1937-04,-19.14,r
1937-05,-0.71,r
1937-06,7.84,r
1937-07,12.29,r
1937-08,12.09,r
1937-09,3.54,r
1937-10,-9.76,r
1937-11,-24.52,r
1937-12,-26.96,r
1938-01,-30.88,r
1938-02,-35.03,r
1938-03,-25.56,r
1938-04,-16.89,r
1938-05,-7.18,r
1938-06,8.29,r
1938-07,12.85,r
1938-08,10.39,r
1938-09,3.55,r
1938-10,-15.11,r
1938-11,-19.31,r
1938-12,-28.49,r
1939-01,-38.89,r
1939-02,-33.49,r
1939-03,-25.62,r
1939-04,-19.87,r
1939-05,-7.2,r
1939-06,5.59,r
1939-07,9.26,r
1939-08,11.61,r
1939-09,4.44,r
1939-10,-10.1,r
1939-11,-24.59,r
1939-12,-32.43,r
1940-01,-29.69,r
1940-02,-30.8,r
1940-03,-24.21,r
1940-04,-15.47,r
1940-05,-4.05,r
1940-06,8.42,r
1940-07,13.0,r
1940-08,8.7,r
1940-09,-0.38,r
1940-10,-16.56,r
1940-11,-27.62,r
1940-12,-36.72,r
1941-01,-39.36,r
1941-02,-36.8,r
1941-03,-33.41,r
1941-04,-19.34,r
1941-05,-8.78,r
1941-06,4.67,r
1941-07,15.46,r
1941-08,9.23,r
1941-09,2.8,r
1941-10,-10.0,r
1941-11,-29.1,r
1941-12,-30.14,r
1942-01,-31.71,r
1942-02,-37.98,r
1942-03,-35.55,r
1942-04,-18.77,r
1942-05,-3.97,r
1942-06,6.4,r
1942-07,10.74,r
1942-08,10.46,r
1942-09,0.96,r
1942-10,-11.9,r
1942-11,-26.56,r
1942-12,-32.45,r
1943-01,-36.22,r
1943-02,-35.08,r
1943-03,-18.74,r
1943-04,-10.5,r
1943-05,-0.11,r
1943-06,6.38,r
1943-07,9.49,r
1943-08,9.51,r
1943-09,2.05,r
1943-10,-9.82,r
1943-11,-23.7,r
1943-12,-36.59,r
1944-01,-32.66,r
1944-02,-34.58,r
1944-03,-27.0,r
1944-04,-17.6,r
1944-05,-3.15,r
1944-06,6.65,r
1944-07,9.93,r
1944-08,10.39,r
1944-09,4.52,r
