Date [YYYY-MM],Temperature [°C],QCFLAG
1973-01,, 
1973-02,, 
1973-03,, 
1973-04,, 
1973-05,6.93,]
1973-06,, 
1973-07,17.92,]
1973-08,, 
1973-09,, 
1973-10,-9.09,]
1973-11,, 
1973-12,, 
1975-01,, 
1975-02,-35.08,]
1975-03,-16.79,]
1975-04,, 
1975-05,, 
1975-06,, 
1975-07,15.27,]
1975-08,, 
1975-09,, 
1975-10,, 
1975-11,, 
1975-12,, 
1976-01,, 
1976-02,, 
1976-03,, 
1976-04,, 
1976-05,5.35,]
1976-06,, 
1976-07,, 
1976-08,, 
1976-09,, 
1976-10,, 
1976-11,, 
1976-12,, 
1979-01,, 
1979-02,, 
1979-03,, 
1979-04,, 
1979-05,, 
1979-06,, 
1979-07,, 
1979-08,, 
1979-09,3.66,]
1979-10,, 
1979-11,, 
1979-12,, 
1980-01,, 
1980-02,-33.21,]
1980-03,-24.73,]
1980-04,, 
1980-05,, 
1980-06,, 
1980-07,, 
1980-08,, 
1980-09,4.27,]
1980-10,-8.68,]
1980-11,, 
1980-12,, 
1981-01,-34.57,]
1981-02,, 
1981-03,, 
1981-04,, 
1981-05,, 
1981-06,, 
1981-07,, 
1981-08,, 
1981-09,, 
1981-10,, 
1981-11,-29.13,]
1981-12,, 
1982-01,, 
1982-02,, 
1982-03,-23.65,]
1982-04,-4.12,]
1982-05,8.0,]
1982-06,14.14,]
1982-07,18.16,]
1982-08,, 
1982-09,, 
1982-10,, 
1982-11,, 
1982-12,, 
1985-01,, 
1985-02,, 
1985-03,-20.95,]
1985-04,, 
1985-05,, 
1985-06,, 
1985-07,, 
1985-08,, 
1985-09,, 
1985-10,, 
1985-11,, 
1985-12,, 
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,, 
1988-09,6.57,]
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,-27.91,]
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,16.37,]
1989-08,, 
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,, 
1991-01,-32.12,]
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,, 
1991-08,, 
1991-09,4.34,]
1991-10,-8.38,]
1991-11,, 
1991-12,-37.64,]
1992-01,-42.26,]
1992-02,-33.8,]
1992-03,-19.08,]
1992-04,-3.29,]
1992-05,, 
1992-06,, 
1992-07,, 
1992-08,, 
1992-09,, 
1992-10,-6.31,]
1992-11,-32.14,]
1992-12,, 
1993-01,, 
1993-02,-32.06,]
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,, 
1993-09,, 
1993-10,, 
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,-32.66,]
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,, 
1994-08,13.75,]
1994-09,7.62,]
1994-10,-4.76,]
1994-11,-28.07,]
1994-12,-39.57,]
1995-01,, 
1995-02,-26.91,]
1995-03,, 
1995-04,-6.1,]
1995-05,5.87,]
1995-06,16.84,]
1995-07,17.61,]
1995-08,14.09,]
1995-09,5.3,]
1995-10,-3.53,]
1995-11,-26.46,]
1995-12,-35.66,]
1996-01,, 
1996-02,-31.89,]
1996-03,, 
1996-04,-3.25,]
1996-05,, 
1996-06,, 
1996-07,17.62,]
1996-08,, 
1996-09,6.92,]
1996-10,-5.87,]
1996-11,-27.76,]
1996-12,, 
1997-01,, 
1997-02,-33.8,]
1997-03,-23.07,]
1997-04,-2.24,]
1997-05,, 
1997-06,14.54,]
1997-07,, 
1997-08,16.98,]
1997-09,5.24,]
1997-10,, 
1997-11,-22.3,]
1997-12,-40.75,]
1998-01,, 
1998-02,-31.54,]
1998-03,-21.88,]
1998-04,-5.49,]
1998-05,, 
1998-06,18.66,]
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,-8.8,]
1998-11,, 
1998-12,-42.95,]
1999-01,, 
1999-02,-35.66,]
1999-03,-25.59,]
1999-04,, 
1999-05,, 
1999-06,15.91,]
1999-07,19.09,]
1999-08,12.22,]
1999-09,, 
1999-10,-6.95,]
1999-11,-29.43,]
1999-12,-33.96,]
2000-01,, 
2000-02,-32.93,]
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,15.36,]
2000-07,18.45,]
2000-08,, 
2000-09,5.87,]
2000-10,-11.58,]
2000-11,-30.56,]
2000-12,-40.73,]
2001-01,-40.79,]
2001-02,-38.52,]
2001-03,-16.59,]
2001-04,-5.26,]
2001-05,8.54,]
2001-06,15.16,]
2001-07,20.37,]
2001-08,13.72,]
2001-09,3.4,]
2001-10,-8.33,]
2001-11,-23.81,]
2001-12,-36.26,]
2002-01,-37.43,]
2002-02,-26.58,]
2002-03,-18.14,]
2002-04,-1.82,]
2002-05,8.16,]
2002-06,, 
2002-07,17.55,]
2002-08,15.42,]
2002-09,, 
2002-10,-8.5,]
2002-11,-26.75,]
2002-12,-43.12,]
2003-01,-41.29,]
2003-02,-33.87,]
2003-03,-17.2,]
2003-04,-4.55,]
2003-05,5.44,]
2003-06,13.18,]
2003-07,21.02,]
2003-08,15.48,]
2003-09,7.86,]
2003-10,-5.89,]
2003-11,-30.82,]
2003-12,-36.57,]
2004-01,-40.54,]
2004-02,-37.22,]
2004-03,-18.82,]
2004-04,-4.8,]
2004-05,5.51,]
2004-06,13.1,]
2004-07,17.65,]
2004-08,14.01,]
2004-09,6.83,]
2004-10,-11.82,]
2004-11,-21.61,]
2004-12,-45.44,]
2005-01,-40.32,]
2005-02,-36.3,]
2005-03,-21.18,]
2005-04,-0.15,]
2005-05,8.58,]
2005-06,15.91,]
2005-07,17.86,]
2005-08,14.02,]
2005-09,8.71,]
2005-10,-8.16,]
2005-11,-18.95,]
2005-12,-36.92,]
2006-01,, 
2006-02,-35.75,]
2006-03,-21.79,]
2006-04,-2.42,]
2006-05,7.21,]
2006-06,17.3,]
2006-07,17.75,]
2006-08,16.29,]
2006-09,7.28,]
2006-10,-9.33,]
2006-11,-26.1,]
2006-12,-39.79,]
2007-01,-37.2,]
2007-02,-36.73,]
2007-03,-19.11,]
2007-04,-1.08,]
2007-05,8.89,]
2007-06,15.64,]
2007-07,16.78,]
2007-08,16.82,]
2007-09,6.96,]
2007-10,-4.47,]
2007-11,-27.94,]
2007-12,-33.11,]
2008-01,-39.4,]
2008-02,-32.53,]
2008-03,-11.99,]
2008-04,-5.98,]
2008-05,8.97,]
2008-06,18.72,]
2008-07,19.95,]
2008-08,17.39,]
2008-09,6.03,]
2008-10,-4.54,]
2008-11,-26.04,]
2008-12,-42.02,]
2009-01,-37.05,]
2009-02,-37.7,]
2009-03,-19.88,]
2009-04,-6.35,]
2009-05,7.43,]
2009-06,16.66,]
2009-07,18.26,]
2009-08,13.71,]
2009-09,7.28,]
2009-10,-5.92,]
2009-11,-28.46,]
2009-12,-36.37,]
2010-01,-36.87,]
2010-02,-32.62,]
2010-03,-22.39,]
2010-04,-6.73,]
2010-05,9.41,]
