Date [YYYY-MM],Temperature [°C],QCFLAG
1959-01,, 
1959-02,, 
1959-03,, 
1959-04,, 
1959-05,, 
1959-06,, 
1959-07,, 
1959-08,, 
1959-09,, 
1959-10,, 
1959-11,-8.0,[
1959-12,-12.4,[
1960-01,-15.8,[
1960-02,-27.2,[
1960-03,-20.0,[
1960-04,-15.0,[
1960-05,-5.3,[
1960-06,-0.9,[
1960-07,1.2,[
1960-08,0.9,[
1960-09,-0.3,[
1960-10,-9.8,[
1960-11,-16.9,[
1960-12,-21.4,[
1961-01,-23.7,[
1961-02,-24.2,[
1961-03,-17.9,[
1961-04,-14.2,[
1961-05,-10.0,[
1961-06,-1.4,[
1961-07,0.2,[
1961-08,-0.1,[
1961-09,-2.7,[
1961-10,-5.1,[
1961-11,-13.3,[
1961-12,-23.6,[
1962-01,-24.9,[
1962-02,-26.2,[
1962-03,-25.3,[
1962-04,-19.6,[
1962-05,-11.9,[
1962-06,-2.2,[
1962-07,-0.1,[
1962-08,-1.6,[
1962-09,-5.2,[
1962-10,, 
1962-11,, 
1962-12,, 
1963-01,, 
1963-02,, 
1963-03,, 
1963-04,, 
1963-05,-8.6,[
1963-06,-1.4,[
1963-07,-0.5,[
1963-08,-0.2,[
1963-09,-5.0,[
1963-10,-9.8,[
1963-11,-22.4,[
1963-12,-26.6,[
1964-01,-28.6,[
1964-02,-23.0,[
1964-03,-22.0,[
1964-04,-18.6,[
1964-05,-10.7,[
1964-06,-2.9,[
1964-07,0.1,[
1964-08,-0.4,[
1964-09,-2.5,[
1964-10,-9.5,[
1964-11,-19.9,[
1964-12,-14.4,[
1965-01,-20.7,[
1965-02,-22.5,[
1965-03,-26.9,[
1965-04,-13.0,[
1965-05,-11.6,[
1965-06,-2.09,[
1965-07,-0.3,[
1965-08,-0.6,[
1965-09,-2.8,[
1965-10,-11.5,[
1965-11,-10.8,[
1965-12,-21.6,[
1966-01,-28.7,[
1966-02,-24.0,[
1966-03,-26.1,[
1966-04,-16.79,[
1966-05,-11.4,[
1966-06,-2.5,[
1966-07,0.3,[
1966-08,-0.9,[
1966-09,-4.8,[
1966-10,-16.1,[
1966-11,-17.29,[
1966-12,-8.8,[
1967-01,-29.6,[
1967-02,-26.1,[
1967-03,-18.4,[
1967-04,-14.8,[
1967-05,-8.3,[
1967-06,-2.09,[
1967-07,0.2,[
1967-08,-0.5,[
1967-09,-3.3,[
1967-10,, 
1967-11,, 
1967-12,, 
1968-01,, 
1968-02,, 
1968-03,, 
1968-04,, 
1968-05,, 
1968-06,, 
1968-07,, 
1968-08,, 
1968-09,, 
1968-10,, 
1968-11,-25.0,[
1968-12,-25.3,[
1969-01,-23.0,[
1969-02,-15.7,[
1969-03,-29.4,[
1969-04,-22.9,[
1969-05,-8.8,[
1969-06,-3.4,[
1969-07,0.3,[
1969-08,-1.1,[
1969-09,-2.6,[
1969-10,-5.2,[
1969-11,-14.6,[
1969-12,-15.6,[
1970-01,-24.4,[
1970-02,-23.4,[
1970-03,-19.4,[
1970-04,-19.4,[
1970-05,-7.3,[
1970-06,-1.6,[
1970-07,-0.2,[
1970-08,0.0,[
1970-09,-3.2,[
1970-10,-8.1,[
1970-11,-17.79,[
1970-12,-20.7,[
1971-01,-29.4,[
1971-02,-12.2,[
1971-03,-21.2,[
1971-04,-17.4,[
1971-05,-6.0,[
1971-06,-2.0,[
1971-07,-0.2,[
1971-08,-0.7,[
1971-09,-3.2,[
1971-10,-13.6,[
1971-11,-23.3,[
1971-12,-18.0,[
1972-01,-10.3,[
1972-02,-21.3,[
1972-03,-15.8,[
1972-04,-20.7,[
1972-05,-9.0,[
1972-06,-0.8,[
1972-07,-0.1,[
1972-08,0.4,[
1972-09,-0.3,[
1972-10,-4.8,[
1972-11,-8.39,[
1972-12,-16.5,[
1973-01,-14.8,[
1973-02,-22.1,[
1973-03,-20.9,[
1973-04,-11.4,[
1973-05,-9.2,[
1973-06,-1.8,[
1973-07,0.3,[
1973-08,-0.6,[
1973-09,-4.4,[
1973-10,-16.9,[
1973-11,-21.9,[
1973-12,-27.1,[
1974-01,-12.4,[
1974-02,-19.7,[
1974-03,-16.7,[
1974-04,-19.1,[
1974-05,-8.6,[
1974-06,-1.1,[
1974-07,0.0,[
1974-08,-0.7,[
1974-09,-2.9,[
1974-10,-6.0,[
1974-11,-11.6,[
1974-12,-13.7,[
1975-01,-19.79,[
1975-02,-19.5,[
1975-03,-24.5,[
1975-04,-14.6,[
1975-05,-9.0,[
1975-06,-2.5,[
1975-07,0.0,[
1975-08,-0.7,[
1975-09,-2.2,[
1975-10,-14.0,[
1975-11,-18.7,[
1975-12,-23.6,[
1976-01,-22.6,[
1976-02,-16.4,[
1976-03,-12.5,[
1976-04,-12.9,[
1976-05,-7.9,[
1976-06,-1.3,[
1976-07,0.0,[
1976-08,-0.5,[
1976-09,-3.5,[
1976-10,-9.8,[
1976-11,-18.5,[
1976-12,-17.79,[
1977-01,-16.79,[
1977-02,-22.4,[
1977-03,-27.2,[
1977-04,-20.1,[
1977-05,-6.9,[
1977-06,-1.9,[
1977-07,0.2,[
1977-08,-1.0,[
1977-09,-3.9,[
1977-10,-11.6,[
1977-11,-10.9,[
1977-12,-17.4,[
1978-01,-25.8,[
1978-02,-28.5,[
1978-03,-22.8,[
1978-04,-18.6,[
1978-05,-5.8,[
1978-06,-2.7,[
1978-07,0.0,[
1978-08,-0.3,[
1978-09,-3.9,[
1978-10,-9.89,[
1978-11,-17.29,[
1978-12,-22.3,[
1979-01,-25.8,[
1979-02,-30.4,[
1979-03,-23.9,[
1979-04,-20.7,[
1979-05,-11.6,[
1979-06,-2.2,[
1979-07,0.6,[
1979-08,0.1,[
1979-09,-0.5,[
1979-10,-5.2,[
1979-11,-10.9,[
1979-12,-18.29,[
1980-01,-23.4,[
1980-02,-21.2,[
1980-03,-18.79,[
1980-04,-14.5,[
1980-05,-7.0,[
1980-06,-1.8,[
1980-07,-0.4,[
1980-08,-1.1,[
1980-09,-3.1,[
