Date [YYYY-MM],Temperature [°C],QCFLAG
1860-01,-5.16,k
1860-02,-10.65,k
1860-03,-4.94,k
1860-04,1.05,k
1860-05,6.35,k
1860-06,14.04,k
1860-07,15.15,k
1860-08,13.18,k
1860-09,8.39,k
1860-10,3.17,k
1860-11,-1.62,k
1860-12,-11.42,k
1861-01,-10.3,k
1861-02,-3.24,k
1861-03,-1.25,k
1861-04,1.59,k
1861-05,5.66,k
1861-06,16.12,k
1861-07,16.35,k
1861-08,13.25,k
1861-09,7.62,k
1861-10,5.46,k
1861-11,-2.82,k
1861-12,-1.64,k
1862-01,-8.31,k
1862-02,-8.41,k
1862-03,-6.37,k
1862-04,1.37,k
1862-05,10.1,k
1862-06,11.72,k
1862-07,12.85,k
1862-08,12.66,k
1862-09,8.82,k
1862-10,4.32,k
1862-11,1.1,k
1862-12,-5.13,k
1863-01,-0.79,k
1863-02,-1.65,k
1863-03,-1.67,k
1863-04,2.27,k
1863-05,7.39,k
1863-06,14.46,k
1863-07,14.07,k
1863-08,13.21,k
1863-09,9.64,k
1863-10,5.81,k
1863-11,1.45,k
1863-12,-2.77,k
1864-01,-7.42,k
1864-02,-5.82,k
1864-03,-5.6,k
1864-04,0.65,k
1864-05,4.96,k
1864-06,13.57,k
1864-07,16.0,k
1864-08,10.55,k
1864-09,9.67,k
1864-10,1.52,k
1864-11,-3.98,k
1864-12,-3.06,k
1865-01,-4.23,k
1865-02,-11.99,k
1865-03,-6.2,k
1865-04,2.62,k
1865-05,10.5,k
1865-06,11.7,k
1865-07,17.54,k
1865-08,12.16,k
1865-09,10.4,k
1865-10,2.27,k
1865-11,0.4,k
1865-12,-2.16,k
1866-01,-1.06,k
1866-02,-5.76,k
1866-03,-10.56,k
1866-04,3.14,k
1866-05,7.39,k
1866-06,16.54,k
1866-07,, 
1866-08,, 
1866-09,, 
1866-10,, 
1866-11,, 
1866-12,, 
1867-01,, 
1867-02,, 
1867-03,-7.42,k
1867-04,-0.61,k
1867-05,3.46,k
1867-06,11.87,k
1867-07,13.61,k
1867-08,14.72,k
1867-09,9.21,k
1867-10,5.35,k
1867-11,-1.94,k
1867-12,-11.56,k
1868-01,-9.67,k
1868-02,-4.83,k
1868-03,-1.2,k
1868-04,2.63,k
1868-05,10.21,k
1868-06,14.85,k
1868-07,17.79,k
1868-08,16.79,k
1868-09,8.79,k
1868-10,4.42,k
1868-11,-1.04,k
1868-12,-2.98,k
1869-01,-4.37,k
1869-02,-2.84,k
1869-03,-4.96,k
1869-04,4.21,k
1869-05,6.54,k
1869-06,12.03,k
1869-07,14.98,k
1869-08,12.98,k
1869-09,9.35,k
1869-10,3.48,k
1869-11,-3.44,k
1869-12,-5.2,k
1870-01,-3.82,k
1870-02,-11.93,k
1870-03,-3.85,k
1870-04,3.81,k
1870-05,8.0,k
1870-06,13.56,k
1870-07,15.87,k
1870-08,12.69,k
1870-09,8.67,k
1870-10,2.18,k
1870-11,-0.52,k
1870-12,-11.15,k
1871-01,-9.55,k
