Date [YYYY-MM],Temperature [°C],QCFLAG
1967-01,, 
1967-02,, 
1967-03,, 
1967-04,, 
1967-05,, 
1967-06,, 
1967-07,, 
1967-08,, 
1967-09,9.24,E
1967-10,2.59,E
1967-11,0.82,E
1967-12,-13.05,E
1968-01,-12.06,E
1968-02,-10.83,E
1968-03,-3.92,E
1968-04,0.72,E
1968-05,3.17,E
1968-06,10.64,E
1968-07,11.24,E
1968-08,10.5,E
1968-09,7.31,E
1968-10,-0.68,E
1968-11,-6.71,E
1968-12,-4.05,E
1969-01,-10.12,E
1969-02,-13.64,E
1969-03,-8.02,E
1969-04,0.51,E
1969-05,4.66,E
1969-06,12.52,E
1969-07,12.64,E
1969-08,16.11,E
1969-09,6.24,E
1969-10,3.06,E
1969-11,-6.32,E
1969-12,-11.07,E
1970-01,-15.42,E
1970-02,-15.26,E
1970-03,-3.41,E
1970-04,-1.05,E
1970-05,6.04,E
1970-06,13.07,E
1970-07,12.64,E
1970-08,11.72,E
1970-09,6.8,E
1970-10,2.75,E
1970-11,-4.84,E
1970-12,-3.04,E
1971-01,-5.33,E
1971-02,-7.13,E
1971-03,-9.41,E
1971-04,-0.57,E
1971-05,5.35,E
1971-06,10.02,E
1971-07,11.88,E
1971-08,11.36,E
1971-09,6.83,E
1971-10,2.25,E
1971-11,-5.64,E
1971-12,-2.27,E
1972-01,-12.96,E
1972-02,-6.91,E
1972-03,-3.58,E
1972-04,0.22,E
1972-05,5.64,E
1972-06,12.54,E
1972-07,14.38,E
1972-08,11.23,E
1972-09,6.05,E
1972-10,2.9,E
1972-11,-2.33,E
1972-12,-1.04,E
1973-01,-1.21,E
1973-02,-8.17,E
1973-03,-0.51,E
1973-04,-1.61,E
1973-05,5.07,E
1973-06,10.57,E
1973-07,15.77,E
1973-08,9.88,E
1973-09,5.21,E
1973-10,-0.7,E
1973-11,-5.59,E
1973-12,-9.42,E
1974-01,-4.41,E
1974-02,-5.75,E
1974-03,-4.5,E
1974-04,1.29,E
1974-05,5.41,E
1974-06,11.14,E
1974-07,11.88,E
1974-08,11.45,E
1974-09,8.76,E
1974-10,1.73,E
1974-11,-4.33,E
1974-12,-7.01,E
1975-01,-6.56,E
1975-02,-3.01,E
