Date [YYYY-MM],Temperature [°C],QCFLAG
1830-01,-10.2,""""
1830-02,-10.2,""""
1830-03,-6.9,""""
1830-04,-6.3,""""
1830-05,1.5,""""
1830-06,9.5,""""
1830-07,11.4,""""
1830-08,7.4,""""
1830-09,4.4,""""
1830-10,-0.8,""""
1830-11,-6.5,""""
1830-12,-16.6,""""
1831-01,-20.9,""""
1831-02,-17.6,""""
1831-03,-15.2,""""
1831-04,-2.9,""""
1831-05,1.8,""""
1831-06,13.2,""""
1831-07,15.6,""""
1831-08,10.5,""""
1831-09,3.8,""""
1831-10,-4.1,""""
1831-11,-10.4,""""
1831-12,-15.9,""""
1832-01,-12.7,""""
1832-02,-5.3,""""
1832-03,-6.0,""""
1832-04,-0.1,""""
1832-05,1.0,""""
1832-06,10.2,""""
1832-07,10.0,""""
1832-08,7.3,""""
1832-09,0.8,""""
1832-10,0.4,""""
1832-11,-9.3,""""
1832-12,-10.6,""""
1833-01,-9.0,""""
1833-02,-17.4,""""
1833-03,-18.0,""""
1833-04,-4.69,""""
1833-05,2.8,""""
1833-06,9.3,""""
1833-07,10.1,""""
1833-08,6.2,""""
1833-09,6.3,""""
1833-10,1.5,""""
1833-11,-9.5,""""
1833-12,-16.79,""""
1834-01,-23.1,""""
1834-02,-12.1,""""
1834-03,-9.7,""""
1834-04,-2.4,""""
1834-05,1.2,""""
1834-06,6.9,""""
1834-07,12.1,""""
1834-08,11.9,""""
1834-09,3.1,""""
1834-10,-6.7,""""
1834-11,-16.6,""""
1834-12,-12.8,""""
1835-01,-16.29,""""
1835-02,-17.2,""""
1835-03,-10.3,""""
1835-04,-5.7,""""
1835-05,-2.4,""""
1835-06,8.1,""""
1835-07,12.5,""""
1835-08,8.5,""""
1835-09,6.1,""""
1835-10,0.0,""""
1835-11,-12.4,""""
1835-12,-21.5,""""
1836-01,-19.0,""""
1836-02,-19.29,""""
1836-03,-12.3,""""
1836-04,-1.9,""""
1836-05,0.3,""""
1836-06,6.6,""""
1836-07,11.9,""""
1836-08,7.9,""""
1836-09,1.3,""""
1836-10,-5.8,""""
1836-11,-12.5,""""
1836-12,-15.1,""""
1837-01,-17.1,""""
1837-02,-7.5,""""
1837-03,-16.29,""""
1837-04,-4.6,""""
1837-05,1.7,""""
1837-06,4.9,""""
1837-07,9.1,""""
1837-08,8.8,""""
1837-09,5.4,""""
1837-10,-3.3,""""
1837-11,-6.2,""""
1837-12,-15.6,""""
1838-01,-16.1,""""
1838-02,-20.4,""""
1838-03,-12.3,""""
1838-04,-6.8,""""
1838-05,0.5,""""
1838-06,6.7,""""
1838-07,12.4,""""
1838-08,10.0,""""
1838-09,5.6,""""
1838-10,-4.6,""""
1838-11,-14.3,""""
1838-12,-13.7,""""
1883-01,, 
1883-02,, 
1883-03,, 
1883-04,, 
1883-05,, 
1883-06,, 
1883-07,, 
1883-08,, 
1883-09,, 
1883-10,, 
1883-11,-5.27,E
1883-12,-10.63,E
1884-01,-14.53,E
1884-02,-9.26,E
1884-03,-7.84,E
1884-04,-6.52,E
1884-05,-0.32,E
1884-06,8.06,E
1884-07,11.93,E
1884-08,10.45,E
1884-09,6.21,E
1884-10,-1.65,E
1884-11,-6.9,E
1884-12,-15.34,E
1885-01,-16.04,E
1885-02,-11.63,E
1885-03,-10.68,E
1885-04,-5.74,E
1885-05,-2.37,E
1885-06,, 
1885-07,, 
1885-08,9.51,E
1885-09,3.04,E
1885-10,-6.48,E
1885-11,-11.59,E
1885-12,-15.33,E
1886-01,-21.75,E
1886-02,-13.28,E
1886-03,-6.72,E
1886-04,-3.71,E
1886-05,1.82,E
1886-06,10.22,E
1886-07,14.11,E
1886-08,11.69,E
1886-09,3.71,E
1886-10,1.06,E
1886-11,-5.65,E
1886-12,-17.97,E
1887-01,-7.82,E
1887-02,-6.26,E
1887-03,-9.77,E
1887-04,-4.03,E
1887-05,3.45,E
1887-06,7.91,E
1887-07,11.8,E
1887-08,9.99,E
1887-09,6.94,E
1887-10,-5.78,E
1887-11,-12.55,E
1887-12,-16.92,E
1888-01,-16.13,E
1888-02,-17.74,E
1888-03,-16.64,E
1888-04,-7.62,E
1888-05,1.28,E
1888-06,7.38,E
1888-07,10.79,E
1888-08,10.19,E
1888-09,3.84,E
1888-10,-5.7,E
1888-11,, 
1888-12,-11.06,E
1889-01,-11.21,E
1889-02,-17.6,E
1889-03,-15.66,E
1889-04,-2.93,E
1889-05,5.26,E
1889-06,12.15,E
1889-07,11.01,E
1889-08,10.85,E
1889-09,5.61,E
1889-10,-0.1,E
1889-11,-3.85,E
1889-12,-7.77,E
1890-01,-11.54,E
1890-02,-9.91,E
1890-03,-7.97,E
1890-04,-4.94,E
1890-05,4.46,E
1890-06,10.09,E
1890-07,11.34,E
1890-08,11.05,E
1890-09,6.9,E
1890-10,-5.63,E
1890-11,-10.02,E
1890-12,-7.44,E
1891-01,-15.46,E
1891-02,-6.84,E
1891-03,-11.6,E
1891-04,-4.9,E
1891-05,1.15,E
1891-06,5.75,E
1891-07,13.0,E
1891-08,8.93,E
1891-09,3.36,E
1891-10,-1.39,E
1891-11,-9.02,E
1891-12,-12.35,E
1892-01,-20.79,E
1892-02,-17.28,E
1892-03,-7.3,E
1892-04,-6.06,E
1892-05,-0.27,E
1892-06,5.86,E
1892-07,10.12,E
1892-08,8.13,E
1892-09,4.95,E
1892-10,-6.0,E
1892-11,-6.67,E
1892-12,-17.77,E
1893-01,-25.3,E
1893-02,-24.52,E
1893-03,-14.44,E
1893-04,-5.13,E
1893-05,2.15,E
1893-06,8.37,E
1893-07,11.44,E
1893-08,9.46,E
1893-09,0.97,E
1893-10,-0.81,E
1893-11,-11.63,E
1893-12,-10.13,E
1894-01,-12.23,E
1894-02,-11.9,E
1894-03,-8.18,E
1894-04,0.64,E
1894-05,4.75,E
1894-06,14.87,E
1894-07,13.33,E
1894-08,11.02,E
1894-09,2.51,E
1894-10,-4.36,E
1894-11,-6.8,E
1894-12,-11.04,E
1895-01,-18.96,E
1895-02,-13.7,E
1895-03,-15.22,E
1895-04,-4.0,E
1895-05,5.56,E
1895-06,11.32,E
1895-07,12.09,E
1895-08,9.97,E
1895-09,4.42,E
1895-10,-3.56,E
1895-11,-8.14,E
1895-12,-9.13,E
1896-01,-13.23,E
1896-02,-10.5,E
1896-03,-10.26,E
1896-04,-2.72,E
1896-05,2.13,E
1896-06,9.48,E
1896-07,15.17,E
1896-08,9.94,E
1896-09,5.77,E
1896-10,-4.67,E
1896-11,-11.36,E
1896-12,-13.3,E
1897-01,-13.46,E
1897-02,-17.34,E
1897-03,-16.14,E
1897-04,-1.39,E
1897-05,6.84,E
1897-06,8.68,E
1897-07,12.45,E
1897-08,10.16,E
1897-09,5.97,E
1897-10,0.5,E
1897-11,-8.32,E
1897-12,-13.55,E
1898-01,-10.58,E
1898-02,-16.48,E
1898-03,-12.61,E
1898-04,-4.82,E
1898-05,3.62,E
1898-06,9.78,E
1898-07,12.56,E
1898-08,10.53,E
1898-09,6.02,E
1898-10,-1.77,E
1898-11,-10.67,E
1898-12,-18.66,E
1899-01,-17.91,E
1899-02,-16.55,E
1899-03,-17.82,E
1899-04,-8.31,E
1899-05,-1.96,E
1899-06,8.76,E
1899-07,14.36,E
1899-08,7.23,E
1899-09,5.53,E
1899-10,-3.69,E
1899-11,-6.79,E
1899-12,-15.71,E
1900-01,-15.47,E
1900-02,-23.71,E
1900-03,-10.77,E
1900-04,-6.56,E
1900-05,0.59,E
