Date [YYYY-MM],Temperature [°C],QCFLAG
1923-01,-7.7,=
1923-02,-10.9,=
1923-03,-5.6,=
1923-04,-5.3,=
1923-05,0.9,=
1923-06,3.4,=
1923-07,9.5,=
1923-08,8.3,=
1923-09,4.9,=
1923-10,-1.2,=
1923-11,-6.0,=
1923-12,-9.8,=
1924-01,-10.3,=
1924-02,-13.4,=
1924-03,-10.7,=
1924-04,-4.9,=
1924-05,1.6,=
1924-06,6.0,=
1924-07,14.0,=
1924-08,12.2,=
1924-09,6.5,=
1924-10,1.8,=
1924-11,-3.0,=
1924-12,-4.5,=
1925-01,-3.4,=
1925-02,-8.6,=
1925-03,-11.0,=
1925-04,-1.8,=
1925-05,2.1,=
1925-06,7.6,=
1925-07,14.1,=
1925-08,11.0,=
1925-09,6.2,=
1925-10,-3.8,=
1925-11,-8.8,=
1925-12,-12.7,=
1926-01,-12.1,=
1926-02,-12.7,=
1926-03,-6.2,=
1926-04,-4.0,=
1926-05,0.7,=
1926-06,8.4,=
1926-07,11.0,=
1926-08,10.9,=
1926-09,4.6,=
1926-10,-4.69,=
1926-11,-5.0,=
1926-12,-12.1,=
1927-01,-13.3,=
1927-02,-8.89,=
1927-03,-8.89,=
1927-04,-5.5,=
1927-05,1.0,=
1927-06,7.0,=
1927-07,16.7,=
1927-08,11.4,=
1927-09,4.6,=
1927-10,-3.4,=
1927-11,-8.89,=
1927-12,-8.5,=
1928-01,-9.3,=
1928-02,-7.8,=
1928-03,-5.3,=
1928-04,-3.0,=
1928-05,1.4,=
1928-06,7.2,=
1928-07,8.4,=
1928-08,10.5,=
1928-09,4.5,=
1928-10,-2.8,=
1928-11,-6.4,=
1928-12,-9.3,=
1929-01,-11.3,=
1929-02,-11.7,=
1929-03,-6.4,=
1929-04,-9.0,=
1929-05,1.5,=
1929-06,6.5,=
1929-07,7.6,=
1929-08,8.2,=
1929-09,5.4,=
1929-10,-1.3,=
1929-11,-3.8,=
1929-12,-4.3,=
1930-01,-7.8,=
1930-02,-6.1,=
1930-03,-10.1,=
1930-04,-2.3,=
1930-05,3.2,=
1930-06,8.9,=
1930-07,14.3,=
1930-08,12.5,=
1930-09,3.7,=
1930-10,-0.8,=
1930-11,-5.2,=
1930-12,-6.9,=
1931-01,-11.1,=
1931-02,-11.7,=
1931-03,-8.7,=
1931-04,-4.6,=
1931-05,2.0,=
1931-06,4.9,=
1931-07,12.5,=
1931-08,7.8,=
1931-09,2.2,=
1931-10,-2.7,=
1931-11,-3.9,=
1931-12,-5.6,=
1932-01,-6.8,=
1932-02,-6.4,=
1932-03,-7.3,=
1932-04,-4.1,=
1932-05,-0.1,=
1932-06,5.6,=
1932-07,11.6,=
1932-08,8.2,=
1932-09,2.6,=
1932-10,-4.0,=
1932-11,-5.1,=
1932-12,-3.7,=
1933-01,-6.7,=
1933-02,-13.6,=
1933-03,-9.0,=
1933-04,-5.7,=
1933-05,0.5,=
1933-06,10.0,=
1933-07,11.7,=
1933-08,10.1,=
1933-09,5.6,=
1933-10,-1.4,=
1933-11,-4.5,=
1933-12,-6.3,=
1934-01,-5.0,=
1934-02,-8.89,=
1934-03,-8.6,=
1934-04,-4.69,=
1934-05,2.5,=
1934-06,5.6,=
1934-07,14.8,=
1934-08,12.7,=
1934-09,8.7,=
1934-10,-0.9,=
1934-11,-4.1,=
1934-12,-8.6,=
1935-01,-8.89,=
1935-02,-9.5,=
1935-03,-6.6,=
1935-04,-4.3,=
1935-05,-0.9,=
1935-06,5.2,=
1935-07,9.2,=
1935-08,9.4,=
1935-09,2.7,=
1935-10,-1.7,=
1935-11,-4.9,=
