Date [YYYY-MM],Temperature [°C],QCFLAG
1823-01,, 
1823-02,, 
1823-03,, 
1823-04,7.7,""""
1823-05,12.7,""""
1823-06,16.4,""""
1823-07,16.9,""""
1823-08,18.2,""""
1823-09,13.0,""""
1823-10,11.4,""""
1823-11,4.7,""""
1823-12,1.4,""""
1824-01,-2.8,""""
1824-02,1.2,""""
1824-03,1.3,""""
1824-04,6.3,""""
1824-05,11.1,""""
1824-06,15.2,""""
1824-07,17.4,""""
1824-08,17.3,""""
1824-09,16.1,""""
1824-10,10.1,""""
1824-11,4.9,""""
1824-12,3.6,""""
1825-01,0.9,""""
1825-02,-1.0,""""
1825-03,-0.8,""""
1825-04,7.9,""""
1825-05,13.1,""""
1825-06,15.9,""""
1825-07,16.9,""""
1825-08,17.2,""""
1825-09,13.8,""""
1825-10,8.1,""""
1825-11,5.0,""""
1825-12,4.7,""""
1826-01,-8.0,""""
1826-02,-0.9,""""
1826-03,3.0,""""
1826-04,6.6,""""
1826-05,11.9,""""
1826-06,17.1,""""
1826-07,21.1,""""
1826-08,19.9,""""
1826-09,13.8,""""
1826-10,10.0,""""
1826-11,2.7,""""
1826-12,0.8,""""
1827-01,-2.7,""""
1827-02,-7.8,""""
1827-03,3.5,""""
1827-04,9.6,""""
1827-05,14.9,""""
1827-06,19.0,""""
1827-07,18.9,""""
1827-08,15.5,""""
1827-09,13.8,""""
1827-10,10.0,""""
1827-11,0.2,""""
1827-12,1.5,""""
1828-01,-5.0,""""
1828-02,-3.4,""""
1828-03,3.3,""""
1828-04,9.8,""""
1828-05,12.7,""""
1828-06,16.6,""""
1828-07,19.5,""""
1828-08,16.2,""""
1828-09,12.5,""""
1828-10,7.3,""""
1828-11,3.7,""""
1828-12,0.3,""""
1829-01,-6.7,""""
1829-02,-5.7,""""
1829-03,0.4,""""
1829-04,7.9,""""
1829-05,11.5,""""
1829-06,15.2,""""
1829-07,18.5,""""
1829-08,16.4,""""
1829-09,14.5,""""
1829-10,6.2,""""
1829-11,-1.8,""""
1829-12,-10.5,""""
1830-01,-9.0,""""
1830-02,-5.0,""""
1830-03,1.8,""""
1830-04,9.3,""""
1830-05,13.1,""""
1830-06,18.2,""""
1830-07,18.0,""""
1830-08,18.0,""""
1830-09,13.3,""""
1830-10,7.3,""""
1830-11,5.2,""""
1830-12,1.2,""""
1831-01,-6.2,""""
1831-02,-0.6,""""
1831-03,1.9,""""
1831-04,9.9,""""
1831-05,13.1,""""
1831-06,15.4,""""
1831-07,19.5,""""
1831-08,17.0,""""
1831-09,12.6,""""
1831-10,11.1,""""
1831-11,1.8,""""
1831-12,-0.7,""""
1832-01,-2.0,""""
1832-02,-0.6,""""
1832-03,2.0,""""
1832-04,6.6,""""
1832-05,11.0,""""
1832-06,15.4,""""
1832-07,14.8,""""
1832-08,17.8,""""
1832-09,11.4,""""
1832-10,8.4,""""
1832-11,2.3,""""
1832-12,-2.09,""""
1833-01,-4.3,""""
1833-02,2.2,""""
1833-03,3.3,""""
1833-04,5.6,""""
1833-05,16.3,""""
1833-06,18.5,""""
1833-07,16.8,""""
1833-08,13.8,""""
1833-09,13.6,""""
1833-10,7.8,""""
1833-11,3.0,""""
1833-12,2.9,""""
1834-01,1.6,""""
1834-02,-0.4,""""
1834-03,1.1,""""
1834-04,6.7,""""
1834-05,16.0,""""
1834-06,18.5,""""
1834-07,22.8,""""
1834-08,19.9,""""
1834-09,15.1,""""
1834-10,8.1,""""
1834-11,2.7,""""
1834-12,0.4,""""
1835-01,-1.0,""""
1835-02,1.3,""""
1835-03,2.5,""""
1835-04,6.1,""""
1835-05,13.5,""""
1835-06,16.6,""""
1835-07,18.5,""""
1835-08,15.9,""""
1835-09,14.4,""""
1835-10,8.0,""""
1835-11,-0.9,""""
1835-12,-3.0,""""
1836-01,-3.3,""""
1836-02,0.7,""""
1836-03,7.7,""""
1836-04,8.2,""""
1836-05,9.7,""""
1836-06,16.7,""""
1836-07,16.3,""""
1836-08,15.6,""""
1836-09,13.0,""""
1836-10,10.7,""""
1836-11,1.3,""""
1836-12,0.6,""""
1837-01,-2.3,""""
1837-02,-2.9,""""
1837-03,-0.5,""""
1837-04,6.5,""""
1837-05,11.3,""""
1837-06,15.4,""""
1837-07,15.3,""""
1837-08,18.5,""""
1837-09,11.9,""""
1837-10,8.1,""""
1837-11,3.6,""""
1837-12,-1.9,""""
1838-01,-9.8,""""
1838-02,-5.1,""""
1838-03,0.5,""""
1838-04,6.1,""""
1838-05,13.7,""""
1838-06,15.9,""""
1838-07,17.1,""""
1838-08,15.2,""""
1838-09,14.9,""""
1838-10,6.7,""""
1838-11,1.4,""""
1838-12,-1.4,""""
1839-01,-2.4,""""
1839-02,-0.5,""""
1839-03,-0.8,""""
1839-04,4.1,""""
1839-05,13.3,""""
1839-06,18.1,""""
1839-07,19.6,""""
1839-08,16.3,""""
1839-09,15.9,""""
1839-10,9.5,""""
1839-11,5.3,""""
1839-12,-1.9,""""
1840-01,-2.7,""""
1840-02,-2.0,""""
1840-03,-2.2,""""
1840-04,6.6,""""
1840-05,10.9,""""
1840-06,15.2,""""
1840-07,17.5,""""
1840-08,15.8,""""
1840-09,14.3,""""
1840-10,6.0,""""
1840-11,5.7,""""
1840-12,-8.3,""""
1841-01,-2.3,""""
1841-02,-5.2,""""
1841-03,3.3,""""
1841-04,9.4,""""
1841-05,16.4,""""
1841-06,16.8,""""
1841-07,17.6,""""
1841-08,18.1,""""
1841-09,14.7,""""
1841-10,12.0,""""
1841-11,4.0,""""
1841-12,3.2,""""
1842-01,-5.3,""""
1842-02,-1.2,""""
1842-03,2.6,""""
1842-04,4.7,""""
1842-05,13.9,""""
1842-06,16.1,""""
1842-07,16.9,""""
1842-08,20.3,""""
1842-09,14.1,""""
1842-10,6.4,""""
1842-11,0.6,""""
1842-12,2.1,""""
1843-01,-0.4,""""
1843-02,5.0,""""
1843-03,1.1,""""
1843-04,7.8,""""
1843-05,10.7,""""
1843-06,15.9,""""
1843-07,17.5,""""
1843-08,17.9,""""
1843-09,11.5,""""
1843-10,8.4,""""
1843-11,3.3,""""
1843-12,2.8,""""
1844-01,-2.9,""""
1844-02,-2.6,""""
1844-03,0.1,""""
1844-04,7.0,""""
1844-05,13.5,""""
1844-06,16.1,""""
1844-07,15.1,""""
1844-08,15.2,""""
1844-09,13.8,""""
1844-10,9.8,""""
