Date [YYYY-MM],Temperature [°C],QCFLAG
1929-01,, 
1929-02,, 
1929-03,, 
1929-04,, 
1929-05,, 
1929-06,, 
1929-07,, 
1929-08,, 
1929-09,, 
1929-10,7.93,S
1929-11,7.14,S
1929-12,6.04,S
1930-01,5.38,S
1930-02,4.44,S
1930-03,3.57,S
1930-04,6.81,S
1930-05,8.34,S
1930-06,11.72,S
1930-07,12.74,S
1930-08,13.55,S
1930-09,11.54,S
1930-10,8.85,S
1930-11,5.21,S
1930-12,5.27,G
1931-01,2.49,G
1931-02,2.02,G
1931-03,1.59,G
1931-04,5.29,G
1931-05,7.99,G
1931-06,8.56,G
1931-07,11.41,G
1931-08,10.93,G
1931-09,9.22,G
1931-10,7.14,G
1931-11,7.66,G
1931-12,4.98,G
1932-01,5.25,G
1932-02,5.05,G
1932-03,3.66,G
1932-04,4.23,G
1932-05,7.63,G
1932-06,9.48,G
1932-07,12.18,G
1932-08,11.86,G
1932-09,9.11,G
1932-10,6.29,G
1932-11,5.78,G
1932-12,5.1,G
1933-01,4.34,G
1933-02,1.77,G
1933-03,5.24,G
1933-04,5.21,G
1933-05,7.75,G
1933-06,12.07,G
1933-07,13.62,G
1933-08,13.06,G
1933-09,11.56,G
1933-10,8.2,G
1933-11,5.91,G
1933-12,5.55,G
1934-01,5.01,G
1934-02,6.07,S
1934-03,3.86,G
1934-04,5.22,G
1934-05,7.35,G
1934-06,10.26,G
1934-07,12.99,G
1934-08,13.02,G
1934-09,11.37,G
1934-10,7.7,G
1934-11,5.26,G
1934-12,6.68,G
1935-01,4.42,G
1935-02,2.85,G
1935-03,5.25,G
1935-04,5.16,G
1935-05,7.24,G
1935-06,9.65,G
1935-07,11.5,G
1935-08,12.43,G
1935-09,10.67,G
1935-10,7.45,G
1935-11,6.54,G
1935-12,3.23,G
1936-01,2.1,G
1936-02,2.65,G
1936-03,4.18,G
1936-04,4.38,G
1936-05,8.06,G
1936-06,10.48,G
1936-07,13.39,G
1936-08,12.78,G
1936-09,11.14,G
1936-10,7.98,G
1936-11,6.04,G
1936-12,4.46,G
1937-01,3.71,G
1937-02,2.26,G
1937-03,1.58,G
1937-04,6.16,G
1937-05,8.61,G
1937-06,9.77,G
1937-07,11.81,G
1937-08,12.09,G
1937-09,10.26,G
1937-10,9.08,G
1937-11,5.04,G
1937-12,3.26,G
1938-01,4.31,G
1938-02,3.89,G
1938-03,5.99,G
1938-04,6.04,G
1938-05,6.94,G
1938-06,9.8,G
1938-07,11.76,G
1938-08,12.68,G
1938-09,10.58,G
1938-10,8.67,G
1938-11,6.29,G
1938-12,4.37,G
1939-01,2.44,G
1939-02,5.11,G
1939-03,4.8,G
1939-04,5.34,G
1939-05,8.19,G
1939-06,10.24,G
1939-07,11.51,G
1939-08,12.93,G
1939-09,11.43,G
1939-10,6.96,G
1939-11,5.53,G
1939-12,3.72,G
1940-01,1.7,G
1940-02,1.87,G
1940-03,2.82,G
1940-04,4.68,G
1940-05,8.68,G
1940-06,11.63,G
1940-07,11.29,G
1940-08,10.75,G
1940-09,9.16,G
1940-10,7.96,G
1940-11,5.04,G
1940-12,3.95,G
1941-01,1.11,G
1941-02,1.97,G
1941-03,3.03,G
1941-04,4.5,G
1941-05,6.74,G
1941-06,10.06,G
1941-07,12.74,G
1941-08,11.81,G
1941-09,11.06,G
1941-10,7.97,G
1941-11,5.53,G
1941-12,5.16,G
1942-01,1.79,G
1942-02,1.62,G
1942-03,2.13,G
1942-04,6.1,G
1942-05,7.57,G
1942-06,9.48,G
1942-07,11.48,G
1942-08,12.07,G
1942-09,10.39,G
1942-10,7.4,G
1942-11,5.98,G
1942-12,5.42,G
1943-01,3.56,G
1943-02,4.78,G
1943-03,5.77,G
1943-04,6.37,G
1943-05,8.34,G
1943-06,10.47,G
1943-07,11.85,G
1943-08,11.14,G
1943-09,10.73,G
1943-10,9.67,G
1943-11,5.25,G
1943-12,5.08,G
1944-01,4.01,G
1944-02,3.4,G
1944-03,3.51,G
1944-04,5.76,G
1944-05,7.31,G
1944-06,9.81,G
1944-07,12.25,G
1944-08,12.56,G
1944-09,10.05,G
1944-10,8.13,G
1944-11,4.23,G
1944-12,3.89,G
1945-01,0.73,G
1945-02,4.38,G
1945-03,6.39,G
1945-04,6.11,G
1945-05,8.15,G
1945-06,10.46,G
1945-07,12.53,G
1945-08,12.53,G
1945-09,11.47,G
1945-10,9.68,G
1945-11,7.22,G
1945-12,4.67,G
1946-01,4.54,G
1946-02,2.8,G
1946-03,4.13,G
1946-04,6.26,G
1946-05,8.13,G
1946-06,10.13,G
1946-07,12.47,G
1946-08,12.17,G
1946-09,11.5,G
1946-10,8.29,G
1946-11,6.14,G
1946-12,4.84,G
1947-01,3.22,G
1947-02,-0.35,G
1947-03,0.25,G
1947-04,5.18,G
1947-05,8.89,G
1947-06,10.43,G
1947-07,13.36,G
1947-08,14.36,G
1947-09,11.12,G
1947-10,8.73,G
1947-11,4.67,G
1947-12,4.44,G
1948-01,2.4,G
1948-02,3.98,G
1948-03,5.79,G
1948-04,6.12,G
1948-05,7.4,G
1948-06,9.82,G
1948-07,11.07,G
1948-08,10.76,G
1948-09,10.03,G
1948-10,6.82,G
1948-11,6.16,G
1948-12,6.08,G
1949-01,3.66,G
1949-02,4.54,G
1949-03,2.97,G
1949-04,6.01,G
1949-05,7.63,G
1949-06,9.87,G
1949-07,12.13,G
1949-08,11.77,G
1949-09,11.97,G
1949-10,9.09,G
1949-11,6.99,G
1949-12,3.76,G
1950-01,4.86,G
1950-02,2.8,G
1950-03,5.16,G
1950-04,5.17,G
1950-05,7.97,G
1950-06,10.53,G
1950-07,12.36,G
1950-08,13.11,G
1950-09,10.41,G
1950-10,8.01,G
1950-11,4.56,G
1950-12,1.22,G
1951-01,3.04,G
1951-02,2.93,G
1951-03,2.15,G
1951-04,3.66,G
1951-05,6.86,G
1951-06,8.83,G
1951-07,10.7,G
1951-08,11.72,G
1951-09,10.72,G
1951-10,9.13,G
1951-11,6.45,G
1951-12,4.32,G
1952-01,1.26,G
1952-02,2.54,G
1952-03,4.16,G
1952-04,6.46,G
1952-05,8.13,G
1952-06,8.82,G
1952-07,11.16,G
1952-08,11.17,G
1952-09,8.24,G
1952-10,7.25,G
1952-11,3.65,G
1952-12,3.7,G
1953-01,4.32,G
1953-02,3.14,G
1953-03,5.62,G
1953-04,4.51,G
1953-05,7.82,G
1953-06,10.75,G
1953-07,12.41,G
1953-08,12.27,G
1953-09,11.17,G
1953-10,9.35,G
1953-11,7.16,G
1953-12,6.05,G
1954-01,3.46,G
1954-02,2.52,G
1954-03,4.04,G
1954-04,5.46,G
1954-05,8.49,G
1954-06,9.74,G
1954-07,11.14,G
1954-08,11.5,G
1954-09,9.29,G
1954-10,7.0,G
1954-11,5.57,G
1954-12,4.14,G
1955-01,2.05,G
1955-02,0.37,G
1955-03,2.95,G
1955-04,6.13,G
1955-05,6.27,G
1955-06,9.49,G
1955-07,12.91,G
1955-08,12.86,G
1955-09,11.44,G
1955-10,7.16,G
1955-11,6.94,G
1955-12,2.34,G
1956-01,1.55,G
1956-02,2.24,G
1956-03,3.57,G
1956-04,4.36,G
1956-05,8.33,G
1956-06,9.01,G
1956-07,11.24,G
1956-08,10.33,G
1956-09,10.7,G
1956-10,7.63,G
1956-11,6.39,G
1956-12,4.72,G
1957-01,4.67,G
1957-02,2.88,G
1957-03,5.69,G
1957-04,6.31,G
1957-05,7.13,G
1957-06,9.39,G
1957-07,11.43,G
1957-08,11.24,G
1957-09,9.44,G
1957-10,8.01,G
1957-11,6.14,G
1957-12,3.9,G
1958-01,2.39,G
1958-02,1.09,G
1958-03,1.53,G
1958-04,4.89,G
1958-05,6.43,G
1958-06,9.9,G
1958-07,11.88,G
1958-08,11.7,G
1958-09,12.07,G
1958-10,9.47,G
1958-11,7.21,G
1958-12,3.8,G
1959-01,0.45,G
1959-02,4.66,G
1959-03,5.65,G
1959-04,6.65,G
1959-05,8.24,G
1959-06,10.48,G
1959-07,12.63,G
1959-08,12.36,G
1959-09,11.31,G
1959-10,9.84,G
