Date [YYYY-MM],Temperature [°C],QCFLAG
1984-01,, 
1984-02,, 
1984-03,, 
1984-04,, 
1984-05,, 
1984-06,, 
1984-07,, 
1984-08,, 
1984-09,11.0,S
1984-10,9.95,S
1984-11,8.29,S
1984-12,7.89,S
1985-01,4.57,S
1985-02,5.14,S
1985-03,4.92,S
1985-04,5.75,S
1985-05,8.16,S
1985-06,9.97,S
1985-07,12.46,S
1985-08,12.8,S
1985-09,10.53,S
1985-10,10.97,S
1985-11,5.76,S
1985-12,6.03,S
1986-01,5.25,S
1986-02,4.12,S
1986-03,6.49,S
1986-04,5.59,S
1986-05,8.82,S
1986-06,10.4,S
1986-07,, 
1986-08,, 
1986-09,, 
1986-10,10.04,S
1986-11,8.52,S
1986-12,, 
1987-01,, 
1987-02,4.88,S
1987-03,4.26,S
1987-04,7.17,S
1987-05,8.12,S
1987-06,10.16,S
1987-07,13.03,S
1987-08,11.79,S
1987-09,10.86,S
1987-10,9.66,S
1987-11,8.1,S
1987-12,7.75,S
1988-01,5.95,S
1988-02,5.38,S
1988-03,4.64,S
1988-04,5.66,S
1988-05,, 
1988-06,, 
1988-07,12.11,S
1988-08,12.32,S
1988-09,11.89,S
1988-10,9.77,S
1988-11,7.78,S
1988-12,7.75,S
1989-01,8.03,S
1989-02,6.56,S
1989-03,6.34,S
1989-04,6.36,S
1989-05,8.67,S
1989-06,10.95,S
1989-07,13.43,S
1989-08,, 
1989-09,11.33,S
1989-10,9.92,S
1989-11,8.28,S
1989-12,6.61,S
1990-01,7.76,S
1990-02,9.18,S
1990-03,, 
1990-04,6.6,S
1990-05,8.87,S
1990-06,10.64,S
1990-07,11.6,S
1990-08,, 
1990-09,, 
1990-10,10.08,S
1990-11,7.91,S
1990-12,6.39,S
1991-01,6.31,S
1991-02,5.01,S
1991-03,6.9,S
1991-04,7.04,S
1991-05,8.56,S
1991-06,9.5,S
1991-07,, 
1991-08,, 
1991-09,11.37,S
1991-10,10.09,S
1991-11,8.01,S
1991-12,7.61,S
1992-01,7.51,S
1992-02,7.14,S
1992-03,5.92,S
1992-04,6.71,S
1992-05,, 
1992-06,, 
1992-07,, 
1992-08,, 
1992-09,11.49,S
1992-10,, 
1992-11,7.24,S
1992-12,6.38,S
1993-01,5.47,S
1993-02,5.79,S
1993-03,6.52,S
1993-04,7.09,S
1993-05,8.54,S
1993-06,9.58,S
1993-07,10.93,S
1993-08,11.45,S
1993-09,11.11,S
1993-10,8.81,S
1993-11,, 
1993-12,5.52,S
1994-01,5.46,S
1994-02,4.83,S
1994-03,5.28,S
1994-04,6.58,S
1994-05,8.08,S
1994-06,9.89,S
1994-07,12.35,S
1994-08,12.41,S
1994-09,11.02,S
1994-10,9.26,S
1994-11,9.62,S
1994-12,7.43,S
1995-01,5.74,S
1995-02,5.25,S
1995-03,5.22,S
1995-04,6.21,S
1995-05,7.49,S
1995-06,10.03,S
1995-07,11.97,S
1995-08,13.67,S
1995-09,13.4,S
1995-10,, 
1995-11,, 
1995-12,5.31,S
1996-01,6.3,S
1996-02,4.28,S
1996-03,4.79,S
1996-04,6.73,S
1996-05,6.9,S
1996-06,9.87,S
1996-07,10.83,S
1996-08,12.44,S
1996-09,11.53,S
1996-10,10.33,S
1996-11,5.4,S
1996-12,5.55,S
1997-01,6.39,S
1997-02,5.87,S
1997-03,6.35,S
1997-04,6.22,S
1997-05,7.59,S
1997-06,9.7,S
1997-07,11.81,S
1997-08,13.43,S
1997-09,11.31,S
1997-10,8.89,S
1997-11,8.72,S
1997-12,7.68,S
1998-01,6.21,S
1998-02,6.87,S
1998-03,5.73,S
1998-04,5.66,S
1998-05,8.67,S
1998-06,9.46,S
1998-07,11.02,S
1998-08,11.32,S
1998-09,11.47,S
1998-10,8.64,S
1998-11,7.24,S
1998-12,, 
1999-01,6.11,S
1999-02,4.54,S
1999-03,5.96,S
1999-04,6.62,S
1999-05,, 
1999-06,9.85,S
1999-07,11.48,S
1999-08,, 
1999-09,, 
1999-10,10.07,S
1999-11,8.54,S
1999-12,5.08,S
2000-01,6.23,S
2000-02,5.81,S
2000-03,5.66,S
2000-04,5.64,S
2000-05,8.59,S
2000-06,9.22,S
2000-07,10.86,S
2000-08,12.01,S
2000-09,12.37,S
2000-10,11.89,S
2000-11,8.87,S
2000-12,7.98,S
2001-01,7.45,S
2001-02,4.59,S
2001-03,4.73,S
2001-04,6.29,S
2001-05,8.6,S
2001-06,9.21,S
2001-07,11.34,S
