Date [YYYY-MM],Temperature [°C],QCFLAG
1941-01,, 
1941-02,, 
1941-03,, 
1941-04,, 
1941-05,, 
1941-06,, 
1941-07,, 
1941-08,15.17,6
1941-09,9.34,6
1941-10,3.22,6
1941-11,-8.66,6
1941-12,-7.1,6
1942-01,-2.94,6
1942-02,0.14,6
1942-03,-3.83,6
1942-04,2.68,6
1942-05,8.64,6
1942-06,11.58,6
1942-07,, 
1942-08,14.55,6
1942-09,11.76,6
1942-10,5.6,6
1942-11,, 
1942-12,, 
1943-01,-14.88,6
1943-02,, 
1943-03,-4.17,6
1943-04,1.68,6
1943-05,9.39,6
1943-06,, 
1943-07,14.89,6
1943-08,, 
1943-09,7.3,6
1943-10,2.81,6
1943-11,0.09,6
1943-12,, 
1952-01,, 
1952-02,, 
1952-03,, 
1952-04,-0.73,0
1952-05,4.83,0
1952-06,10.78,0
1952-07,13.16,0
1952-08,, 
1952-09,, 
1952-10,3.36,0
1952-11,1.31,0
1952-12,-5.92,0
1953-01,-11.38,0
1953-02,-6.47,0
1953-03,-7.53,0
1953-04,0.94,0
1953-05,6.31,0
1953-06,12.82,0
1953-07,, 
1953-08,12.43,0
1953-09,7.46,0
1953-10,0.9,0
1953-11,, 
1953-12,-7.16,0
1954-01,-14.24,0
1954-02,-19.03,0
1954-03,-6.49,0
1954-04,-2.23,0
1954-05,, 
1954-06,, 
1954-07,, 
1954-08,, 
1954-09,, 
1954-10,2.18,0
1954-11,, 
1954-12,, 
1966-01,, 
1966-02,, 
1966-03,, 
1966-04,, 
1966-05,, 
1966-06,, 
1966-07,, 
1966-08,, 
1966-09,7.85,0
1966-10,-0.29,0
1966-11,-6.17,0
1966-12,-11.11,0
1967-01,-13.45,0
1967-02,-9.81,0
1967-03,-5.89,0
1967-04,1.42,0
1967-05,7.42,0
1967-06,11.55,0
1967-07,11.4,0
1967-08,13.07,0
1967-09,8.58,0
1967-10,1.99,0
1967-11,-1.93,0
1967-12,-11.23,0
1968-01,-13.29,0
1968-02,-4.22,0
1968-03,-2.57,0
1968-04,1.26,0
1968-05,7.46,0
1968-06,10.97,0
1968-07,13.98,0
1968-08,13.03,0
1968-09,6.96,0
1968-10,0.76,0
1968-11,-2.32,0
1968-12,-15.71,0
1969-01,-19.45,0
1969-02,-9.12,0
1969-03,-2.74,0
1969-04,3.1,0
1969-05,7.23,0
1969-06,12.02,0
1969-07,13.36,0
1969-08,10.64,0
1969-09,8.54,0
1969-10,3.81,0
1969-11,-3.84,0
1969-12,-0.8,0
1970-01,-13.93,0
1970-02,0.06,0
1970-03,1.38,0
1970-04,1.17,0
1970-05,6.49,0
1970-06,8.8,0
1970-07,10.47,0
1970-08,9.69,0
1970-09,6.33,0
1970-10,-1.31,0
1970-11,-3.63,0
1970-12,-12.11,0
1971-01,-20.8,0
1971-02,-7.5,0
1971-03,-12.31,0
1971-04,-1.2,0
1971-05,2.67,0
1971-06,9.25,0
1971-07,12.32,0
1971-08,11.99,0
1971-09,6.96,0
1971-10,0.64,0
1971-11,-7.08,0
1971-12,-9.19,0
1972-01,-15.09,0
1972-02,-13.17,0
1972-03,, 
1972-04,, 
1972-05,, 
1972-06,8.75,0
1972-07,14.1,0
1972-08,12.41,0
1972-09,6.86,0
1972-10,1.71,0
1972-11,-3.46,0
1972-12,, 
1973-01,-18.85,0
1973-02,-12.2,0
1973-03,-3.35,0
1973-04,1.53,0
1973-05,5.28,0
1973-06,9.55,0
1973-07,11.65,0
1973-08,10.02,0
1973-09,7.06,0
1973-10,0.36,0
1973-11,-9.07,0
1973-12,-7.21,0
1974-01,-15.98,0
1974-02,-8.59,0
1974-03,-5.97,0
1974-04,, 
1974-05,7.35,0
1974-06,11.01,0
1974-07,, 
1974-08,, 
1974-09,8.91,0
1974-10,1.95,0
1974-11,-3.56,0
1974-12,-9.0,0
1975-01,-12.09,0
1975-02,-12.71,0
1975-03,-6.47,0
1975-04,-0.26,0
1975-05,5.44,0
1975-06,9.15,0
1975-07,12.5,0
1975-08,12.15,0
1975-09,8.63,0
1975-10,1.72,0
1975-11,-9.93,0
1975-12,-10.53,0
1976-01,-9.32,0
1976-02,-10.83,0
1976-03,-4.53,0
1976-04,0.82,0
1976-05,5.3,0
1976-06,, 
1976-07,12.92,0
1976-08,12.04,0
1976-09,7.55,0
1976-10,1.16,0
1976-11,0.92,0
1976-12,-1.73,0
1977-01,, 
1977-02,, 
1977-03,-5.46,0
1977-04,1.3,0
1977-05,5.49,0
1977-06,10.99,0
1977-07,, 
1977-08,14.09,0
1977-09,9.18,0
1977-10,3.45,0
1977-11,-9.0,0
