Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,17.4,U
1990-08,14.5,U
1990-09,6.76,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,-16.96,U
1991-03,-7.36,U
1991-04,4.03,U
1991-05,10.26,U
1991-06,15.42,U
1991-07,15.09,U
1991-08,12.22,U
1991-09,8.81,U
1991-10,-5.06,U
1991-11,-17.09,U
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,-0.94,U
1992-05,5.61,U
1992-06,14.57,U
1992-07,16.26,U
1992-08,12.68,U
1992-09,-0.54,U
1992-10,-6.92,U
1992-11,-13.27,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,4.76,U
1993-05,10.92,U
1993-06,14.91,U
1993-07,17.29,U
1993-08,13.5,U
1993-09,7.34,U
1993-10,-1.34,U
1993-11,-14.36,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,-7.98,U
1994-04,3.79,U
1994-05,8.74,U
1994-06,14.49,U
1994-07,16.97,U
1994-08,16.12,U
1994-09,5.58,U
1994-10,-4.91,U
1994-11,-18.86,U
1994-12,-25.02,U
1995-01,, 
1995-02,-16.54,U
1995-03,-12.68,U
1995-04,5.18,U
1995-05,11.76,U
1995-06,, 
1995-07,15.47,U
1995-08,12.43,U
1995-09,10.64,U
1995-10,-2.73,U
1995-11,-19.54,U
1995-12,-22.67,U
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,13.57,U
1996-07,16.47,U
1996-08,11.76,U
1996-09,5.48,U
1996-10,-9.76,U
1996-11,-20.04,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,14.97,U
1997-07,17.07,U
1997-08,14.02,U
1997-09,9.05,U
1997-10,-8.31,U
1997-11,-14.0,U
1997-12,-19.15,U
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,3.49,U
1998-05,9.88,U
1998-06,15.28,U
1998-07,16.47,U
1998-08,12.16,U
1998-09,7.39,U
1998-10,-4.46,U
1998-11,-16.01,U
1998-12,-23.71,U
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,0.88,U
1999-05,6.64,U
1999-06,15.34,U
1999-07,15.82,U
1999-08,14.28,U
1999-09,6.94,U
1999-10,-4.44,U
1999-11,-18.62,U
1999-12,-21.04,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,0.95,U
2000-05,6.19,U
2000-06,14.45,U
2000-07,15.8,U
2000-08,10.16,U
2000-09,4.5,U
2000-10,-4.97,U
2000-11,-13.76,U
2000-12,-20.46,U
2001-01,, 
2001-02,, 
2001-03,-8.04,U
2001-04,2.21,U
2001-05,6.8,U
2001-06,15.26,U
2001-07,15.31,U
2001-08,14.91,U
2001-09,7.85,U
2001-10,-5.37,U
2001-11,-17.94,U
2001-12,, 
2002-01,, 
2002-02,-16.33,U
2002-03,-11.32,U
2002-04,-3.06,U
2002-05,8.74,U
2002-06,13.95,U
2002-07,15.87,U
2002-08,12.3,U
2002-09,6.97,U
2002-10,-0.1,U
2002-11,-9.6,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-10.28,U
2003-04,1.63,U
2003-05,8.15,U
2003-06,14.21,U
2003-07,17.28,U
2003-08,13.8,U
2003-09,4.59,U
2003-10,-0.27,U
2003-11,-16.14,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,18.77,U
2004-07,17.53,U
2004-08,16.61,U
2004-09,3.53,U
2004-10,-2.46,U
2004-11,, 
2004-12,, 
2005-01,-23.37,U
2005-02,-16.96,U
2005-03,-3.88,U
2005-04,3.69,U
2005-05,12.26,U
2005-06,15.0,U
2005-07,14.74,U
2005-08,14.71,U
2005-09,8.03,U
2005-10,-2.64,U
2005-11,-16.84,U
2005-12,, 
2006-01,, 
2006-02,-14.94,U
2006-03,-13.54,U
2006-04,0.49,U
2006-05,8.78,U
2006-06,14.75,U
2006-07,16.7,U
2006-08,13.13,U
2006-09,8.77,U
2006-10,-1.11,U
2006-11,-24.81,U
2006-12,-19.45,U
2007-01,-19.92,U
2007-02,-19.32,U
2007-03,-17.16,U
2007-04,3.69,U
2007-05,9.94,U
2007-06,16.72,U
2007-07,17.19,U
2007-08,15.73,U
2007-09,7.22,U
2007-10,-5.03,U
2007-11,-12.18,U
2007-12,-23.84,U
2008-01,-24.82,U
2008-02,-20.63,U
2008-03,-6.15,U
2008-04,1.39,U
2008-05,9.08,U
2008-06,13.68,U
2008-07,13.45,U
2008-08,10.82,U
2008-09,7.28,U
2008-10,-6.89,U
2008-11,-16.96,U
2008-12,-24.89,U
2009-01,-26.07,U
2009-02,-18.2,U
2009-03,-12.51,U
2009-04,1.92,U
2009-05,10.01,U
2009-06,14.08,U
2009-07,18.5,U
2009-08,12.68,U
2009-09,7.63,U
2009-10,-2.02,U
2009-11,-17.73,U
2009-12,-19.6,U
2010-01,-22.61,U
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,10.65,U
2010-06,13.0,U
2010-07,15.27,U
2010-08,14.05,U
2010-09,6.03,U
2010-10,-4.15,U
2010-11,-12.04,U
2010-12,-25.89,U
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,13.86,U
2011-07,15.39,U
2011-08,12.35,U
2011-09,7.99,U
2011-10,-3.01,U
2011-11,-21.1,U
2011-12,-15.25,U
2012-01,-29.43,U
2012-02,-12.45,U
2012-03,-10.15,U
2012-04,4.45,U
2012-05,7.43,U
2012-06,14.13,U
2012-07,15.57,U
2012-08,13.96,U
2012-09,8.42,U
2012-10,-6.22,U
2012-11,-22.05,U
2012-12,-28.83,U
2013-01,-19.74,U
2013-02,-15.11,U
2013-03,-10.71,U
2013-04,-5.8,U
2013-05,7.45,U
2013-06,17.32,U
2013-07,16.69,U
2013-08,15.42,U
2013-09,5.86,U
2013-10,1.03,U
2013-11,-15.42,U
2013-12,-22.41,U
2014-01,-13.92,U
2014-02,-20.34,U
2014-03,-7.86,U
2014-04,2.2,U
2014-05,10.55,U
2014-06,12.84,U
2014-07,15.38,U
2014-08,14.0,U
2014-09,6.86,U
2014-10,-3.52,U
2014-11,-14.4,U
2014-12,-17.08,U
2015-01,-21.37,U
2015-02,-17.69,U
2015-03,-6.29,U
2015-04,3.54,U
2015-05,13.97,U
2015-06,15.16,U
2015-07,15.85,U
2015-08,11.53,U
2015-09,5.94,U
2015-10,-0.65,U
2015-11,-13.84,U
2015-12,-20.08,U
2016-01,-14.51,U
2016-02,-12.53,U
2016-03,-2.79,U
2016-04,6.12,U
2016-05,10.98,U
2016-06,15.3,U
2016-07,16.7,U
2016-08,15.26,U
2016-09,8.33,U
2016-10,-4.75,U
2016-11,-15.01,U
2016-12,-22.26,U
2017-01,-21.88,U
2017-02,-15.63,U
2017-03,-15.02,U
2017-04,3.73,U
2017-05,9.57,U
2017-06,14.82,U
2017-07,16.91,U
2017-08,14.58,U
2017-09,8.76,U
2017-10,-2.07,U
2017-11,-18.41,U
2017-12,-14.89,U
2018-01,, 
2018-02,, 
2018-03,, 
2018-04,, 
2018-05,9.18,U
2018-06,13.9,U
2018-07,17.87,U
2018-08,12.65,U
2018-09,7.6,U
2018-10,0.3,U
2018-11,-13.46,U
2018-12,, 
2019-01,, 
2019-02,-15.51,U
2019-03,-1.13,U
2019-04,3.0,U
2019-05,11.89,U
2019-06,16.16,U
2019-07,17.6,U
2019-08,12.71,U
2019-09,9.25,U
2019-10,-1.42,U
2019-11,-11.77,U
2019-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,11.38,U
2020-06,12.85,U
2020-07,15.24,U
2020-08,13.25,U
2020-09,7.91,U
2020-10,-2.31,U
2020-11,, 
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,-9.39,U
2021-04,0.16,U
2021-05,9.21,U
2021-06,15.16,U
2021-07,17.29,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
