Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,14.62,U
1998-06,9.12,U
1998-07,9.58,U
1998-08,8.39,U
1998-09,7.32,U
1998-10,4.34,U
1998-11,0.88,U
1998-12,-2.74,U
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,8.23,U
1999-07,9.09,U
1999-08,9.46,U
1999-09,8.04,U
1999-10,4.56,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,9.01,U
2000-07,9.17,U
2000-08,8.6,U
2000-09,7.66,U
2000-10,4.74,U
2000-11,2.61,U
2000-12,1.13,U
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,8.73,U
2001-07,8.76,U
2001-08,8.91,U
2001-09,8.21,U
2001-10,3.96,U
2001-11,0.17,U
2001-12,-4.17,U
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,, 
2002-07,9.23,U
2002-08,9.48,U
2002-09,8.01,U
2002-10,, 
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,6.89,U
2003-06,8.7,U
2003-07,10.09,U
2003-08,9.16,U
2003-09,8.24,U
2003-10,5.99,U
2003-11,-1.19,U
2003-12,-0.81,U
2004-01,-4.39,U
2004-02,1.64,U
2004-03,-0.18,U
2004-04,4.23,U
2004-05,8.68,U
2004-06,9.83,U
2004-07,10.32,U
2004-08,10.14,U
2004-09,7.25,U
2004-10,5.1,U
2004-11,1.68,U
2004-12,0.12,U
2005-01,-1.16,U
2005-02,-1.23,U
2005-03,2.62,U
2005-04,5.23,U
2005-05,8.44,U
2005-06,10.0,U
2005-07,10.01,U
2005-08,9.57,U
2005-09,8.47,U
2005-10,4.61,U
2005-11,-0.11,U
2005-12,2.02,U
2006-01,-3.43,U
2006-02,-3.34,U
2006-03,-1.49,U
2006-04,2.73,U
2006-05,7.61,U
2006-06,10.01,U
2006-07,10.27,U
2006-08,10.33,U
2006-09,8.26,U
2006-10,4.82,U
2006-11,-5.23,U
2006-12,-0.11,U
2007-01,-2.62,U
2007-02,-3.23,U
2007-03,-3.72,U
2007-04,3.14,U
2007-05,6.96,U
2007-06,, 
2007-07,, 
2007-08,9.55,U
2007-09,7.72,U
2007-10,3.68,U
2007-11,7.63,U
2007-12,6.85,U
2008-01,3.36,U
2008-02,-1.73,U
2008-03,1.8,U
2008-04,2.3,U
2008-05,6.83,U
2008-06,7.76,U
2008-07,12.61,U
2008-08,9.01,U
2008-09,8.46,U
2008-10,3.25,U
2008-11,1.03,U
2008-12,-4.19,U
2009-01,-3.04,U
2009-02,-5.01,U
2009-03,-1.63,U
2009-04,1.99,U
2009-05,7.84,U
2009-06,9.29,U
2009-07,11.15,U
2009-08,9.81,U
2009-09,7.97,U
2009-10,5.95,U
2009-11,-0.03,U
2009-12,-1.99,U
2010-01,0.54,U
2010-02,1.98,U
2010-03,1.1,U
2010-04,3.59,U
2010-05,7.96,U
2010-06,9.11,U
2010-07,9.93,U
2010-08,10.19,U
2010-09,7.75,U
2010-10,5.01,U
2010-11,1.69,U
2010-12,-4.35,U
2011-01,-3.11,U
2011-02,-3.58,U
2011-03,-2.48,U
2011-04,3.32,U
2011-05,6.72,U
2011-06,7.15,U
2011-07,7.97,U
2011-08,9.01,U
2011-09,7.78,U
2011-10,4.81,U
2011-11,-2.43,U
2011-12,-0.47,U
2012-01,-6.35,U
2012-02,-0.03,U
2012-03,-2.86,U
2012-04,2.84,U
2012-05,5.35,U
2012-06,8.05,U
2012-07,8.47,U
2012-08,8.77,U
2012-09,7.83,U
2012-10,2.0,U
2012-11,-2.53,U
2012-12,-3.93,U
2013-01,-0.31,U
2013-02,1.17,U
2013-03,-0.87,U
2013-04,1.12,U
2013-05,6.56,U
2013-06,, 
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2014-01,2.2,U
2014-02,-5.38,U
2014-03,-1.59,U
2014-04,2.47,U
2014-05,7.86,U
2014-06,9.03,U
2014-07,9.63,U
2014-08,10.35,U
2014-09,9.31,U
2014-10,4.89,U
2014-11,1.88,U
2014-12,1.78,U
2015-01,1.11,U
2015-02,0.64,U
2015-03,1.38,U
2015-04,3.96,U
2015-05,8.34,U
2015-06,, 
2015-07,, 
2015-08,, 
2015-09,, 
2015-10,, 
2015-11,, 
2015-12,, 
