Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,, 
1999-08,14.19,U
1999-09,8.99,U
1999-10,0.23,U
1999-11,-9.87,U
1999-12,-15.33,U
2000-01,-11.18,U
2000-02,-4.45,U
2000-03,-1.49,U
2000-04,3.55,U
2000-05,7.9,U
2000-06,14.34,U
2000-07,15.09,U
2000-08,13.01,U
2000-09,7.85,U
2000-10,0.49,U
2000-11,-4.37,U
2000-12,-8.52,U
2001-01,-4.22,U
2001-02,, 
2001-03,-1.26,U
2001-04,3.16,U
2001-05,7.4,U
2001-06,15.99,U
2001-07,15.07,U
2001-08,15.17,U
2001-09,9.86,U
2001-10,-2.04,U
2001-11,-10.39,U
2001-12,-16.05,U
2002-01,-7.19,U
2002-02,-7.46,U
2002-03,-5.47,U
2002-04,0.11,U
2002-05,9.77,U
2002-06,13.63,U
2002-07,16.2,U
2002-08,13.55,U
2002-09,9.6,U
2002-10,3.32,U
2002-11,0.03,U
2002-12,-7.06,U
2003-01,-9.66,U
2003-02,, 
2003-03,, 
2003-04,3.34,U
2003-05,9.02,U
2003-06,14.43,U
2003-07,16.95,U
2003-08,14.35,U
2003-09,8.86,U
2003-10,3.93,U
2003-11,-8.66,U
2003-12,-12.94,U
2004-01,-17.05,U
2004-02,-4.38,U
2004-03,-4.32,U
2004-04,3.9,U
2004-05,11.04,U
2004-06,16.23,U
2004-07,18.22,U
2004-08,17.72,U
2004-09,6.31,U
2004-10,2.37,U
2004-11,-4.13,U
2004-12,-9.27,U
2005-01,-11.2,U
2005-02,-8.83,U
2005-03,-0.07,U
2005-04,4.07,U
2005-05,10.91,U
2005-06,15.93,U
2005-07,17.56,U
2005-08,15.54,U
2005-09,9.7,U
2005-10,1.24,U
2005-11,-11.24,U
2005-12,-6.55,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,, 
2006-07,, 
2006-08,0.5,U
2006-09,9.99,U
2006-10,2.04,U
2006-11,-12.67,U
2006-12,, 
2007-01,, 
2007-02,-11.7,U
2007-03,-10.61,U
2007-04,4.44,U
2007-05,9.36,U
2007-06,14.78,U
2007-07,15.81,U
2007-08,15.74,U
2007-09,9.84,U
2007-10,0.72,U
2007-11,-3.02,U
2007-12,, 
2008-01,, 
2008-02,-10.48,U
2008-03,-1.97,U
2008-04,0.54,U
2008-05,8.04,U
2008-06,12.52,U
2008-07,13.9,U
2008-08,13.94,U
2008-09,8.95,U
2008-10,-3.36,U
2008-11,-8.81,U
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,-6.25,U
2009-04,1.14,U
2009-05,9.78,U
2009-06,13.48,U
2009-07,17.44,U
2009-08,13.16,U
2009-09,9.07,U
2009-10,3.96,U
2009-11,-10.16,U
2009-12,-4.08,U
2010-01,-10.34,U
2010-02,-5.6,U
2010-03,-3.92,U
2010-04,1.83,U
2010-05,9.71,U
2010-06,, 
2010-07,13.9,U
2010-08,10.88,U
2010-09,9.73,U
2010-10,2.29,U
2010-11,-6.43,U
2010-12,-17.47,U
2011-01,-12.86,U
2011-02,-12.38,U
2011-03,-5.33,U
2011-04,2.27,U
2011-05,8.65,U
2011-06,13.0,U
2011-07,15.07,U
2011-08,13.3,U
2011-09,9.57,U
2011-10,2.17,U
2011-11,-13.93,U
2011-12,-11.0,U
2012-01,-22.4,U
2012-02,-6.43,U
2012-03,-7.76,U
2012-04,3.69,U
2012-05,7.63,U
2012-06,13.6,U
2012-07,14.15,U
2012-08,13.29,U
2012-09,7.67,U
2012-10,0.29,U
2012-11,-10.65,U
2012-12,-14.46,U
2013-01,-8.62,U
2013-02,-5.33,U
2013-03,-5.62,U
2013-04,-2.2,U
2013-05,7.19,U
2013-06,16.75,U
2013-07,17.45,U
2013-08,14.52,U
2013-09,8.87,U
2013-10,3.24,U
2013-11,-8.81,U
2013-12,-14.56,U
2014-01,-4.45,U
2014-02,-10.11,U
2014-03,-4.53,U
2014-04,2.29,U
2014-05,10.6,U
2014-06,12.41,U
2014-07,15.67,U
2014-08,14.0,U
2014-09,9.28,U
2014-10,0.12,U
2014-11,-3.83,U
2014-12,-5.23,U
2015-01,-12.04,U
2015-02,-6.93,U
2015-03,-3.57,U
2015-04,3.23,U
2015-05,10.62,U
2015-06,15.48,U
2015-07,16.39,U
2015-08,14.96,U
2015-09,7.21,U
2015-10,3.62,U
2015-11,-7.31,U
2015-12,-10.65,U
2016-01,-7.31,U
2016-02,-3.67,U
2016-03,-0.22,U
2016-04,5.9,U
2016-05,11.43,U
2016-06,15.2,U
2016-07,17.81,U
2016-08,15.52,U
2016-09,9.56,U
2016-10,1.54,U
2016-11,-5.76,U
2016-12,-12.37,U
2017-01,-15.23,U
2017-02,-9.75,U
2017-03,-6.45,U
2017-04,5.05,U
2017-05,9.05,U
