Date [YYYY-MM],Temperature [°C],QCFLAG
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,, 
1989-08,, 
1989-09,, 
1989-10,2.28,U
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.42,U
1990-07,14.93,U
1990-08,14.19,U
1990-09,9.36,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,12.69,U
1991-07,13.1,U
1991-08,12.61,U
1991-09,9.64,U
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,12.49,U
1992-07,14.34,U
1992-08,12.2,U
1992-09,5.08,U
1992-10,, 
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,9.86,U
1993-06,13.07,U
1993-07,17.18,U
1993-08,14.32,U
1993-09,8.61,U
1993-10,4.46,U
1993-11,, 
1993-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,11.99,U
1995-07,13.94,U
1995-08,13.54,U
1995-09,11.02,U
1995-10,4.15,U
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,9.81,U
1996-06,12.4,U
1996-07,15.01,U
1996-08,13.06,U
1996-09,7.91,U
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,5.16,U
1997-05,9.82,U
1997-06,14.6,U
1997-07,16.69,U
1997-08,15.53,U
1997-09,10.5,U
1997-10,0.81,U
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,7.4,U
1998-06,12.41,U
1998-07,14.35,U
1998-08,12.1,U
1998-09,8.86,U
1998-10,3.72,U
1998-11,-1.03,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,7.95,U
1999-06,12.73,U
1999-07,15.36,U
1999-08,13.88,U
1999-09,9.2,U
1999-10,2.0,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,4.48,U
2000-05,8.22,U
2000-06,12.38,U
2000-07,13.58,U
2000-08,13.31,U
2000-09,8.88,U
2000-10,3.12,U
2000-11,1.94,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,7.33,U
2001-06,14.83,U
2001-07,14.1,U
2001-08,14.94,U
2001-09,9.64,U
2001-10,0.34,U
2001-11,-3.85,U
2001-12,-10.25,U
2002-01,-2.08,U
2002-02,-2.71,U
2002-03,-2.46,U
2002-04,1.74,U
2002-05,9.26,U
2002-06,12.48,U
2002-07,15.6,U
2002-08,14.16,U
2002-09,10.05,U
2002-10,6.42,U
2002-11,3.46,U
2002-12,, 
2003-01,-0.39,U
2003-02,1.55,U
2003-03,-1.36,U
2003-04,5.15,U
2003-05,8.59,U
2003-06,12.75,U
2003-07,16.9,U
2003-08,14.74,U
2003-09,10.08,U
2003-10,5.95,U
2003-11,-3.86,U
2003-12,-6.37,U
2004-01,, 
2004-02,1.12,U
2004-03,-1.46,U
2004-04,4.65,U
2004-05,11.12,U
2004-06,15.11,U
2004-07,17.27,U
2004-08,17.68,U
2004-09,8.56,U
2004-10,3.99,U
2004-11,-0.52,U
2004-12,-2.65,U
2005-01,-4.41,U
2005-02,-3.08,U
2005-03,1.49,U
2005-04,5.87,U
2005-05,10.11,U
2005-06,14.38,U
2005-07,15.5,U
2005-08,15.36,U
2005-09,10.44,U
2005-10,2.98,U
2005-11,-7.16,U
2005-12,0.01,U
2006-01,-10.16,U
2006-02,-3.86,U
2006-03,-2.18,U
2006-04,2.55,U
2006-05,8.76,U
2006-06,12.33,U
2006-07,15.18,U
2006-08,12.84,U
2006-09,9.83,U
2006-10,4.41,U
2006-11,-10.11,U
2006-12,-4.17,U
2007-01,-7.34,U
2007-02,-4.94,U
2007-03,-7.65,U
2007-04,4.71,U
2007-05,8.42,U
2007-06,13.96,U
2007-07,14.87,U
2007-08,15.16,U
2007-09,10.92,U
2007-10,3.07,U
2007-11,0.45,U
2007-12,-4.64,U
2008-01,-8.23,U
2008-02,-6.95,U
2008-03,0.28,U
2008-04,2.31,U
2008-05,8.26,U
2008-06,11.44,U
2008-07,13.06,U
2008-08,13.25,U
2008-09,8.99,U
2008-10,0.53,U
2008-11,-4.61,U
2008-12,-7.72,U
2009-01,-8.96,U
2009-02,-5.69,U
2009-03,-2.5,U
2009-04,3.58,U
2009-05,9.74,U
2009-06,13.05,U
2009-07,16.79,U
2009-08,13.85,U
2009-09,10.01,U
2009-10,5.32,U
2009-11,-5.32,U
2009-12,-3.12,U
2010-01,-4.85,U
2010-02,-0.9,U
2010-03,-1.26,U
2010-04,3.62,U
2010-05,9.52,U
2010-06,12.04,U
2010-07,13.19,U
2010-08,13.75,U
2010-09,10.92,U
2010-10,4.15,U
2010-11,-2.71,U
2010-12,-10.77,U
2011-01,-5.86,U
2011-02,-5.45,U
2011-03,-1.77,U
2011-04,4.13,U
2011-05,8.99,U
2011-06,12.02,U
2011-07,15.33,U
2011-08,13.08,U
2011-09,9.56,U
2011-10,3.82,U
2011-11,-7.62,U
2011-12,-4.97,U
2012-01,-15.54,U
2012-02,-0.95,U
2012-03,-2.65,U
2012-04,5.2,U
2012-05,7.11,U
2012-06,12.29,U
2012-07,13.15,U
2012-08,12.92,U
2012-09,8.81,U
2012-10,1.19,U
2012-11,-6.83,U
2012-12,-8.28,U
2013-01,-2.06,U
2013-02,-1.29,U
2013-03,-1.88,U
2013-04,0.42,U
2013-05,7.33,U
2013-06,15.54,U
2013-07,17.24,U
2013-08,14.29,U
2013-09,9.77,U
2013-10,5.82,U
2013-11,-3.18,U
2013-12,-7.82,U
2014-01,2.29,U
2014-02,-4.79,U
2014-03,-0.54,U
2014-04,4.03,U
2014-05,11.91,U
2014-06,12.09,U
2014-07,15.54,U
2014-08,14.19,U
2014-09,10.55,U
2014-10,2.09,U
2014-11,1.94,U
2014-12,0.23,U
2015-01,-4.34,U
2015-02,-2.56,U
2015-03,0.71,U
2015-04,4.43,U
2015-05,10.97,U
2015-06,14.09,U
2015-07,15.1,U
2015-08,14.7,U
2015-09,8.02,U
2015-10,5.84,U
2015-11,-1.74,U
2015-12,-2.63,U
2016-01,1.11,U
2016-02,2.04,U
2016-03,2.74,U
2016-04,6.3,U
2016-05,10.58,U
2016-06,13.99,U
2016-07,16.51,U
2016-08,14.56,U
2016-09,9.92,U
2016-10,4.21,U
2016-11,-1.63,U
2016-12,-7.15,U
2017-01,-8.43,U
2017-02,-5.59,U
2017-03,-6.44,U
2017-04,5.43,U
2017-05,7.68,U
2017-06,12.29,U
2017-07,15.05,U
2017-08,13.26,U
2017-09,9.83,U
2017-10,3.55,U
2017-11,-4.58,U
2017-12,-0.39,U
2018-01,-5.47,U
2018-02,-5.21,U
