Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.85,U
1990-07,16.81,U
1990-08,13.69,U
1990-09,4.6,U
1990-10,-6.49,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,9.82,U
1991-06,15.9,U
1991-07,13.65,U
1991-08,, 
1991-09,8.26,U
1991-10,-4.22,U
1991-11,-15.92,U
1991-12,-16.66,U
1992-01,-16.46,U
1992-02,-19.06,U
1992-03,-7.36,U
1992-04,-4.58,U
1992-05,3.34,U
1992-06,14.59,U
1992-07,16.19,U
1992-08,12.49,U
1992-09,-1.77,U
1992-10,-8.06,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,10.42,U
1993-06,, 
1993-07,, 
1993-08,, 
1993-09,5.03,U
1993-10,19.87,U
1993-11,39.95,U
1993-12,38.49,U
1994-01,33.28,U
1994-02,28.62,U
1994-03,28.81,U
1994-04,29.0,U
1994-05,30.3,U
1994-06,19.84,U
1994-07,17.2,U
1994-08,13.85,U
1994-09,4.96,U
1994-10,-5.95,U
1994-11,-16.0,U
1994-12,, 
1995-01,-15.13,U
1995-02,-12.72,U
1995-03,-14.32,U
1995-04,3.72,U
1995-05,11.24,U
1995-06,14.14,U
1995-07,15.65,U
1995-08,12.37,U
1995-09,10.06,U
1995-10,-4.73,U
1995-11,-14.58,U
1995-12,-16.99,U
1996-01,, 
1996-02,-15.56,U
1996-03,-7.04,U
1996-04,-2.54,U
1996-05,8.63,U
1996-06,14.12,U
1996-07,15.79,U
1996-08,9.68,U
1996-09,3.47,U
1996-10,-10.6,U
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,16.24,U
1997-07,16.76,U
1997-08,, 
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,13.55,U
1998-07,15.93,U
1998-08,10.06,U
1998-09,6.75,U
1998-10,-2.76,U
1998-11,-10.82,U
1998-12,-17.32,U
1999-01,-20.58,U
1999-02,-20.95,U
1999-03,-11.42,U
1999-04,-0.46,U
1999-05,7.26,U
1999-06,15.52,U
1999-07,15.63,U
1999-08,14.01,U
1999-09,6.91,U
1999-10,-7.6,U
1999-11,-15.25,U
1999-12,-20.8,U
2000-01,-17.89,U
2000-02,-7.91,U
2000-03,-7.08,U
2000-04,-0.92,U
2000-05,5.5,U
2000-06,16.01,U
2000-07,14.21,U
2000-08,9.26,U
2000-09,3.58,U
2000-10,-4.86,U
2000-11,-8.11,U
2000-12,-10.67,U
2001-01,-9.47,U
2001-02,-9.25,U
2001-03,-12.04,U
2001-04,-1.48,U
2001-05,5.26,U
2001-06,15.38,U
2001-07,13.92,U
2001-08,12.89,U
2001-09,9.47,U
2001-10,-6.17,U
2001-11,-11.66,U
2001-12,-17.8,U
2002-01,-10.76,U
2002-02,-11.86,U
2002-03,-8.1,U
2002-04,-3.54,U
2002-05,9.65,U
2002-06,13.78,U
2002-07,16.09,U
2002-08,11.57,U
2002-09,7.89,U
2002-10,-0.21,U
2002-11,-5.3,U
2002-12,-10.3,U
2003-01,-11.3,U
2003-02,-7.04,U
2003-03,-11.04,U
2003-04,0.77,U
2003-05,7.22,U
2003-06,14.8,U
2003-07,14.52,U
2003-08,12.76,U
2003-09,4.47,U
2003-10,0.29,U
2003-11,-11.79,U
2003-12,-16.26,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,19.06,U
2004-07,18.03,U
2004-08,16.76,U
2004-09,2.89,U
2004-10,-2.38,U
2004-11,-9.71,U
2004-12,-16.14,U
2005-01,-15.08,U
2005-02,-12.13,U
2005-03,-7.14,U
2005-04,1.12,U
2005-05,29.9,U
2005-06,16.61,U
2005-07,16.21,U
2005-08,13.9,U
2005-09,6.59,U
2005-10,-3.93,U
2005-11,-19.15,U
2005-12,-8.96,U
2006-01,-21.55,U
2006-02,-10.03,U
2006-03,-13.03,U
2006-04,-1.96,U
2006-05,9.96,U
2006-06,13.81,U
2006-07,15.02,U
2006-08,11.37,U
2006-09,9.59,U
2006-10,-0.11,U
2006-11,-16.27,U
2006-12,-12.24,U
2007-01,-14.65,U
2007-02,-14.51,U
2007-03,-17.94,U
2007-04,4.48,U
2007-05,9.92,U
2007-06,16.11,U
2007-07,17.88,U
2007-08,, 
2007-09,7.86,U
2007-10,-4.84,U
2007-11,-6.04,U
2007-12,-14.05,U
2008-01,-18.37,U
2008-02,-15.05,U
2008-03,-9.98,U
2008-04,-1.05,U
2008-05,8.59,U
2008-06,13.86,U
2008-07,13.88,U
2008-08,10.97,U
2008-09,6.05,U
2008-10,-8.26,U
2008-11,-12.58,U
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,14.15,U
2009-07,19.08,U
2009-08,, 
2009-09,7.71,U
2009-10,-0.95,U
2009-11,-14.53,U
2009-12,-11.21,U
2010-01,-18.02,U
2010-02,-10.73,U
2010-03,-9.19,U
2010-04,3.23,U
2010-05,11.71,U
2010-06,14.54,U
2010-07,15.62,U
2010-08,14.52,U
2010-09,8.3,U
2010-10,-2.22,U
2010-11,-8.18,U
2010-12,-21.38,U
2011-01,-13.33,U
2011-02,-15.71,U
2011-03,-7.83,U
2011-04,-1.51,U
2011-05,11.07,U
2011-06,14.13,U
2011-07,15.11,U
2011-08,12.38,U
2011-09,, 
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,15.67,U
2012-07,14.47,U
2012-08,12.47,U
2012-09,6.35,U
2012-10,-5.37,U
2012-11,-16.04,U
2012-12,-18.78,U
2013-01,-15.41,U
2013-02,-15.16,U
2013-03,-10.26,U
2013-04,-7.22,U
2013-05,6.17,U
2013-06,17.85,U
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2015-01,-13.81,U
2015-02,-10.79,U
2015-03,-6.39,U
2015-04,2.14,U
2015-05,13.25,U
2015-06,14.69,U
2015-07,15.68,U
2015-08,10.89,U
2015-09,4.31,U
2015-10,-1.79,U
2015-11,-9.54,U
2015-12,-13.97,U
2016-01,-9.29,U
2016-02,-7.14,U
2016-03,-7.32,U
2016-04,2.22,U
2016-05,10.16,U
2016-06,13.82,U
2016-07,15.73,U
2016-08,14.69,U
2016-09,6.55,U
2016-10,-1.6,U
2016-11,-11.64,U
2016-12,-14.87,U
2017-01,-15.55,U
2017-02,-12.22,U
2017-03,-14.52,U
2017-04,1.05,U
2017-05,9.29,U
2017-06,15.43,U
2017-07,17.52,U
2017-08,12.34,U
2017-09,7.25,U
2017-10,-1.62,U
2017-11,, 
2017-12,-6.53,U
2018-01,-15.13,U
2018-02,-10.65,U
2018-03,-7.03,U
2018-04,-1.95,U
2018-05,8.66,U
2018-06,13.84,U
2018-07,17.21,U
2018-08,11.02,U
2018-09,7.32,U
2018-10,1.5,U
2018-11,-8.61,U
2018-12,-13.12,U
2019-01,-14.5,U
2019-02,-9.78,U
2019-03,-0.24,U
2019-04,0.99,U
2019-05,10.45,U
2019-06,16.84,U
2019-07,17.84,U
2019-08,11.82,U
2019-09,8.11,U
2019-10,-1.65,U
2019-11,-10.2,U
2019-12,-15.94,U
2020-01,-22.35,U
2020-02,-17.05,U
2020-03,-11.78,U
2020-04,-0.32,U
2020-05,10.91,U
2020-06,14.44,U
2020-07,14.64,U
2020-08,14.51,U
2020-09,6.79,U
2020-10,, 
2020-11,, 
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,, 
2021-05,, 
2021-06,15.38,U
2021-07,16.25,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
