Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,-11.07,U
1998-12,-19.35,U
1999-01,-20.83,U
1999-02,, 
1999-03,-6.62,U
1999-04,2.61,U
1999-05,7.8,U
1999-06,13.95,U
1999-07,14.87,U
1999-08,14.14,U
1999-09,8.11,U
1999-10,-0.23,U
1999-11,-14.12,U
1999-12,-16.36,U
2000-01,-15.3,U
2000-02,-5.91,U
2000-03,-2.4,U
2000-04,3.03,U
2000-05,7.43,U
2000-06,13.76,U
2000-07,14.28,U
2000-08,12.48,U
2000-09,6.77,U
2000-10,-1.14,U
2000-11,-7.48,U
2000-12,-12.83,U
2001-01,-5.54,U
2001-02,-9.51,U
2001-03,-3.5,U
2001-04,2.68,U
2001-05,7.1,U
2001-06,14.43,U
2001-07,14.15,U
2001-08,14.51,U
2001-09,7.99,U
2001-10,-1.53,U
2001-11,-14.55,U
2001-12,-20.35,U
2002-01,-10.7,U
2002-02,-12.54,U
2002-03,-11.38,U
2002-04,-1.72,U
2002-05,9.25,U
2002-06,13.57,U
2002-07,15.34,U
2002-08,13.05,U
2002-09,8.61,U
2002-10,4.96,U
2002-11,-0.95,U
2002-12,-13.07,U
2003-01,-16.46,U
2003-02,-2.81,U
2003-03,-6.11,U
2003-04,2.56,U
2003-05,8.98,U
2003-06,13.7,U
2003-07,16.37,U
2003-08,12.89,U
2003-09,6.9,U
2003-10,1.48,U
2003-11,-10.69,U
2003-12,-16.37,U
2004-01,-27.99,U
2004-02,-7.75,U
2004-03,-5.8,U
2004-04,3.28,U
2004-05,10.98,U
2004-06,15.74,U
2004-07,16.81,U
2004-08,16.2,U
2004-09,5.82,U
2004-10,1.5,U
2004-11,-4.91,U
2004-12,-12.98,U
2005-01,-17.4,U
2005-02,-9.98,U
2005-03,0.37,U
2005-04,4.58,U
2005-05,11.37,U
2005-06,15.28,U
2005-07,15.52,U
2005-08,15.14,U
2005-09,8.88,U
2005-10,0.05,U
2005-11,-13.72,U
2005-12,-11.07,U
2006-01,-21.09,U
2006-02,-10.05,U
2006-03,-8.68,U
2006-04,2.36,U
2006-05,8.91,U
2006-06,13.9,U
2006-07,15.31,U
2006-08,12.18,U
2006-09,9.18,U
2006-10,2.18,U
2006-11,-22.56,U
2006-12,-13.89,U
2007-01,-12.88,U
2007-02,-15.23,U
2007-03,-13.7,U
2007-04,3.27,U
2007-05,8.97,U
2007-06,14.72,U
2007-07,15.59,U
2007-08,14.42,U
2007-09,8.6,U
2007-10,1.02,U
2007-11,-3.97,U
2007-12,-13.5,U
2008-01,-19.19,U
2008-02,-13.77,U
2008-03,-2.48,U
2008-04,2.69,U
2008-05,8.93,U
2008-06,12.15,U
2008-07,12.81,U
2008-08,12.28,U
2008-09,8.51,U
2008-10,-2.41,U
2008-11,-10.17,U
2008-12,-20.7,U
2009-01,-17.44,U
2009-02,-13.17,U
2009-03,-7.22,U
2009-04,3.57,U
2009-05,10.72,U
2009-06,14.19,U
2009-07,16.88,U
2009-08,12.93,U
2009-09,8.7,U
2009-10,2.54,U
2009-11,-12.93,U
2009-12,-13.19,U
2010-01,-19.62,U
2010-02,-8.36,U
2010-03,-2.78,U
2010-04,3.32,U
2010-05,10.0,U
2010-06,13.04,U
2010-07,13.51,U
2010-08,13.86,U
2010-09,8.04,U
2010-10,-0.12,U
2010-11,-8.09,U
2010-12,-23.87,U
2011-01,-16.99,U
2011-02,-14.04,U
2011-03,-10.38,U
2011-04,4.0,U
2011-05,10.31,U
2011-06,13.95,U
2011-07,14.85,U
2011-08,12.52,U
2011-09,8.22,U
2011-10,0.96,U
