Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,21.39,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,5.87,U
1999-06,14.75,U
1999-07,14.44,U
1999-08,12.88,U
1999-09,5.39,U
1999-10,-5.54,U
1999-11,-20.77,U
1999-12,-22.27,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,14.64,U
2000-07,14.66,U
2000-08,9.5,U
2000-09,4.22,U
2000-10,-6.1,U
2000-11,-14.29,U
2000-12,-23.08,U
2001-01,-17.83,U
2001-02,-18.12,U
2001-03,-9.64,U
2001-04,-0.05,U
2001-05,5.77,U
2001-06,13.9,U
2001-07,14.4,U
2001-08,13.55,U
2001-09,7.08,U
2001-10,-6.25,U
2001-11,-17.45,U
2001-12,-24.56,U
2002-01,-20.69,U
2002-02,-19.58,U
2002-03,-12.91,U
2002-04,-4.56,U
2002-05,7.42,U
2002-06,12.71,U
2002-07,14.56,U
2002-08,11.28,U
2002-09,6.42,U
2002-10,-1.38,U
2002-11,-10.03,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-11.69,U
2003-04,-0.1,U
2003-05,6.47,U
2003-06,12.92,U
2003-07,15.96,U
2003-08,11.75,U
2003-09,2.62,U
2003-10,-1.63,U
2003-11,-18.39,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,16.75,U
2004-07,15.51,U
2004-08,13.94,U
2004-09,1.77,U
2004-10,-4.43,U
2004-11,-18.53,U
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,-5.58,U
2005-04,0.78,U
2005-05,10.36,U
2005-06,14.3,U
2005-07,13.88,U
2005-08,12.8,U
2005-09,7.02,U
2005-10,-3.67,U
2005-11,-20.61,U
2005-12,, 
2006-01,-28.67,U
2006-02,-17.74,U
2006-03,-15.14,U
2006-04,-1.98,U
2006-05,7.59,U
2006-06,13.19,U
2006-07,15.03,U
2006-08,11.4,U
2006-09,7.66,U
2006-10,-2.58,U
2006-11,-25.88,U
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,1.72,U
2007-05,8.39,U
2007-06,14.55,U
2007-07,16.38,U
2007-08,14.06,U
2007-09,5.81,U
2007-10,-6.23,U
2007-11,-12.17,U
2007-12,-24.46,U
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,12.83,U
2008-07,12.67,U
2008-08,10.33,U
2008-09,6.08,U
2008-10,-9.35,U
2008-11,-17.16,U
2008-12,-28.04,U
2009-01,-28.37,U
2009-02,-21.82,U
2009-03,-16.08,U
2009-04,-0.4,U
2009-05,8.39,U
2009-06,13.4,U
2009-07,16.45,U
2009-08,11.66,U
2009-09,7.29,U
2009-10,-2.29,U
2009-11,-18.98,U
2009-12,-21.17,U
2010-01,-23.8,U
2010-02,-15.83,U
2010-03,-9.42,U
2010-04,2.36,U
2010-05,10.31,U
2010-06,13.05,U
2010-07,14.91,U
2010-08,13.13,U
2010-09,5.33,U
2010-10,-4.01,U
2010-11,-12.52,U
2010-12,-26.57,U
2011-01,-25.89,U
2011-02,-22.96,U
2011-03,-13.83,U
2011-04,-1.18,U
2011-05,9.33,U
2011-06,12.86,U
2011-07,14.77,U
2011-08,11.29,U
2011-09,7.07,U
2011-10,-3.94,U
2011-11,-22.07,U
2011-12,-17.71,U
2012-01,-31.62,U
2012-02,-15.79,U
2012-03,-13.01,U
2012-04,2.6,U
2012-05,6.54,U
2012-06,14.23,U
2012-07,13.88,U
