Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,13.27,U
1991-08,11.11,U
1991-09,7.81,U
1991-10,-4.49,U
1991-11,-16.09,U
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,16.06,U
1992-08,10.76,U
1992-09,-1.95,U
1992-10,-8.82,U
1992-11,-11.63,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,14.54,U
1993-07,16.74,U
1993-08,10.02,U
1993-09,2.77,U
1993-10,-3.08,U
1993-11,-10.42,U
1993-12,-13.03,U
1994-01,-16.09,U
1994-02,-16.11,U
1994-03,-16.96,U
1994-04,-5.57,U
1994-05,8.93,U
1994-06,, 
1994-07,15.1,U
1994-08,10.77,U
1994-09,4.14,U
1994-10,-7.89,U
1994-11,-17.33,U
1994-12,, 
1995-01,-17.91,U
1995-02,-12.73,U
1995-03,-16.38,U
1995-04,0.51,U
1995-05,9.17,U
1995-06,11.74,U
1995-07,14.51,U
1995-08,, 
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,11.49,U
1996-07,14.35,U
1996-08,9.17,U
1996-09,, 
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,15.35,U
1997-07,15.18,U
1997-08,12.12,U
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,13.24,U
1998-07,14.77,U
1998-08,8.43,U
1998-09,6.11,U
1998-10,-3.15,U
1998-11,-11.1,U
1998-12,-17.15,U
1999-01,-23.03,U
1999-02,-22.22,U
1999-03,-13.91,U
1999-04,-3.91,U
1999-05,, 
1999-06,14.65,U
1999-07,14.14,U
1999-08,12.2,U
1999-09,6.76,U
1999-10,-7.92,U
1999-11,-16.34,U
1999-12,-23.51,U
2000-01,-18.36,U
2000-02,-8.03,U
2000-03,-9.94,U
2000-04,-3.96,U
2000-05,2.04,U
2000-06,14.86,U
2000-07,12.28,U
2000-08,8.25,U
2000-09,2.83,U
2000-10,-5.1,U
2000-11,-9.66,U
2000-12,-11.53,U
2001-01,-11.04,U
2001-02,-9.45,U
2001-03,-13.6,U
2001-04,-4.44,U
2001-05,-0.57,U
2001-06,13.31,U
2001-07,11.98,U
2001-08,10.63,U
2001-09,6.86,U
2001-10,-7.88,U
2001-11,-14.81,U
2001-12,-20.05,U
2002-01,-15.48,U
2002-02,-14.04,U
2002-03,-8.22,U
2002-04,-6.11,U
2002-05,7.3,U
2002-06,12.22,U
2002-07,13.9,U
2002-08,10.12,U
2002-09,5.79,U
2002-10,-1.96,U
2002-11,-7.24,U
2002-12,-11.48,U
2003-01,-15.05,U
2003-02,-10.33,U
2003-03,-14.6,U
2003-04,-2.05,U
2003-05,4.36,U
2003-06,14.39,U
2003-07,12.19,U
2003-08,0.0,U
2003-09,0.0,U
2003-10,0.0,U
2003-11,, 
2003-12,0.0,U
2004-01,0.0,U
2004-02,0.0,U
2004-03,0.0,U
2004-04,-0.08,U
2004-05,4.88,U
2004-06,16.69,U
2004-07,17.09,U
2004-08,15.05,U
2004-09,2.17,U
2004-10,-1.96,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,14.6,U
2005-07,14.89,U
2005-08,12.84,U
2005-09,, 
2005-10,, 
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,9.39,U
2006-06,14.38,U
2006-07,13.28,U
2006-08,10.33,U
2006-09,, 
2006-10,, 
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
