Date [YYYY-MM],Temperature [°C],QCFLAG
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,, 
1996-08,, 
1996-09,4.4,U
1996-10,-9.58,U
1996-11,-16.12,U
1996-12,-22.99,U
1997-01,-23.05,U
1997-02,-8.78,U
1997-03,-14.22,U
1997-04,1.95,U
1997-05,8.62,U
1997-06,14.97,U
1997-07,16.69,U
1997-08,13.46,U
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,12.76,U
1998-07,14.62,U
1998-08,10.73,U
1998-09,7.8,U
1998-10,-2.55,U
1998-11,-13.72,U
1998-12,-20.47,U
1999-01,-23.5,U
1999-02,-23.59,U
1999-03,-11.93,U
1999-04,-0.47,U
1999-05,6.62,U
1999-06,14.93,U
1999-07,15.21,U
1999-08,13.31,U
1999-09,7.62,U
1999-10,-6.75,U
1999-11,-17.98,U
1999-12,-24.24,U
2000-01,-20.16,U
2000-02,-10.11,U
2000-03,-7.42,U
2000-04,-0.62,U
2000-05,5.76,U
2000-06,14.69,U
2000-07,13.78,U
2000-08,10.3,U
2000-09,4.77,U
2000-10,-5.1,U
2000-11,-8.65,U
2000-12,-12.03,U
2001-01,-10.33,U
2001-02,-9.47,U
2001-03,-9.94,U
2001-04,0.41,U
2001-05,4.59,U
2001-06,14.54,U
2001-07,13.96,U
2001-08,13.23,U
2001-09,8.22,U
2001-10,-5.51,U
2001-11,-18.43,U
2001-12,-24.18,U
2002-01,-13.86,U
2002-02,-12.63,U
2002-03,-7.53,U
2002-04,-2.15,U
2002-05,9.96,U
2002-06,14.45,U
2002-07,15.74,U
2002-08,12.14,U
2002-09,8.35,U
2002-10,1.17,U
2002-11,-6.21,U
2002-12,-13.66,U
2003-01,-18.06,U
2003-02,-8.08,U
2003-03,-10.65,U
2003-04,1.09,U
2003-05,7.44,U
2003-06,14.46,U
2003-07,15.47,U
2003-08,13.65,U
2003-09,4.74,U
2003-10,0.39,U
2003-11,-9.6,U
2003-12,-20.97,U
2004-01,-24.21,U
2004-02,-13.45,U
2004-03,-11.88,U
2004-04,3.45,U
2004-05,10.98,U
2004-06,16.28,U
2004-07,17.25,U
2004-08,15.82,U
2004-09,3.93,U
2004-10,-0.14,U
2004-11,-9.34,U
2004-12,-17.1,U
2005-01,-18.3,U
2005-02,-14.16,U
2005-03,-6.39,U
2005-04,-0.37,U
2005-05,11.43,U
2005-06,14.88,U
2005-07,16.16,U
2005-08,13.56,U
2005-09,8.27,U
2005-10,-2.63,U
2005-11,-21.23,U
2005-12,-13.45,U
2006-01,-27.36,U
2006-02,-8.23,U
2006-03,-12.24,U
2006-04,-1.74,U
2006-05,8.63,U
2006-06,13.5,U
2006-07,, 
2006-08,, 
2006-09,, 
2006-10,, 
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,, 
2007-07,, 
2007-08,14.05,U
2007-09,8.53,U
2007-10,-4.56,U
2007-11,-8.98,U
2007-12,-16.63,U
2008-01,-19.82,U
2008-02,-18.26,U
2008-03,-8.11,U
2008-04,-1.73,U
2008-05,8.27,U
2008-06,12.83,U
2008-07,13.39,U
2008-08,11.82,U
2008-09,7.82,U
2008-10,-9.08,U
2008-11,-15.87,U
2008-12,-18.25,U
2009-01,-21.46,U
2009-02,-14.16,U
2009-03,-12.62,U
2009-04,1.26,U
2009-05,8.78,U
2009-06,13.28,U
2009-07,17.27,U
2009-08,11.69,U
2009-09,7.68,U
2009-10,0.79,U
2009-11,-17.47,U
2009-12,-15.24,U
2010-01,-21.9,U
2010-02,-11.45,U
2010-03,-12.03,U
2010-04,1.56,U
2010-05,9.99,U
2010-06,12.84,U
2010-07,13.88,U
2010-08,12.7,U
2010-09,7.92,U
2010-10,-2.07,U
2010-11,-9.83,U
2010-12,-25.02,U
2011-01,-15.91,U
2011-02,-15.49,U
2011-03,-9.97,U
2011-04,0.4,U
2011-05,8.97,U
2011-06,13.33,U
2011-07,13.85,U
2011-08,11.52,U
2011-09,9.08,U
2011-10,-1.56,U
2011-11,-19.85,U
2011-12,-13.13,U
2012-01,-30.34,U
2012-02,-10.01,U
2012-03,-13.13,U
2012-04,3.42,U
2012-05,8.1,U
2012-06,13.3,U
2012-07,13.41,U
2012-08,12.14,U
2012-09,6.11,U
2012-10,-5.04,U
2012-11,-20.5,U
2012-12,-23.25,U
2013-01,, 
2013-02,, 
2013-03,, 
2013-04,, 
2013-05,11.93,U
2013-06,16.68,U
2013-07,15.84,U
2013-08,12.94,U
2013-09,5.19,U
2013-10,3.85,U
2013-11,-10.93,U
2013-12,-18.23,U
2014-01,-8.73,U
2014-02,-16.25,U
2014-03,-9.41,U
2014-04,1.42,U
2014-05,6.4,U
2014-06,1.58,U
2014-07,14.22,U
2014-08,13.21,U
2014-09,7.21,U
2014-10,-5.34,U
2014-11,-8.91,U
2014-12,-11.25,U
2015-01,-18.56,U
2015-02,-11.91,U
2015-03,-5.89,U
2015-04,2.39,U
2015-05,11.3,U
2015-06,14.44,U
2015-07,15.02,U
2015-08,11.66,U
2015-09,5.38,U
2015-10,-0.59,U
2015-11,-8.54,U
2015-12,-16.96,U
2016-01,-11.55,U
2016-02,-10.13,U
2016-03,-6.42,U
2016-04,5.05,U
2016-05,10.34,U
2016-06,14.68,U
2016-07,15.72,U
2016-08,14.58,U
2016-09,7.93,U
2016-10,-1.92,U
2016-11,-15.61,U
2016-12,-17.9,U
2017-01,-19.53,U
2017-02,-15.37,U
2017-03,-16.35,U
2017-04,2.84,U
2017-05,9.12,U
2017-06,14.78,U
2017-07,17.3,U
2017-08,12.98,U
2017-09,7.27,U
2017-10,, 
2017-11,, 
2017-12,, 
2020-01,, 
2020-02,, 
2020-03,-10.36,U
2020-04,1.9,U
2020-05,10.65,U
2020-06,13.8,U
2020-07,15.18,U
2020-08,13.59,U
2020-09,7.39,U
2020-10,-1.53,U
2020-11,-12.55,U
2020-12,-15.53,U
2021-01,-14.41,U
2021-02,-18.0,U
2021-03,-11.85,U
2021-04,-0.73,U
2021-05,9.43,U
2021-06,14.1,U
2021-07,15.48,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
