Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,, 
1999-08,13.48,U
1999-09,7.15,U
1999-10,-4.25,U
1999-11,-14.94,U
1999-12,-18.54,U
2000-01,-19.89,U
2000-02,-6.19,U
2000-03,-3.72,U
2000-04,0.75,U
2000-05,5.91,U
2000-06,14.65,U
2000-07,15.2,U
2000-08,9.86,U
2000-09,4.85,U
2000-10,-3.69,U
2000-11,-9.16,U
2000-12,-14.4,U
2001-01,-10.38,U
2001-02,-10.21,U
2001-03,-7.01,U
2001-04,2.2,U
2001-05,6.17,U
2001-06,14.92,U
2001-07,14.96,U
2001-08,14.4,U
2001-09,8.55,U
2001-10,-4.16,U
2001-11,-13.31,U
2001-12,-19.79,U
2002-01,-13.08,U
2002-02,-12.34,U
2002-03,-8.95,U
2002-04,-2.55,U
2002-05,9.27,U
2002-06,13.78,U
2002-07,15.95,U
2002-08,12.29,U
2002-09,7.98,U
2002-10,1.6,U
2002-11,-4.25,U
2002-12,-12.52,U
2003-01,-15.14,U
2003-02,-7.16,U
2003-03,-9.34,U
2003-04,1.9,U
2003-05,7.99,U
2003-06,14.49,U
2003-07,16.16,U
2003-08,13.62,U
2003-09,4.94,U
2003-10,1.78,U
2003-11,-13.12,U
2003-12,-17.7,U
2004-01,-22.95,U
2004-02,-9.39,U
2004-03,-10.8,U
2004-04,3.39,U
2004-05,11.13,U
2004-06,18.24,U
2004-07,17.6,U
2004-08,16.84,U
2004-09,3.58,U
2004-10,-0.91,U
2004-11,-9.82,U
2004-12,-15.66,U
2005-01,-18.38,U
2005-02,-13.5,U
2005-03,-2.41,U
2005-04,3.16,U
2005-05,11.93,U
2005-06,15.15,U
2005-07,15.31,U
2005-08,14.13,U
2005-09,8.07,U
2005-10,-1.36,U
2005-11,-18.0,U
2005-12,-10.72,U
2006-01,-21.24,U
2006-02,-11.09,U
2006-03,-12.17,U
2006-04,-0.39,U
2006-05,8.95,U
2006-06,13.18,U
2006-07,15.62,U
2006-08,12.12,U
2006-09,9.32,U
2006-10,0.23,U
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,15.46,U
2007-07,16.83,U
2007-08,15.16,U
2007-09,7.88,U
2007-10,-2.95,U
2007-11,-6.6,U
2007-12,-17.74,U
2008-01,-20.37,U
2008-02,-16.1,U
2008-03,-5.9,U
2008-04,0.48,U
2008-05,7.78,U
2008-06,, 
2008-07,13.3,U
2008-08,10.99,U
2008-09,7.33,U
2008-10,-6.68,U
2008-11,-12.31,U
2008-12,-19.66,U
2009-01,-20.56,U
2009-02,-15.05,U
2009-03,-11.63,U
2009-04,1.6,U
2009-05,9.29,U
2009-06,, 
2009-07,18.01,U
2009-08,11.91,U
2009-09,7.91,U
2009-10,-0.03,U
2009-11,-13.63,U
2009-12,-14.19,U
2010-01,-17.06,U
2010-02,-9.76,U
2010-03,-6.67,U
2010-04,3.21,U
2010-05,10.58,U
2010-06,13.32,U
2010-07,15.89,U
2010-08,14.32,U
2010-09,7.23,U
2010-10,-0.82,U
2010-11,-8.09,U
2010-12,-21.57,U
2011-01,-16.15,U
2011-02,-17.5,U
2011-03,-9.54,U
2011-04,1.2,U
2011-05,9.96,U
2011-06,13.57,U
2011-07,14.61,U
2011-08,11.95,U
2011-09,8.76,U
2011-10,-1.62,U
2011-11,-17.63,U
2011-12,-11.57,U
2012-01,-27.04,U
2012-02,-8.3,U
2012-03,-10.57,U
2012-04,4.08,U
2012-05,7.06,U
2012-06,14.06,U
2012-07,14.61,U
2012-08,13.39,U
2012-09,8.5,U
2012-10,-5.34,U
2012-11,-18.46,U
2012-12,-23.67,U
2013-01,-15.77,U
2013-02,-12.29,U
2013-03,-9.78,U
2013-04,-7.15,U
2013-05,6.46,U
2013-06,17.1,U
2013-07,16.61,U
2013-08,14.95,U
2013-09,6.28,U
2013-10,2.62,U
2013-11,-13.19,U
2013-12,-19.16,U
2014-01,-9.53,U
2014-02,-15.89,U
2014-03,-6.61,U
2014-04,1.54,U
2014-05,9.75,U
2014-06,11.87,U
2014-07,14.71,U
2014-08,13.57,U
2014-09,6.98,U
2014-10,-3.6,U
2014-11,-9.41,U
2014-12,-11.12,U
2015-01,-17.15,U
2015-02,-13.08,U
2015-03,-5.87,U
2015-04,2.68,U
2015-05,12.91,U
2015-06,8.57,U
2015-07,-0.09,U
2015-08,0.0,U
2015-09,0.0,U
2015-10,0.0,U
2015-11,0.0,U
2015-12,0.0,U
2016-01,0.0,U
2016-02,0.0,U
2016-03,0.0,U
2016-04,0.0,U
2016-05,9.58,U
2016-06,14.78,U
2016-07,15.96,U
2016-08,14.89,U
2016-09,8.0,U
2016-10,-2.75,U
2016-11,-11.59,U
2016-12,-18.06,U
2017-01,-18.11,U
