Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,15.04,U
1991-08,11.49,U
1991-09,7.0,U
1991-10,-6.47,U
1991-11,-20.3,U
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,16.82,U
1992-07,17.4,U
1992-08,13.91,U
1992-09,-0.64,U
1992-10,-9.86,U
1992-11,-15.94,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,17.15,U
1993-07,18.61,U
1993-08,12.9,U
1993-09,4.9,U
1993-10,-4.07,U
1993-11,-15.86,U
1993-12,-17.74,U
1994-01,-20.98,U
1994-02,-23.12,U
1994-03,-15.57,U
1994-04,-4.52,U
1994-05,, 
1994-06,, 
1994-07,, 
1994-08,15.64,U
1994-09,2.99,U
1994-10,-4.77,U
1994-11,-20.41,U
1994-12,-22.15,U
1995-01,-21.36,U
1995-02,-19.49,U
1995-03,-16.67,U
1995-04,0.7,U
1995-05,10.88,U
1995-06,16.24,U
1995-07,17.02,U
1995-08,12.94,U
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,15.73,U
1997-07,16.97,U
1997-08,14.37,U
1997-09,8.66,U
1997-10,-8.43,U
1997-11,-14.08,U
1997-12,-18.45,U
1998-01,-24.92,U
1998-02,-17.49,U
1998-03,-10.06,U
1998-04,2.71,U
1998-05,10.32,U
1998-06,15.83,U
1998-07,18.73,U
1998-08,12.11,U
1998-09,6.82,U
1998-10,-5.45,U
1998-11,-17.03,U
1998-12,-19.48,U
1999-01,-25.82,U
1999-02,-24.88,U
1999-03,-14.97,U
1999-04,-3.6,U
1999-05,7.08,U
1999-06,16.87,U
1999-07,16.81,U
1999-08,14.68,U
1999-09,6.83,U
1999-10,-7.91,U
1999-11,-19.55,U
1999-12,-23.28,U
2000-01,-24.22,U
2000-02,-15.88,U
2000-03,-12.61,U
2000-04,-5.12,U
2000-05,4.77,U
2000-06,17.03,U
2000-07,15.87,U
2000-08,10.2,U
2000-09,3.84,U
2000-10,-7.11,U
2000-11,-13.71,U
2000-12,-18.81,U
2001-01,-15.29,U
2001-02,-17.02,U
2001-03,-17.03,U
2001-04,-4.63,U
2001-05,3.72,U
2001-06,15.17,U
2001-07,15.44,U
2001-08,12.79,U
2001-09,7.7,U
2001-10,-6.14,U
2001-11,-16.94,U
2001-12,-20.07,U
2002-01,-19.08,U
2002-02,-20.32,U
2002-03,-13.07,U
2002-04,-6.0,U
2002-05,7.05,U
2002-06,13.67,U
2002-07,16.36,U
2002-08,11.25,U
2002-09,8.08,U
2002-10,-3.03,U
2002-11,-9.56,U
2002-12,-13.88,U
2003-01,-22.53,U
2003-02,-16.3,U
2003-03,-14.58,U
2003-04,-0.95,U
2003-05,6.33,U
2003-06,15.07,U
2003-07,, 
2003-08,, 
2003-09,, 
2003-10,, 
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,19.64,U
2004-07,18.12,U
2004-08,14.67,U
2004-09,3.15,U
2004-10,-5.57,U
2004-11,-17.43,U
2004-12,-21.16,U
2005-01,-23.82,U
2005-02,-21.49,U
2005-03,-12.47,U
2005-04,-2.5,U
2005-05,10.85,U
2005-06,16.53,U
2005-07,14.32,U
2005-08,13.83,U
2005-09,5.51,U
2005-10,-4.42,U
2005-11,-21.09,U
2005-12,-14.41,U
2006-01,-28.54,U
2006-02,-14.24,U
2006-03,-18.09,U
2006-04,-6.4,U
2006-05,8.57,U
2006-06,15.23,U
2006-07,15.5,U
2006-08,12.4,U
2006-09,9.63,U
2006-10,-2.13,U
2006-11,-22.33,U
2006-12,-17.69,U
2007-01,-20.06,U
2007-02,-22.18,U
2007-03,-20.34,U
2007-04,-0.96,U
