Date [YYYY-MM],Temperature [°C],QCFLAG
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,12.76,U
1997-07,15.25,U
1997-08,13.4,U
1997-09,8.59,U
1997-10,-1.76,U
1997-11,-1.93,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,5.52,U
1998-06,10.37,U
1998-07,12.6,U
1998-08,10.22,U
1998-09,7.71,U
1998-10,1.55,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,6.03,U
1999-06,11.57,U
1999-07,13.88,U
1999-08,12.41,U
1999-09,7.75,U
1999-10,0.83,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,2.48,U
2000-05,6.14,U
2000-06,10.72,U
2000-07,12.45,U
2000-08,11.32,U
2000-09,6.41,U
2000-10,0.91,U
2000-11,-1.48,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,5.53,U
2001-06,12.07,U
2001-07,12.98,U
2001-08,12.98,U
2001-09,7.93,U
2001-10,-0.13,U
2001-11,-5.9,U
2001-12,-12.37,U
2002-01,, 
2002-02,-1.36,U
2002-03,, 
2002-04,, 
2002-05,7.53,U
2002-06,10.96,U
2002-07,14.48,U
2002-08,12.36,U
2002-09,8.4,U
2002-10,4.78,U
2002-11,1.82,U
2002-12,, 
2003-01,-4.12,U
2003-02,0.04,U
2003-03,-4.11,U
2003-04,2.57,U
2003-05,6.9,U
2003-06,11.59,U
2003-07,14.92,U
2003-08,12.42,U
2003-09,, 
2003-10,, 
2003-11,-6.93,U
2003-12,-8.24,U
2004-01,, 
2004-02,-1.45,U
2004-03,-3.92,U
2004-04,2.87,U
2004-05,9.07,U
2004-06,13.74,U
2004-07,15.45,U
2004-08,15.06,U
2004-09,6.19,U
2004-10,2.52,U
2004-11,-3.07,U
2004-12,-4.96,U
2005-01,-8.22,U
2005-02,-5.7,U
2005-03,0.35,U
2005-04,3.83,U
2005-05,8.64,U
2005-06,13.09,U
2005-07,14.65,U
2005-08,13.72,U
2005-09,9.07,U
2005-10,1.57,U
2005-11,-9.55,U
2005-12,-0.82,U
2006-01,, 
2006-02,-6.2,U
2006-03,-4.39,U
2006-04,1.89,U
2006-05,7.12,U
2006-06,10.75,U
2006-07,13.56,U
2006-08,10.88,U
2006-09,7.99,U
2006-10,2.21,U
2006-11,-16.42,U
2006-12,-6.23,U
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,12.15,U
2007-07,13.64,U
2007-08,13.23,U
2007-09,8.89,U
2007-10,1.45,U
2007-11,-1.72,U
2007-12,-6.86,U
2008-01,-11.26,U
2008-02,-9.53,U
2008-03,-1.62,U
2008-04,1.23,U
2008-05,5.79,U
2008-06,9.38,U
2008-07,11.73,U
2008-08,11.1,U
2008-09,7.25,U
2008-10,-2.04,U
2008-11,-6.9,U
2008-12,-11.85,U
2009-01,-12.69,U
2009-02,-8.25,U
2009-03,-5.36,U
2009-04,1.01,U
2009-05,7.51,U
2009-06,11.78,U
2009-07,14.8,U
2009-08,11.97,U
2009-09,8.37,U
2009-10,3.35,U
2009-11,-8.59,U
2009-12,-7.79,U
2010-01,-7.76,U
2010-02,-1.55,U
2010-03,-2.01,U
2010-04,2.31,U
2010-05,7.3,U
2010-06,10.84,U
2010-07,12.17,U
2010-08,12.44,U
2010-09,8.39,U
2010-10,1.92,U
2010-11,-5.65,U
2010-12,-16.31,U
2011-01,-10.19,U
2011-02,-7.97,U
2011-03,-4.32,U
2011-04,2.67,U
2011-05,7.59,U
2011-06,11.68,U
2011-07,13.67,U
2011-08,11.68,U
2011-09,7.78,U
2011-10,1.57,U
2011-11,-11.27,U
2011-12,-9.65,U
2012-01,-20.01,U
2012-02,-3.19,U
2012-03,-6.02,U
2012-04,3.15,U
2012-05,5.51,U
