Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,13.94,U
1988-07,15.71,U
1988-08,, 
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,12.16,U
1989-08,, 
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.51,U
1990-07,16.62,U
1990-08,14.61,U
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,16.27,U
1991-07,15.1,U
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,13.81,U
1992-07,15.72,U
1992-08,10.75,U
1992-09,-0.97,U
1992-10,-10.61,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,16.13,U
1993-07,18.22,U
1993-08,10.78,U
1993-09,2.39,U
1993-10,-3.0,U
1993-11,-14.93,U
1993-12,-13.78,U
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,9.6,U
1994-06,, 
1994-07,16.14,U
1994-08,12.09,U
1994-09,5.1,U
1994-10,-7.47,U
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,11.66,U
1995-07,16.54,U
1995-08,11.94,U
1995-09,9.05,U
1995-10,-4.15,U
1995-11,-18.24,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,13.17,U
1996-07,15.25,U
1996-08,10.13,U
1996-09,4.07,U
1996-10,-9.86,U
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,17.13,U
1997-07,16.28,U
1997-08,12.83,U
1997-09,9.13,U
1997-10,-9.2,U
1997-11,-10.58,U
1997-12,-19.67,U
1998-01,-20.49,U
1998-02,-12.69,U
1998-03,-6.1,U
1998-04,1.27,U
1998-05,7.61,U
1998-06,13.54,U
1998-07,17.49,U
1998-08,9.65,U
1998-09,7.1,U
1998-10,-2.42,U
1998-11,-12.78,U
1998-12,-20.23,U
1999-01,-25.9,U
1999-02,, 
1999-03,-12.99,U
1999-04,-3.56,U
1999-05,7.44,U
1999-06,16.21,U
1999-07,16.03,U
1999-08,13.51,U
1999-09,7.39,U
1999-10,-6.65,U
1999-11,-17.5,U
1999-12,-25.55,U
2000-01,-22.11,U
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,15.7,U
2000-07,13.96,U
2000-08,9.94,U
2000-09,4.06,U
2000-10,-5.11,U
2000-11,-11.04,U
2000-12,-13.39,U
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,4.97,U
2001-06,14.37,U
2001-07,13.81,U
2001-08,12.33,U
2001-09,7.88,U
2001-10,-5.39,U
2001-11,-13.36,U
2001-12,, 
2002-01,, 
2002-02,-13.81,U
2002-03,-6.58,U
2002-04,-5.27,U
2002-05,8.91,U
2002-06,13.86,U
2002-07,16.0,U
2002-08,11.46,U
2002-09,6.82,U
2002-10,-1.36,U
2002-11,-6.94,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-12.6,U
2003-04,0.42,U
2003-05,5.95,U
2003-06,16.38,U
2003-07,13.67,U
2003-08,12.76,U
2003-09,4.89,U
2003-10,0.42,U
2003-11,-13.91,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,9.51,U
2004-06,18.6,U
2004-07,18.7,U
2004-08,15.84,U
2004-09,3.16,U
2004-10,-2.21,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,16.47,U
2005-07,16.42,U
2005-08,13.65,U
2005-09,6.94,U
2005-10,-2.66,U
2005-11,-20.5,U
2005-12,-13.23,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,8.87,U
2006-06,12.24,U
2006-07,14.66,U
2006-08,11.78,U
2006-09,8.75,U
2006-10,-1.72,U
2006-11,-18.1,U
2006-12,, 
2007-01,, 
2007-02,-17.93,U
2007-03,-18.48,U
2007-04,4.19,U
2007-05,9.03,U
2007-06,15.13,U
2007-07,18.1,U
2007-08,15.33,U
2007-09,7.38,U
2007-10,-4.56,U
2007-11,-9.81,U
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,13.97,U
2008-07,14.84,U
2008-08,12.39,U
2008-09,7.37,U
2008-10,-10.95,U
2008-11,-15.02,U
2008-12,-19.15,U
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,17.13,U
2009-08,10.42,U
2009-09,7.08,U
2009-10,-1.71,U
2009-11,-19.02,U
2009-12,, 
2010-01,, 
2010-02,-13.63,U
2010-03,-13.79,U
2010-04,-0.09,U
2010-05,9.92,U
2010-06,15.02,U
2010-07,14.62,U
2010-08,13.82,U
2010-09,7.93,U
2010-10,-2.12,U
2010-11,-11.63,U
2010-12,-24.15,U
2011-01,-17.47,U
2011-02,-19.83,U
2011-03,-10.52,U
2011-04,-2.88,U
2011-05,8.26,U
2011-06,14.45,U
2011-07,14.26,U
2011-08,11.77,U
2011-09,7.91,U
2011-10,-3.32,U
2011-11,-21.59,U
2011-12,-15.61,U
2012-01,-33.92,U
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,16.12,U
2012-07,14.64,U
2012-08,11.3,U
2012-09,4.81,U
2012-10,-4.7,U
2012-11,, 
2012-12,, 
2013-01,, 
2013-02,-16.32,U
2013-03,-13.22,U
2013-04,-6.73,U
2013-05,3.37,U
2013-06,16.3,U
2013-07,14.82,U
2013-08,12.04,U
2013-09,3.84,U
2013-10,0.9,U
2013-11,-14.73,U
2013-12,, 
2014-01,, 
2014-02,-13.77,U
2014-03,-8.2,U
2014-04,-0.59,U
2014-05,6.64,U
2014-06,12.63,U
2014-07,13.6,U
2014-08,13.99,U
2014-09,6.49,U
2014-10,-3.43,U
2014-11,-9.62,U
2014-12,-11.82,U
2015-01,-16.25,U
2015-02,-13.1,U
2015-03,-11.42,U
2015-04,-0.48,U
2015-05,11.36,U
2015-06,13.72,U
2015-07,16.17,U
2015-08,10.76,U
2015-09,3.7,U
2015-10,-1.35,U
2015-11,, 
2015-12,-16.58,U
2016-01,-10.05,U
2016-02,-8.86,U
2016-03,-9.07,U
2016-04,3.26,U
2016-05,9.7,U
2016-06,14.52,U
2016-07,15.59,U
2016-08,13.98,U
2016-09,6.13,U
2016-10,-1.86,U
2016-11,-12.58,U
2016-12,-16.9,U
2017-01,, 
2017-02,-17.95,U
2017-03,-16.87,U
2017-04,2.09,U
2017-05,8.47,U
2017-06,15.05,U
2017-07,17.52,U
2017-08,11.05,U
2017-09,7.58,U
2017-10,, 
2017-11,, 
2017-12,, 
2018-01,-18.15,U
2018-02,-14.48,U
2018-03,-8.94,U
2018-04,-1.99,U
2018-05,5.81,U
2018-06,13.16,U
2018-07,16.08,U
2018-08,10.81,U
2018-09,7.96,U
2018-10,0.13,U
2018-11,-9.41,U
2018-12,-15.86,U
2019-01,-16.67,U
2019-02,, 
2019-03,-3.49,U
2019-04,0.67,U
2019-05,8.78,U
2019-06,16.44,U
2019-07,17.65,U
2019-08,11.89,U
2019-09,7.22,U
2019-10,-1.97,U
2019-11,-12.4,U
2019-12,-18.64,U
2020-01,-24.46,U
2020-02,-22.7,U
2020-03,-13.49,U
2020-04,-2.09,U
2020-05,10.41,U
2020-06,14.47,U
2020-07,14.26,U
2020-08,14.05,U
2020-09,6.07,U
2020-10,-3.47,U
2020-11,-15.03,U
2020-12,-15.27,U
2021-01,-14.34,U
2021-02,-22.92,U
2021-03,-16.51,U
2021-04,-4.82,U
2021-05,8.22,U
2021-06,13.7,U
2021-07,14.71,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
