Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,12.41,U
1992-08,6.99,U
1992-09,-3.33,U
1992-10,-7.91,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,8.62,U
1993-07,12.25,U
1993-08,6.68,U
1993-09,0.48,U
1993-10,, 
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,8.01,U
1994-07,10.52,U
1994-08,, 
1994-09,, 
1994-10,, 
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,8.06,U
1995-07,11.76,U
1995-08,9.82,U
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,-11.74,U
1996-04,-12.6,U
1996-05,2.22,U
1996-06,6.78,U
1996-07,10.29,U
1996-08,6.89,U
1996-09,1.06,U
1996-10,-9.01,U
1996-11,-10.57,U
1996-12,, 
1997-01,-19.79,U
1997-02,-15.26,U
1997-03,-18.05,U
1997-04,-6.62,U
1997-05,3.07,U
1997-06,9.34,U
1997-07,10.94,U
1997-08,, 
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,2.99,U
1998-10,-3.45,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,8.59,U
1999-07,9.85,U
1999-08,8.72,U
1999-09,3.93,U
1999-10,-8.12,U
1999-11,-16.28,U
1999-12,, 
2000-01,-19.73,U
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,8.68,U
2000-07,8.86,U
2000-08,5.99,U
2000-09,2.19,U
2000-10,11.8,U
2000-11,, 
2000-12,28.91,U
2001-01,21.09,U
2001-02,14.89,U
2001-03,-15.02,U
2001-04,-9.19,U
2001-05,-4.76,U
2001-06,9.46,U
2001-07,10.01,U
2001-08,7.87,U
2001-09,4.06,U
2001-10,-9.07,U
2001-11,-13.97,U
2001-12,, 
2002-01,, 
2002-02,-15.51,U
2002-03,-10.4,U
2002-04,-9.48,U
2002-05,3.55,U
2002-06,7.58,U
2002-07,10.21,U
2002-08,7.44,U
2002-09,3.24,U
2002-10,-2.77,U
2002-11,-8.47,U
2002-12,-12.2,U
2003-01,-13.38,U
2003-02,-17.41,U
2003-03,-16.25,U
2003-04,-5.7,U
2003-05,-0.49,U
2003-06,10.03,U
2003-07,8.27,U
2003-08,8.73,U
2003-09,1.89,U
2003-10,-3.21,U
2003-11,-9.77,U
2003-12,-18.0,U
2004-01,-18.98,U
2004-02,-19.91,U
2004-03,-17.2,U
2004-04,-6.17,U
2004-05,3.68,U
2004-06,9.97,U
2004-07,0.0,U
2004-08,0.0,U
2004-09,0.0,U
2004-10,0.0,U
2004-11,0.0,U
2004-12,0.0,U
2005-01,0.0,U
2005-02,0.0,U
2005-03,0.0,U
2005-04,0.0,U
2005-05,0.0,U
2005-06,2.55,U
2005-07,11.16,U
2005-08,11.11,U
2005-09,3.99,U
2005-10,-5.04,U
2005-11,-17.44,U
2005-12,-17.89,U
2006-01,-25.62,U
2006-02,-15.63,U
2006-03,-18.6,U
2006-04,-16.62,U
2006-05,-0.59,U
2006-06,5.86,U
2006-07,9.76,U
2006-08,6.77,U
2006-09,5.01,U
2006-10,-1.95,U
2006-11,-10.86,U
2006-12,-18.24,U
2007-01,-18.45,U
2007-02,-16.72,U
2007-03,-22.97,U
2007-04,-8.88,U
2007-05,-1.45,U
2007-06,9.28,U
2007-07,13.16,U
2007-08,11.66,U
2007-09,, 
2007-10,, 
2007-11,, 
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,, 
2008-07,, 
2008-08,, 
2008-09,3.46,U
2008-10,-8.32,U
2008-11,, 
2008-12,, 
2009-01,, 
2009-02,-20.41,U
2009-03,-18.44,U
2009-04,-8.21,U
2009-05,0.95,U
2009-06,8.55,U
2009-07,12.89,U
2009-08,7.85,U
2009-09,2.7,U
2009-10,, 
2009-11,, 
2009-12,-3.19,U
2010-01,-6.77,U
2010-02,-4.18,U
2010-03,-5.35,U
2010-04,1.08,U
2010-05,9.01,U
2010-06,18.27,U
2010-07,12.39,U
2010-08,0.0,U
2010-09,, 
2010-10,, 
2010-11,, 
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,, 
2011-07,, 
2011-08,, 
2011-09,0.86,U
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,0.0,U
2012-03,0.0,U
2012-04,-0.02,U
2012-05,-2.96,U
2012-06,0.0,U
2012-07,-0.3,U
2012-08,0.76,U
2012-09,, 
2012-10,-3.05,U
2012-11,-12.83,U
2012-12,-18.99,U
2013-01,-15.75,U
2013-02,-22.36,U
2013-03,-16.16,U
2013-04,-5.58,U
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,9.24,U
2013-09,0.8,U
2013-10,-1.53,U
2013-11,-10.81,U
2013-12,-14.24,U
2014-01,-10.43,U
2014-02,-15.96,U
2014-03,-14.79,U
2014-04,-6.62,U
2014-05,, 
2014-06,6.8,U
