Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,17.34,U
1990-08,14.48,U
1990-09,7.24,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,-6.5,U
1991-04,3.47,U
1991-05,10.16,U
1991-06,15.32,U
1991-07,14.95,U
1991-08,12.04,U
1991-09,8.49,U
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,-17.42,U
1992-03,-6.89,U
1992-04,-0.73,U
1992-05,5.51,U
1992-06,14.46,U
1992-07,15.65,U
1992-08,12.83,U
1992-09,-0.54,U
1992-10,-6.81,U
1992-11,-12.58,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,14.23,U
1993-07,17.07,U
1993-08,13.71,U
1993-09,7.34,U
1993-10,-1.19,U
1993-11,-13.72,U
1993-12,-17.97,U
1994-01,-19.33,U
1994-02,-20.64,U
1994-03,-7.51,U
1994-04,3.82,U
1994-05,, 
1994-06,14.42,U
1994-07,16.55,U
1994-08,16.3,U
1994-09,5.87,U
1994-10,-4.73,U
1994-11,-17.53,U
1994-12,-23.2,U
1995-01,-21.01,U
1995-02,-13.1,U
1995-03,-12.02,U
1995-04,4.18,U
1995-05,11.43,U
1995-06,15.38,U
1995-07,15.3,U
1995-08,12.7,U
1995-09,10.34,U
1995-10,-2.56,U
1995-11,-17.59,U
1995-12,-20.82,U
1996-01,-28.7,U
1996-02,-15.34,U
1996-03,-7.64,U
1996-04,1.89,U
1996-05,8.62,U
1996-06,13.62,U
1996-07,15.97,U
1996-08,11.56,U
1996-09,5.49,U
1996-10,-9.35,U
1996-11,-18.4,U
1996-12,-23.84,U
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,14.89,U
1997-07,17.42,U
1997-08,14.02,U
1997-09,9.72,U
1997-10,-7.44,U
1997-11,-12.93,U
1997-12,-17.39,U
1998-01,-24.02,U
1998-02,-12.27,U
1998-03,-5.83,U
1998-04,3.94,U
1998-05,9.82,U
1998-06,15.18,U
1998-07,16.19,U
1998-08,, 
1998-09,7.58,U
1998-10,-4.23,U
1998-11,-15.46,U
1998-12,-22.27,U
1999-01,-24.83,U
1999-02,-21.21,U
1999-03,-8.28,U
1999-04,1.01,U
1999-05,6.9,U
1999-06,15.13,U
1999-07,15.95,U
1999-08,14.4,U
1999-09,7.18,U
1999-10,-3.96,U
1999-11,-16.94,U
1999-12,-19.76,U
2000-01,-21.5,U
2000-02,-8.43,U
2000-03,-4.07,U
2000-04,1.09,U
2000-05,6.43,U
2000-06,14.55,U
2000-07,15.66,U
2000-08,10.38,U
2000-09,4.39,U
2000-10,-4.68,U
2000-11,-13.11,U
2000-12,-19.02,U
2001-01,, 
2001-02,-12.27,U
2001-03,-7.63,U
2001-04,2.54,U
2001-05,6.68,U
2001-06,15.28,U
2001-07,15.22,U
2001-08,15.14,U
2001-09,7.79,U
2001-10,-4.93,U
2001-11,-17.1,U
2001-12,-24.17,U
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,-1.95,U
2002-05,8.93,U
2002-06,13.63,U
2002-07,15.79,U
2002-08,12.77,U
2002-09,7.72,U
2002-10,-0.13,U
2002-11,-9.41,U
2002-12,, 
2003-01,-19.33,U
2003-02,, 
2003-03,-9.62,U
2003-04,1.74,U
2003-05,8.32,U
2003-06,13.83,U
2003-07,17.28,U
2003-08,13.56,U
2003-09,4.71,U
2003-10,0.53,U
2003-11,-14.68,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,18.58,U
2004-07,17.21,U
2004-08,16.39,U
2004-09,3.29,U
2004-10,-3.04,U
2004-11,-13.77,U
2004-12,-18.08,U
2005-01,, 
2005-02,-15.45,U
2005-03,-4.38,U
2005-04,3.59,U
2005-05,12.04,U
2005-06,14.98,U
2005-07,14.08,U
2005-08,14.85,U
2005-09,8.28,U
2005-10,-2.76,U
2005-11,-17.11,U
2005-12,, 
2006-01,, 
2006-02,-12.28,U
2006-03,-12.38,U
2006-04,0.36,U
2006-05,8.81,U
2006-06,14.07,U
2006-07,15.82,U
2006-08,12.31,U
2006-09,8.47,U
2006-10,-0.92,U
2006-11,-23.47,U
2006-12,, 
2007-01,, 
2007-02,-15.16,U
2007-03,-14.11,U
2007-04,2.24,U
2007-05,9.22,U
2007-06,16.21,U
2007-07,16.66,U
2007-08,15.63,U
2007-09,6.76,U
2007-10,-4.91,U
2007-11,-11.54,U
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,-4.77,U
2008-04,1.37,U
2008-05,9.03,U
2008-06,13.6,U
2008-07,13.41,U
2008-08,10.97,U
2008-09,7.56,U
2008-10,-5.88,U
2008-11,-15.8,U
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,9.64,U
2009-06,13.96,U
2009-07,18.24,U
2009-08,6.21,U
2009-09,0.0,U
2009-10,0.0,U
2009-11,0.0,U
2009-12,0.0,U
2010-01,0.0,U
2010-02,-0.08,U
2010-03,0.0,U
2010-04,1.1,U
2010-05,10.38,U
2010-06,12.55,U
2010-07,14.69,U
2010-08,14.11,U
2010-09,6.12,U
2010-10,-4.51,U
2010-11,-10.81,U
2010-12,-25.48,U
2011-01,-21.73,U
2011-02,, 
2011-03,-13.42,U
2011-04,1.0,U
2011-05,9.42,U
2011-06,13.02,U
2011-07,14.35,U
2011-08,9.68,U
2011-09,7.12,U
2011-10,-4.33,U
2011-11,-21.3,U
2011-12,-15.39,U
2012-01,-28.87,U
2012-02,-13.21,U
2012-03,-11.78,U
2012-04,3.53,U
2012-05,6.44,U
2012-06,12.87,U
2012-07,14.45,U
2012-08,13.39,U
2012-09,7.75,U
2012-10,-5.75,U
2012-11,-20.69,U
2012-12,-27.28,U
2013-01,-18.6,U
2013-02,-14.3,U
2013-03,-9.69,U
2013-04,-5.13,U
2013-05,7.59,U
2013-06,16.52,U
2013-07,16.43,U
2013-08,14.96,U
2013-09,5.73,U
2013-10,0.81,U
2013-11,-15.8,U
2013-12,-21.59,U
2014-01,-12.87,U
2014-02,-17.94,U
2014-03,-8.22,U
2014-04,1.89,U
2014-05,10.33,U
2014-06,12.07,U
2014-07,15.33,U
2014-08,13.87,U
2014-09,6.77,U
2014-10,-4.04,U
2014-11,, 
2014-12,, 
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,, 
2015-05,, 
2015-06,, 
2015-07,15.8,U
2015-08,11.39,U
2015-09,5.81,U
2015-10,-0.64,U
2015-11,-13.1,U
2015-12,-19.65,U
2016-01,, 
2016-02,, 
2016-03,, 
2016-04,, 
2016-05,, 
2016-06,15.22,U
2016-07,16.73,U
2016-08,15.16,U
2016-09,8.38,U
2016-10,-4.84,U
2016-11,-14.05,U
2016-12,, 
2017-01,-19.39,U
2017-02,-13.73,U
2017-03,-14.06,U
2017-04,3.59,U
2017-05,9.34,U
2017-06,14.68,U
2017-07,16.66,U
2017-08,14.31,U
2017-09,8.73,U
2017-10,-2.35,U
2017-11,-16.14,U
2017-12,, 
2019-01,-20.97,U
2019-02,, 
2019-03,-1.34,U
2019-04,2.5,U
2019-05,11.13,U
2019-06,15.54,U
2019-07,16.97,U
2019-08,12.57,U
2019-09,9.09,U
2019-10,-1.98,U
2019-11,-11.3,U
2019-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,10.31,U
2020-06,12.42,U
2020-07,14.58,U
2020-08,12.44,U
2020-09,7.58,U
2020-10,-3.82,U
2020-11,-16.73,U
2020-12,-17.12,U
2021-01,-16.48,U
2021-02,-19.57,U
2021-03,-11.54,U
2021-04,-1.89,U
2021-05,8.38,U
2021-06,14.37,U
2021-07,16.28,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
