Date [YYYY-MM],Temperature [°C],QCFLAG
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,, 
1997-08,, 
1997-09,9.57,U
1997-10,-7.71,U
1997-11,-9.72,U
1997-12,-22.73,U
1998-01,-23.62,U
1998-02,-15.59,U
1998-03,-7.38,U
1998-04,0.83,U
1998-05,6.7,U
1998-06,13.5,U
1998-07,16.61,U
1998-08,10.26,U
1998-09,8.1,U
1998-10,-1.86,U
1998-11,-12.56,U
1998-12,-22.81,U
1999-01,-28.88,U
1999-02,-25.76,U
1999-03,-15.87,U
1999-04,-4.02,U
1999-05,6.26,U
1999-06,15.59,U
1999-07,14.96,U
1999-08,13.42,U
1999-09,7.5,U
1999-10,-6.34,U
1999-11,-18.68,U
1999-12,-27.02,U
2000-01,-23.99,U
2000-02,-9.31,U
2000-03,-10.19,U
2000-04,-4.13,U
2000-05,4.54,U
2000-06,16.49,U
2000-07,14.46,U
2000-08,10.71,U
2000-09,5.41,U
2000-10,-5.16,U
2000-11,-11.21,U
2000-12,-12.48,U
2001-01,-12.35,U
2001-02,-12.18,U
2001-03,-13.77,U
2001-04,-2.38,U
2001-05,1.16,U
2001-06,14.92,U
2001-07,14.06,U
2001-08,12.33,U
2001-09,8.16,U
2001-10,-7.13,U
2001-11,-19.78,U
2001-12,-24.58,U
2002-01,-18.74,U
2002-02,-15.67,U
2002-03,-8.54,U
2002-04,-5.04,U
2002-05,8.99,U
2002-06,14.26,U
2002-07,15.56,U
2002-08,12.22,U
2002-09,7.89,U
2002-10,-1.47,U
2002-11,-7.84,U
2002-12,-14.13,U
2003-01,-17.69,U
2003-02,-10.27,U
2003-03,-14.74,U
2003-04,-0.82,U
2003-05,6.06,U
2003-06,15.95,U
2003-07,14.24,U
2003-08,13.32,U
2003-09,4.87,U
2003-10,0.24,U
2003-11,-10.4,U
2003-12,-22.35,U
2004-01,-24.72,U
2004-02,-16.38,U
2004-03,-15.98,U
2004-04,1.3,U
2004-05,9.67,U
2004-06,17.14,U
2004-07,17.97,U
2004-08,15.41,U
2004-09,4.01,U
2004-10,-0.67,U
2004-11,-9.9,U
2004-12,-17.04,U
2005-01,-19.66,U
2005-02,-17.4,U
2005-03,-8.52,U
2005-04,-6.93,U
2005-05,10.81,U
2005-06,16.42,U
2005-07,16.6,U
2005-08,14.14,U
2005-09,8.03,U
2005-10,-2.6,U
2005-11,-19.44,U
2005-12,-15.85,U
2006-01,-29.9,U
2006-02,-13.96,U
2006-03,-16.2,U
2006-04,-7.31,U
2006-05,7.47,U
2006-06,12.28,U
2006-07,15.32,U
2006-08,11.99,U
2006-09,9.78,U
2006-10,0.8,U
2006-11,-14.62,U
2006-12,-18.28,U
2007-01,-19.92,U
2007-02,-18.12,U
2007-03,-21.64,U
2007-04,1.92,U
2007-05,8.97,U
2007-06,14.65,U
2007-07,17.76,U
2007-08,15.71,U
2007-09,9.02,U
2007-10,-4.32,U
2007-11,-10.34,U
2007-12,-18.69,U
2008-01,-23.42,U
2008-02,-23.02,U
2008-03,-10.67,U
2008-04,-5.18,U
2008-05,7.43,U
2008-06,13.94,U
2008-07,14.18,U
2008-08,12.06,U
2008-09,6.59,U
2008-10,-10.89,U
2008-11,-17.82,U
2008-12,-19.27,U
2009-01,-25.53,U
2009-02,-20.04,U
2009-03,-15.69,U
2009-04,-4.38,U
2009-05,7.1,U
2009-06,13.64,U
2009-07,17.86,U
2009-08,11.66,U
2009-09,7.66,U
2009-10,-0.94,U
2009-11,-18.81,U
2009-12,-18.1,U
2010-01,-25.84,U
2010-02,-17.08,U
2010-03,-17.08,U
2010-04,-1.48,U
2010-05,9.39,U
2010-06,13.72,U
2010-07,14.48,U
2010-08,13.57,U
2010-09,8.49,U
2010-10,, 
2010-11,, 
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,14.33,U
2011-07,13.97,U
2011-08,11.4,U
