Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,16.36,U
1992-08,11.18,U
1992-09,-1.43,U
1992-10,-10.49,U
1992-11,-16.55,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,14.69,U
1993-07,17.16,U
1993-08,9.84,U
1993-09,2.5,U
1993-10,-3.02,U
1993-11,-14.39,U
1993-12,-14.89,U
1994-01,-18.94,U
1994-02,-18.93,U
1994-03,-21.43,U
1994-04,-9.04,U
1994-05,5.93,U
1994-06,12.13,U
1994-07,15.52,U
1994-08,10.86,U
1994-09,3.97,U
1994-10,-8.49,U
1994-11,-21.15,U
1994-12,-23.07,U
1995-01,, 
1995-02,-15.18,U
1995-03,-20.45,U
1995-04,-4.18,U
1995-05,8.29,U
1995-06,11.71,U
1995-07,15.44,U
1995-08,11.75,U
1995-09,8.53,U
1995-10,-4.83,U
1995-11,-20.96,U
1995-12,-22.68,U
1996-01,-21.21,U
1996-02,-20.64,U
1996-03,-12.05,U
1996-04,-9.02,U
1996-05,5.57,U
1996-06,12.02,U
1996-07,13.92,U
1996-08,9.11,U
1996-09,2.68,U
1996-10,-10.61,U
1996-11,-13.63,U
1996-12,-23.7,U
1997-01,-23.62,U
1997-02,-14.43,U
1997-03,-18.04,U
1997-04,-3.21,U
1997-05,6.75,U
1997-06,15.55,U
1997-07,15.25,U
1997-08,12.06,U
1997-09,7.89,U
1997-10,-11.61,U
1997-11,-10.08,U
1997-12,-21.57,U
1998-01,-21.23,U
1998-02,-17.45,U
1998-03,-8.75,U
1998-04,-1.37,U
1998-05,4.84,U
1998-06,12.6,U
1998-07,17.23,U
1998-08,9.07,U
1998-09,5.48,U
1998-10,-3.33,U
1998-11,-13.69,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,14.54,U
1999-07,14.67,U
1999-08,12.44,U
1999-09,6.53,U
1999-10,-6.55,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,14.27,U
2000-07,12.93,U
2000-08,9.0,U
2000-09,3.02,U
2000-10,-6.1,U
2000-11,-9.05,U
2000-12,-12.06,U
2001-01,-11.51,U
2001-02,-10.84,U
2001-03,-14.24,U
2001-04,-6.12,U
2001-05,-1.35,U
2001-06,12.64,U
2001-07,13.0,U
2001-08,10.75,U
2001-09,6.97,U
2001-10,-8.22,U
2001-11,-17.14,U
2001-12,, 
2002-01,, 
2002-02,-13.88,U
2002-03,-9.56,U
2002-04,-7.82,U
2002-05,6.19,U
2002-06,12.42,U
2002-07,14.42,U
2002-08,, 
2002-09,, 
2002-10,, 
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,, 
2003-07,, 
2003-08,11.53,U
2003-09,3.09,U
2003-10,-1.2,U
2003-11,-14.0,U
2003-12,-20.83,U
2004-01,-22.21,U
2004-02,-17.37,U
2004-03,-15.94,U
2004-04,-1.34,U
2004-05,7.33,U
2004-06,17.07,U
2004-07,17.2,U
2004-08,14.27,U
2004-09,2.16,U
2004-10,-4.05,U
2004-11,-13.68,U
2004-12,, 
2005-01,, 
2005-02,-18.72,U
2005-03,-10.77,U
2005-04,-9.24,U
2005-05,7.79,U
2005-06,15.43,U
2005-07,15.39,U
2005-08,13.48,U
2005-09,6.3,U
2005-10,-4.84,U
2005-11,-21.18,U
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,, 
2006-07,, 
2006-08,, 
2006-09,8.39,U
2006-10,-1.41,U
2006-11,-17.26,U
2006-12,-16.64,U
2007-01,-17.61,U
2007-02,-19.44,U
2007-03,-23.55,U
2007-04,-2.04,U
2007-05,5.84,U
2007-06,15.59,U
2007-07,, 
2007-08,, 
2007-09,7.46,U
2007-10,-5.99,U
2007-11,-10.34,U
2007-12,-18.28,U
2008-01,-24.31,U
2008-02,-22.64,U
2008-03,-14.48,U
2008-04,-7.67,U
2008-05,5.91,U
2008-06,12.75,U
2008-07,14.04,U
2008-08,10.69,U
2008-09,5.42,U
2008-10,-10.88,U
2008-11,-17.86,U
2008-12,-18.65,U
2009-01,-27.35,U
2009-02,-20.95,U
2009-03,-17.09,U
2009-04,-7.28,U
2009-05,5.67,U
2009-06,13.51,U
2009-07,16.86,U
2009-08,10.36,U
2009-09,5.16,U
2009-10,-2.42,U
2009-11,-21.22,U
2009-12,-15.5,U
2010-01,-26.73,U
2010-02,-17.43,U
2010-03,-18.51,U
2010-04,-4.08,U
2010-05,7.17,U
2010-06,15.03,U
2010-07,14.66,U
2010-08,13.3,U
2010-09,7.4,U
2010-10,-4.27,U
2010-11,-12.42,U
2010-12,-23.78,U
2011-01,-19.81,U
2011-02,-20.86,U
2011-03,-14.39,U
2011-04,-7.38,U
2011-05,5.71,U
2011-06,14.15,U
2011-07,14.12,U
2011-08,11.35,U
2011-09,7.18,U
2011-10,-4.22,U
2011-11,-22.85,U
2011-12,-18.26,U
2012-01,-34.21,U
2012-02,-15.75,U
2012-03,-20.07,U
2012-04,-4.14,U
2012-05,4.31,U
2012-06,16.16,U
2012-07,15.03,U
2012-08,11.09,U
2012-09,5.11,U
2012-10,-3.31,U
2012-11,-19.62,U
2012-12,-23.48,U
2013-01,-14.45,U
