Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,16.8,U
1988-06,11.65,U
1988-07,14.54,U
1988-08,, 
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,12.35,U
1989-08,, 
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,11.91,U
1990-07,15.02,U
1990-08,12.88,U
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,14.81,U
1991-07,13.69,U
1991-08,11.14,U
1991-09,7.29,U
1991-10,-4.2,U
1991-11,-17.73,U
1991-12,-22.93,U
1992-01,-18.12,U
1992-02,-24.12,U
1992-03,-18.5,U
1992-04,-8.91,U
1992-05,-1.72,U
1992-06,12.79,U
1992-07,15.74,U
1992-08,10.57,U
1992-09,-1.13,U
1992-10,-9.6,U
1992-11,-15.47,U
1992-12,-20.94,U
1993-01,-25.09,U
1993-02,-15.59,U
1993-03,, 
1993-04,-2.35,U
1993-05,5.74,U
1993-06,13.53,U
1993-07,16.4,U
1993-08,9.54,U
1993-09,2.14,U
1993-10,-3.18,U
1993-11,-13.84,U
1993-12,-13.21,U
1994-01,-17.19,U
1994-02,-17.42,U
1994-03,-20.88,U
1994-04,-8.72,U
1994-05,5.72,U
1994-06,10.71,U
1994-07,14.43,U
1994-08,10.39,U
1994-09,3.73,U
1994-10,-8.83,U
1994-11,-18.7,U
1994-12,, 
1995-01,, 
1995-02,-14.86,U
1995-03,-19.79,U
1995-04,-5.47,U
1995-05,6.9,U
1995-06,10.32,U
1995-07,14.29,U
1995-08,11.22,U
1995-09,8.18,U
1995-10,-4.88,U
1995-11,-17.65,U
1995-12,-20.37,U
1996-01,-20.85,U
1996-02,-21.41,U
1996-03,-11.66,U
1996-04,-8.72,U
1996-05,4.84,U
1996-06,10.37,U
1996-07,13.61,U
1996-08,9.04,U
1996-09,2.5,U
1996-10,-10.47,U
1996-11,-13.03,U
1996-12,-22.31,U
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,14.16,U
1997-08,11.74,U
1997-09,7.8,U
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,-5.84,U
1998-04,-2.12,U
1998-05,4.99,U
1998-06,11.83,U
1998-07,16.38,U
1998-08,9.07,U
1998-09,5.62,U
1998-10,-2.77,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,-5.49,U
1999-05,3.25,U
1999-06,12.68,U
1999-07,13.88,U
1999-08,11.89,U
1999-09,6.26,U
1999-10,-4.59,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,-4.8,U
2000-05,-0.09,U
2000-06,12.02,U
2000-07,12.16,U
2000-08,9.01,U
2000-09,3.32,U
2000-10,-4.93,U
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,-9.35,U
2001-03,-14.21,U
2001-04,-6.34,U
2001-05,-2.12,U
2001-06,10.96,U
2001-07,12.9,U
2001-08,10.61,U
2001-09,6.97,U
2001-10,-8.37,U
2001-11,-15.8,U
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,11.2,U
2002-07,13.66,U
2002-08,10.12,U
2002-09,6.28,U
2002-10,-0.46,U
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,-13.71,U
2003-03,-17.03,U
2003-04,-2.76,U
2003-05,3.57,U
2003-06,14.04,U
2003-07,11.4,U
2003-08,11.61,U
2003-09,3.68,U
2003-10,-1.31,U
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,-17.42,U
2004-03,-14.56,U
2004-04,-0.92,U
2004-05,7.05,U
2004-06,16.09,U
2004-07,16.94,U
2004-08,14.74,U
2004-09,3.02,U
2004-10,-2.49,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,-18.52,U
2005-03,-10.19,U
2005-04,-9.47,U
2005-05,7.3,U
2005-06,13.9,U
2005-07,15.23,U
2005-08,13.53,U
2005-09,6.85,U
2005-10,-4.16,U
2005-11,-19.52,U
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,, 
2006-07,, 
2006-08,, 
2006-09,8.32,U
2006-10,-0.93,U
2006-11,-14.92,U
2006-12,-16.75,U
2007-01,-17.32,U
2007-02,-16.95,U
2007-03,-21.66,U
2007-04,-2.98,U
2007-05,3.55,U
2007-06,13.97,U
2007-07,17.22,U
2007-08,14.89,U
2007-09,7.64,U
2007-10,-5.33,U
2007-11,-8.66,U
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,, 
2008-07,12.98,U
2008-08,10.46,U
2008-09,5.93,U
2008-10,-9.3,U
2008-11,-17.01,U
2008-12,-16.33,U
2009-01,-25.68,U
2009-02,-21.5,U
2009-03,-16.0,U
2009-04,-6.69,U
2009-05,4.81,U
2009-06,12.74,U
2009-07,16.47,U
2009-08,10.31,U
2009-09,5.4,U
2009-10,-2.2,U
2009-11,-19.12,U
2009-12,-13.35,U
2010-01,-24.84,U
2010-02,-15.92,U
2010-03,-17.53,U
2010-04,-4.45,U
2010-05,5.51,U
2010-06,13.08,U
2010-07,13.32,U
2010-08,13.06,U
2010-09,7.28,U
2010-10,-4.11,U
2010-11,-11.7,U
2010-12,-22.34,U
2011-01,-17.6,U
2011-02,-19.2,U
2011-03,-13.03,U
2011-04,-6.6,U
2011-05,4.88,U
2011-06,13.91,U
2011-07,13.46,U
2011-08,10.41,U
2011-09,6.62,U
2011-10,-4.12,U
2011-11,-21.72,U
2011-12,-18.24,U
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,, 
2012-07,, 
2012-08,12.07,U
2012-09,, 
2012-10,, 
2012-11,, 
2012-12,, 
2013-01,, 
2013-02,, 
2013-03,, 
2013-04,, 
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,11.53,U
2013-09,3.38,U
2013-10,0.66,U
2013-11,, 
2013-12,-16.61,U
2014-01,-11.26,U
2014-02,-14.98,U
2014-03,-10.76,U
2014-04,-2.51,U
2014-05,4.74,U
2014-06,10.97,U
2014-07,12.87,U
2014-08,13.53,U
2014-09,6.22,U
2014-10,-4.59,U
2014-11,-10.02,U
2014-12,-13.77,U
2015-01,, 
2015-02,-13.0,U
2015-03,-17.61,U
2015-04,-5.5,U
2015-05,8.2,U
2015-06,12.03,U
2015-07,15.39,U
2015-08,9.81,U
2015-09,3.12,U
2015-10,-1.96,U
2015-11,-11.89,U
2015-12,-17.96,U
2016-01,-11.23,U
2016-02,-11.22,U
2016-03,-14.16,U
2016-04,1.35,U
2016-05,8.31,U
2016-06,13.02,U
2016-07,15.16,U
2016-08,13.38,U
2016-09,5.36,U
2016-10,0.5,U
2016-11,, 
2016-12,, 
2017-01,, 
2017-02,, 
2017-03,, 
2017-04,, 
2017-05,, 
2017-06,13.37,U
2017-07,15.74,U
2017-08,10.04,U
2017-09,5.77,U
2017-10,-2.26,U
2017-11,-10.5,U
2017-12,-8.35,U
2018-01,-19.92,U
2018-02,-12.4,U
2018-03,-9.4,U
2018-04,-3.41,U
2018-05,5.84,U
2018-06,13.05,U
2018-07,15.65,U
2018-08,11.03,U
2018-09,8.56,U
2018-10,-0.41,U
2018-11,-8.9,U
2018-12,-17.29,U
2019-01,-17.64,U
2019-02,-9.4,U
2019-03,-4.38,U
2019-04,-2.34,U
2019-05,8.01,U
2019-06,15.18,U
2019-07,16.49,U
2019-08,11.62,U
2019-09,7.36,U
2019-10,-2.65,U
2019-11,-12.65,U
2019-12,-19.75,U
2020-01,-24.08,U
2020-02,-25.12,U
2020-03,-13.77,U
2020-04,-3.89,U
2020-05,8.4,U
2020-06,12.82,U
2020-07,13.77,U
2020-08,13.08,U
2020-09,5.31,U
2020-10,-2.32,U
2020-11,-11.63,U
2020-12,-16.93,U
2021-01,-16.86,U
2021-02,-24.31,U
2021-03,-16.1,U
2021-04,-5.83,U
2021-05,6.11,U
2021-06,12.85,U
2021-07,13.66,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
