Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,10.55,U
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,14.05,U
1993-08,11.14,U
1993-09,5.46,U
1993-10,-0.04,U
1993-11,-8.48,U
1993-12,-8.15,U
1994-01,, 
1994-02,-17.39,U
1994-03,-6.02,U
1994-04,1.22,U
1994-05,4.78,U
1994-06,10.43,U
1994-07,12.61,U
1994-08,13.94,U
1994-09,4.55,U
1994-10,-2.99,U
1994-11,-13.83,U
1994-12,, 
1995-01,-12.96,U
1995-02,-10.9,U
1995-03,-12.36,U
1995-04,1.49,U
1995-05,7.36,U
1995-06,10.83,U
1995-07,11.91,U
1995-08,9.58,U
1995-09,8.89,U
1995-10,-0.86,U
1995-11,-14.13,U
1995-12,-15.06,U
1996-01,-22.84,U
1996-02,-11.42,U
1996-03,-8.01,U
1996-04,-1.14,U
1996-05,5.76,U
1996-06,10.03,U
1996-07,11.99,U
1996-08,9.11,U
1996-09,4.08,U
1996-10,-8.16,U
1996-11,-13.68,U
1996-12,-15.53,U
1997-01,-16.35,U
1997-02,-5.1,U
1997-03,-11.97,U
1997-04,-0.49,U
1997-05,5.46,U
1997-06,11.39,U
1997-07,13.59,U
1997-08,11.95,U
1997-09,7.16,U
1997-10,-6.98,U
1997-11,-6.02,U
1997-12,-9.57,U
1998-01,-16.03,U
1998-02,-7.9,U
1998-03,-4.86,U
1998-04,0.8,U
1998-05,5.2,U
1998-06,10.46,U
1998-07,11.77,U
1998-08,8.77,U
1998-09,5.11,U
1998-10,-3.26,U
1998-11,-10.1,U
1998-12,-14.63,U
1999-01,-17.25,U
1999-02,-18.17,U
1999-03,-7.87,U
1999-04,-1.56,U
1999-05,3.5,U
1999-06,11.36,U
1999-07,12.37,U
1999-08,11.51,U
1999-09,5.13,U
1999-10,-2.42,U
1999-11,-11.53,U
1999-12,-13.58,U
2000-01,-14.51,U
2000-02,-6.14,U
2000-03,-4.29,U
2000-04,-1.0,U
2000-05,3.08,U
2000-06,10.39,U
2000-07,11.67,U
2000-08,8.39,U
2000-09,2.92,U
2000-10,-4.02,U
2000-11,-6.09,U
2000-12,-8.43,U
2001-01,-5.04,U
2001-02,-7.62,U
2001-03,-7.03,U
2001-04,-0.48,U
2001-05,2.47,U
2001-06,11.73,U
2001-07,11.29,U
2001-08,11.77,U
2001-09,5.62,U
2001-10,-4.16,U
2001-11,-13.23,U
2001-12,-14.75,U
2002-01,-8.65,U
2002-02,-9.6,U
2002-03,-12.11,U
2002-04,-5.71,U
2002-05,5.71,U
2002-06,9.79,U
2002-07,12.31,U
2002-08,10.53,U
2002-09,6.36,U
2002-10,2.5,U
2002-11,-1.47,U
2002-12,-10.31,U
2003-01,-11.36,U
2003-02,-3.98,U
2003-03,-9.64,U
2003-04,-0.66,U
2003-05,4.86,U
2003-06,10.24,U
2003-07,13.68,U
2003-08,10.36,U
2003-09,3.98,U
2003-10,1.15,U
2003-11,-11.4,U
2003-12,-11.23,U
2004-01,-21.21,U
2004-02,-7.06,U
2004-03,-8.26,U
2004-04,0.23,U
2004-05,8.54,U
2004-06,14.18,U
2004-07,14.26,U
2004-08,14.43,U
2004-09,2.86,U
2004-10,-1.7,U
2004-11,-5.34,U
2004-12,-10.78,U
2005-01,-14.29,U
2005-02,-10.1,U
2005-03,-3.93,U
2005-04,1.72,U
2005-05,7.45,U
2005-06,11.05,U
2005-07,11.54,U
2005-08,12.19,U
2005-09,6.86,U
2005-10,-2.7,U
2005-11,-13.94,U
2005-12,-8.09,U
2006-01,-18.28,U
2006-02,-10.14,U
2006-03,-11.29,U
2006-04,-2.29,U
2006-05,5.68,U
2006-06,9.67,U
2006-07,12.65,U
2006-08,9.37,U
2006-09,6.12,U
