Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,14.28,U
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,13.74,U
1993-07,16.37,U
1993-08,8.98,U
1993-09,1.55,U
1993-10,-3.25,U
1993-11,-13.8,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,10.73,U
1994-07,14.18,U
1994-08,9.41,U
1994-09,3.7,U
1994-10,-8.05,U
1994-11,, 
1994-12,-20.11,U
1995-01,-17.49,U
1995-02,-13.23,U
1995-03,-16.53,U
1995-04,-0.94,U
1995-05,7.93,U
1995-06,10.53,U
1995-07,13.94,U
1995-08,10.32,U
1995-09,7.82,U
1995-10,-5.09,U
1995-11,-12.22,U
1995-12,-16.23,U
1996-01,-19.02,U
1996-02,-19.18,U
1996-03,-9.96,U
1996-04,-5.8,U
1996-05,5.08,U
1996-06,10.13,U
1996-07,13.15,U
1996-08,8.3,U
1996-09,2.07,U
1996-10,-9.66,U
1996-11,-12.69,U
1996-12,-16.67,U
1997-01,-17.15,U
1997-02,-10.67,U
1997-03,-15.37,U
1997-04,-2.47,U
1997-05,6.3,U
1997-06,14.35,U
1997-07,14.0,U
1997-08,10.8,U
1997-09,7.77,U
1997-10,-8.76,U
1997-11,-10.09,U
1997-12,-18.21,U
1998-01,-19.33,U
1998-02,-13.56,U
1998-03,-8.27,U
1998-04,-1.95,U
1998-05,, 
1998-06,11.42,U
1998-07,14.72,U
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,12.76,U
1999-08,11.27,U
1999-09,5.64,U
1999-10,-7.9,U
1999-11,-15.71,U
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,13.39,U
2000-07,11.47,U
2000-08,7.67,U
2000-09,2.04,U
2000-10,-5.57,U
2000-11,-9.82,U
2000-12,-10.77,U
2001-01,-10.9,U
2001-02,-10.87,U
2001-03,-13.42,U
2001-04,-5.86,U
2001-05,-2.64,U
2001-06,11.93,U
2001-07,11.41,U
2001-08,10.03,U
2001-09,6.3,U
2001-10,-6.99,U
2001-11,-12.87,U
2001-12,, 
2002-01,-17.85,U
2002-02,-14.5,U
2002-03,-7.74,U
2002-04,-7.65,U
2002-05,6.48,U
2002-06,11.32,U
2002-07,13.33,U
2002-08,9.57,U
2002-09,5.02,U
2002-10,-2.02,U
2002-11,-7.09,U
2002-12,-11.53,U
2003-01,-14.62,U
2003-02,-11.8,U
2003-03,-14.39,U
2003-04,-2.32,U
2003-05,2.96,U
2003-06,, 
2003-07,10.65,U
2003-08,10.94,U
2003-09,2.96,U
2003-10,-1.57,U
2003-11,-13.36,U
2003-12,-18.05,U
2004-01,-18.13,U
2004-02,-14.94,U
2004-03,-15.28,U
2004-04,-0.93,U
2004-05,7.31,U
2004-06,16.42,U
2004-07,16.36,U
2004-08,14.42,U
2004-09,1.7,U
2004-10,-3.31,U
2004-11,-12.0,U
2004-12,, 
2005-01,, 
2005-02,-14.82,U
2005-03,-9.49,U
2005-04,-7.61,U
2005-05,8.38,U
2005-06,13.68,U
2005-07,14.07,U
2005-08,12.97,U
2005-09,5.26,U
2005-10,-3.85,U
2005-11,-18.42,U
2005-12,-11.66,U
2006-01,-22.31,U
2006-02,-13.35,U
2006-03,-17.56,U
2006-04,-10.5,U
2006-05,5.35,U
2006-06,9.55,U
2006-07,12.09,U
2006-08,9.72,U
2006-09,7.58,U
2006-10,-1.76,U
2006-11,-14.05,U
2006-12,, 
2007-01,, 
2007-02,-15.88,U
2007-03,-20.36,U
2007-04,0.21,U
2007-05,5.15,U
2007-06,13.47,U
2007-07,16.66,U
2007-08,14.65,U
2007-09,6.2,U
2007-10,-5.91,U
2007-11,, 
2007-12,-15.69,U
2008-01,-20.79,U
2008-02,-18.85,U
2008-03,-11.46,U
2008-04,-8.21,U
2008-05,5.59,U
2008-06,11.1,U
2008-07,12.33,U
2008-08,10.71,U
2008-09,6.17,U
2008-10,-9.75,U
2008-11,-14.35,U
2008-12,-15.36,U
2009-01,-19.49,U
2009-02,, 
2009-03,-15.91,U
2009-04,-5.26,U
2009-05,3.63,U
2009-06,12.04,U
2009-07,16.38,U
2009-08,9.01,U
2009-09,5.43,U
2009-10,-1.68,U
2009-11,, 
2009-12,-12.31,U
2010-01,-19.11,U
2010-02,-12.76,U
2010-03,-16.39,U
2010-04,-3.17,U
2010-05,6.19,U
2010-06,11.91,U
2010-07,11.6,U
2010-08,11.15,U
2010-09,6.49,U
2010-10,-3.66,U
2010-11,, 
2010-12,, 
2011-01,-14.47,U
2011-02,-18.27,U
2011-03,-10.92,U
2011-04,-5.79,U
2011-05,5.66,U
2011-06,12.77,U
2011-07,11.99,U
2011-08,10.1,U
2011-09,6.27,U
2011-10,, 
2011-11,-17.7,U
2011-12,-16.06,U
2012-01,-28.61,U
2012-02,-13.91,U
2012-03,-17.37,U
2012-04,-3.37,U
2012-05,, 
2012-06,, 
2012-07,12.13,U
2012-08,10.16,U
2012-09,3.27,U
2012-10,-4.45,U
2012-11,-13.03,U
2012-12,-19.47,U
2013-01,-14.06,U
2013-02,-17.55,U
2013-03,-14.57,U
2013-04,-8.77,U
2013-05,0.58,U
2013-06,15.38,U
2013-07,13.77,U
2013-08,11.21,U
2013-09,2.49,U
2013-10,0.04,U
2013-11,-12.82,U
2013-12,-15.85,U
2014-01,-9.24,U
2014-02,-13.76,U
2014-03,-9.02,U
2014-04,-1.8,U
2014-05,5.41,U
2014-06,10.03,U
2014-07,11.87,U
2014-08,13.29,U
2014-09,, 
2014-10,, 
2014-11,, 
2014-12,, 
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,, 
2015-05,, 
2015-06,12.67,U
2015-07,14.85,U
2015-08,8.48,U
2015-09,2.37,U
2015-10,, 
2015-11,, 
2015-12,, 
2016-01,, 
2016-02,, 
2016-03,, 
2016-04,, 
2016-05,8.06,U
2016-06,12.61,U
2016-07,14.36,U
2016-08,13.06,U
2016-09,5.5,U
2016-10,-1.21,U
2016-11,-12.31,U
2016-12,, 
2017-01,, 
2017-02,-17.19,U
2017-03,-15.9,U
2017-04,0.55,U
2017-05,6.34,U
2017-06,14.08,U
2017-07,16.13,U
2017-08,10.0,U
2017-09,5.98,U
2017-10,-2.34,U
2017-11,-10.24,U
2017-12,-7.81,U
2018-01,-16.95,U
2018-02,, 
2018-03,-9.02,U
2018-04,-2.85,U
2018-05,5.54,U
2018-06,12.49,U
2018-07,15.2,U
2018-08,10.0,U
2018-09,7.93,U
2018-10,0.15,U
2018-11,-9.26,U
2018-12,, 
2019-01,-16.29,U
2019-02,-10.82,U
2019-03,-4.61,U
2019-04,-1.91,U
2019-05,8.2,U
2019-06,14.91,U
2019-07,16.31,U
2019-08,10.83,U
2019-09,6.46,U
2019-10,-2.62,U
2019-11,-11.0,U
2019-12,, 
2020-01,-21.74,U
2020-02,-22.43,U
2020-03,-13.46,U
2020-04,-4.47,U
2020-05,9.65,U
2020-06,12.7,U
2020-07,12.47,U
2020-08,13.09,U
2020-09,4.86,U
2020-10,-2.7,U
2020-11,, 
2020-12,-14.17,U
2021-01,-13.02,U
2021-02,-21.34,U
2021-03,-16.4,U
2021-04,-5.76,U
2021-05,7.04,U
2021-06,12.17,U
2021-07,12.59,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
