Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,6.47,U
1998-10,-4.69,U
1998-11,-15.6,U
1998-12,-21.34,U
1999-01,-27.85,U
1999-02,-27.08,U
1999-03,-15.83,U
1999-04,-1.97,U
1999-05,6.77,U
1999-06,14.84,U
1999-07,14.89,U
1999-08,12.75,U
1999-09,5.45,U
1999-10,-7.07,U
1999-11,-19.61,U
1999-12,-25.18,U
2000-01,-22.2,U
2000-02,-13.81,U
2000-03,-10.41,U
2000-04,-2.58,U
2000-05,5.35,U
2000-06,14.85,U
2000-07,14.24,U
2000-08,9.8,U
2000-09,3.58,U
2000-10,-6.07,U
2000-11,-13.65,U
2000-12,-16.74,U
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,14.32,U
2001-07,14.12,U
2001-08,12.06,U
2001-09,6.56,U
2001-10,-5.98,U
2001-11,-16.0,U
2001-12,-22.46,U
2002-01,-19.12,U
2002-02,-18.78,U
2002-03,-12.33,U
2002-04,-4.94,U
2002-05,8.4,U
2002-06,12.74,U
2002-07,14.95,U
2002-08,10.49,U
2002-09,6.85,U
2002-10,-2.98,U
2002-11,-9.76,U
2002-12,-14.47,U
2003-01,-20.01,U
2003-02,-14.11,U
2003-03,-13.65,U
2003-04,-1.66,U
2003-05,6.32,U
2003-06,13.73,U
2003-07,14.19,U
2003-08,11.88,U
2003-09,3.98,U
2003-10,-0.8,U
2003-11,-14.87,U
2003-12,-21.45,U
2004-01,-24.11,U
2004-02,-19.18,U
2004-03,-15.87,U
2004-04,-0.08,U
2004-05,9.82,U
2004-06,18.13,U
2004-07,17.27,U
2004-08,14.82,U
2004-09,1.62,U
2004-10,-2.94,U
2004-11,-16.66,U
2004-12,-20.29,U
2005-01,-18.96,U
2005-02,-20.15,U
2005-03,-10.42,U
2005-04,-1.64,U
2005-05,11.75,U
2005-06,15.68,U
2005-07,15.42,U
2005-08,12.01,U
2005-09,6.18,U
2005-10,-3.71,U
2005-11,-20.59,U
2005-12,-15.54,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,9.35,U
2006-06,13.27,U
2006-07,14.62,U
2006-08,10.92,U
2006-09,7.64,U
2006-10,-1.02,U
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,15.54,U
2007-07,17.09,U
2007-08,14.26,U
2007-09,6.85,U
2007-10,-5.62,U
2007-11,, 
2007-12,, 
2008-01,, 
2008-02,-20.41,U
2008-03,-13.16,U
2008-04,-1.45,U
2008-05,7.92,U
2008-06,13.79,U
2008-07,14.36,U
2008-08,10.58,U
2008-09,4.93,U
2008-10,-9.87,U
2008-11,-15.82,U
2008-12,-20.73,U
2009-01,-23.73,U
2009-02,-20.19,U
2009-03,-17.73,U
2009-04,-1.44,U
2009-05,8.57,U
2009-06,13.55,U
2009-07,16.69,U
2009-08,10.24,U
2009-09,7.53,U
2009-10,-1.91,U
2009-11,-18.97,U
2009-12,-19.34,U
2010-01,-23.34,U
2010-02,-17.28,U
2010-03,-12.95,U
2010-04,1.17,U
2010-05,10.5,U
2010-06,14.25,U
2010-07,15.04,U
2010-08,13.24,U
2010-09,5.96,U
2010-10,-4.75,U
2010-11,-10.75,U
2010-12,-26.27,U
2011-01,-21.75,U
2011-02,-21.56,U
2011-03,-13.22,U
2011-04,-3.73,U
2011-05,8.87,U
2011-06,13.78,U
2011-07,14.41,U
2011-08,11.78,U
2011-09,6.68,U
2011-10,-3.33,U
2011-11,-21.82,U
2011-12,-18.07,U
2012-01,-33.35,U
2012-02,-16.32,U
