Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,17.21,U
1992-08,13.48,U
1992-09,0.67,U
1992-10,, 
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,3.24,U
1993-05,11.33,U
1993-06,16.0,U
1993-07,18.81,U
1993-08,13.86,U
1993-09,5.86,U
1993-10,-1.44,U
1993-11,-12.55,U
1993-12,-16.9,U
1994-01,-17.04,U
1994-02,-17.54,U
1994-03,-13.2,U
1994-04,-0.05,U
1994-05,10.5,U
1994-06,13.93,U
1994-07,16.77,U
1994-08,13.86,U
1994-09,6.38,U
1994-10,-6.03,U
1994-11,-15.65,U
1994-12,, 
1995-01,-21.97,U
1995-02,-14.75,U
1995-03,-13.42,U
1995-04,3.64,U
1995-05,10.44,U
1995-06,14.72,U
1995-07,16.41,U
1995-08,12.96,U
1995-09,10.19,U
1995-10,-3.54,U
1995-11,-14.72,U
1995-12,-19.51,U
1996-01,-24.91,U
1996-02,-18.41,U
1996-03,-6.37,U
1996-04,-1.03,U
1996-05,9.48,U
1996-06,14.45,U
1996-07,16.59,U
1996-08,11.13,U
1996-09,5.06,U
1996-10,-8.79,U
1996-11,-16.93,U
1996-12,-22.12,U
1997-01,-24.15,U
1997-02,-10.15,U
1997-03,-12.35,U
1997-04,1.29,U
1997-05,9.37,U
1997-06,16.93,U
1997-07,18.12,U
1997-08,14.16,U
1997-09,9.93,U
1997-10,-7.02,U
1997-11,-10.47,U
1997-12,-18.69,U
1998-01,-20.32,U
1998-02,-13.44,U
1998-03,-4.9,U
1998-04,3.38,U
1998-05,9.16,U
1998-06,14.4,U
1998-07,16.19,U
1998-08,11.57,U
1998-09,8.36,U
1998-10,-1.88,U
1998-11,-12.75,U
1998-12,-18.11,U
1999-01,-22.36,U
1999-02,-24.12,U
1999-03,-10.73,U
1999-04,0.55,U
1999-05,8.52,U
1999-06,15.81,U
1999-07,15.8,U
1999-08,14.68,U
1999-09,8.09,U
1999-10,-5.93,U
1999-11,-17.63,U
1999-12,-23.0,U
2000-01,-19.39,U
2000-02,-11.3,U
2000-03,-7.28,U
2000-04,0.45,U
2000-05,6.44,U
2000-06,16.64,U
2000-07,14.94,U
2000-08,10.42,U
2000-09,5.46,U
2000-10,-5.01,U
2000-11,-11.55,U
2000-12,-13.8,U
2001-01,-11.93,U
2001-02,-12.57,U
2001-03,-10.15,U
2001-04,-0.02,U
2001-05,5.77,U
2001-06,16.33,U
2001-07,14.93,U
2001-08,13.88,U
2001-09,9.19,U
2001-10,-5.4,U
2001-11,-16.04,U
2001-12,-22.22,U
2002-01,-15.26,U
2002-02,-14.87,U
2002-03,-7.6,U
2002-04,-2.73,U
2002-05,10.17,U
2002-06,15.24,U
2002-07,16.82,U
2002-08,12.52,U
2002-09,7.83,U
2002-10,-0.59,U
2002-11,-7.92,U
2002-12,-14.26,U
2003-01,-16.04,U
2003-02,-10.39,U
2003-03,-10.6,U
2003-04,1.16,U
2003-05,7.96,U
2003-06,15.74,U
2003-07,16.11,U
2003-08,13.64,U
2003-09,5.76,U
2003-10,0.54,U
2003-11,-10.46,U
2003-12,-20.11,U
2004-01,, 
2004-02,-14.6,U
2004-03,-12.96,U
2004-04,3.12,U
2004-05,11.53,U
2004-06,18.55,U
2004-07,18.93,U
2004-08,17.14,U
2004-09,3.9,U
2004-10,-1.03,U
2004-11,-12.26,U
2004-12,-16.39,U
2005-01,-15.54,U
2005-02,-17.16,U
2005-03,-6.59,U
2005-04,0.73,U
2005-05,13.23,U
2005-06,16.39,U
2005-07,17.53,U
2005-08,14.73,U
2005-09,7.93,U
2005-10,-2.5,U
2005-11,-20.31,U
2005-12,-15.15,U
2006-01,-27.41,U
2006-02,-12.71,U
2006-03,-12.89,U
2006-04,-1.38,U
2006-05,9.96,U
2006-06,14.01,U
2006-07,16.27,U
2006-08,11.77,U
2006-09,9.36,U
2006-10,-0.12,U
2006-11,-18.51,U
2006-12,-18.66,U
2007-01,, 
2007-02,-17.25,U
2007-03,-17.78,U
2007-04,4.41,U
2007-05,10.41,U
2007-06,15.71,U
2007-07,17.43,U
2007-08,15.45,U
2007-09,8.43,U
2007-10,-4.92,U
2007-11,-11.63,U
2007-12,-17.46,U
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,13.8,U
2008-07,14.55,U
2008-08,12.08,U
2008-09,7.26,U
2008-10,-9.3,U
2008-11,-16.24,U
2008-12,-18.24,U
2009-01,-21.35,U
2009-02,-17.14,U
2009-03,-13.7,U
2009-04,0.1,U
2009-05,9.51,U
2009-06,14.5,U
2009-07,18.83,U
2009-08,12.07,U
2009-09,7.63,U
2009-10,-0.74,U
2009-11,-17.52,U
2009-12,-18.69,U
2010-01,-20.72,U
2010-02,-15.18,U
2010-03,-11.06,U
2010-04,1.8,U
2010-05,11.1,U
2010-06,14.74,U
2010-07,14.98,U
2010-08,14.04,U
2010-09,8.35,U
2010-10,-2.68,U
2010-11,-10.11,U
2010-12,-23.58,U
2011-01,-18.54,U
2011-02,-18.32,U
2011-03,-9.18,U
2011-04,-0.89,U
2011-05,10.26,U
2011-06,14.67,U
2011-07,14.59,U
2011-08,11.63,U
2011-09,8.34,U
2011-10,-1.71,U
2011-11,-19.73,U
2011-12,-15.21,U
2012-01,-32.05,U
2012-02,-13.9,U
2012-03,-13.83,U
2012-04,2.59,U
