Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,12.53,U
1990-07,14.5,U
1990-08,11.72,U
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,2.09,U
1991-05,6.19,U
1991-06,11.49,U
1991-07,11.64,U
1991-08,10.17,U
1991-09,5.55,U
1991-10,-3.63,U
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,10.71,U
1992-07,13.15,U
1992-08,10.05,U
1992-09,1.11,U
1992-10,-4.55,U
1992-11,-9.28,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,11.48,U
1993-07,15.58,U
1993-08,11.87,U
1993-09,6.69,U
1993-10,0.28,U
1993-11,-8.01,U
1993-12,, 
1994-01,, 
1994-02,-19.05,U
1994-03,-4.09,U
1994-04,3.01,U
1994-05,5.96,U
1994-06,10.9,U
1994-07,12.84,U
1994-08,13.14,U
1994-09,5.55,U
1994-10,-1.68,U
1994-11,-14.96,U
1994-12,, 
1995-01,-18.4,U
1995-02,-12.0,U
1995-03,-10.6,U
1995-04,2.56,U
1995-05,7.37,U
1995-06,11.59,U
1995-07,13.52,U
1995-08,10.62,U
1995-09,9.18,U
1995-10,-0.63,U
1995-11,-16.91,U
1995-12,-20.72,U
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,13.68,U
1996-08,11.05,U
1996-09,9.53,U
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,8.26,U
1997-05,10.21,U
1997-06,12.47,U
1997-07,14.51,U
1997-08,11.81,U
1997-09,6.43,U
1997-10,-6.96,U
1997-11,-9.93,U
1997-12,-13.47,U
1998-01,-21.2,U
1998-02,-11.97,U
1998-03,-6.54,U
1998-04,2.28,U
1998-05,6.15,U
1998-06,11.49,U
1998-07,12.4,U
1998-08,8.96,U
1998-09,5.91,U
1998-10,-3.75,U
1998-11,-13.64,U
1998-12,-19.87,U
1999-01,-20.48,U
1999-02,-20.34,U
1999-03,-7.91,U
1999-04,0.89,U
1999-05,4.86,U
1999-06,11.75,U
1999-07,13.09,U
1999-08,11.53,U
1999-09,6.04,U
1999-10,-2.01,U
1999-11,-15.1,U
1999-12,-15.14,U
2000-01,-17.37,U
2000-02,-7.96,U
2000-03,-4.21,U
2000-04,1.4,U
2000-05,5.33,U
2000-06,11.31,U
2000-07,12.9,U
2000-08,9.96,U
2000-09,4.09,U
2000-10,-3.18,U
2000-11,-10.46,U
2000-12,-14.11,U
2001-01,-8.51,U
2001-02,-9.84,U
2001-03,-6.55,U
2001-04,1.46,U
2001-05,4.61,U
2001-06,12.3,U
2001-07,12.5,U
2001-08,12.61,U
2001-09,6.04,U
2001-10,-3.78,U
2001-11,-16.28,U
2001-12,-22.48,U
2002-01,-12.54,U
2002-02,-12.58,U
2002-03,-12.1,U
2002-04,-4.12,U
2002-05,7.27,U
2002-06,11.55,U
2002-07,12.93,U
2002-08,10.96,U
2002-09,6.26,U
2002-10,2.3,U
2002-11,-4.14,U
2002-12,-15.71,U
2003-01,-16.23,U
2003-02,-5.03,U
2003-03,-8.39,U
2003-04,0.59,U
2003-05,6.2,U
2003-06,11.27,U
2003-07,13.69,U
2003-08,10.56,U
2003-09,5.12,U
2003-10,-0.84,U
2003-11,-13.55,U
2003-12,-17.22,U
2004-01,-26.31,U
2004-02,-9.56,U
2004-03,-7.26,U
2004-04,2.48,U
2004-05,8.91,U
2004-06,13.84,U
2004-07,14.49,U
2004-08,13.34,U
2004-09,3.92,U
2004-10,-0.84,U
2004-11,-8.57,U
2004-12,-15.48,U
2005-01,-18.45,U
2005-02,-11.26,U
2005-03,-1.76,U
2005-04,2.95,U
2005-05,8.04,U
2005-06,11.91,U
2005-07,12.5,U
2005-08,12.41,U
2005-09,7.45,U
2005-10,-1.94,U
2005-11,-16.13,U
2005-12,-12.43,U
2006-01,-22.5,U
2006-02,-12.56,U
2006-03,-11.65,U
2006-04,0.53,U
2006-05,6.97,U
2006-06,10.78,U
2006-07,13.48,U
2006-08,10.37,U
2006-09,6.89,U
2006-10,0.12,U
2006-11,-23.55,U
2006-12,-14.68,U
2007-01,-14.45,U
2007-02,-17.54,U
2007-03,-15.68,U
2007-04,0.99,U
2007-05,6.43,U
2007-06,12.57,U
2007-07,13.93,U
2007-08,11.64,U
2007-09,6.35,U
2007-10,-2.26,U
2007-11,-9.33,U
2007-12,-16.94,U
2008-01,-20.73,U
2008-02,-15.66,U
2008-03,-5.36,U
2008-04,1.16,U
2008-05,6.68,U
2008-06,10.34,U
2008-07,11.21,U
2008-08,10.6,U
2008-09,6.97,U
2008-10,, 
2008-11,-13.65,U
2008-12,-21.08,U
2009-01,-18.23,U
2009-02,-14.32,U
2009-03,-10.02,U
2009-04,1.14,U
2009-05,7.74,U
2009-06,11.57,U
2009-07,15.02,U
2009-08,11.08,U
2009-09,6.02,U
2009-10,-0.03,U
2009-11,-15.59,U
2009-12,-15.65,U
2010-01,-19.78,U
2010-02,-8.63,U
2010-03,-5.08,U
2010-04,1.16,U
2010-05,7.75,U
2010-06,11.16,U
2010-07,12.86,U
2010-08,12.54,U
2010-09,6.08,U
2010-10,-2.36,U
2010-11,-10.38,U
2010-12,-26.1,U
2011-01,-17.21,U
2011-02,-15.43,U
2011-03,-11.9,U
2011-04,1.28,U
2011-05,7.52,U
2011-06,11.92,U
2011-07,, 
2011-08,10.28,U
2011-09,5.97,U
2011-10,-1.72,U
2011-11,-17.2,U
2011-12,-10.54,U
2012-01,-23.44,U
2012-02,-7.67,U
2012-03,-9.4,U
2012-04,2.77,U
2012-05,5.55,U
2012-06,10.61,U
2012-07,12.04,U
2012-08,10.67,U
2012-09,7.32,U
2012-10,-5.3,U
2012-11,-21.16,U
2012-12,-24.86,U
2013-01,-12.6,U
2013-02,-9.18,U
2013-03,-8.39,U
2013-04,-3.71,U
2013-05,6.47,U
2013-06,13.42,U
2013-07,14.33,U
2013-08,12.15,U
2013-09,6.25,U
2013-10,2.52,U
2013-11,-12.05,U
2013-12,-19.01,U
2014-01,-5.42,U
2014-02,-19.99,U
2014-03,-8.82,U
2014-04,0.37,U
2014-05,8.35,U
2014-06,9.39,U
2014-07,12.29,U
2014-08,11.61,U
2014-09,6.69,U
2014-10,-3.94,U
2014-11,-12.79,U
2014-12,, 
2015-01,, 
2015-02,-12.37,U
2015-03,-4.21,U
2015-04,1.83,U
2015-05,9.63,U
2015-06,12.68,U
2015-07,13.97,U
2015-08,10.75,U
2015-09,5.72,U
2015-10,0.33,U
2015-11,-9.01,U
2015-12,-16.66,U
2016-01,-11.68,U
2016-02,-7.9,U
2016-03,-2.43,U
2016-04,3.69,U
2016-05,8.6,U
2016-06,11.86,U
2016-07,14.92,U
2016-08,12.9,U
2016-09,7.28,U
2016-10,-5.09,U
2016-11,-14.09,U
2016-12,-20.86,U
2017-01,-18.46,U
2017-02,-14.05,U
2017-03,-14.69,U
2017-04,2.9,U
2017-05,6.34,U
2017-06,12.02,U
2017-07,13.8,U
2017-08,11.58,U
2017-09,6.91,U
2017-10,-0.49,U
2017-11,-16.25,U
2017-12,-10.61,U
2018-01,-15.91,U
2018-02,-14.97,U
2018-03,-6.4,U
2018-04,1.01,U
2018-05,6.3,U
2018-06,11.05,U
2018-07,13.98,U
2018-08,10.94,U
2018-09,7.11,U
2018-10,1.73,U
2018-11,-9.97,U
2018-12,-12.93,U
2019-01,-17.06,U
2019-02,-14.86,U
2019-03,-1.9,U
2019-04,2.3,U
2019-05,8.68,U
2019-06,13.16,U
2019-07,15.4,U
2019-08,12.08,U
2019-09,7.75,U
2019-10,-1.52,U
2019-11,-5.05,U
2019-12,-13.0,U
2020-01,-26.98,U
2020-02,-12.17,U
2020-03,-9.14,U
2020-04,0.87,U
2020-05,8.37,U
2020-06,10.35,U
2020-07,13.27,U
2020-08,11.38,U
2020-09,6.61,U
2020-10,-2.49,U
2020-11,-14.83,U
2020-12,-13.06,U
2021-01,-14.32,U
2021-02,-17.58,U
2021-03,-10.72,U
2021-04,-0.34,U
2021-05,6.8,U
2021-06,11.9,U
2021-07,14.03,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
