Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,15.62,U
1993-07,16.92,U
1993-08,11.27,U
1993-09,4.09,U
1993-10,-3.68,U
1993-11,-15.12,U
1993-12,-19.21,U
1994-01,-21.27,U
1994-02,-20.16,U
1994-03,-15.93,U
1994-04,-2.04,U
1994-05,7.62,U
1994-06,11.89,U
1994-07,15.0,U
1994-08,12.42,U
1994-09,3.45,U
1994-10,-8.25,U
1994-11,-16.33,U
1994-12,, 
1995-01,, 
1995-02,-18.18,U
1995-03,-16.81,U
1995-04,1.24,U
1995-05,8.82,U
1995-06,12.24,U
1995-07,14.51,U
1995-08,13.6,U
1995-09,8.43,U
1995-10,-6.53,U
1995-11,-20.59,U
1995-12,-22.52,U
1996-01,-28.8,U
1996-02,-20.6,U
1996-03,-10.12,U
1996-04,-3.57,U
1996-05,6.8,U
1996-06,12.07,U
1996-07,14.7,U
1996-08,8.88,U
1996-09,3.05,U
1996-10,-13.04,U
1996-11,-20.45,U
1996-12,-26.72,U
1997-01,-27.69,U
1997-02,-13.3,U
1997-03,-18.57,U
1997-04,-1.91,U
1997-05,6.86,U
1997-06,14.33,U
1997-07,15.32,U
1997-08,12.15,U
1997-09,6.06,U
1997-10,-11.2,U
1997-11,-14.39,U
1997-12,-23.4,U
1998-01,-25.63,U
1998-02,-18.31,U
1998-03,-9.82,U
1998-04,1.05,U
1998-05,6.64,U
1998-06,, 
1998-07,13.72,U
1998-08,9.6,U
1998-09,5.32,U
1998-10,-6.33,U
1998-11,-17.02,U
1998-12,-23.11,U
1999-01,-27.65,U
1999-02,-28.58,U
1999-03,-16.03,U
1999-04,-3.09,U
1999-05,5.87,U
1999-06,13.3,U
1999-07,13.66,U
1999-08,, 
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,13.56,U
2000-07,12.84,U
2000-08,8.31,U
2000-09,2.94,U
2000-10,-8.43,U
2000-11,-14.47,U
2000-12,-17.03,U
2001-01,-14.76,U
2001-02,-14.15,U
2001-03,-13.46,U
2001-04,-2.3,U
2001-05,3.35,U
2001-06,13.1,U
2001-07,13.15,U
2001-08,11.94,U
2001-09,5.23,U
2001-10,-8.97,U
2001-11,-20.82,U
2001-12,-27.81,U
2002-01,-17.5,U
2002-02,-19.39,U
2002-03,-13.42,U
2002-04,-5.22,U
2002-05,7.94,U
2002-06,12.56,U
2002-07,14.38,U
2002-08,10.53,U
2002-09,5.99,U
2002-10,-3.65,U
2002-11,-11.41,U
2002-12,-16.66,U
2003-01,-23.35,U
2003-02,-14.43,U
2003-03,-13.62,U
2003-04,-1.81,U
2003-05,6.27,U
2003-06,, 
2003-07,14.02,U
2003-08,11.15,U
2003-09,1.97,U
2003-10,-2.71,U
2003-11,-13.16,U
2003-12,-25.35,U
2004-01,-24.61,U
2004-02,-18.66,U
2004-03,-16.85,U
2004-04,-0.07,U
2004-05,9.41,U
2004-06,15.75,U
2004-07,16.46,U
2004-08,13.35,U
2004-09,, 
2004-10,, 
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,13.53,U
2005-07,15.24,U
2005-08,13.38,U
2005-09,7.34,U
2005-10,-4.48,U
2005-11,-22.52,U
2005-12,-16.43,U
2006-01,-28.82,U
2006-02,-13.76,U
2006-03,-12.32,U
2006-04,-0.84,U
2006-05,7.88,U
2006-06,12.03,U
2006-07,14.62,U
2006-08,10.19,U
2006-09,6.86,U
2006-10,-1.68,U
2006-11,-24.48,U
2006-12,-21.6,U
2007-01,, 
2007-02,-21.95,U
2007-03,-21.54,U
2007-04,1.78,U
2007-05,8.31,U
2007-06,2.63,U
2007-07,, 
2007-08,, 
2007-09,, 
2007-10,, 
2007-11,, 
2007-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,, 
2009-08,9.35,U
2009-09,4.68,U
2009-10,-3.49,U
2009-11,-21.05,U
2009-12,-21.04,U
2010-01,-24.27,U
2010-02,-18.04,U
2010-03,-15.18,U
2010-04,-1.15,U
2010-05,8.69,U
2010-06,12.53,U
2010-07,13.82,U
2010-08,12.62,U
2010-09,4.85,U
2010-10,-5.2,U
2010-11,-11.34,U
2010-12,-28.26,U
2011-01,-21.55,U
2011-02,-18.86,U
2011-03,-14.06,U
2011-04,-4.11,U
2011-05,7.11,U
2011-06,12.25,U
2011-07,13.58,U
2011-08,10.47,U
2011-09,5.65,U
2011-10,-4.85,U
2011-11,-23.81,U
2011-12,-17.52,U
2012-01,-33.32,U
2012-02,-16.91,U
2012-03,-17.84,U
2012-04,-0.9,U
2012-05,6.38,U
2012-06,13.35,U
2012-07,13.06,U
2012-08,10.98,U
2012-09,4.19,U
2012-10,-7.22,U
2012-11,-21.46,U
2012-12,-27.97,U
2013-01,-19.54,U
2013-02,-19.94,U
2013-03,-14.55,U
2013-04,-8.71,U
2013-05,4.31,U
2013-06,15.2,U
2013-07,14.56,U
2013-08,11.62,U
2013-09,3.04,U
2013-10,, 
2013-11,, 
2013-12,, 
2015-01,-22.75,U
2015-02,-16.57,U
2015-03,-11.35,U
2015-04,0.34,U
2015-05,9.92,U
2015-06,13.24,U
2015-07,14.33,U
2015-08,10.85,U
2015-09,4.05,U
2015-10,-2.52,U
2015-11,-12.18,U
2015-12,, 
2016-01,, 
2016-02,, 
2016-03,-9.71,U
2016-04,1.75,U
2016-05,9.15,U
2016-06,14.16,U
2016-07,15.0,U
2016-08,13.36,U
2016-09,5.44,U
2016-10,-7.1,U
2016-11,-17.56,U
2016-12,-20.93,U
2017-01,-23.09,U
2017-02,-17.66,U
2017-03,-20.16,U
2017-04,-0.47,U
2017-05,6.94,U
2017-06,13.26,U
2017-07,16.51,U
2017-08,12.02,U
2017-09,5.43,U
2017-10,-2.31,U
2017-11,-13.12,U
2017-12,, 
2018-01,, 
2018-02,, 
2018-03,-9.1,U
2018-04,-3.05,U
2018-05,6.69,U
2018-06,12.25,U
2018-07,15.65,U
2018-08,11.67,U
2018-09,7.25,U
2018-10,-1.77,U
2018-11,-13.13,U
2018-12,-17.86,U
2019-01,-21.32,U
2019-02,, 
2019-03,-4.37,U
2019-04,0.19,U
2019-05,8.64,U
2019-06,15.22,U
2019-07,16.45,U
2019-08,11.96,U
2019-09,6.73,U
2019-10,-2.6,U
2019-11,-12.27,U
2019-12,-23.07,U
2020-01,-29.59,U
2020-02,-21.03,U
2020-03,-12.06,U
2020-04,0.06,U
2020-05,9.42,U
2020-06,13.23,U
2020-07,14.6,U
2020-08,12.84,U
2020-09,5.98,U
2020-10,-4.52,U
2020-11,-17.02,U
2020-12,-19.3,U
2021-01,-18.22,U
2021-02,, 
2021-03,, 
2021-04,, 
2021-05,, 
2021-06,14.41,U
2021-07,15.58,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
