Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,6.76,U
1995-06,10.27,U
1995-07,12.93,U
1995-08,12.49,U
1995-09,10.58,U
1995-10,3.25,U
1995-11,-6.75,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,7.58,U
1996-06,10.15,U
1996-07,12.78,U
1996-08,12.33,U
1996-09,6.83,U
1996-10,-3.52,U
1996-11,-7.18,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,7.72,U
1997-06,11.5,U
1997-07,14.1,U
1997-08,13.4,U
1997-09,9.64,U
1997-10,-1.84,U
1997-11,-3.13,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,5.88,U
1998-06,10.68,U
1998-07,12.22,U
1998-08,10.6,U
1998-09,8.43,U
1998-10,2.14,U
1998-11,-4.62,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,6.31,U
1999-06,10.45,U
1999-07,12.91,U
1999-08,12.89,U
1999-09,8.94,U
1999-10,0.59,U
1999-11,-6.45,U
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,2.79,U
2000-05,5.92,U
2000-06,10.91,U
2000-07,12.39,U
2000-08,12.27,U
2000-09,7.44,U
2000-10,1.71,U
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,5.39,U
2001-06,12.35,U
2001-07,13.21,U
2001-08,13.47,U
2001-09,9.11,U
2001-10,, 
2001-11,, 
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,7.46,U
2002-06,10.87,U
2002-07,13.44,U
2002-08,13.05,U
2002-09,9.28,U
2002-10,5.07,U
2002-11,0.63,U
2002-12,-6.35,U
2003-01,-4.62,U
2003-02,-0.1,U
2003-03,-3.45,U
2003-04,3.53,U
2003-05,6.78,U
2003-06,10.61,U
2003-07,14.95,U
2003-08,13.28,U
2003-09,7.92,U
2003-10,4.44,U
2003-11,-6.25,U
2003-12,-9.6,U
2004-01,-14.45,U
2004-02,-2.39,U
2004-03,-3.22,U
2004-04,3.23,U
