Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.19,U
1990-07,15.18,U
1990-08,12.22,U
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,15.16,U
1992-08,10.4,U
1992-09,-2.41,U
1992-10,, 
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,14.18,U
1993-07,17.14,U
1993-08,9.54,U
1993-09,0.97,U
1993-10,-5.14,U
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,11.33,U
1994-07,14.76,U
1994-08,11.07,U
1994-09,3.1,U
1994-10,-9.52,U
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,11.78,U
1995-07,14.69,U
1995-08,10.07,U
1995-09,7.31,U
1995-10,-6.33,U
1995-11,-25.47,U
1995-12,-26.55,U
1996-01,, 
1996-02,-25.34,U
1996-03,-15.71,U
1996-04,-7.91,U
1996-05,4.9,U
1996-06,12.09,U
1996-07,13.71,U
1996-08,7.89,U
1996-09,1.72,U
1996-10,-14.27,U
1996-11,-19.2,U
1996-12,, 
1997-01,, 
1997-02,-16.1,U
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,14.49,U
1997-08,12.06,U
1997-09,27.65,U
1997-10,, 
1997-11,, 
1997-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,13.07,U
1999-07,13.48,U
1999-08,11.08,U
1999-09,4.07,U
1999-10,-10.15,U
1999-11,-23.74,U
1999-12,-30.29,U
2000-01,-27.96,U
2000-02,-15.33,U
2000-03,-13.21,U
2000-04,-7.3,U
2000-05,0.64,U
2000-06,13.06,U
2000-07,12.01,U
2000-08,8.37,U
2000-09,1.88,U
2000-10,-9.41,U
2000-11,-15.66,U
2000-12,-19.34,U
2001-01,-17.49,U
2001-02,-16.22,U
2001-03,-18.01,U
2001-04,-5.85,U
2001-05,0.11,U
2001-06,12.67,U
2001-07,13.28,U
2001-08,10.12,U
2001-09,5.17,U
2001-10,-8.84,U
2001-11,-19.26,U
2001-12,, 
2002-01,-17.58,U
2002-02,-19.92,U
2002-03,-12.26,U
2002-04,-8.86,U
2002-05,5.52,U
2002-06,11.25,U
2002-07,12.88,U
2002-08,8.01,U
2002-09,4.6,U
2002-10,-4.47,U
2002-11,-10.75,U
2002-12,-15.76,U
2003-01,, 
2003-02,-16.24,U
2003-03,-17.79,U
2003-04,-4.28,U
2003-05,2.88,U
2003-06,14.48,U
2003-07,11.35,U
2003-08,10.18,U
2003-09,0.98,U
2003-10,-2.48,U
2003-11,-17.5,U
2003-12,, 
2004-01,-24.27,U
2004-02,-18.19,U
2004-03,-17.77,U
2004-04,-1.98,U
2004-05,6.57,U
2004-06,16.15,U
2004-07,15.56,U
2004-08,13.27,U
2004-09,0.43,U
2004-10,-4.23,U
2004-11,-15.8,U
2004-12,-19.49,U
2005-01,, 
2005-02,, 
2005-03,-11.73,U
2005-04,-7.35,U
2005-05,7.69,U
2005-06,14.33,U
2005-07,14.05,U
2005-08,11.12,U
2005-09,5.64,U
2005-10,-6.93,U
2005-11,-25.3,U
2005-12,-15.6,U
2006-01,, 
2006-02,-14.97,U
2006-03,-19.08,U
2006-04,-9.32,U
2006-05,6.57,U
2006-06,10.66,U
2006-07,13.25,U
2006-08,9.8,U
2006-09,7.08,U
2006-10,-3.56,U
2006-11,-24.32,U
2006-12,-18.39,U
2007-01,, 
2007-02,-22.24,U
2007-03,-22.66,U
2007-04,0.33,U
2007-05,6.54,U
2007-06,14.41,U
2007-07,16.65,U
2007-08,13.27,U
2007-09,5.76,U
2007-10,-8.12,U
2007-11,-12.6,U
2007-12,, 
2008-01,, 
2008-02,-22.29,U
2008-03,-12.5,U
2008-04,-6.76,U
2008-05,, 
2008-06,12.41,U
2008-07,12.82,U
2008-08,9.57,U
2008-09,3.58,U
2008-10,-14.83,U
2008-11,-19.76,U
2008-12,-23.68,U
2009-01,-29.55,U
2009-02,-22.48,U
2009-03,-20.11,U
2009-04,-7.35,U
2009-05,5.11,U
2009-06,12.71,U
2009-07,15.42,U
2009-08,8.38,U
2009-09,4.25,U
2009-10,-4.33,U
2009-11,-23.43,U
2009-12,-22.14,U
2010-01,-30.38,U
2010-02,-20.64,U
2010-03,-17.64,U
2010-04,-2.81,U
2010-05,7.33,U
2010-06,13.59,U
2010-07,13.09,U
2010-08,11.84,U
2010-09,4.77,U
2010-10,-6.28,U
2010-11,-12.85,U
2010-12,, 
2011-01,, 
2011-02,-23.5,U
2011-03,-16.88,U
2011-04,-6.77,U
2011-05,5.57,U
2011-06,12.5,U
2011-07,12.91,U
2011-08,9.44,U
2011-09,5.52,U
2011-10,-5.63,U
2011-11,-26.88,U
2011-12,-20.27,U
2012-01,-39.48,U
2012-02,-20.37,U
2012-03,-22.11,U
2012-04,-3.8,U
2012-05,4.75,U
2012-06,14.25,U
2012-07,13.17,U
2012-08,9.67,U
2012-09,3.39,U
2012-10,-7.48,U
2012-11,-25.15,U
2012-12,-30.18,U
2013-01,-22.19,U
2013-02,-22.48,U
2013-03,-17.0,U
2013-04,-10.85,U
2013-05,0.83,U
2013-06,15.28,U
2013-07,13.78,U
2013-08,10.72,U
2013-09,2.59,U
2013-10,0.0,U
2013-11,-19.44,U
2013-12,-24.02,U
2014-01,-16.69,U
2014-02,-21.07,U
2014-03,-12.55,U
2014-04,-4.24,U
2014-05,4.83,U
2014-06,11.22,U
2014-07,12.13,U
2014-08,12.58,U
2014-09,3.68,U
2014-10,-5.96,U
2014-11,-15.52,U
2014-12,-15.45,U
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,, 
2015-05,9.58,U
2015-06,12.64,U
2015-07,14.63,U
2015-08,9.56,U
2015-09,1.71,U
2015-10,-3.82,U
2015-11,-14.62,U
2015-12,-24.83,U
2016-01,-16.71,U
2016-02,-14.34,U
2016-03,-13.15,U
2016-04,-0.86,U
2016-05,7.83,U
2016-06,13.21,U
2016-07,14.79,U
2016-08,12.58,U
2016-09,4.01,U
2016-10,-6.22,U
2016-11,-22.32,U
2016-12,-24.02,U
2017-01,-25.18,U
2017-02,-21.14,U
2017-03,-21.03,U
2017-04,-3.22,U
2017-05,5.83,U
2017-06,13.72,U
2017-07,16.04,U
2017-08,9.64,U
2017-09,5.69,U
2017-10,-4.56,U
2017-11,-17.84,U
2017-12,, 
2018-01,-27.99,U
2018-02,-18.77,U
2018-03,, 
2018-04,-4.79,U
2018-05,6.02,U
2018-06,12.04,U
2018-07,14.54,U
2018-08,9.46,U
2018-09,5.6,U
2018-10,-2.86,U
2018-11,-13.23,U
2018-12,-19.81,U
2019-01,, 
2019-02,, 
2019-03,, 
2019-04,-2.2,U
2019-05,6.94,U
2019-06,14.67,U
2019-07,15.79,U
2019-08,10.04,U
2019-09,5.0,U
2019-10,-4.87,U
2019-11,-16.2,U
2019-12,-27.87,U
2020-01,-31.97,U
2020-02,-28.63,U
2020-03,-17.54,U
2020-04,-4.22,U
2020-05,7.71,U
2020-06,13.28,U
2020-07,13.17,U
2020-08,11.85,U
2020-09,4.2,U
2020-10,-6.46,U
2020-11,-18.21,U
2020-12,-19.23,U
2021-01,-20.2,U
2021-02,-28.52,U
2021-03,-19.13,U
2021-04,-8.03,U
2021-05,5.28,U
2021-06,12.55,U
2021-07,13.8,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
