Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,14.47,U
1992-08,12.62,U
1992-09,3.82,U
1992-10,-0.51,U
1992-11,-4.14,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,9.47,U
1993-06,12.55,U
1993-07,15.65,U
1993-08,13.33,U
1993-09,8.51,U
1993-10,3.04,U
1993-11,-2.71,U
1993-12,-3.13,U
1994-01,-5.78,U
1994-02,-10.37,U
1994-03,-6.64,U
1994-04,3.25,U
1994-05,7.69,U
1994-06,12.1,U
1994-07,13.83,U
1994-08,13.52,U
1994-09,8.52,U
1994-10,-0.72,U
1994-11,-7.65,U
1994-12,, 
1995-01,-9.16,U
1995-02,-6.85,U
1995-03,-9.81,U
1995-04,4.54,U
1995-05,7.98,U
1995-06,11.57,U
1995-07,14.15,U
1995-08,12.96,U
1995-09,11.42,U
1995-10,2.65,U
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,-1.64,U
1996-04,1.51,U
1996-05,8.5,U
1996-06,11.98,U
1996-07,13.33,U
1996-08,11.58,U
1996-09,6.02,U
1996-10,-3.63,U
1996-11,-5.51,U
1996-12,-15.4,U
1997-01,-14.42,U
1997-02,-0.22,U
1997-03,-7.12,U
1997-04,2.62,U
1997-05,8.38,U
1997-06,12.94,U
1997-07,15.36,U
1997-08,14.09,U
1997-09,10.46,U
1997-10,-2.59,U
1997-11,-2.5,U
1997-12,-13.18,U
1998-01,-11.39,U
1998-02,-5.24,U
1998-03,0.2,U
1998-04,3.14,U
1998-05,6.73,U
1998-06,11.76,U
1998-07,13.77,U
1998-08,11.35,U
1998-09,7.92,U
1998-10,2.13,U
1998-11,-2.77,U
1998-12,-13.33,U
1999-01,-15.2,U
1999-02,-18.57,U
1999-03,-8.17,U
1999-04,0.59,U
1999-05,6.06,U
1999-06,11.65,U
1999-07,13.76,U
1999-08,13.16,U
1999-09,8.46,U
1999-10,-1.23,U
1999-11,-7.54,U
1999-12,-15.88,U
2000-01,-16.94,U
2000-02,-1.34,U
2000-03,0.13,U
2000-04,3.35,U
2000-05,6.64,U
2000-06,11.07,U
2000-07,13.14,U
2000-08,11.65,U
2000-09,7.15,U
2000-10,0.95,U
2000-11,0.22,U
2000-12,1.07,U
2001-01,-2.48,U
2001-02,-2.2,U
2001-03,-2.6,U
2001-04,2.23,U
2001-05,4.77,U
2001-06,12.83,U
2001-07,13.62,U
2001-08,13.46,U
2001-09,8.48,U
2001-10,-2.02,U
2001-11,-5.76,U
2001-12,-9.17,U
2002-01,-3.5,U
2002-02,-4.28,U
2002-03,-3.65,U
2002-04,-0.28,U
2002-05,7.24,U
2002-06,11.82,U
2002-07,14.24,U
2002-08,12.89,U
2002-09,9.12,U
2002-10,5.55,U
2002-11,1.55,U
2002-12,-3.57,U
2003-01,-0.75,U
2003-02,1.9,U
2003-03,-5.59,U
2003-04,3.51,U
2003-05,6.88,U
2003-06,11.58,U
2003-07,14.89,U
2003-08,13.99,U
2003-09,7.42,U
2003-10,3.44,U
2003-11,-4.28,U
2003-12,-7.93,U
2004-01,-11.26,U
2004-02,-0.95,U
2004-03,-5.61,U
2004-04,2.59,U
2004-05,9.66,U
2004-06,13.36,U
2004-07,16.36,U
2004-08,15.26,U
2004-09,6.2,U
2004-10,3.22,U
2004-11,-1.37,U
2004-12,-4.4,U
2005-01,-6.63,U
2005-02,-4.2,U
2005-03,-1.09,U
2005-04,1.99,U
2005-05,8.93,U
2005-06,13.02,U
2005-07,14.78,U
2005-08,14.07,U
2005-09,9.16,U
2005-10,0.59,U
2005-11,-10.3,U
2005-12,-1.19,U
2006-01,, 
2006-02,-4.4,U
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,, 
2006-07,, 
2006-08,, 
2006-09,9.09,U
2006-10,3.34,U
2006-11,-12.06,U
2006-12,-10.29,U
2007-01,-12.66,U
2007-02,-6.88,U
2007-03,-15.13,U
2007-04,3.51,U
2007-05,6.93,U
2007-06,11.26,U
2007-07,13.74,U
2007-08,13.41,U
2007-09,9.13,U
2007-10,0.62,U
2007-11,-0.58,U
2007-12,-7.1,U
2008-01,-16.22,U
2008-02,-14.13,U
2008-03,-3.69,U
2008-04,-1.82,U
2008-05,6.84,U
2008-06,10.23,U
2008-07,12.53,U
2008-08,12.05,U
2008-09,8.33,U
2008-10,-3.02,U
2008-11,-8.99,U
2008-12,-8.94,U
2009-01,-13.41,U
2009-02,, 
2009-03,, 
2009-04,1.39,U
2009-05,7.98,U
2009-06,11.32,U
2009-07,15.51,U
2009-08,12.55,U
2009-09,8.24,U
2009-10,4.59,U
2009-11,-8.7,U
2009-12,-3.65,U
2010-01,-10.28,U
2010-02,-4.75,U
2010-03,-7.64,U
2010-04,0.68,U
2010-05,7.3,U
2010-06,11.09,U
2010-07,11.85,U
2010-08,12.23,U
2010-09,9.15,U
2010-10,2.36,U
2010-11,-5.87,U
2010-12,-16.95,U
2011-01,-8.48,U
2011-02,-10.46,U
2011-03,-6.63,U
2011-04,1.31,U
2011-05,7.54,U
2011-06,10.6,U
2011-07,12.7,U
2011-08,11.59,U
2011-09,8.63,U
2011-10,1.84,U
2011-11,-11.25,U
2011-12,-8.66,U
2012-01,-25.11,U
2012-02,-4.16,U
2012-03,-10.47,U
2012-04,2.78,U
2012-05,6.2,U
2012-06,11.41,U
2012-07,12.14,U
