Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,14.33,U
1988-07,16.63,U
1988-08,, 
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,13.17,U
1989-07,14.42,U
1989-08,, 
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,15.8,U
1991-07,14.17,U
1991-08,11.34,U
1991-09,8.94,U
1991-10,-3.66,U
1991-11,-16.79,U
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,-10.19,U
1992-04,-3.02,U
1992-05,2.85,U
1992-06,14.42,U
1992-07,16.54,U
1992-08,12.22,U
1992-09,-0.54,U
1992-10,-7.56,U
1992-11,-12.02,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,14.89,U
1993-07,17.56,U
1993-08,12.12,U
1993-09,4.25,U
1993-10,-2.36,U
1993-11,-12.34,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,-14.76,U
1994-04,-1.36,U
1994-05,10.08,U
1994-06,12.95,U
1994-07,15.49,U
1994-08,12.32,U
1994-09,5.67,U
1994-10,-7.09,U
1994-11,-15.87,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,12.62,U
1995-07,15.09,U
1995-08,11.86,U
1995-09,9.02,U
1995-10,-4.33,U
1995-11,-17.02,U
1995-12,-18.35,U
1996-01,-24.93,U
1996-02,-18.33,U
1996-03,-7.05,U
1996-04,-2.55,U
1996-05,8.41,U
1996-06,12.52,U
1996-07,14.95,U
1996-08,9.8,U
1996-09,3.86,U
1996-10,-8.78,U
1996-11,-15.49,U
1996-12,-21.67,U
1997-01,-21.15,U
1997-02,-10.52,U
1997-03,-13.31,U
1997-04,0.78,U
1997-05,8.74,U
1997-06,15.7,U
1997-07,16.23,U
1997-08,12.39,U
1997-09,8.44,U
1997-10,-8.6,U
1997-11,-8.96,U
1997-12,-20.33,U
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,12.71,U
1998-07,15.03,U
1998-08,9.11,U
1998-09,6.91,U
1998-10,-2.47,U
1998-11,-13.74,U
1998-12,, 
1999-01,-25.64,U
1999-02,-24.04,U
1999-03,-12.78,U
1999-04,-2.12,U
1999-05,6.66,U
1999-06,14.75,U
1999-07,14.11,U
1999-08,13.25,U
1999-09,7.11,U
1999-10,-6.76,U
1999-11,-17.62,U
1999-12,-24.6,U
2000-01,, 
2000-02,-9.93,U
2000-03,-8.62,U
2000-04,-1.33,U
2000-05,5.32,U
2000-06,16.1,U
2000-07,13.9,U
2000-08,9.57,U
2000-09,, 
2000-10,-4.51,U
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,-10.83,U
2001-04,-0.59,U
2001-05,3.93,U
2001-06,15.16,U
2001-07,13.3,U
2001-08,13.09,U
2001-09,8.43,U
2001-10,-5.69,U
2001-11,-16.55,U
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,10.11,U
2002-06,14.44,U
2002-07,14.84,U
2002-08,, 
2002-09,, 
2002-10,, 
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-11.14,U
2003-04,0.76,U
2003-05,6.79,U
2003-06,15.19,U
2003-07,14.12,U
2003-08,13.02,U
2003-09,4.94,U
2003-10,-0.02,U
2003-11,-10.25,U
2003-12,, 
2004-01,, 
2004-02,-14.85,U
2004-03,-12.73,U
2004-04,2.17,U
2004-05,, 
2004-06,16.82,U
2004-07,17.57,U
2004-08,15.94,U
2004-09,3.33,U
2004-10,-0.68,U
2004-11,-9.92,U
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,-7.0,U
2005-04,-1.75,U
2005-05,12.41,U
2005-06,15.68,U
2005-07,16.29,U
2005-08,13.82,U
2005-09,7.07,U
2005-10,-2.54,U
2005-11,-19.44,U
2005-12,-12.91,U
2006-01,-27.35,U
2006-02,-11.63,U
2006-03,-13.79,U
2006-04,-3.81,U
2006-05,, 
2006-06,14.14,U
2006-07,15.66,U
2006-08,11.6,U
2006-09,9.21,U
2006-10,0.24,U
2006-11,-16.14,U
2006-12,-16.23,U
2007-01,-19.27,U
2007-02,-16.16,U
2007-03,-17.1,U
2007-04,4.9,U
2007-05,9.8,U
2007-06,14.25,U
2007-07,16.31,U
2007-08,15.13,U
2007-09,7.88,U
2007-10,-4.91,U
2007-11,-9.72,U
2007-12,, 
2008-01,, 
2008-02,-18.52,U
2008-03,-8.86,U
2008-04,-3.15,U
2008-05,7.76,U
2008-06,13.21,U
2008-07,13.45,U
2008-08,11.74,U
2008-09,6.63,U
2008-10,-9.89,U
2008-11,-15.51,U
2008-12,-15.61,U
2009-01,-21.19,U
2009-02,-15.65,U
2009-03,-13.7,U
2009-04,-0.92,U
2009-05,7.97,U
2009-06,12.83,U
2009-07,17.63,U
2009-08,11.05,U
2009-09,7.4,U
2009-10,-1.31,U
2009-11,-17.68,U
2009-12,-16.04,U
2010-01,-21.62,U
2010-02,-13.44,U
2010-03,-12.95,U
2010-04,0.7,U
2010-05,10.58,U
2010-06,13.29,U
2010-07,14.05,U
2010-08,13.13,U
2010-09,8.49,U
2010-10,-2.16,U
2010-11,-8.76,U
2010-12,, 
2011-01,, 
2011-02,-16.36,U
2011-03,-8.45,U
2011-04,-0.51,U
2011-05,9.89,U
2011-06,13.42,U
2011-07,13.43,U
2011-08,11.24,U
2011-09,8.0,U
2011-10,-1.68,U
2011-11,-18.76,U
2011-12,-14.85,U
2012-01,-30.42,U
2012-02,-13.44,U
2012-03,-14.12,U
2012-04,2.58,U
2012-05,7.91,U
2012-06,14.59,U
2012-07,13.61,U
2012-08,11.82,U
2012-09,4.91,U
2012-10,-4.44,U
2012-11,-17.44,U
2012-12,-22.06,U
2013-01,-16.03,U
2013-02,-17.31,U
2013-03,-11.75,U
2013-04,-5.6,U
2013-05,5.35,U
2013-06,16.78,U
2013-07,15.13,U
2013-08,13.1,U
2013-09,4.37,U
2013-10,1.9,U
2013-11,-12.33,U
2013-12,-17.09,U
2014-01,-11.31,U
2014-02,-15.73,U
2014-03,-8.64,U
2014-04,0.77,U
2014-05,8.55,U
2014-06,11.82,U
2014-07,13.91,U
2014-08,14.0,U
2014-09,6.92,U
2014-10,-4.52,U
2014-11,-9.86,U
2014-12,, 
2015-01,-19.5,U
2015-02,-12.49,U
2015-03,-7.83,U
2015-04,1.25,U
2015-05,11.9,U
2015-06,14.72,U
2015-07,15.62,U
2015-08,10.49,U
2015-09,4.44,U
2015-10,-0.92,U
2015-11,-9.7,U
2015-12,-17.0,U
2016-01,-11.45,U
2016-02,-10.27,U
2016-03,-8.04,U
2016-04,3.57,U
2016-05,10.01,U
2016-06,14.14,U
2016-07,15.21,U
2016-08,14.3,U
2016-09,6.82,U
2016-10,-1.89,U
2016-11,, 
2016-12,, 
2017-01,, 
2017-02,-16.19,U
2017-03,-14.03,U
2017-04,2.05,U
2017-05,9.13,U
2017-06,14.56,U
2017-07,17.08,U
2017-08,11.32,U
2017-09,6.46,U
2017-10,-0.93,U
2017-11,, 
2017-12,, 
2018-01,-19.63,U
2018-02,-12.63,U
2018-03,-7.32,U
2018-04,-1.24,U
2018-05,7.26,U
2018-06,13.81,U
2018-07,16.69,U
2018-08,11.64,U
2018-09,8.24,U
2018-10,0.6,U
2018-11,, 
2018-12,, 
2019-01,, 
2019-02,-9.32,U
2019-03,-2.19,U
2019-04,0.45,U
2019-05,9.96,U
2019-06,17.3,U
2019-07,17.39,U
2019-08,12.51,U
2019-09,7.96,U
2019-10,-1.35,U
2019-11,-11.75,U
2019-12,-21.57,U
2020-01,, 
2020-02,-21.07,U
2020-03,-11.17,U
2020-04,-0.2,U
2020-05,10.96,U
2020-06,13.97,U
2020-07,13.96,U
2020-08,14.29,U
2020-09,6.56,U
2020-10,-2.18,U
2020-11,-13.29,U
2020-12,-15.92,U
2021-01,, 
2021-02,-21.34,U
2021-03,-12.65,U
2021-04,-2.16,U
2021-05,9.03,U
2021-06,13.72,U
2021-07,14.25,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
