Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,13.3,U
1993-09,5.68,U
1993-10,-3.79,U
1993-11,-14.87,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,10.0,U
1994-06,14.35,U
1994-07,18.37,U
1994-08,15.5,U
1994-09,3.64,U
1994-10,-6.21,U
1994-11,-19.8,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,15.94,U
1995-07,16.58,U
1995-08,13.5,U
1995-09,9.25,U
1995-10,-6.69,U
1995-11,-22.07,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,15.08,U
1996-07,16.87,U
1996-08,10.07,U
1996-09,3.36,U
1996-10,-12.17,U
1996-11,-20.23,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,-17.06,U
1997-04,-1.49,U
1997-05,8.12,U
1997-06,16.39,U
1997-07,17.23,U
1997-08,14.78,U
1997-09,8.84,U
1997-10,-9.59,U
1997-11,-14.24,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,15.06,U
1998-07,17.88,U
1998-08,12.29,U
1998-09,7.07,U
1998-10,-5.44,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,7.32,U
1999-06,16.65,U
1999-07,16.74,U
1999-08,14.44,U
1999-09,7.02,U
1999-10,-8.68,U
1999-11,-21.68,U
1999-12,-26.31,U
2000-01,-21.54,U
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,16.56,U
2000-07,15.52,U
2000-08,10.25,U
2000-09,4.04,U
2000-10,-7.21,U
2000-11,-14.79,U
2000-12,, 
2001-01,, 
2001-02,-15.57,U
2001-03,-16.54,U
2001-04,-2.63,U
2001-05,5.51,U
2001-06,15.15,U
2001-07,14.94,U
2001-08,, 
2001-09,, 
2001-10,, 
2001-11,, 
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,14.03,U
2002-07,15.78,U
2002-08,11.33,U
2002-09,8.15,U
2002-10,-2.65,U
2002-11,-11.75,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-15.68,U
2003-04,-1.87,U
2003-05,6.75,U
2003-06,14.45,U
2003-07,15.66,U
2003-08,13.8,U
2003-09,3.38,U
2003-10,-1.63,U
2003-11,-16.04,U
2003-12,-23.32,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,18.1,U
2004-07,17.94,U
2004-08,12.76,U
2004-09,1.98,U
2004-10,-4.42,U
2004-11,-18.23,U
2004-12,, 
2005-01,-24.07,U
2005-02,-21.75,U
2005-03,-11.64,U
2005-04,-0.97,U
2005-05,8.13,U
2005-06,15.94,U
2005-07,14.53,U
2005-08,13.67,U
2005-09,6.08,U
2005-10,-5.21,U
2005-11,-23.04,U
2005-12,, 
2006-01,, 
2006-02,-13.77,U
2006-03,-17.92,U
2006-04,-4.44,U
2006-05,9.85,U
2006-06,15.28,U
2006-07,16.01,U
2006-08,12.22,U
2006-09,9.5,U
2006-10,-1.59,U
2006-11,-23.54,U
2006-12,-20.0,U
2007-01,, 
2007-02,-25.83,U
2007-03,-20.49,U
2007-04,1.43,U
2007-05,9.48,U
2007-06,16.49,U
2007-07,18.45,U
2007-08,14.56,U
2007-09,5.74,U
2007-10,-8.66,U
2007-11,-14.9,U
2007-12,, 
2008-01,, 
2008-02,-23.02,U
2008-03,-15.69,U
2008-04,-0.54,U
2008-05,7.97,U
2008-06,15.24,U
2008-07,14.85,U
2008-08,9.99,U
2008-09,, 
2008-10,, 
2008-11,, 
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,3.48,U
2009-06,3.89,U
2009-07,2.15,U
2009-08,11.48,U
2009-09,6.23,U
2009-10,-5.22,U
2009-11,-21.06,U
2009-12,-20.78,U
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,9.63,U
2010-06,15.77,U
2010-07,17.05,U
2010-08,14.94,U
2010-09,7.04,U
2010-10,-6.19,U
2010-11,-11.26,U
2010-12,-31.37,U
2011-01,-24.25,U
2011-02,-20.2,U
2011-03,-12.06,U
2011-04,-4.08,U
2011-05,10.58,U
2011-06,14.37,U
2011-07,16.68,U
2011-08,12.88,U
2011-09,7.27,U
2011-10,-4.2,U
2011-11,-24.68,U
2011-12,-18.65,U
2012-01,-30.63,U
2012-02,-17.95,U
2012-03,-18.81,U
2012-04,0.99,U
2012-05,8.34,U
2012-06,16.78,U
2012-07,15.8,U
2012-08,13.81,U
2012-09,6.57,U
2012-10,-6.91,U
2012-11,-24.33,U
2012-12,-29.17,U
2013-01,-22.66,U
2013-02,-21.2,U
2013-03,-14.68,U
2013-04,-7.89,U
2013-05,6.48,U
2013-06,17.29,U
2013-07,17.53,U
2013-08,14.01,U
2013-09,4.66,U
2013-10,0.73,U
2013-11,-15.07,U
2013-12,-23.07,U
2014-01,-19.22,U
2014-02,-23.16,U
2014-03,-11.21,U
2014-04,-1.33,U
2014-05,, 
2014-06,12.26,U
2014-07,14.44,U
2014-08,13.12,U
2014-09,6.31,U
2014-10,-6.39,U
2014-11,-17.95,U
2014-12,, 
2015-01,, 
2015-02,-17.57,U
2015-03,-9.98,U
2015-04,0.11,U
2015-05,12.73,U
2015-06,14.78,U
2015-07,16.08,U
2015-08,11.63,U
2015-09,3.88,U
2015-10,-3.83,U
2015-11,-13.12,U
2015-12,-20.85,U
2016-01,-17.5,U
2016-02,-15.98,U
2016-03,-10.07,U
2016-04,-1.34,U
2016-05,10.38,U
2016-06,13.98,U
2016-07,16.49,U
2016-08,14.62,U
2016-09,6.05,U
2016-10,-6.73,U
2016-11,-18.1,U
2016-12,-22.82,U
2017-01,-19.48,U
2017-02,-18.25,U
2017-03,-16.19,U
2017-04,-2.67,U
2017-05,9.66,U
2017-06,15.32,U
2017-07,19.37,U
2017-08,12.92,U
2017-09,6.38,U
2017-10,-3.3,U
2017-11,-16.8,U
2017-12,-15.35,U
2018-01,-21.96,U
2018-02,-17.91,U
2018-03,-11.01,U
2018-04,-5.48,U
2018-05,7.97,U
2018-06,12.63,U
2018-07,17.35,U
2018-08,10.72,U
2018-09,5.32,U
2018-10,-4.11,U
2018-11,-17.23,U
2018-12,-20.41,U
2019-01,-24.35,U
2019-02,-16.87,U
2019-03,-4.8,U
2019-04,-1.54,U
2019-05,9.81,U
2019-06,15.22,U
2019-07,17.86,U
2019-08,10.94,U
2019-09,6.26,U
2019-10,-3.62,U
2019-11,-16.75,U
2019-12,-27.14,U
2020-01,, 
2020-02,, 
2020-03,-13.6,U
2020-04,-1.75,U
2020-05,9.1,U
2020-06,14.03,U
2020-07,13.81,U
2020-08,13.32,U
2020-09,6.38,U
2020-10,-6.28,U
2020-11,-18.64,U
2020-12,-21.13,U
2021-01,, 
2021-02,-27.36,U
2021-03,-16.45,U
2021-04,-3.77,U
2021-05,6.7,U
2021-06,14.83,U
2021-07,16.06,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
