Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,16.04,U
1993-08,14.44,U
1993-09,8.52,U
1993-10,3.48,U
1993-11,-3.24,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,7.89,U
1994-06,13.67,U
1994-07,14.89,U
1994-08,15.33,U
1994-09,9.1,U
1994-10,0.92,U
1994-11,-7.52,U
1994-12,, 
1995-01,-4.81,U
1995-02,-3.97,U
1995-03,-6.09,U
1995-04,5.27,U
1995-05,8.87,U
1995-06,12.79,U
1995-07,14.53,U
1995-08,13.95,U
1995-09,11.86,U
1995-10,3.63,U
1995-11,-4.54,U
1995-12,-4.41,U
1996-01,-10.45,U
1996-02,-7.39,U
1996-03,-0.41,U
1996-04,3.53,U
1996-05,9.99,U
1996-06,12.72,U
1996-07,14.52,U
1996-08,13.18,U
1996-09,7.66,U
1996-10,-2.49,U
1996-11,-3.29,U
1996-12,-7.27,U
1997-01,-7.05,U
1997-02,0.62,U
1997-03,-3.79,U
1997-04,3.9,U
1997-05,9.38,U
1997-06,14.14,U
1997-07,16.32,U
1997-08,14.84,U
1997-09,10.5,U
1997-10,-1.16,U
1997-11,-1.23,U
1997-12,-7.71,U
1998-01,-3.11,U
1998-02,0.3,U
1998-03,0.83,U
1998-04,3.49,U
1998-05,6.95,U
1998-06,, 
1998-07,, 
1998-08,11.3,U
1998-09,8.69,U
1998-10,2.65,U
1998-11,-2.8,U
1998-12,-8.03,U
1999-01,-8.86,U
1999-02,, 
1999-03,-3.59,U
1999-04,1.35,U
1999-05,7.17,U
1999-06,13.15,U
1999-07,14.85,U
1999-08,13.62,U
1999-09,9.53,U
1999-10,1.15,U
1999-11,-4.5,U
1999-12,-8.7,U
2000-01,-8.48,U
2000-02,0.25,U
2000-03,-0.17,U
2000-04,3.57,U
2000-05,7.55,U
2000-06,12.83,U
2000-07,14.06,U
2000-08,13.01,U
2000-09,7.83,U
2000-10,1.96,U
2000-11,0.75,U
2000-12,-0.28,U
2001-01,-1.69,U
2001-02,-1.87,U
2001-03,-1.36,U
2001-04,3.44,U
2001-05,7.09,U
2001-06,14.73,U
2001-07,13.99,U
2001-08,14.17,U
2001-09,9.82,U
2001-10,-0.68,U
2001-11,-3.33,U
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,12.39,U
2002-07,15.23,U
2002-08,14.02,U
2002-09,9.85,U
2002-10,6.16,U
2002-11,3.59,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,13.02,U
2003-07,16.51,U
2003-08,14.34,U
2003-09,8.63,U
2003-10,, 
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,11.03,U
2004-06,15.54,U
2004-07,17.42,U
2004-08,18.19,U
2004-09,7.88,U
2004-10,4.07,U
2004-11,-0.11,U
2004-12,-3.56,U
2005-01,-2.87,U
2005-02,-3.4,U
2005-03,1.08,U
2005-04,5.88,U
2005-05,10.86,U
2005-06,14.32,U
2005-07,16.68,U
2005-08,15.53,U
2005-09,11.13,U
2005-10,3.5,U
2005-11,-6.79,U
2005-12,-0.26,U
2006-01,-8.49,U
2006-02,-4.45,U
2006-03,-4.02,U
2006-04,1.51,U
2006-05,8.48,U
2006-06,11.54,U
2006-07,13.73,U
2006-08,11.43,U
2006-09,9.35,U
2006-10,3.46,U
2006-11,-9.82,U
2006-12,-4.56,U
2007-01,-6.6,U
2007-02,-5.94,U
2007-03,-9.82,U
2007-04,3.74,U
2007-05,7.3,U
2007-06,12.04,U
2007-07,13.58,U
2007-08,14.07,U
2007-09,9.31,U
2007-10,1.56,U
2007-11,, 
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,6.9,U
2008-06,9.6,U
2008-07,11.84,U
2008-08,12.0,U
2008-09,7.99,U
2008-10,, 
2008-11,-4.86,U
2008-12,-7.41,U
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,11.65,U
2009-07,15.54,U
2009-08,, 
2009-09,8.98,U
2009-10,4.87,U
2009-11,-5.71,U
2009-12,-2.88,U
2010-01,-3.24,U
2010-02,-1.5,U
2010-03,-2.09,U
2010-04,2.73,U
2010-05,9.05,U
2010-06,11.05,U
2010-07,12.49,U
2010-08,12.65,U
2010-09,9.75,U
2010-10,3.31,U
2010-11,-2.72,U
2010-12,-9.47,U
2011-01,-4.72,U
2011-02,-6.8,U
2011-03,-2.38,U
2011-04,2.69,U
2011-05,8.39,U
2011-06,10.64,U
2011-07,13.39,U
2011-08,11.68,U
2011-09,8.76,U
2011-10,2.63,U
2011-11,-8.96,U
2011-12,-4.64,U
2012-01,-13.65,U
2012-02,-2.08,U
2012-03,-4.62,U
2012-04,4.56,U
2012-05,6.41,U
2012-06,11.55,U
2012-07,12.23,U
2012-08,12.51,U
2012-09,8.04,U
2012-10,0.86,U
2012-11,-5.97,U
2012-12,-7.52,U
2013-01,-3.27,U
2013-02,-2.56,U
2013-03,-3.37,U
2013-04,-1.73,U
2013-05,6.81,U
2013-06,14.84,U
2013-07,15.77,U
2013-08,13.23,U
2013-09,8.31,U
2013-10,5.84,U
2013-11,-5.1,U
2013-12,-6.98,U
2014-01,0.99,U
2014-02,-4.99,U
2014-03,-1.78,U
2014-04,3.49,U
2014-05,11.17,U
2014-06,11.05,U
2014-07,14.52,U
2014-08,13.65,U
2014-09,9.63,U
2014-10,1.01,U
2014-11,1.59,U
2014-12,-0.09,U
2015-01,-3.54,U
2015-02,-2.34,U
2015-03,-1.06,U
2015-04,3.49,U
2015-05,9.84,U
2015-06,13.9,U
2015-07,14.43,U
2015-08,13.98,U
2015-09,7.35,U
2015-10,5.13,U
2015-11,-3.0,U
2015-12,-3.08,U
2016-01,0.79,U
2016-02,1.09,U
2016-03,1.73,U
2016-04,6.02,U
2016-05,10.54,U
2016-06,13.83,U
2016-07,15.85,U
2016-08,14.28,U
2016-09,10.23,U
2016-10,4.09,U
2016-11,-1.83,U
2016-12,-6.3,U
2017-01,-6.78,U
2017-02,-4.3,U
2017-03,-7.54,U
2017-04,5.04,U
2017-05,7.98,U
2017-06,11.61,U
2017-07,14.28,U
2017-08,12.29,U
2017-09,9.46,U
2017-10,3.2,U
2017-11,-5.3,U
2017-12,-0.63,U
2018-01,-5.95,U
2018-02,-5.1,U
2018-03,-2.29,U
2018-04,3.54,U
2018-05,7.33,U
2018-06,12.36,U
2018-07,15.53,U
2018-08,13.0,U
2018-09,11.8,U
2018-10,5.89,U
2018-11,0.26,U
2018-12,-3.21,U
2019-01,-4.56,U
2019-02,-4.24,U
2019-03,2.54,U
2019-04,3.42,U
2019-05,8.76,U
2019-06,15.0,U
2019-07,17.72,U
2019-08,16.8,U
2019-09,10.26,U
2019-10,4.26,U
2019-11,1.68,U
2019-12,-3.76,U
2020-01,-14.15,U
2020-02,-6.05,U
2020-03,-4.54,U
2020-04,3.39,U
2020-05,10.01,U
2020-06,12.21,U
2020-07,15.71,U
2020-08,13.79,U
2020-09,9.69,U
2020-10,2.75,U
2020-11,-3.79,U
2020-12,-2.8,U
2021-01,-2.26,U
2021-02,-7.19,U
2021-03,-5.8,U
2021-04,2.6,U
2021-05,8.29,U
2021-06,12.96,U
2021-07,13.86,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
