Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,, 
1993-09,6.53,U
1993-10,0.62,U
1993-11,-5.8,U
1993-12,-10.83,U
1994-01,-14.44,U
1994-02,-11.29,U
1994-03,-13.95,U
1994-04,-2.35,U
1994-05,7.25,U
1994-06,11.53,U
1994-07,13.42,U
1994-08,10.86,U
1994-09,7.1,U
1994-10,-3.06,U
1994-11,-9.93,U
1994-12,-15.33,U
1995-01,-13.22,U
1995-02,-10.31,U
1995-03,-12.02,U
1995-04,0.4,U
1995-05,7.91,U
1995-06,10.98,U
1995-07,13.28,U
1995-08,11.43,U
1995-09,9.91,U
1995-10,-1.21,U
1995-11,-10.54,U
1995-12,-11.71,U
1996-01,-14.67,U
1996-02,-14.88,U
1996-03,-3.39,U
1996-04,-2.91,U
1996-05,6.65,U
1996-06,9.74,U
1996-07,13.08,U
1996-08,10.2,U
1996-09,, 
1996-10,-5.71,U
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,, 
1997-08,12.23,U
1997-09,9.03,U
1997-10,-3.88,U
1997-11,-6.15,U
1997-12,-18.32,U
1998-01,-16.58,U
1998-02,-11.52,U
1998-03,-3.53,U
1998-04,-1.03,U
1998-05,3.67,U
1998-06,10.39,U
1998-07,13.99,U
1998-08,8.75,U
1998-09,6.87,U
1998-10,-0.72,U
1998-11,-7.38,U
1998-12,-15.87,U
1999-01,-19.22,U
1999-02,-18.3,U
1999-03,-11.95,U
1999-04,-4.38,U
1999-05,2.88,U
1999-06,11.27,U
1999-07,11.77,U
1999-08,11.28,U
1999-09,8.06,U
1999-10,-3.5,U
1999-11,-11.9,U
1999-12,-23.97,U
2000-01,-16.9,U
2000-02,-3.55,U
2000-03,-6.52,U
2000-04,-1.96,U
2000-05,3.21,U
2000-06,12.44,U
2000-07,11.96,U
2000-08,10.03,U
2000-09,5.36,U
2000-10,-0.29,U
2000-11,-3.89,U
2000-12,-5.23,U
2001-01,-7.78,U
2001-02,-6.75,U
2001-03,-10.31,U
2001-04,-1.91,U
2001-05,0.74,U
2001-06,10.94,U
2001-07,11.7,U
2001-08,11.28,U
2001-09,7.03,U
2001-10,-4.41,U
2001-11,-11.47,U
2001-12,, 
2002-01,-11.09,U
2002-02,-10.97,U
2002-03,-5.03,U
2002-04,-2.78,U
2002-05,7.77,U
2002-06,12.95,U
2002-07,13.17,U
2002-08,11.85,U
2002-09,6.96,U
2002-10,2.04,U
2002-11,-4.22,U
2002-12,-9.12,U
2003-01,-9.91,U
2003-02,-7.04,U
2003-03,-9.65,U
2003-04,0.1,U
2003-05,5.37,U
2003-06,13.01,U
2003-07,12.55,U
2003-08,12.39,U
2003-09,6.1,U
2003-10,1.2,U
2003-11,-4.57,U
2003-12,-14.04,U
2004-01,-14.57,U
2004-02,-9.75,U
2004-03,-9.76,U
2004-04,, 
2004-05,, 
2004-06,, 
2004-07,, 
2004-08,, 
2004-09,, 
2004-10,, 
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,, 
2005-07,, 
2005-08,12.66,U
2005-09,7.93,U
2005-10,-1.04,U
2005-11,-13.5,U
2005-12,-9.76,U
2006-01,-19.37,U
2006-02,-7.19,U
2006-03,-11.38,U
2006-04,-6.9,U
2006-05,4.87,U
2006-06,, 
2006-07,13.05,U
2006-08,10.34,U
2006-09,8.39,U
2006-10,2.71,U
2006-11,-7.63,U
2006-12,-15.02,U
2007-01,-14.68,U
2007-02,-10.39,U
2007-03,-16.52,U
2007-04,1.65,U
2007-05,6.59,U
2007-06,10.85,U
2007-07,14.15,U
2007-08,13.62,U
2007-09,9.0,U
2007-10,-1.07,U
2007-11,-4.9,U
2007-12,-12.33,U
2008-01,, 
2008-02,-17.4,U
2008-03,-10.87,U
2008-04,-6.58,U
2008-05,5.38,U
2008-06,10.59,U
2008-07,11.27,U
2008-08,11.26,U
2008-09,, 
2008-10,, 
2008-11,, 
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,, 
2009-08,11.02,U
2009-09,7.74,U
2009-10,0.91,U
2009-11,-12.33,U
2009-12,-8.47,U
2010-01,-15.6,U
2010-02,-11.06,U
2010-03,-14.72,U
2010-04,-4.64,U
2010-05,7.17,U
2010-06,10.28,U
2010-07,12.36,U
2010-08,11.5,U
2010-09,8.64,U
2010-10,-0.51,U
2010-11,-7.08,U
2010-12,-16.24,U
2011-01,-10.65,U
2011-02,-13.03,U
2011-03,-8.35,U
2011-04,-4.69,U
2011-05,6.42,U
2011-06,9.82,U
2011-07,9.82,U
2011-08,9.21,U
2011-09,7.05,U
2011-10,-1.48,U
2011-11,-15.38,U
2011-12,-13.9,U
2012-01,-28.03,U
2012-02,-10.54,U
2012-03,-15.31,U
2012-04,-3.1,U
2012-05,3.39,U
2012-06,10.59,U
2012-07,11.0,U
2012-08,11.17,U
2012-09,5.52,U
2012-10,-0.35,U
2012-11,-11.38,U
2012-12,-16.25,U
2013-01,-10.29,U
2013-02,-16.18,U
2013-03,-11.31,U
2013-04,-7.3,U
2013-05,1.66,U
2013-06,13.01,U
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2015-01,-13.38,U
2015-02,-7.66,U
2015-03,-7.15,U
2015-04,-1.43,U
2015-05,8.52,U
2015-06,13.29,U
2015-07,13.26,U
2015-08,10.6,U
2015-09,5.99,U
2015-10,2.65,U
2015-11,-5.37,U
2015-12,-11.0,U
2016-01,-5.57,U
2016-02,-5.7,U
2016-03,-6.37,U
2016-04,5.56,U
2016-05,9.4,U
2016-06,13.33,U
2016-07,14.52,U
2016-08,14.34,U
2016-09,9.03,U
2016-10,3.19,U
2016-11,, 
2016-12,, 
2018-01,-12.44,U
2018-02,-6.36,U
2018-03,-5.88,U
2018-04,0.33,U
2018-05,5.41,U
2018-06,12.38,U
2018-07,14.16,U
2018-08,11.64,U
2018-09,10.07,U
2018-10,4.65,U
2018-11,-5.19,U
2018-12,-13.57,U
2019-01,-10.97,U
2019-02,-2.97,U
2019-03,-0.62,U
2019-04,, 
2019-05,, 
2019-06,14.18,U
2019-07,15.82,U
2019-08,13.15,U
2019-09,8.64,U
2019-10,1.41,U
2019-11,-6.47,U
2019-12,-14.52,U
2020-01,-20.52,U
2020-02,-16.37,U
2020-03,-9.14,U
2020-04,-0.51,U
2020-05,9.66,U
2020-06,12.19,U
2020-07,, 
2020-08,, 
2020-09,, 
2020-10,, 
2020-11,, 
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,, 
2021-05,, 
2021-06,11.18,U
2021-07,11.96,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
