Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,, 
1992-08,, 
1992-09,-0.3,U
1992-10,-8.27,U
1992-11,-13.62,U
1992-12,-20.48,U
1993-01,-19.29,U
1993-02,-13.88,U
1993-03,, 
1993-04,3.64,U
1993-05,10.87,U
1993-06,16.0,U
1993-07,18.51,U
1993-08,12.72,U
1993-09,4.91,U
1993-10,-1.69,U
1993-11,-13.0,U
1993-12,-14.62,U
1994-01,-16.23,U
1994-02,-16.51,U
1994-03,-14.51,U
1994-04,-0.58,U
1994-05,10.39,U
1994-06,13.64,U
1994-07,16.65,U
1994-08,13.32,U
1994-09,5.82,U
1994-10,-6.25,U
1994-11,-17.67,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,16.24,U
1995-08,12.66,U
1995-09,9.56,U
1995-10,-4.65,U
1995-11,-16.48,U
1995-12,-18.76,U
1996-01,-25.67,U
1996-02,-19.29,U
1996-03,-7.53,U
1996-04,-1.28,U
1996-05,8.33,U
1996-06,13.83,U
1996-07,15.87,U
1996-08,10.35,U
1996-09,4.38,U
1996-10,-9.91,U
1996-11,-15.24,U
1996-12,-23.2,U
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,17.08,U
1997-08,13.11,U
1997-09,8.74,U
1997-10,-8.95,U
1997-11,-10.64,U
1997-12,-19.88,U
1998-01,-22.36,U
1998-02,-13.44,U
1998-03,-5.15,U
1998-04,2.57,U
1998-05,8.25,U
1998-06,13.72,U
1998-07,16.04,U
1998-08,10.46,U
1998-09,7.52,U
1998-10,-2.04,U
1998-11,-14.08,U
1998-12,-20.31,U
1999-01,-25.4,U
1999-02,-24.15,U
1999-03,-12.32,U
1999-04,-1.11,U
1999-05,7.89,U
1999-06,15.95,U
1999-07,15.91,U
1999-08,13.79,U
1999-09,7.65,U
1999-10,-6.69,U
1999-11,-17.81,U
1999-12,-25.51,U
2000-01,-22.44,U
2000-02,-9.61,U
2000-03,-7.32,U
2000-04,-0.8,U
2000-05,5.66,U
2000-06,16.19,U
2000-07,14.54,U
2000-08,10.25,U
2000-09,4.75,U
2000-10,-4.73,U
2000-11,-11.35,U
2000-12,-13.9,U
2001-01,-12.32,U
2001-02,-11.37,U
2001-03,-10.89,U
2001-04,-0.75,U
2001-05,3.88,U
2001-06,15.45,U
2001-07,14.4,U
2001-08,12.42,U
2001-09,8.36,U
2001-10,-5.93,U
2001-11,-16.12,U
2001-12,-24.65,U
2002-01,-17.09,U
2002-02,-14.77,U
2002-03,-7.73,U
2002-04,-3.75,U
2002-05,9.53,U
2002-06,14.18,U
2002-07,15.8,U
2002-08,11.7,U
2002-09,7.41,U
2002-10,-1.01,U
2002-11,-7.35,U
2002-12,-13.91,U
2003-01,-16.96,U
2003-02,-9.48,U
2003-03,-11.55,U
2003-04,0.59,U
2003-05,6.59,U
2003-06,15.61,U
2003-07,14.31,U
2003-08,13.14,U
2003-09,4.39,U
2003-10,0.24,U
2003-11,-12.33,U
2003-12,-20.3,U
2004-01,-22.72,U
2004-02,-15.26,U
2004-03,-13.55,U
2004-04,2.63,U
2004-05,10.43,U
2004-06,18.3,U
2004-07,18.44,U
2004-08,16.66,U
2004-09,2.78,U
2004-10,-0.99,U
2004-11,-11.95,U
2004-12,-17.67,U
2005-01,-18.41,U
2005-02,-16.14,U
2005-03,-6.77,U
2005-04,-1.5,U
2005-05,12.24,U
2005-06,16.05,U
2005-07,16.33,U
2005-08,13.51,U
2005-09,7.58,U
2005-10,-3.57,U
2005-11,-21.24,U
2005-12,-13.06,U
2006-01,-28.24,U
2006-02,-12.79,U
2006-03,-14.04,U
2006-04,-3.95,U
2006-05,8.59,U
2006-06,13.24,U
2006-07,15.77,U
2006-08,11.63,U
2006-09,9.41,U
2006-10,-0.55,U
2006-11,-17.99,U
2006-12,-18.37,U
2007-01,-20.18,U
2007-02,-17.91,U
2007-03,-19.48,U
2007-04,4.19,U
2007-05,9.72,U
2007-06,15.28,U
2007-07,17.39,U
2007-08,15.19,U
2007-09,7.84,U
2007-10,-5.63,U
2007-11,-10.88,U
2007-12,-19.09,U
2008-01,-22.65,U
2008-02,-20.08,U
2008-03,-9.73,U
2008-04,-3.92,U
2008-05,7.84,U
2008-06,9.18,U
2008-07,0.0,U
2008-08,0.0,U
2008-09,-5.78,U
2008-10,0.0,U
2008-11,0.0,U
2008-12,0.0,U
2009-01,, 
2009-02,0.0,U
2009-03,0.0,U
2009-04,-9.28,U
2009-05,6.87,U
2009-06,13.97,U
2009-07,18.23,U
2009-08,11.05,U
2009-09,7.6,U
2009-10,-1.34,U
2009-11,-19.87,U
2009-12,-18.11,U
2010-01,-23.54,U
2010-02,-14.41,U
2010-03,-12.66,U
2010-04,1.05,U
2010-05,8.53,U
2010-06,12.75,U
2010-07,10.8,U
2010-08,10.91,U
2010-09,5.43,U
2010-10,-3.44,U
2010-11,-11.66,U
2010-12,-26.98,U
2011-01,-18.44,U
2011-02,-18.17,U
2011-03,-9.67,U
2011-04,-2.73,U
2011-05,9.09,U
2011-06,, 
2011-07,, 
2011-08,, 
2011-09,, 
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,15.82,U
2012-07,14.65,U
2012-08,12.28,U
